Expression,Expression_length,Expression_established_position,Expression_uttered_position,file
get,1,27,"[0, 12, 27, 38, 51, 54, 58, 70, 76, 82, 84, 85, 89, 90, 94, 95, 122, 151, 152, 153, 159, 187, 188, 196, 258, 263, 284, 320, 321, 337, 338, 341, 342, 345, 351, 353, 357, 366, 369, 378, 385, 402, 403, 404, 410, 435, 441, 449, 451, 458, 462, 491, 497, 499, 500, 506, 517, 519, 531, 538, 541, 561, 563, 564, 597, 599, 609, 635, 643, 644, 647, 656, 657, 664, 665, 666, 669, 671, 679]",S4D8.tsv
oh,1,29,"[0, 18, 22, 29, 37, 42, 47, 59, 63, 69, 84, 88, 105, 109, 136, 155, 165, 173, 176, 180, 209, 219, 220, 228, 240, 250, 251, 260, 269, 283, 285, 287, 296, 299, 301, 319, 320, 329, 335, 336, 350, 356, 360, 370, 380, 388, 396, 402, 407, 409, 411, 414, 442, 449, 452, 455, 491, 509, 511, 515, 517, 520, 525, 535, 565, 582, 598, 603, 606, 611, 614, 622, 645, 668, 690]",S4D8.tsv
not,1,4,"[2, 4, 5, 27, 32, 49, 64, 65, 67, 82, 90, 91, 93, 123, 148, 179, 196, 207, 238, 258, 268, 279, 302, 309, 324, 327, 378, 385, 401, 403, 420, 422, 425, 431, 521, 524, 536, 547, 580, 616, 624, 632, 635, 657, 663, 673, 675, 680, 686, 688]",S4D8.tsv
sleep,1,4,"[2, 3, 4, 419, 542]",S4D8.tsv
the,1,6,"[2, 3, 6, 18, 21, 25, 27, 36, 39, 67, 84, 86, 101, 108, 113, 116, 117, 125, 127, 141, 143, 149, 152, 162, 165, 171, 187, 197, 205, 213, 234, 237, 238, 252, 285, 290, 293, 310, 312, 316, 318, 325, 330, 340, 351, 358, 365, 366, 369, 378, 380, 389, 391, 396, 398, 403, 424, 426, 433, 435, 438, 442, 454, 458, 465, 474, 477, 479, 491, 492, 503, 508, 517, 554, 564, 580, 589, 592, 593, 603, 607, 609, 611, 614, 615, 616, 633, 651, 657, 664, 665, 669, 678, 680]",S4D8.tsv
do,1,9,"[2, 9, 20, 22, 25, 28, 58, 64, 67, 71, 97, 100, 153, 159, 161, 169, 170, 171, 172, 187, 207, 220, 233, 251, 261, 272, 275, 276, 327, 335, 341, 350, 354, 359, 377, 391, 392, 395, 410, 426, 443, 444, 451, 458, 462, 467, 521, 561, 563, 564, 568, 592, 593, 595, 615, 624, 626, 648, 657, 658, 671, 674, 686]",S4D8.tsv
you,1,11,"[2, 10, 11, 12, 15, 18, 32, 34, 35, 37, 46, 51, 53, 54, 56, 57, 62, 75, 80, 83, 85, 88, 89, 90, 94, 95, 97, 98, 100, 104, 113, 114, 130, 132, 133, 136, 139, 141, 143, 145, 148, 150, 153, 159, 161, 170, 171, 174, 179, 187, 190, 194, 197, 207, 213, 216, 217, 218, 220, 221, 227, 229, 234, 245, 247, 250, 252, 253, 254, 260, 263, 272, 275, 276, 290, 293, 294, 295, 298, 300, 301, 303, 304, 307, 308, 310, 312, 319, 320, 325, 328, 333, 335, 336, 340, 345, 347, 353, 355, 356, 358, 359, 374, 376, 379, 384, 391, 392, 394, 395, 398, 403, 404, 406, 419, 420, 424, 426, 435, 440, 442, 444, 451, 455, 457, 459, 464, 466, 475, 476, 477, 478, 488, 494, 498, 500, 503, 504, 508, 517, 527, 531, 535, 537, 538, 540, 542, 546, 548, 549, 550, 553, 558, 559, 561, 563, 567, 580, 586, 592, 593, 595, 604, 614, 621, 624, 626, 639, 641, 643, 647, 650, 652, 656, 657, 658, 660, 671, 672, 674, 684, 686, 691, 692]",S4D8.tsv
in,1,36,"[2, 3, 36, 46, 51, 52, 56, 112, 117, 138, 140, 161, 171, 173, 174, 186, 195, 206, 253, 254, 271, 274, 301, 309, 318, 348, 350, 376, 379, 381, 394, 403, 422, 432, 433, 454, 455, 458, 477, 488, 506, 554, 563, 564, 607, 611, 616, 624, 631, 650, 664, 665, 671, 688]",S4D8.tsv
you not,2,90,"[2, 90, 207, 624, 686]",S4D8.tsv
do you,2,97,"[2, 97, 100, 159, 161, 207, 220, 272, 275, 276, 335, 392, 395, 444, 451, 593, 595, 624, 626, 657, 658, 671, 686]",S4D8.tsv
in the,2,433,"[2, 3, 433, 477, 564, 607, 611, 616]",S4D8.tsv
day,1,215,"[2, 3, 215, 542, 609]",S4D8.tsv
my,1,7,"[6, 7, 18, 37, 40, 42, 46, 47, 55, 58, 60, 63, 67, 69, 71, 83, 84, 86, 97, 100, 101, 105, 117, 136, 206, 208, 209, 219, 250, 252, 256, 268, 275, 292, 294, 318, 324, 327, 328, 342, 343, 351, 354, 357, 361, 369, 418, 431, 447, 449, 454, 462, 480, 485, 496, 511, 513, 516, 517, 525, 533, 540, 542, 553, 564, 566, 601, 603, 611, 657, 671, 692]",S4D8.tsv
quite high,2,8,"[7, 8]",S4D8.tsv
high,1,49,"[7, 47, 49, 300]",S4D8.tsv
quite,1,17,"[7, 8, 17, 53, 85, 114, 115, 199, 223, 301, 351, 369, 385, 418, 421, 454, 457, 589, 664]",S4D8.tsv
still,1,154,"[7, 154, 179, 391, 445, 611]",S4D8.tsv
