Expression,Expression_length,Expression_established_position,Expression_uttered_position,file
go,1,1,"[0, 1, 3, 16, 18, 19, 20, 21, 30, 32, 33, 34, 38, 40, 48, 59, 68, 91, 106, 116, 147, 150, 151, 160, 173, 174, 177, 188, 190, 218, 220, 229, 231, 235, 239, 245, 248, 252, 283, 298, 354, 371, 376, 379, 419, 459, 462, 471, 474, 482, 487, 550, 556]",SHL3.tsv
be,1,8,"[0, 2, 8, 14, 19, 20, 25, 26, 28, 30, 40, 42, 55, 58, 79, 81, 85, 86, 97, 103, 104, 108, 118, 119, 147, 154, 170, 171, 181, 182, 191, 193, 196, 198, 214, 217, 227, 261, 270, 274, 278, 287, 292, 301, 305, 306, 307, 312, 318, 319, 321, 332, 338, 348, 350, 351, 353, 358, 373, 381, 387, 389, 401, 404, 415, 426, 432, 433, 438, 455, 474, 476, 479, 481, 482, 496, 502, 507, 521, 525, 526, 548, 549, 551, 568]",SHL3.tsv
on,1,19,"[0, 19, 20, 25, 26, 28, 30, 32, 40, 76, 79, 125, 147, 157, 160, 220, 245, 269, 272, 313, 331, 338, 350, 354, 371, 376, 379, 388, 401, 419, 436, 445, 465, 474, 476, 481, 482, 487, 515, 521, 532, 535, 539, 541, 548, 574]",SHL3.tsv
holiday,1,108,"[0, 108, 231, 248, 455]",SHL3.tsv
you,1,8,"[2, 8, 19, 20, 29, 61, 64, 66, 85, 88, 101, 108, 112, 113, 114, 125, 126, 127, 128, 130, 131, 132, 133, 134, 147, 162, 164, 171, 176, 177, 182, 193, 194, 196, 197, 218, 220, 224, 226, 231, 243, 245, 267, 283, 298, 312, 313, 315, 342, 369, 379, 419, 430, 467, 471, 493, 515, 523, 525, 530, 535, 536, 539, 540, 546, 551]",SHL3.tsv
be you,2,196,"[2, 85, 196]",SHL3.tsv
of,1,5,"[1, 5, 14, 30, 32, 44, 68, 76, 95, 106, 137, 149, 164, 220, 264, 269, 275, 288, 292, 302, 355, 384, 428, 482, 487, 493, 500, 521, 523, 532, 535, 558, 572]",SHL3.tsv
the,1,8,"[5, 8, 30, 32, 40, 43, 44, 48, 53, 68, 72, 74, 82, 86, 88, 91, 106, 149, 159, 160, 162, 164, 165, 185, 188, 190, 198, 213, 217, 218, 220, 233, 235, 239, 241, 256, 258, 260, 263, 264, 267, 268, 269, 270, 272, 282, 283, 287, 296, 298, 301, 302, 312, 323, 324, 331, 338, 339, 346, 350, 353, 367, 390, 396, 404, 406, 417, 419, 428, 436, 440, 442, 462, 464, 465, 466, 482, 493, 498, 502, 507, 521, 525, 530, 532, 534, 536, 539, 542, 545, 551, 553]",SHL3.tsv
at,1,14,"[5, 14, 30, 61, 69, 99, 249, 258, 282, 295, 312, 395, 421, 474, 532, 551]",SHL3.tsv
his,1,38,"[5, 38, 181, 234, 289, 292, 315]",SHL3.tsv
