Expression,Expression_length,Expression_established_position,Expression_uttered_position,file
be,1,9,"[0, 2, 4, 6, 9, 16, 20, 22, 23, 28, 34, 35, 38, 42, 47, 48, 49, 51, 55, 61, 65, 69, 74, 75, 79, 84, 92, 96, 97, 98, 103, 104, 108, 111, 112, 114, 115, 116, 117, 130, 141, 142, 154, 157, 167, 168, 169, 173, 175, 180, 192, 194, 196, 198, 200, 202, 205, 206, 207, 224, 226, 234, 238, 239, 240, 242, 247, 252, 256, 272, 280, 284, 286, 292, 294, 298, 300, 305, 306, 307, 309, 310, 314, 315, 323, 346, 347, 362, 363, 367, 368, 369, 370, 380, 386, 387, 389, 405, 410, 416, 417, 432, 436, 438, 439, 452, 462, 471, 472, 478, 491, 492, 495, 507, 508, 509, 512, 513, 517, 519, 534, 535]",SNMN.tsv
thank,1,12,"[0, 10, 12, 82, 224]",SNMN.tsv
your,1,21,"[0, 2, 21, 75, 112, 130, 132, 133, 143, 154, 187, 192, 376, 377, 393, 407, 411, 436, 441, 443, 445, 468, 489, 497, 498]",SNMN.tsv
off,1,21,"[0, 21, 125, 405, 407, 499]",SNMN.tsv
that,1,51,"[0, 51, 61, 67, 69, 96, 141, 144, 146, 151, 153, 154, 161, 168, 174, 183, 194, 196, 201, 206, 223, 234, 239, 240, 241, 244, 246, 256, 266, 272, 280, 298, 300, 309, 356, 369, 410, 416, 426, 427, 430, 438, 445, 453, 456, 472, 490, 491, 492, 496, 509, 526]",SNMN.tsv
you,1,10,"[0, 6, 8, 10, 16, 18, 19, 20, 27, 28, 34, 35, 37, 38, 55, 57, 59, 68, 79, 90, 97, 101, 107, 109, 111, 112, 114, 116, 126, 133, 136, 141, 149, 150, 151, 152, 154, 159, 178, 192, 194, 196, 198, 200, 202, 223, 225, 230, 236, 246, 252, 256, 260, 262, 264, 273, 280, 283, 290, 306, 309, 310, 311, 362, 375, 383, 384, 387, 389, 393, 395, 397, 399, 401, 405, 406, 411, 415, 416, 417, 418, 423, 426, 432, 440, 448, 450, 453, 455, 456, 457, 458, 468, 469, 470, 473, 474, 479, 481, 483, 484, 503, 512, 515, 516, 520, 525, 526, 528, 529, 530]",SNMN.tsv
be you,2,35,"[0, 28, 34, 35, 55, 97, 111, 112, 114, 116, 202, 416, 417, 432]",SNMN.tsv
take,1,72,"[0, 57, 72, 104, 109, 157, 251, 256, 290, 450, 453, 455, 456, 457]",SNMN.tsv
oh,1,32,"[2, 4, 11, 20, 32, 33, 54, 61, 67, 105, 139, 164, 166, 175, 177, 178, 212, 223, 234, 243, 256, 259, 271, 273, 275, 277, 280, 284, 290, 306, 308, 317, 337, 405, 415, 444, 448, 458, 477, 508, 540]",SNMN.tsv
it,1,9,"[4, 6, 9, 20, 22, 25, 43, 49, 50, 57, 60, 68, 72, 84, 120, 138, 141, 142, 159, 202, 203, 211, 212, 224, 225, 226, 238, 242, 247, 268, 280, 281, 282, 309, 323, 324, 330, 346, 367, 378, 386, 392, 405, 406, 407, 408, 431, 439, 440, 450, 458, 462, 463, 490, 508, 512, 513, 516, 517, 519, 520, 526, 527]",SNMN.tsv
really,1,44,"[4, 44, 82, 191, 210, 226, 231, 303, 325, 416]",SNMN.tsv
oh be,2,284,"[4, 284]",SNMN.tsv
even,1,56,"[6, 56, 66, 174, 380]",SNMN.tsv
do,1,39,"[6, 8, 16, 18, 19, 20, 22, 38, 39, 43, 57, 72, 88, 90, 109, 112, 120, 123, 125, 126, 128, 129, 133, 143, 147, 149, 150, 151, 159, 160, 162, 164, 183, 196, 203, 216, 219, 223, 225, 227, 230, 232, 235, 236, 241, 242, 246, 248, 250, 252, 256, 259, 261, 265, 266, 268, 269, 271, 273, 280, 283, 309, 331, 334, 336, 338, 343, 347, 354, 357, 362, 380, 386, 393, 395, 397, 399, 401, 405, 406, 407, 415, 422, 426, 427, 450, 456, 464, 469, 473, 474, 475, 479, 480, 481, 483, 489, 528, 540]",SNMN.tsv
do you,2,19,"[6, 8, 16, 18, 19, 20, 38, 57, 90, 109, 126, 133, 149, 223, 236, 246, 252, 256, 273, 283, 309, 362, 393, 395, 397, 399, 401, 405, 406, 415, 473, 474, 479, 528]",SNMN.tsv
just stand up front all,5,8,"[7, 8]",SNMN.tsv
just stand up,3,8,"[7, 8]",SNMN.tsv
all,1,8,"[7, 8, 65, 200, 242, 283, 286, 288, 290, 352, 353, 357, 386]",SNMN.tsv
up front,2,9,"[8, 9]",SNMN.tsv
what do,2,88,"[8, 88, 90, 149, 183, 203, 216, 225, 227, 236, 473, 528]",SNMN.tsv
what do you,3,90,"[8, 90, 149, 236, 473, 528]",SNMN.tsv
