Expression,Expression_length,Expression_established_position,Expression_uttered_position,file
years,1,3,"[0, 3, 49, 82, 104, 196, 571, 603]",S68E.tsv
be,1,9,"[0, 4, 9, 12, 15, 16, 27, 33, 35, 36, 37, 38, 44, 47, 49, 53, 59, 62, 66, 75, 82, 83, 84, 85, 86, 89, 96, 97, 103, 106, 110, 113, 114, 119, 136, 141, 143, 149, 158, 160, 170, 172, 176, 186, 192, 194, 196, 201, 202, 210, 212, 218, 222, 225, 228, 237, 238, 245, 246, 249, 253, 257, 259, 263, 271, 276, 280, 285, 292, 295, 299, 306, 308, 315, 329, 334, 335, 339, 341, 344, 347, 348, 349, 356, 357, 361, 379, 382, 383, 384, 386, 395, 398, 400, 401, 405, 407, 408, 409, 410, 415, 429, 430, 438, 443, 444, 449, 458, 460, 461, 462, 463, 467, 474, 485, 488, 489, 491, 492, 494, 495, 498, 506, 508, 526, 529, 537, 538, 539, 544, 545, 548, 549, 556, 561, 563, 566, 567, 569, 574, 580, 584, 586, 587, 591, 594, 596, 600, 601, 602, 603, 604, 606, 609, 615, 621, 629, 636, 640, 641, 643, 647, 649, 651, 657, 659, 660, 668, 672]",S68E.tsv
be years,2,603,"[0, 603]",S68E.tsv
might be,2,615,"[0, 467, 615]",S68E.tsv
yeah,1,5,"[2, 4, 5, 8, 10, 16, 17, 24, 29, 30, 32, 34, 39, 41, 42, 44, 47, 48, 50, 53, 54, 58, 62, 63, 64, 68, 74, 76, 77, 84, 86, 88, 89, 91, 92, 102, 110, 112, 113, 115, 118, 120, 122, 123, 128, 129, 133, 134, 141, 142, 154, 164, 167, 169, 170, 172, 175, 176, 178, 186, 187, 188, 189, 192, 193, 197, 200, 203, 207, 216, 218, 220, 227, 231, 237, 238, 247, 257, 263, 264, 267, 270, 271, 283, 285, 295, 296, 298, 300, 304, 306, 317, 323, 325, 329, 332, 336, 343, 346, 351, 355, 357, 358, 363, 365, 380, 384, 385, 386, 387, 390, 402, 404, 414, 422, 428, 431, 436, 437, 439, 444, 446, 447, 448, 453, 454, 457, 458, 462, 468, 471, 473, 476, 478, 479, 482, 485, 491, 492, 495, 497, 499, 504, 511, 514, 519, 521, 528, 530, 533, 537, 539, 542, 545, 549, 550, 555, 557, 558, 568, 571, 575, 576, 577, 581, 585, 594, 596, 597, 598, 603, 614, 616, 627, 628, 635, 639, 643, 661, 663, 665, 676]",S68E.tsv
erm,1,7,"[4, 7, 119, 180, 186, 196, 210, 259, 306, 315, 321, 340, 349, 379, 382, 430, 444, 491, 508, 529, 531, 533, 537, 549, 580, 636, 647, 661, 665]",S68E.tsv
you,1,18,"[4, 18, 29, 46, 49, 52, 57, 59, 62, 66, 107, 109, 110, 113, 114, 128, 130, 151, 155, 157, 158, 160, 170, 174, 176, 177, 180, 186, 191, 192, 196, 202, 203, 210, 212, 213, 225, 227, 234, 255, 260, 272, 283, 285, 292, 302, 306, 308, 313, 329, 331, 334, 363, 371, 375, 377, 382, 392, 400, 415, 428, 433, 477, 491, 492, 496, 498, 508, 510, 539, 549, 553, 561, 564, 566, 567, 574, 576, 584, 585, 594, 597, 607, 618, 620, 626, 629, 633, 637, 651, 676]",S68E.tsv
i,1,20,"[4, 19, 20, 23, 29, 32, 35, 37, 49, 50, 59, 62, 66, 79, 82, 84, 96, 97, 106, 114, 116, 125, 137, 139, 143, 144, 150, 153, 159, 172, 198, 212, 218, 225, 228, 230, 233, 234, 237, 240, 241, 242, 243, 250, 252, 253, 271, 274, 276, 292, 293, 294, 295, 306, 307, 310, 315, 316, 318, 326, 340, 347, 357, 360, 363, 364, 366, 368, 373, 374, 378, 379, 380, 382, 383, 384, 396, 397, 400, 401, 407, 409, 420, 421, 425, 429, 448, 458, 460, 462, 494, 496, 526, 531, 541, 549, 554, 556, 561, 562, 566, 574, 584, 586, 590, 594, 596, 605, 617, 621, 629, 632, 634, 636, 637, 638, 639, 641, 643, 645, 647, 656, 657, 660, 668, 674, 676]",S68E.tsv
say that,2,101,"[4, 49, 101, 170]",S68E.tsv
that,1,94,"[4, 44, 49, 66, 94, 101, 170, 178, 182, 192, 210, 221, 225, 245, 253, 255, 257, 259, 270, 271, 281, 284, 292, 293, 306, 314, 328, 329, 331, 333, 335, 338, 347, 358, 364, 380, 405, 418, 429, 475, 492, 516, 520, 529, 531, 541, 551, 561, 562, 564, 566, 569, 570, 571, 580, 590, 594, 600, 603, 606, 607, 612, 614, 636, 641, 645, 656, 657, 676]",S68E.tsv
yeah i remember,3,380,"[4, 380]",S68E.tsv
say,1,62,"[4, 47, 49, 62, 66, 101, 128, 170, 172, 180, 285, 306, 382, 384, 397, 407, 440, 491, 492, 494, 508, 547, 549, 561, 576, 580, 584, 586, 588, 590, 594, 668, 672]",S68E.tsv
be say,2,492,"[4, 492]",S68E.tsv
remember,1,119,"[4, 29, 119, 124, 132, 276, 287, 292, 366, 368, 379, 380, 382, 464, 567, 629, 636, 637]",S68E.tsv
mm yeah,2,8,"[5, 8, 29, 141, 237, 581]",S68E.tsv
mm,1,6,"[5, 6, 7, 8, 24, 25, 28, 29, 42, 43, 45, 60, 61, 65, 82, 88, 99, 101, 105, 126, 127, 141, 161, 172, 195, 199, 211, 226, 233, 237, 243, 244, 278, 288, 310, 312, 337, 362, 366, 367, 369, 381, 389, 393, 413, 416, 419, 423, 466, 469, 483, 484, 486, 501, 502, 503, 509, 515, 516, 519, 520, 524, 546, 570, 572, 581, 589, 599, 608, 610, 619, 628, 641, 675]",S68E.tsv
yeah yeah,2,439,"[17, 54, 120, 207, 227, 238, 336, 439, 479, 511, 576, 597]",S68E.tsv
even,1,19,"[7, 19, 53, 107, 119, 156, 170, 249, 285, 586, 588]",S68E.tsv
so,1,19,"[7, 18, 19, 35, 44, 49, 154, 170, 180, 182, 190, 191, 196, 198, 203, 210, 212, 225, 228, 257, 268, 271, 285, 292, 305, 308, 453, 491, 492, 494, 535, 537, 541, 543, 548, 553, 565, 567, 573, 582, 586, 594, 596, 632, 640, 661, 665, 670]",S68E.tsv
it,1,19,"[9, 11, 12, 14, 16, 19, 25, 27, 33, 35, 46, 47, 49, 51, 62, 66, 68, 72, 74, 76, 82, 83, 85, 89, 93, 95, 106, 110, 118, 172, 179, 186, 192, 210, 212, 246, 280, 285, 292, 294, 295, 299, 315, 321, 331, 332, 333, 341, 344, 347, 349, 356, 357, 359, 364, 368, 384, 386, 420, 429, 430, 448, 449, 458, 460, 477, 481, 488, 491, 492, 494, 495, 498, 504, 506, 531, 535, 539, 541, 544, 549, 552, 554, 558, 561, 563, 566, 582, 584, 586, 591, 597, 607, 615, 639, 640, 645, 651, 653, 660, 661, 662, 666, 670, 671, 673]",S68E.tsv
well,1,59,"[19, 57, 59, 66, 136, 160, 163, 167, 186, 202, 225, 233, 234, 295, 303, 306, 313, 329, 331, 335, 359, 373, 382, 400, 413, 449, 455, 470, 483, 490, 491, 492, 494, 506, 549, 553, 566, 571, 574, 576, 587, 590, 597, 621, 636, 657, 673, 674]",S68E.tsv
it so,2,535,"[19, 535]",S68E.tsv
for sale sign,3,23,"[7, 15, 23]",S68E.tsv
see,1,23,"[7, 21, 23, 50, 62, 107, 114, 127, 130, 139, 174, 370, 374, 382, 384, 407, 411, 428, 526, 558, 594, 607, 626, 632, 651, 674]",S68E.tsv
he realise,2,23,"[12, 23]",S68E.tsv
for sale,2,15,"[12, 15, 23]",S68E.tsv
he,1,23,"[11, 12, 14, 15, 16, 20, 23, 25, 89, 136, 138, 141, 143, 212, 215, 221, 222, 228, 231, 285, 286, 382, 383, 398, 403, 405, 430, 432, 444, 445, 447, 448, 491, 492, 493, 494, 532, 537, 539, 541, 543, 544, 548, 549, 553, 556, 558, 565, 567, 569, 580, 586, 587, 588, 590, 595, 602, 647, 649, 656, 661, 663, 667, 672]",S68E.tsv
now,1,23,"[14, 23, 119, 121, 127, 130, 158, 165, 170, 191, 291, 303, 340, 352, 354, 356, 370, 388, 432, 448, 455, 458, 491, 494, 521, 539, 552, 560, 561, 565, 583, 612]",S68E.tsv
if,1,23,"[18, 23, 49, 57, 186, 508, 539, 549, 597, 629]",S68E.tsv
i see,2,50,"[23, 50, 384, 407]",S68E.tsv
walk,1,23,"[21, 23, 52, 79, 491, 539, 596, 620, 647, 651]",S68E.tsv
for,1,15,"[7, 12, 15, 23, 49, 83, 93, 104, 107, 111, 112, 113, 114, 139, 156, 196, 212, 217, 241, 259, 271, 274, 291, 306, 308, 313, 329, 382, 398, 420, 472, 539, 543, 551, 586, 596, 629, 639, 665, 672]",S68E.tsv
now he,2,539,"[23, 539, 565]",S68E.tsv
if i,2,549,"[23, 549]",S68E.tsv
might,1,116,"[0, 23, 116, 467, 591, 595, 615]",S68E.tsv
a,1,26,"[12, 25, 26, 31, 44, 49, 62, 66, 67, 71, 76, 80, 82, 84, 87, 110, 111, 112, 113, 140, 157, 158, 159, 160, 170, 186, 192, 205, 210, 212, 243, 274, 285, 286, 306, 314, 316, 321, 331, 334, 354, 356, 360, 382, 407, 409, 410, 427, 430, 432, 433, 439, 440, 442, 448, 449, 452, 474, 477, 485, 491, 529, 543, 548, 559, 561, 562, 564, 567, 569, 591, 598, 602, 609, 613, 620, 636, 637, 639, 645, 661]",S68E.tsv
make,1,124,"[26, 49, 124, 241, 382, 536, 674]",S68E.tsv
the,1,29,"[7, 15, 18, 20, 21, 29, 31, 40, 46, 47, 49, 66, 79, 86, 89, 95, 96, 103, 107, 111, 112, 113, 114, 119, 121, 124, 156, 174, 177, 186, 192, 194, 196, 202, 203, 210, 212, 228, 241, 243, 245, 252, 253, 257, 259, 265, 266, 267, 269, 270, 271, 272, 277, 285, 288, 289, 291, 292, 294, 302, 303, 305, 306, 307, 308, 313, 315, 316, 318, 321, 323, 324, 328, 329, 331, 334, 335, 340, 349, 352, 353, 354, 356, 357, 359, 363, 364, 366, 368, 370, 374, 378, 379, 382, 383, 384, 401, 405, 407, 424, 428, 429, 430, 438, 442, 443, 444, 448, 453, 467, 470, 475, 477, 491, 492, 493, 494, 506, 508, 510, 514, 529, 531, 532, 537, 539, 543, 549, 552, 553, 558, 559, 562, 563, 567, 573, 574, 575, 579, 580, 583, 584, 586, 588, 590, 592, 593, 594, 596, 601, 602, 609, 636, 641, 643, 644, 645, 647, 651, 657, 661, 665, 670]",S68E.tsv
and,1,29,"[7, 12, 14, 25, 29, 31, 33, 35, 40, 47, 49, 51, 52, 62, 66, 82, 84, 86, 97, 127, 172, 176, 182, 184, 186, 192, 194, 198, 200, 210, 212, 215, 221, 225, 231, 232, 241, 243, 245, 253, 257, 259, 262, 265, 266, 267, 271, 277, 285, 286, 292, 294, 295, 303, 305, 306, 308, 315, 318, 321, 329, 332, 333, 334, 356, 358, 365, 368, 374, 379, 382, 384, 397, 400, 403, 405, 407, 435, 440, 442, 448, 475, 476, 477, 491, 492, 494, 496, 498, 506, 508, 510, 518, 531, 538, 539, 541, 547, 549, 551, 553, 565, 567, 569, 570, 571, 575, 576, 584, 586, 588, 590, 594, 596, 597, 602, 607, 629, 635, 643, 645, 647, 649, 657, 661, 674]",S68E.tsv
know,1,29,"[20, 29, 32, 59, 66, 79, 84, 125, 137, 143, 153, 170, 174, 176, 196, 198, 203, 210, 212, 227, 228, 230, 283, 306, 308, 310, 313, 326, 364, 366, 382, 383, 384, 396, 425, 428, 433, 448, 460, 477, 492, 493, 498, 508, 549, 556, 564, 567, 594, 605, 617, 620]",S68E.tsv
something,1,52,"[29, 52, 429, 498, 576, 633, 663, 665]",S68E.tsv
them,1,55,"[29, 55, 56, 57, 62, 75, 98, 116, 124, 127, 166, 231, 253, 291, 295, 303, 311, 382, 383, 384, 388, 474, 496, 510, 549, 578, 590, 594, 626]",S68E.tsv
yeah i,2,218,"[4, 29, 218, 237, 357, 380, 639]",S68E.tsv
i think,2,106,"[29, 35, 49, 106, 250, 294, 307, 340, 382, 384, 407, 531, 641, 660]",S68E.tsv
you know,2,59,"[29, 59, 66, 174, 176, 196, 203, 210, 212, 227, 306, 308, 313, 382, 428, 433, 477, 498, 508, 549, 564, 567]",S68E.tsv
they're,1,272,"[29, 35, 272, 441, 448, 450, 483, 505, 510, 512, 576, 577, 592, 593]",S68E.tsv
by the,2,491,"[29, 357, 491, 586]",S68E.tsv
because,1,241,"[29, 47, 176, 178, 192, 194, 196, 241, 285, 292, 355, 429, 467, 539, 541, 543, 549, 561, 565, 580, 586, 597, 629, 660]",S68E.tsv
because i,2,541,"[29, 429, 541, 586]",S68E.tsv
