Expression,Expression_length,Expression_established_position,Expression_uttered_position_speaker1,Expression_uttered_position_speaker2,file,speaker1,speaker2
yeah,1,17,"[0, 16, 40, 44, 84, 90, 96, 100, 104, 108, 112, 118, 120, 134, 144, 152, 154, 183, 187, 197, 205, 207, 233, 241, 247, 251, 269, 287, 293, 301, 319, 323]","[17, 37, 39, 57, 63, 65, 69, 71, 73, 77, 85, 87, 101, 109, 131, 137, 145, 151, 171, 175, 180, 182, 184, 190, 192, 218, 222, 224, 230, 232, 240, 250, 254, 264, 266, 276, 288, 290, 298, 316, 320, 322]",SKPX.tsv,S0037,S0115
it be,2,3,"[2, 58, 60, 62, 112, 130, 134, 136, 191, 195]","[3, 19, 59, 246, 250]",SKPX.tsv,S0037,S0115
cardiff,1,5,[2],"[5, 135, 143, 145, 147]",SKPX.tsv,S0037,S0115
i think,2,7,"[2, 54, 168, 239, 243, 253, 275, 325]","[7, 19, 39, 47, 49, 73, 121, 151, 163, 173, 288, 310, 314, 316]",SKPX.tsv,S0037,S0115
think,1,7,"[2, 54, 70, 122, 124, 140, 168, 239, 243, 253, 275, 325, 327]","[7, 19, 39, 47, 49, 73, 121, 151, 153, 163, 173, 310, 314, 316, 288]",SKPX.tsv,S0037,S0115
em,1,17,"[2, 62, 70, 84, 176, 229, 261, 269, 277]","[17, 53, 79, 113, 115, 125, 133, 143, 151, 155, 161, 196, 212, 234, 240, 250, 260, 266, 284, 288, 298, 304, 324, 326, 330, 332, 336]",SKPX.tsv,S0037,S0115
it be i think,4,19,[2],[19],SKPX.tsv,S0037,S0115
be like,2,19,"[2, 24, 40, 68, 84, 86, 130, 191, 195]","[19, 173, 294]",SKPX.tsv,S0037,S0115
like,1,19,"[2, 4, 6, 12, 16, 24, 40, 46, 54, 62, 64, 66, 68, 70, 72, 76, 84, 86, 94, 100, 106, 122, 124, 126, 130, 140, 146, 148, 150, 154, 160, 168, 172, 174, 176, 179, 181, 185, 187, 189, 191, 193, 195, 203, 219, 221, 223, 225, 229, 239, 245, 253, 255, 257, 267, 269, 271, 273, 275, 277, 289, 291, 313, 323, 325]","[19, 53, 59, 81, 83, 101, 103, 105, 127, 173, 177, 182, 184, 186, 188, 206, 214, 224, 228, 262, 294, 316]",SKPX.tsv,S0037,S0115
i don't know,3,23,"[2, 4, 14, 50, 60, 102, 271, 275, 309, 329]","[23, 141, 157, 161, 171, 210, 266, 306, 308, 332]",SKPX.tsv,S0037,S0115
know,1,27,"[2, 4, 14, 50, 60, 62, 70, 102, 126, 172, 189, 195, 217, 219, 225, 257, 271, 275, 281, 309, 325, 329]","[27, 59, 89, 127, 155, 182, 196, 204, 242, 246, 318, 111, 141, 157, 161, 171, 210, 306, 308, 332, 266]",SKPX.tsv,S0037,S0115
win,1,39,"[2, 267]","[39, 49, 268]",SKPX.tsv,S0037,S0115
but i,2,47,"[2, 62, 84, 271]","[47, 49, 173]",SKPX.tsv,S0037,S0115
have a,2,79,"[2, 285, 287]","[79, 93, 159]",SKPX.tsv,S0037,S0115
really,1,101,"[2, 88, 130, 245]","[101, 121, 155, 171, 133]",SKPX.tsv,S0037,S0115
don't know eh,3,111,[2],[111],SKPX.tsv,S0037,S0115
i don't,2,111,"[2, 4, 14, 50, 60, 102, 140, 271, 275, 309, 329]","[111, 157, 250, 141, 161, 171, 210, 266, 306, 308, 332]",SKPX.tsv,S0037,S0115
i be,2,115,"[2, 54, 62]",[115],SKPX.tsv,S0037,S0115
eh i think,3,121,[2],[121],SKPX.tsv,S0037,S0115
be just,2,133,[2],[133],SKPX.tsv,S0037,S0115
a really,2,133,[2],[133],SKPX.tsv,S0037,S0115
team,1,143,[2],"[143, 159]",SKPX.tsv,S0037,S0115
they have,2,151,"[2, 62, 221]","[151, 182, 222]",SKPX.tsv,S0037,S0115
put,1,153,"[2, 54, 62, 66]",[153],SKPX.tsv,S0037,S0115
and they,2,214,"[2, 62]",[214],SKPX.tsv,S0037,S0115
good,1,240,"[2, 183]",[240],SKPX.tsv,S0037,S0115
eh i,2,250,[2],[250],SKPX.tsv,S0037,S0115
think he,2,288,[2],[288],SKPX.tsv,S0037,S0115
he just,2,288,[2],[288],SKPX.tsv,S0037,S0115
