Expression,Expression_length,Expression_established_position,Expression_uttered_position_speaker1,Expression_uttered_position_speaker2,file,speaker1,speaker2
okay,1,13,"[0, 124, 153, 167, 195, 207, 297, 301, 303, 330, 356, 454, 458, 502, 542, 550, 591, 627, 653, 845]","[13, 38, 58, 194, 704, 190, 230]",SP4L.tsv,S0320,S0322
go,1,23,"[0, 6, 14, 30, 31, 33, 39, 47, 53, 55, 57, 63, 75, 77, 81, 87, 93, 97, 105, 115, 124, 165, 187, 193, 244, 262, 264, 285, 352, 410, 420, 475, 490, 500, 502, 504, 538, 621, 641, 662, 664, 703, 808, 823, 827, 849]","[23, 98, 125, 144, 146, 147, 154, 160, 170, 172, 186, 218, 261, 304, 319, 325, 339, 355, 395, 440, 453, 457, 469, 622, 672, 678, 737, 798, 810, 190, 646, 286]",SP4L.tsv,S0320,S0322
be to,2,149,"[0, 148, 408, 410, 695]","[149, 152, 158]",SP4L.tsv,S0320,S0322
to go,2,154,"[0, 6, 55, 93, 124, 244, 490, 500]","[154, 170, 190, 286, 646]",SP4L.tsv,S0320,S0322
okay so,2,190,"[0, 124, 502]","[190, 230]",SP4L.tsv,S0320,S0322
we're,1,438,"[0, 6, 14, 55, 57, 77, 81, 97, 113, 637]",[438],SP4L.tsv,S0320,S0322
i think,2,72,"[2, 8, 10, 28, 35, 39, 53, 93, 97, 99, 109, 366, 398, 488, 595, 719, 802, 817]","[72, 118, 120, 162, 200, 363, 369, 391, 397, 440, 467, 469, 478, 480, 499, 549, 606, 652, 755, 758, 770, 778, 800]",SP4L.tsv,S0320,S0322
gonna,1,98,"[2, 10, 14, 53, 57, 77, 81, 97, 113, 141, 165, 183, 285, 372, 470, 637, 781]","[98, 144, 160, 176, 270, 578, 663, 692, 722, 156]",SP4L.tsv,S0320,S0322
think,1,128,"[2, 8, 10, 28, 35, 39, 53, 93, 97, 99, 109, 177, 366, 398, 470, 488, 490, 554, 595, 597, 719, 802, 817]","[128, 154, 333, 361, 369, 549, 692, 770, 162, 200, 363, 391, 397, 440, 467, 469, 478, 480, 499, 606, 652, 755, 758, 778, 800]",SP4L.tsv,S0320,S0322
gonna be,2,156,"[2, 10, 77, 470]","[156, 722]",SP4L.tsv,S0320,S0322
be in,2,284,"[2, 427, 436, 530]","[284, 437, 533, 737]",SP4L.tsv,S0320,S0322
house,1,648,"[4, 575, 581, 585, 587, 657, 658]",[648],SP4L.tsv,S0320,S0322
go to,2,144,"[6, 30, 31, 47, 55, 57, 77, 87, 124, 262, 264, 490, 500, 621, 703]","[144, 147, 170, 186, 286, 339, 440, 678, 737, 810]",SP4L.tsv,S0320,S0322
i think it's,3,120,"[8, 10, 39, 398]","[120, 755, 800]",SP4L.tsv,S0320,S0322
think it's,2,692,"[8, 10, 39, 398]",[692],SP4L.tsv,S0320,S0322
quite,1,10,"[10, 53, 77, 97, 107, 221, 785, 813, 849]","[7, 38, 42, 52, 118, 168, 182, 407, 465, 628, 648, 778, 850]",SP4L.tsv,S0320,S0322
like,1,50,"[10, 14, 41, 93, 109, 251, 305, 309, 311, 574, 715, 789, 855]","[50, 72, 152, 162, 166, 168, 170, 231, 249, 252, 261, 278, 298, 319, 331, 339, 357, 363, 428, 495, 549, 553, 573, 608, 622, 628, 630, 646, 650, 672, 678, 680, 731, 737, 739, 741, 814, 818]",SP4L.tsv,S0320,S0322
be quite,2,118,"[10, 53, 97, 107]","[118, 778]",SP4L.tsv,S0320,S0322
have a,2,357,"[10, 28, 39, 141, 185, 352, 412, 637]","[357, 467]",SP4L.tsv,S0320,S0322
it's gonna be,3,722,[10],[722],SP4L.tsv,S0320,S0322
have be,2,790,[10],[790],SP4L.tsv,S0320,S0322
get,1,86,"[12, 24, 31, 53, 63, 113, 623, 668, 763, 785]","[86, 168, 226, 267, 302, 343, 478, 616]",SP4L.tsv,S0320,S0322
i've,1,144,"[12, 148, 408, 574, 703]","[144, 149, 152, 166, 186, 735, 741, 343]",SP4L.tsv,S0320,S0322
and my,2,149,[12],"[149, 150]",SP4L.tsv,S0320,S0322
mum,1,149,"[12, 95, 334]","[149, 168, 335, 381]",SP4L.tsv,S0320,S0322
one,1,158,"[12, 410, 441, 475, 477]","[158, 249, 280, 491, 814]",SP4L.tsv,S0320,S0322
find,1,268,"[12, 57, 117]","[268, 270, 405, 444, 446, 491]",SP4L.tsv,S0320,S0322
i've get,2,343,[12],[343],SP4L.tsv,S0320,S0322
