Expression,Expression_length,Expression_established_position,Expression_uttered_position_speaker1,Expression_uttered_position_speaker2,file,speaker1,speaker2
on the,2,24,"[2, 62]","[24, 57, 211, 218]",SW4Z.tsv,S0588,S0589
what's,1,31,"[2, 54, 261]","[31, 35, 201, 303]",SW4Z.tsv,S0588,S0589
no this be,3,144,[2],[144],SW4Z.tsv,S0588,S0589
i'm,1,179,"[2, 14, 44, 60, 162, 225, 287, 310]","[179, 230, 236, 307]",SW4Z.tsv,S0588,S0589
go,1,319,"[2, 6, 18, 170, 255, 275, 277, 287, 293, 295, 310]",[319],SW4Z.tsv,S0588,S0589
write,1,4,[4],[3],SW4Z.tsv,S0588,S0589
use,1,31,"[4, 118, 275]","[31, 117, 270]",SW4Z.tsv,S0588,S0589
about the,2,81,[4],[81],SW4Z.tsv,S0588,S0589
i've,1,123,"[4, 204]","[123, 246]",SW4Z.tsv,S0588,S0589
see,1,123,"[4, 68, 74, 227]","[123, 157, 167, 205]",SW4Z.tsv,S0588,S0589
sort of,2,152,"[4, 62, 215, 233, 275]","[152, 232, 234]",SW4Z.tsv,S0588,S0589
read,1,292,"[4, 291]",[292],SW4Z.tsv,S0588,S0589
get,1,9,"[6, 18, 30, 44, 82, 106, 139, 151, 160, 168, 176, 204, 225, 291, 308]","[9, 13, 55, 69, 105, 109, 138, 140, 142, 179, 246, 270, 309, 222, 224]",SW4Z.tsv,S0588,S0589
think,1,39,"[6, 18, 56, 60, 82, 106, 192, 259, 273, 291, 298, 314]","[39, 179, 224, 268]",SW4Z.tsv,S0588,S0589
yeah,1,51,"[6, 14, 18, 30, 34, 42, 66, 76, 84, 92, 102, 104, 112, 122, 124, 137, 145, 170, 172, 190, 192, 194, 196, 200, 215, 217, 233, 241, 251, 253, 289, 293]","[51, 97, 161, 171, 177, 189, 234, 250, 294, 207]",SW4Z.tsv,S0588,S0589
well,1,61,"[6, 10, 12, 18, 54, 68, 74, 78, 98, 139, 202, 277]","[61, 157, 205, 224, 272, 297, 303, 315]",SW4Z.tsv,S0588,S0589
cos,1,69,"[6, 38, 68, 151, 204, 259, 273, 291, 306]","[69, 167, 189, 234, 207]",SW4Z.tsv,S0588,S0589
difference,1,85,[6],[85],SW4Z.tsv,S0588,S0589
i just,2,93,[6],"[93, 127]",SW4Z.tsv,S0588,S0589
but i,2,109,"[6, 60, 102, 204, 223, 275, 291]",[109],SW4Z.tsv,S0588,S0589
people,1,115,"[6, 16, 18, 30, 204, 215]","[115, 153, 211, 278]",SW4Z.tsv,S0588,S0589
else,1,125,"[6, 84]","[125, 228]",SW4Z.tsv,S0588,S0589
make,1,152,"[6, 30, 215, 296]","[152, 228, 232]",SW4Z.tsv,S0588,S0589
one,1,201,"[6, 18, 50, 92, 196, 245]","[201, 234]",SW4Z.tsv,S0588,S0589
yeah cos,2,207,[6],[207],SW4Z.tsv,S0588,S0589
you get,2,222,"[6, 106, 291]","[222, 224]",SW4Z.tsv,S0588,S0589
do a,2,228,"[6, 196, 233]",[228],SW4Z.tsv,S0588,S0589
might be a,3,315,[6],[315],SW4Z.tsv,S0588,S0589
be it,2,37,"[8, 58, 122, 151, 235]","[37, 119, 252]",SW4Z.tsv,S0588,S0589
quite,1,211,"[10, 60, 120, 204, 312]","[211, 297]",SW4Z.tsv,S0588,S0589
really,1,109,"[12, 30, 100, 168, 176, 215, 279]","[109, 193, 222]",SW4Z.tsv,S0588,S0589
yes,1,14,"[14, 64, 100, 114, 132, 139, 141, 215, 320]","[9, 11, 47, 53, 95, 135, 232]",SW4Z.tsv,S0588,S0589
can't,1,81,"[14, 68, 194, 223, 275]",[81],SW4Z.tsv,S0588,S0589
of their,2,250,[14],[250],SW4Z.tsv,S0588,S0589
build,1,31,"[16, 50, 64, 72, 74]","[31, 71, 207, 216]",SW4Z.tsv,S0588,S0589
can you,2,85,[16],[85],SW4Z.tsv,S0588,S0589
lot,1,266,"[16, 139]",[266],SW4Z.tsv,S0588,S0589
in it,2,18,"[18, 314]","[9, 142]",SW4Z.tsv,S0588,S0589
anyway,1,31,"[18, 72, 98, 194]",[31],SW4Z.tsv,S0588,S0589
be the,2,33,"[18, 54, 72]",[33],SW4Z.tsv,S0588,S0589
there's,1,39,"[18, 180, 184, 198, 213, 255, 295, 312, 314]","[39, 75, 77, 101, 187]",SW4Z.tsv,S0588,S0589
they're,1,69,"[18, 44, 50, 52, 100, 206]",[69],SW4Z.tsv,S0588,S0589
that's,1,81,"[18, 48, 52, 68, 82, 118, 143, 154, 156, 229, 247, 285, 293]","[81, 157, 169, 171, 212, 230, 254]",SW4Z.tsv,S0588,S0589
but the,2,144,[18],"[144, 230, 232]",SW4Z.tsv,S0588,S0589
another,1,214,"[18, 143, 198]",[214],SW4Z.tsv,S0588,S0589
so so,2,230,[18],[230],SW4Z.tsv,S0588,S0589
can i have,3,27,[27],"[21, 24]",SW4Z.tsv,S0588,S0589
i have a,3,111,[27],[111],SW4Z.tsv,S0588,S0589
have a,2,140,"[27, 50, 132, 241, 310]",[140],SW4Z.tsv,S0588,S0589
tea,1,148,"[27, 149]",[148],SW4Z.tsv,S0588,S0589
i have,2,234,"[27, 178, 239, 241, 273, 275]","[234, 288]",SW4Z.tsv,S0588,S0589
thank,1,29,"[28, 74, 172, 310]","[29, 152, 155]",SW4Z.tsv,S0588,S0589
