Expression,Expression_length,Expression_established_position,Expression_uttered_position_speaker1,Expression_uttered_position_speaker2,file,speaker1,speaker2
i didn't,2,1,"[0, 265]",[1],SZYV.tsv,S0432,S0428
really,1,11,"[0, 66, 92, 113, 117, 154, 192, 194, 196, 204, 225, 265, 286, 300]","[11, 17, 110, 118, 149, 164, 176, 190, 201, 206, 220, 228, 274, 280, 291]",SZYV.tsv,S0432,S0428
like,1,11,"[0, 4, 6, 8, 10, 23, 44, 46, 52, 54, 64, 66, 72, 74, 75, 80, 84, 86, 92, 94, 96, 113, 115, 117, 119, 121, 123, 125, 127, 131, 135, 154, 155, 167, 169, 171, 175, 177, 181, 187, 189, 192, 194, 196, 198, 200, 204, 213, 215, 217, 247, 249, 251, 255, 257, 259, 261, 282, 286, 290, 292, 294, 296, 299, 300, 302]","[11, 33, 39, 57, 76, 106, 112, 118, 130, 148, 158, 164, 170, 174, 180, 186, 188, 190, 201, 206, 208, 214, 224, 228, 232, 234, 238, 240, 242, 244, 248, 250, 256, 260, 266, 268, 270, 272, 274, 276, 278, 280, 285, 287, 230]",SZYV.tsv,S0432,S0428
know,1,20,"[0, 8, 36, 94, 113, 117, 119, 129, 135, 167, 169, 171, 204, 213, 263, 288, 299]","[20, 170, 184, 220, 226, 230, 240]",SZYV.tsv,S0432,S0428
like oh,2,118,"[0, 66, 261]","[118, 230, 278]",SZYV.tsv,S0432,S0428
to say,2,164,"[0, 48]",[164],SZYV.tsv,S0432,S0428
so i,2,164,"[0, 117, 137, 259, 282]",[164],SZYV.tsv,S0432,S0428
i don't,2,170,"[0, 8, 117, 119, 121, 129, 167, 169, 171, 204, 213, 217, 249, 251, 281, 288, 299]","[170, 220, 226, 230, 254, 256, 274]",SZYV.tsv,S0432,S0428
say,1,190,"[0, 10, 48, 109, 115, 123, 141, 204, 207, 215, 286]",[190],SZYV.tsv,S0432,S0428
a bite like,3,206,"[0, 154]",[206],SZYV.tsv,S0432,S0428
bite,1,206,"[0, 94, 100, 115, 154, 192, 200, 219]","[206, 287, 246]",SZYV.tsv,S0432,S0428
be a,2,214,"[0, 100, 154, 200, 204]","[214, 266]",SZYV.tsv,S0432,S0428
i be,2,230,"[0, 111, 204, 259, 281, 294]","[230, 234]",SZYV.tsv,S0432,S0428
stuff,1,230,"[0, 115, 302]","[230, 254]",SZYV.tsv,S0432,S0428
a bite,2,246,"[0, 100, 154, 219]",[246],SZYV.tsv,S0432,S0428
a lot,2,254,"[0, 125, 196, 204]",[254],SZYV.tsv,S0432,S0428
yeah,1,5,"[2, 4, 14, 32, 40, 46, 58, 62, 64, 77, 88, 90, 92, 98, 100, 107, 111, 113, 115, 125, 127, 131, 133, 137, 139, 157, 163, 169, 171, 173, 175, 177, 181, 183, 187, 189, 192, 202, 204, 207, 211, 213, 215, 221, 223, 225, 235, 241, 243, 245, 247, 249, 251, 253, 255, 261, 267, 271, 273, 275, 277, 281, 284, 286, 296, 299, 302, 304]","[5, 9, 18, 29, 35, 39, 55, 76, 81, 93, 95, 101, 106, 108, 118, 120, 124, 126, 128, 130, 132, 136, 140, 142, 149, 151, 153, 156, 158, 160, 166, 172, 174, 176, 191, 197, 199, 212, 214, 216, 220, 222, 224, 226, 228, 230, 234, 236, 238, 248, 250, 254, 258, 260, 283, 285, 295, 303, 266]",SZYV.tsv,S0432,S0428
must be,2,7,[2],[7],SZYV.tsv,S0432,S0428
stand,1,11,[2],[11],SZYV.tsv,S0432,S0428
kind of,2,37,"[2, 4, 94, 121, 135, 169, 257, 263, 294]","[37, 246]",SZYV.tsv,S0432,S0428
be the,2,126,"[2, 70, 113, 171]","[126, 170, 262]",SZYV.tsv,S0432,S0428
the the,2,260,"[2, 175]",[260],SZYV.tsv,S0432,S0428
yeah that,2,266,"[2, 245, 247]",[266],SZYV.tsv,S0432,S0428
print,1,4,[4],[1],SZYV.tsv,S0432,S0428
