Expression,Expression_length,Expression_established_position,Expression_uttered_position_speaker1,Expression_uttered_position_speaker2,file,speaker1,speaker2
a few,2,86,"[0, 2, 36, 161]","[86, 94, 96, 159, 167]",S7S2.tsv,S0208,S0202
ago,1,86,"[0, 2]","[86, 167]",S7S2.tsv,S0208,S0202
yeah,1,5,"[2, 26, 73, 87, 89, 91, 95, 101, 119, 137, 139, 160, 163, 174, 187, 190, 192, 196, 206, 215, 226, 240, 244, 246, 254, 283]","[5, 9, 11, 13, 19, 21, 23, 27, 29, 31, 33, 37, 39, 45, 47, 61, 71, 82, 94, 106, 108, 112, 116, 130, 132, 134, 140, 144, 182, 184, 218, 227, 235, 237, 241, 251, 253, 279, 281]",S7S2.tsv,S0208,S0202
there be,2,51,"[2, 36, 52, 56, 62]","[51, 90, 86]",S7S2.tsv,S0208,S0202
be a,2,84,"[2, 50, 81, 101, 107, 135, 181]","[84, 86, 88]",S7S2.tsv,S0208,S0202
there be a,3,86,[2],[86],S7S2.tsv,S0208,S0202
know,1,86,"[2, 18, 24, 28, 36, 40, 50, 73, 101, 105, 125, 141, 248, 262]","[86, 96, 110, 140, 144, 162, 166]",S7S2.tsv,S0208,S0202
girl,1,94,"[2, 185]","[94, 96]",S7S2.tsv,S0208,S0202
call,1,138,"[2, 64]","[138, 140]",S7S2.tsv,S0208,S0202
i know,2,144,"[2, 73, 101, 141, 248, 262]",[144],S7S2.tsv,S0208,S0202
live,1,149,"[2, 4, 28, 50, 62, 73, 81, 113, 219]",[149],S7S2.tsv,S0208,S0202
move here,2,29,"[4, 113]","[29, 51]",S7S2.tsv,S0208,S0202
and erm,2,84,"[4, 6, 73]","[84, 86, 94, 166]",S7S2.tsv,S0208,S0202
remember,1,84,"[4, 58, 62, 73, 99, 223]","[84, 98, 96]",S7S2.tsv,S0208,S0202
village,1,84,[4],[84],S7S2.tsv,S0208,S0202
