Expression,Expression_length,Expression_established_position,Expression_uttered_position_speaker1,Expression_uttered_position_speaker2,file,speaker1,speaker2
i be,2,1,"[0, 23, 55, 67, 73, 83, 87, 177, 272, 274, 284, 499, 503, 582]","[1, 211, 223, 306, 310, 330, 455, 657, 477, 603]",SYX3.tsv,S0282,S0646
go to,2,1,"[0, 45, 56, 67, 87, 179, 185, 280, 358, 366, 507, 588]","[1, 16, 146, 514, 657, 661, 80]",SYX3.tsv,S0282,S0646
be that,2,1,"[0, 27, 43, 56, 83, 121, 186, 278, 503, 550]","[1, 34, 84, 140, 239, 243, 253, 300, 316, 318, 455, 571, 599, 601, 631]",SYX3.tsv,S0282,S0646
and er,2,1,"[0, 23]","[1, 16, 52, 60, 168, 300, 667]",SYX3.tsv,S0282,S0646
go,1,1,"[0, 4, 45, 56, 67, 71, 73, 87, 91, 95, 179, 183, 185, 186, 280, 286, 293, 303, 358, 366, 382, 396, 442, 447, 451, 503, 507, 544, 548, 556, 588, 648, 652]","[1, 16, 52, 60, 64, 140, 146, 191, 211, 213, 217, 223, 227, 245, 306, 310, 332, 348, 490, 514, 522, 605, 635, 657, 661, 669, 80]",SYX3.tsv,S0282,S0646
cancers,1,1,"[0, 121, 542]","[1, 62, 140, 142, 168, 225, 269, 318]",SYX3.tsv,S0282,S0646
use,1,1,"[0, 7, 19, 23, 56, 57, 177]","[1, 3, 8, 12, 48, 269]",SYX3.tsv,S0282,S0646
well,1,1,"[0, 7, 13, 19, 31, 33, 49, 53, 55, 57, 73, 81, 83, 85, 87, 91, 95, 159, 175, 177, 179, 258, 272, 284, 293, 347, 353, 368, 382, 396, 412, 478, 503, 507, 538, 542, 568, 582, 638]","[1, 50, 58, 74, 82, 114, 191, 201, 209, 211, 213, 215, 223, 239, 269, 298, 304, 310, 330, 332, 409, 459, 526, 545, 555, 635, 653, 657, 663, 10, 235]",SYX3.tsv,S0282,S0646
obviously,1,1,"[0, 280, 293, 447, 495]","[1, 164, 269, 619]",SYX3.tsv,S0282,S0646
people,1,1,"[0, 43, 49, 57, 71, 91, 95, 107, 109, 127, 185, 503, 542, 548, 576]","[1, 16, 30, 40, 136, 166, 168, 172, 174, 205, 271, 298, 328, 452, 453, 459, 461, 463, 465, 490, 512, 518, 559]",SYX3.tsv,S0282,S0646
thing,1,1,"[0, 43, 45, 83, 179, 503, 505, 507, 531, 542, 576]","[1, 34, 80, 104, 140, 146, 150, 217, 241, 300, 306, 316, 326, 328, 524, 526, 573, 659, 227]",SYX3.tsv,S0282,S0646
like,1,1,"[0, 23, 43, 55, 56, 81, 91, 95, 109, 127, 183, 280, 293, 353, 394, 418, 542, 576, 652]","[1, 34, 50, 144, 205, 207, 241, 263, 338, 342, 423, 452, 459, 469, 475, 526, 659, 12, 465]",SYX3.tsv,S0282,S0646
actually,1,1,"[0, 19, 23, 27, 45, 67, 83, 87, 109, 179, 278, 284, 354, 358, 384, 386, 396, 408, 438, 479, 507, 542, 544, 548, 576, 582, 592, 648, 652]","[1, 8, 100, 106, 189, 195, 217, 229, 318, 338, 371, 391, 455, 467, 581, 623, 631, 641, 657, 659, 661, 10, 38, 207]",SYX3.tsv,S0282,S0646
of the,2,3,"[0, 83, 87, 121, 179, 353, 356, 358, 362, 536, 542, 568, 576, 582]","[3, 10, 50, 74, 106, 176, 191, 217, 227, 253, 261, 314, 324, 469, 477, 488, 526, 599, 601, 619, 631]",SYX3.tsv,S0282,S0646
to use,2,3,"[0, 177]",[3],SYX3.tsv,S0282,S0646
and and,2,3,"[0, 73, 125, 177, 179, 276, 284, 445, 503, 505, 542]","[3, 78, 90, 140, 176, 191, 217, 316, 322, 463, 467, 617, 619, 661]",SYX3.tsv,S0282,S0646
that's,1,3,"[0, 7, 45, 55, 71, 73, 83, 87, 157, 284, 333, 341, 354, 462, 503, 531, 538, 568]","[3, 16, 52, 54, 64, 66, 122, 132, 150, 170, 207, 259, 261, 298, 302, 330, 338, 340, 639, 657, 663]",SYX3.tsv,S0282,S0646
think,1,3,"[0, 6, 19, 31, 33, 45, 67, 71, 73, 83, 87, 95, 107, 179, 183, 185, 186, 266, 272, 274, 278, 280, 284, 292, 293, 295, 358, 362, 364, 382, 406, 497, 499, 501, 503, 505, 507, 509, 568, 574, 576, 584]","[3, 28, 74, 80, 114, 277, 310, 375, 635, 657, 10, 58, 132, 166, 213, 227, 257, 261, 263, 269, 300, 306, 316, 328, 463, 486, 512, 518, 559, 569, 573, 619, 621, 661, 669, 209]",SYX3.tsv,S0282,S0646
