Expression,Expression_length,Expression_established_position,Expression_uttered_position_speaker1,Expression_uttered_position_speaker2,file,speaker1,speaker2
cos,1,3,"[0, 51, 64, 88, 152, 154, 166, 322, 435, 710]","[3, 26, 54, 167, 224, 256, 300, 518, 594, 721]",SRCD.tsv,S0588,S0589
things,1,16,"[0, 15, 45, 154, 168, 295]","[16, 167]",SRCD.tsv,S0588,S0589
like,1,20,"[0, 9, 25, 29, 51, 86, 126, 128, 146, 157, 186, 204, 210, 295, 313, 402, 428, 439, 490, 519, 551, 569, 579, 647, 654, 660, 710, 753]","[20, 56, 73, 77, 123, 125, 173, 189, 205, 211, 217, 280, 311, 323, 327, 372, 415, 427, 479, 608, 642, 648]",SRCD.tsv,S0588,S0589
beer,1,22,"[0, 138, 545]","[22, 38, 99, 376, 602, 743]",SRCD.tsv,S0588,S0589
take,1,26,"[0, 27, 595, 658, 792]","[26, 65, 137, 222, 436]",SRCD.tsv,S0588,S0589
that's,1,81,"[0, 15, 27, 29, 31, 64, 86, 114, 116, 132, 138, 196, 210, 257, 275, 305, 322, 324, 331, 420, 435, 488, 519, 543, 551, 581, 637, 759]","[81, 85, 87, 211, 309, 318, 343, 403, 464, 485, 494, 498, 518, 520, 522, 534, 560, 592, 594, 614, 620, 635, 675, 723, 731, 733, 552]",SRCD.tsv,S0588,S0589
ask,1,155,"[0, 122, 695]",[155],SRCD.tsv,S0588,S0589
than water,2,167,[0],[167],SRCD.tsv,S0588,S0589
there be,2,205,"[0, 72, 168, 366, 424, 426, 637]","[205, 671, 685, 240]",SRCD.tsv,S0588,S0589
be that,2,209,"[0, 43, 51, 157, 263, 308, 331, 377, 406, 468, 615]","[209, 226, 309, 496, 540, 612]",SRCD.tsv,S0588,S0589
but there be,3,240,"[0, 424]",[240],SRCD.tsv,S0588,S0589
water,1,337,[0],"[337, 827]",SRCD.tsv,S0588,S0589
drink,1,351,[0],[351],SRCD.tsv,S0588,S0589
that's why,2,552,"[0, 86]",[552],SRCD.tsv,S0588,S0589
notice,1,817,"[0, 463]",[817],SRCD.tsv,S0588,S0589
