Expression,Expression_length,Expression_established_position,Expression_uttered_position_speaker1,Expression_uttered_position_speaker2,file,speaker1,speaker2
get,1,30,"[0, 23, 32, 128, 159, 163, 200, 201, 205, 296, 298, 316, 341]","[30, 42, 89, 99, 129, 131, 133, 135, 141, 148, 150, 160, 166, 168, 170, 176, 181, 202, 206, 208, 275, 350, 41]",SDB6.tsv,S0144,S0024
get to,2,41,[0],[41],SDB6.tsv,S0144,S0024
i've,1,235,"[0, 201, 224, 341]","[235, 237]",SDB6.tsv,S0144,S0024
have to,2,12,"[2, 80, 134]","[12, 198]",SDB6.tsv,S0144,S0024
bite,1,41,"[2, 294]","[41, 67, 198, 287]",SDB6.tsv,S0144,S0024
on the,2,172,"[2, 288]",[172],SDB6.tsv,S0144,S0024
i have to,3,198,[2],[198],SDB6.tsv,S0144,S0024
go,1,7,"[6, 23, 116, 228, 242, 294, 312]","[7, 8, 119, 198, 219, 225, 323, 331]",SDB6.tsv,S0144,S0024
everyone,1,7,"[6, 296]",[7],SDB6.tsv,S0144,S0024
quiet,1,12,[6],[12],SDB6.tsv,S0144,S0024
know,1,85,"[6, 72, 80, 94, 102, 124, 203, 211, 265, 286, 308, 324, 343, 353]","[85, 129, 144, 168, 178, 254, 325, 185, 322]",SDB6.tsv,S0144,S0024
i know,2,185,"[6, 72, 203, 265, 324]","[185, 322]",SDB6.tsv,S0144,S0024
yeah,1,18,"[11, 15, 38, 40, 43, 45, 51, 66, 70, 98, 108, 120, 140, 143, 147, 149, 151, 153, 155, 171, 173, 182, 191, 193, 216, 218, 220, 222, 224, 232, 234, 236, 239, 244, 265, 308, 330, 332, 335, 341, 347]","[18, 26, 30, 46, 48, 53, 57, 61, 71, 79, 83, 93, 103, 113, 115, 121, 137, 139, 148, 162, 183, 185, 189, 198, 208, 210, 235, 238, 252, 256, 258, 287, 289, 297, 309, 311, 313, 338, 350]",SDB6.tsv,S0144,S0024
new year,2,17,"[17, 36]","[13, 131]",SDB6.tsv,S0144,S0024
though,1,24,"[17, 212]",[24],SDB6.tsv,S0144,S0024
chinese,1,30,[17],[30],SDB6.tsv,S0144,S0024
well,1,31,"[17, 32, 68, 74, 116, 130, 143, 184, 193, 199, 203, 209, 212, 246, 284, 288, 341]","[31, 35, 69, 85, 117, 131, 150, 160, 174, 213, 223, 148]",SDB6.tsv,S0144,S0024
