Expression,Expression_length,Expression_established_position,Expression_uttered_position,file
the word,2,21,"[0, 21]",SXAZ.tsv
be,1,21,"[0, 3, 7, 21, 34, 37, 42, 43, 46, 48, 50, 61, 68, 69, 70, 71, 75, 76, 89, 94, 95, 99, 101, 116, 120, 121, 128, 132, 144, 149, 157, 159, 173, 174, 176, 177, 185, 191, 195, 201, 202, 204, 213, 220, 224, 226, 233, 235, 237, 241, 245, 248, 255, 260, 266, 269, 271, 272, 273, 274, 276, 290, 294, 299, 301, 312, 313, 319, 320, 322, 331, 333, 334, 336, 337, 339, 341, 343, 356, 360, 361, 368, 371, 375, 386, 394, 395, 398, 400, 409, 410, 411, 417, 422, 424, 428, 432, 434, 438, 443, 448, 450, 456, 461, 474, 475, 499, 501, 504, 506, 509, 510, 531, 536, 538, 543, 547, 550, 551, 552, 559, 570, 572, 579, 581, 589, 591, 602, 613, 623, 636, 638, 643, 654, 655, 680, 681, 687, 695, 699, 701, 703, 705, 707, 709, 711, 712, 733, 735, 736, 740, 742, 749, 759, 767, 770, 774, 778, 779, 781, 783, 791, 796, 802, 821, 824, 834, 838, 840, 849, 850, 851, 854, 856, 859, 865, 869, 876, 877, 879, 894, 904, 922, 924, 925, 927, 933, 935, 953, 959, 963, 966, 974, 1003, 1004, 1016, 1025, 1033, 1043, 1044, 1057, 1059, 1063, 1065, 1070, 1074, 1075, 1088, 1094, 1095, 1097, 1098, 1101, 1103, 1116, 1120, 1135, 1147, 1151, 1153, 1161, 1165, 1167, 1171, 1173, 1175, 1179, 1181, 1183, 1194, 1198, 1210, 1213, 1219, 1225, 1227, 1228, 1230, 1232, 1234, 1253, 1255, 1257, 1260, 1263, 1277, 1294, 1302, 1310, 1319, 1331, 1353]",SXAZ.tsv
the,1,21,"[0, 7, 9, 11, 21, 32, 36, 42, 46, 48, 50, 56, 61, 66, 68, 71, 81, 82, 83, 95, 101, 110, 114, 116, 118, 130, 132, 134, 144, 147, 165, 170, 179, 185, 195, 196, 197, 199, 200, 201, 202, 222, 225, 233, 237, 241, 245, 248, 260, 264, 274, 278, 284, 290, 293, 297, 299, 301, 305, 307, 315, 327, 331, 336, 341, 348, 356, 357, 369, 375, 377, 395, 398, 399, 402, 409, 412, 415, 419, 426, 428, 430, 436, 440, 443, 446, 454, 456, 458, 460, 486, 490, 497, 501, 506, 508, 510, 514, 516, 518, 531, 535, 536, 538, 539, 543, 555, 561, 567, 570, 577, 583, 587, 589, 590, 613, 615, 620, 634, 636, 640, 643, 644, 653, 654, 658, 668, 669, 673, 687, 689, 695, 701, 703, 709, 711, 716, 733, 735, 742, 751, 753, 755, 762, 769, 774, 791, 809, 815, 821, 822, 824, 826, 827, 830, 833, 834, 840, 844, 854, 856, 861, 867, 871, 874, 888, 891, 898, 906, 916, 925, 927, 929, 937, 946, 948, 949, 950, 952, 954, 959, 967, 987, 989, 990, 991, 993, 1003, 1008, 1009, 1012, 1016, 1039, 1043, 1059, 1065, 1074, 1088, 1098, 1102, 1116, 1126, 1128, 1135, 1141, 1151, 1153, 1159, 1167, 1181, 1196, 1213, 1215, 1217, 1219, 1223, 1227, 1234, 1240, 1251, 1257, 1273, 1281, 1283, 1287, 1288, 1296, 1298, 1304, 1314, 1339, 1346]",SXAZ.tsv
they,1,21,"[0, 3, 7, 21, 36, 37, 42, 71, 85, 86, 104, 120, 125, 155, 165, 168, 181, 185, 187, 189, 190, 191, 199, 201, 220, 233, 248, 266, 267, 280, 281, 405, 412, 415, 417, 419, 432, 444, 451, 473, 501, 535, 536, 539, 540, 541, 555, 557, 561, 563, 564, 568, 572, 579, 590, 591, 592, 597, 599, 602, 603, 604, 605, 630, 631, 638, 640, 642, 643, 650, 654, 655, 677, 681, 684, 689, 693, 705, 724, 726, 727, 729, 742, 749, 755, 759, 766, 771, 776, 779, 789, 791, 795, 842, 921, 930, 931, 933, 964, 977, 978, 989, 1044, 1050, 1055, 1065, 1070, 1072, 1074, 1075, 1081, 1083, 1084, 1086, 1092, 1094, 1097, 1101, 1103, 1104, 1105, 1106, 1161, 1162, 1169, 1171, 1179, 1183, 1205, 1223, 1228, 1230, 1232, 1234, 1248, 1251, 1267, 1273, 1300, 1310, 1311, 1314, 1321, 1337, 1346]",SXAZ.tsv
people,1,23,"[0, 7, 11, 23, 34, 176, 181, 201, 204, 225, 281, 684, 687, 691, 720, 740, 742, 746, 749, 1135, 1332]",SXAZ.tsv
about,1,25,"[0, 25, 27, 32, 68, 87, 91, 104, 132, 187, 195, 204, 238, 239, 241, 281, 290, 297, 310, 322, 331, 333, 348, 395, 462, 510, 555, 563, 570, 577, 615, 630, 632, 687, 695, 718, 735, 740, 781, 867, 894, 925, 987, 1041, 1055, 1112, 1190]",SXAZ.tsv
that,1,34,"[0, 3, 7, 13, 15, 34, 39, 42, 44, 48, 54, 56, 61, 70, 71, 83, 101, 106, 116, 121, 132, 147, 155, 158, 170, 173, 174, 181, 187, 195, 204, 225, 226, 241, 248, 250, 264, 269, 271, 272, 273, 274, 288, 290, 295, 310, 315, 320, 321, 322, 337, 343, 351, 354, 355, 357, 360, 361, 390, 391, 395, 397, 450, 452, 454, 460, 474, 479, 486, 488, 494, 496, 504, 506, 509, 510, 520, 557, 561, 570, 574, 577, 579, 581, 587, 590, 620, 621, 636, 643, 650, 654, 660, 667, 682, 687, 689, 691, 693, 695, 705, 707, 727, 731, 735, 740, 742, 753, 758, 771, 793, 815, 831, 836, 838, 848, 849, 851, 857, 859, 867, 876, 879, 891, 912, 917, 922, 925, 931, 941, 942, 959, 974, 987, 1012, 1025, 1043, 1057, 1072, 1074, 1077, 1092, 1108, 1110, 1111, 1112, 1116, 1135, 1142, 1154, 1155, 1175, 1199, 1203, 1213, 1217, 1219, 1248, 1253, 1257, 1271, 1289, 1294, 1306, 1314, 1315, 1325, 1329, 1339, 1348, 1352]",SXAZ.tsv
use,1,130,"[0, 11, 15, 37, 130, 345, 347, 352, 354, 364, 405, 428, 477, 479, 699, 709, 770, 774, 776, 872, 999, 1063, 1065, 1339, 1341]",SXAZ.tsv
not,1,114,"[0, 11, 101, 114, 132, 331, 360, 377, 381, 392, 393, 395, 456, 576, 592, 620, 625, 655, 662, 663, 677, 695, 697, 701, 799, 838, 865, 891, 933, 1044, 1123, 1171, 1250]",SXAZ.tsv
you know,2,4,"[3, 4, 7, 34, 37, 39, 42, 61, 64, 66, 68, 70, 77, 97, 101, 108, 113, 147, 152, 165, 176, 185, 195, 202, 207, 210, 215, 220, 225, 230, 250, 274, 283, 288, 331, 336, 348, 384, 411, 415, 423, 432, 434, 438, 446, 452, 456, 476, 485, 506, 508, 516, 518, 524, 525, 567, 608, 615, 634, 636, 638, 652, 656, 674, 677, 681, 687, 693, 695, 705, 709, 711, 712, 718, 720, 746, 757, 762, 776, 783, 785, 815, 820, 828, 832, 834, 848, 890, 891, 900, 914, 916, 946, 957, 972, 979, 1043, 1074, 1090, 1092, 1108, 1118, 1130, 1141, 1155, 1159, 1161, 1167, 1177, 1179, 1201, 1204, 1205, 1217, 1219, 1225, 1227, 1228, 1230, 1236, 1238, 1240, 1246, 1248, 1250, 1251, 1263, 1267, 1275, 1279, 1287, 1289, 1296, 1298, 1302, 1304, 1306, 1314, 1316]",SXAZ.tsv
