Expression,Expression_length,Expression_established_position,Expression_uttered_position,file
we,1,1,"[0, 1, 2, 114, 115, 120, 121, 127, 190, 208, 213, 214, 229, 235, 238, 240, 245, 253, 254, 265, 266, 280, 308, 351, 405, 476, 478, 480, 488, 492, 495, 497, 500, 501, 506, 516, 539, 543, 546, 563, 619, 621]",SZ8H.tsv
yeah,1,3,"[0, 3, 5, 9, 12, 13, 27, 28, 33, 35, 37, 47, 49, 51, 53, 55, 56, 57, 60, 62, 65, 71, 79, 83, 84, 86, 96, 97, 101, 105, 117, 125, 134, 137, 139, 142, 151, 154, 155, 159, 160, 161, 166, 167, 173, 176, 185, 186, 196, 199, 207, 214, 217, 220, 221, 223, 225, 229, 233, 234, 236, 238, 247, 253, 255, 256, 262, 265, 266, 270, 272, 276, 278, 283, 295, 302, 320, 327, 329, 333, 337, 342, 344, 345, 347, 349, 352, 355, 363, 364, 370, 372, 376, 377, 379, 382, 387, 390, 395, 396, 399, 401, 402, 403, 405, 406, 420, 424, 426, 427, 430, 434, 436, 438, 439, 454, 460, 463, 469, 475, 481, 483, 484, 485, 489, 508, 515, 523, 530, 537, 541, 543, 549, 556, 557, 562, 565, 566, 567, 576, 599, 602, 608, 609, 610, 622, 624, 626]",SZ8H.tsv
to,1,5,"[0, 2, 4, 5, 25, 28, 30, 37, 59, 63, 64, 66, 72, 78, 87, 88, 96, 103, 111, 114, 121, 145, 153, 158, 162, 173, 174, 192, 196, 197, 201, 208, 209, 243, 245, 263, 308, 313, 320, 322, 328, 344, 346, 351, 369, 381, 386, 388, 394, 404, 407, 418, 426, 437, 445, 455, 465, 469, 472, 487, 495, 537, 545, 546, 548, 568, 577, 578]",SZ8H.tsv
the,1,5,"[0, 5, 6, 8, 10, 15, 25, 42, 45, 52, 73, 76, 77, 85, 88, 103, 127, 129, 130, 131, 135, 136, 138, 140, 141, 146, 153, 156, 166, 172, 176, 188, 195, 196, 198, 201, 203, 208, 219, 220, 226, 248, 253, 265, 267, 269, 275, 279, 280, 281, 297, 303, 305, 308, 309, 318, 333, 334, 335, 336, 337, 343, 352, 356, 357, 373, 378, 382, 384, 386, 389, 394, 400, 404, 405, 410, 412, 413, 418, 419, 423, 427, 429, 433, 437, 445, 455, 458, 459, 461, 468, 469, 470, 472, 476, 485, 487, 494, 495, 496, 500, 501, 503, 505, 506, 507, 529, 531, 534, 535, 545, 551, 552, 553, 556, 571, 573, 578, 579, 583, 585, 587, 590, 591, 592, 593, 594, 595, 597, 607, 608, 611, 613, 625]",SZ8H.tsv
must,1,32,"[0, 30, 32, 34, 36, 37, 62, 74, 77, 326, 410, 445]",SZ8H.tsv
on,1,77,"[0, 77, 188, 196, 206, 248, 346, 365, 398, 400, 405, 458, 491, 503, 551, 553, 578, 580, 599, 607]",SZ8H.tsv
the whole,2,85,"[0, 85, 135, 253]",SZ8H.tsv
make,1,87,"[0, 87, 96, 98, 171, 212, 214, 228, 275, 282, 346, 351, 365, 377, 378, 381, 405]",SZ8H.tsv
on the,2,188,"[0, 188, 196, 248, 458, 503, 607]",SZ8H.tsv
need,1,550,"[0, 58, 386, 394, 550, 551]",SZ8H.tsv
three quarter,2,3,"[2, 3, 4]",SZ8H.tsv
three,1,3,"[2, 3, 4, 87, 577]",SZ8H.tsv
know,1,5,"[2, 5, 24, 25, 42, 52, 54, 58, 67, 68, 90, 119, 127, 179, 195, 202, 223, 251, 273, 280, 295, 328, 340, 376, 414, 423, 429, 442, 472, 484, 556, 586]",SZ8H.tsv
it's,1,17,"[2, 17, 19, 20, 25, 26, 47, 49, 72, 78, 82, 88, 106, 116, 124, 163, 180, 197, 208, 209, 224, 228, 231, 246, 261, 293, 295, 297, 303, 305, 307, 328, 336, 357, 365, 369, 371, 376, 381, 393, 394, 397, 398, 400, 405, 410, 419, 433, 469, 511, 544, 548, 559, 560, 576, 578]",SZ8H.tsv
a,1,37,"[2, 30, 34, 37, 44, 68, 73, 75, 82, 85, 88, 92, 94, 103, 114, 121, 141, 153, 158, 166, 181, 188, 193, 196, 209, 219, 220, 233, 267, 284, 287, 288, 289, 295, 299, 303, 308, 316, 328, 333, 346, 348, 354, 356, 360, 363, 365, 369, 371, 383, 386, 388, 392, 393, 398, 405, 417, 419, 427, 429, 435, 442, 445, 483, 492, 501, 509, 520, 521, 539, 544, 545, 548, 576, 578, 616, 618, 623]",SZ8H.tsv
no,1,17,"[2, 17, 106, 115, 165, 175, 194, 207, 208, 240, 246, 281, 311, 322, 326, 414, 416, 432, 449, 514, 524, 525, 526, 527, 547, 554, 559, 560, 569, 595, 612, 613, 616, 618, 619]",SZ8H.tsv
we know,2,127,"[2, 127]",SZ8H.tsv
