Expression,Expression_length,Expression_established_position,Expression_uttered_position,file
volkswagen,1,35,"[0, 34, 35, 38, 45]",S4CU.tsv
yeah,1,7,"[5, 7, 8, 9, 12, 20, 30, 37, 46, 50, 54, 58, 60, 63, 65, 69, 76, 80, 86, 89, 100, 102, 116, 120, 126, 163, 172, 186, 190, 196, 208, 216, 230, 237, 239, 251, 268, 278, 280, 282, 286, 304, 323, 334, 342, 343, 365, 370, 391, 402, 404, 406, 407, 410, 411, 414, 416, 420, 422, 423, 445, 447, 448, 457, 458, 475, 477, 481, 485, 488, 503, 510, 513, 515, 517, 522, 526, 540, 551, 557, 558, 563, 593, 595, 600, 602, 604, 611]",S4CU.tsv
mm,1,16,"[7, 16, 25, 28, 71, 78, 91, 92, 117, 155, 179, 189, 191, 199, 205, 209, 219, 221, 280, 354, 404, 412, 424, 427, 443, 453, 501, 591, 596, 612, 614]",S4CU.tsv
a,1,10,"[3, 4, 10, 12, 15, 17, 20, 22, 23, 24, 26, 29, 31, 34, 35, 45, 48, 49, 62, 70, 77, 87, 89, 92, 96, 99, 104, 137, 142, 146, 147, 148, 149, 150, 152, 153, 156, 171, 174, 177, 185, 192, 195, 198, 214, 238, 242, 249, 252, 253, 256, 259, 267, 268, 271, 277, 283, 300, 302, 303, 314, 319, 334, 349, 350, 357, 363, 364, 368, 378, 381, 387, 388, 389, 396, 402, 409, 416, 436, 441, 445, 446, 451, 456, 458, 459, 464, 482, 486, 487, 489, 494, 496, 498, 499, 507, 512, 514, 518, 519, 525, 539, 552, 553, 563, 564, 576, 581, 586, 590, 592, 594, 601, 607, 613, 616]",S4CU.tsv
it,1,10,"[3, 10, 17, 20, 22, 23, 26, 31, 34, 35, 43, 44, 47, 48, 49, 53, 58, 64, 70, 72, 83, 87, 88, 97, 98, 104, 107, 112, 113, 115, 116, 118, 120, 122, 123, 129, 146, 147, 168, 172, 176, 183, 184, 190, 192, 202, 212, 214, 218, 224, 225, 227, 228, 236, 238, 240, 243, 250, 251, 270, 277, 280, 282, 283, 284, 285, 295, 297, 298, 299, 302, 310, 316, 334, 335, 340, 341, 342, 349, 357, 365, 367, 371, 381, 383, 406, 407, 413, 416, 421, 438, 441, 446, 464, 482, 498, 502, 514, 515, 519, 532, 534, 544, 546, 556, 563, 564, 570, 581, 583, 585, 590, 592, 594, 603, 605, 606, 607, 616, 617]",S4CU.tsv
open the,2,10,"[6, 10, 22, 26, 29, 31]",S4CU.tsv
i,1,14,"[10, 11, 14, 17, 23, 24, 26, 33, 35, 41, 50, 57, 61, 62, 72, 92, 104, 105, 112, 114, 120, 134, 135, 136, 147, 149, 153, 160, 161, 165, 166, 167, 176, 181, 186, 187, 190, 192, 202, 212, 214, 220, 224, 240, 243, 254, 261, 265, 272, 277, 280, 288, 295, 319, 338, 340, 342, 348, 350, 351, 358, 364, 367, 377, 381, 383, 385, 386, 387, 391, 392, 402, 403, 404, 409, 423, 430, 432, 434, 438, 441, 442, 456, 460, 461, 462, 464, 478, 482, 490, 491, 497, 505, 507, 514, 518, 527, 532, 533, 539, 543, 544, 546, 552, 563, 564, 566, 567, 570, 572, 574, 576, 583, 590, 594, 598, 601, 607, 611, 613, 617]",S4CU.tsv
the,1,10,"[4, 6, 10, 11, 13, 14, 17, 20, 22, 23, 26, 29, 31, 36, 38, 49, 51, 57, 62, 64, 65, 66, 70, 76, 77, 83, 85, 87, 89, 90, 92, 100, 109, 112, 116, 118, 120, 122, 124, 130, 143, 145, 146, 147, 148, 161, 170, 181, 190, 192, 194, 198, 203, 207, 212, 214, 215, 218, 222, 230, 240, 249, 259, 269, 271, 273, 283, 287, 289, 290, 291, 292, 295, 297, 299, 310, 311, 320, 322, 327, 332, 334, 339, 347, 358, 363, 368, 377, 378, 379, 383, 387, 388, 395, 399, 403, 410, 415, 419, 428, 436, 438, 439, 456, 462, 463, 464, 466, 480, 500, 519, 524, 526, 533, 534, 535, 539, 540, 544, 549, 555, 556, 561, 562, 576, 583, 585, 588, 594, 601, 603, 605, 606, 607, 609, 610, 613]",S4CU.tsv
find,1,59,"[10, 59, 398, 489, 525, 576, 594]",S4CU.tsv
at,1,24,"[11, 24, 147, 192, 210, 291, 295, 327, 350, 351, 352, 376, 392, 461, 462, 464, 476, 478, 490, 491, 559, 561, 564, 601, 606]",S4CU.tsv
