Expression,Expression_length,Expression_established_position,Expression_uttered_position_speaker,file
day,1,276,"[0, 248, 276]",SFSZ.tsv
be it,2,281,"[0, 281, 284, 291, 367, 496]",SFSZ.tsv
minute,1,322,"[0, 154, 322]",SFSZ.tsv
be steak,2,156,"[3, 156]",SFSZ.tsv
well,1,20,"[5, 20, 44, 60, 69, 77, 86, 89, 96, 127, 135, 152, 187, 202, 218, 222, 248, 277, 362, 378, 404, 406, 447, 500]",SFSZ.tsv
can you,2,180,"[7, 99, 180, 366, 425, 501]",SFSZ.tsv
yeah,1,11,"[1, 8, 11, 33, 38, 49, 56, 62, 78, 90, 92, 103, 123, 135, 138, 145, 152, 184, 185, 191, 202, 210, 212, 218, 223, 230, 231, 233, 235, 241, 245, 280, 283, 292, 307, 315, 332, 342, 361, 380, 393, 394, 396, 398, 400, 407, 409, 422, 444, 449, 450, 452, 453, 457, 458, 459, 460, 464, 490]",SFSZ.tsv
to be,2,22,"[11, 22, 99, 101, 222, 437]",SFSZ.tsv
know,1,42,"[11, 42, 67, 80, 106, 150, 183, 218, 222, 229, 231, 234, 236, 248, 493]",SFSZ.tsv
there's,1,125,"[11, 53, 125, 127, 131, 135, 351, 367, 373]",SFSZ.tsv
steak,1,156,"[3, 11, 154, 156, 157, 158, 164]",SFSZ.tsv
a minute,2,322,"[11, 322]",SFSZ.tsv
but i,2,362,"[11, 362]",SFSZ.tsv
i don't,2,362,"[11, 21, 248, 362, 428]",SFSZ.tsv
i mean,2,412,"[11, 57, 171, 218, 412]",SFSZ.tsv
say,1,16,"[14, 16, 21, 34, 86, 152, 153, 171, 178, 196, 199, 208, 213, 248, 270, 274, 325, 326, 351, 360, 412, 427, 439]",SFSZ.tsv
what be,2,284,"[16, 284, 289, 297, 351, 368, 474]",SFSZ.tsv
be you,2,286,"[16, 183, 286, 289, 399, 474]",SFSZ.tsv
what be you,3,289,"[16, 289, 474]",SFSZ.tsv
understand,1,357,"[21, 357, 362, 428]",SFSZ.tsv
i'm,1,479,"[23, 53, 167, 171, 479, 482, 492]",SFSZ.tsv
i've,1,259,"[25, 259, 315]",SFSZ.tsv
you get,2,31,"[28, 31, 461]",SFSZ.tsv
get,1,38,"[28, 31, 32, 38, 57, 80, 89, 98, 121, 122, 124, 234, 257, 259, 265, 279, 312, 340, 374, 400, 407, 442, 461, 489]",SFSZ.tsv
what do,2,237,"[28, 61, 237, 253, 325]",SFSZ.tsv
do you,2,168,"[28, 34, 61, 168, 253, 279, 293, 312, 325, 326, 328, 330, 372, 375, 405, 501]",SFSZ.tsv
you be,2,410,"[28, 326, 332, 366, 410, 493]",SFSZ.tsv
it be,2,30,"[29, 30, 106, 183, 282, 367, 426, 427, 438, 474]",SFSZ.tsv
horrible,1,30,"[29, 30, 332]",SFSZ.tsv
get a unicorn on,4,32,"[31, 32]",SFSZ.tsv
why have,2,32,"[31, 32]",SFSZ.tsv
front,1,32,"[31, 32]",SFSZ.tsv
a unicorn,2,34,"[31, 34]",SFSZ.tsv
something else,2,286,"[34, 286, 288]",SFSZ.tsv
or do you,3,293,"[34, 293]",SFSZ.tsv
just say,2,412,"[34, 412]",SFSZ.tsv
that's,1,65,"[36, 65, 87, 91, 136, 143, 152, 183, 232, 277, 278, 279, 343, 358, 360, 388, 404, 416, 425, 435, 437, 451, 463]",SFSZ.tsv
right,1,305,"[36, 72, 248, 257, 302, 305, 421, 428, 459, 500, 504]",SFSZ.tsv
wing,1,39,"[37, 38, 39, 45]",SFSZ.tsv
and then,2,80,"[39, 80, 98, 117, 138, 183, 385, 386, 403, 455]",SFSZ.tsv
they don't,2,45,"[40, 44, 45, 53, 60, 144, 229]",SFSZ.tsv
fairy tales,2,49,"[46, 49, 52, 53]",SFSZ.tsv
there's no,2,125,"[53, 125]",SFSZ.tsv
no shit,2,219,"[53, 219]",SFSZ.tsv
like,1,57,"[1, 57, 64, 77, 89, 117, 145, 153, 154, 168, 183, 211, 229, 238, 248, 259, 265, 276, 290, 304, 306, 308, 316, 332, 353, 373, 393, 394, 414, 461, 463, 493, 498]",SFSZ.tsv
come,1,57,"[29, 57, 82, 111, 117, 138, 500]",SFSZ.tsv
it doesn't,2,96,"[57, 96, 439]",SFSZ.tsv
unicorn,1,35,"[31, 32, 34, 35, 59, 61, 64, 84]",SFSZ.tsv
mm what,2,368,"[61, 279, 368]",SFSZ.tsv
mean,1,412,"[11, 57, 61, 171, 218, 253, 412, 439, 441]",SFSZ.tsv
make,1,87,"[68, 87, 103, 229, 367, 372, 375, 377, 378, 379, 441, 463]",SFSZ.tsv
one,1,87,"[68, 87, 90, 135, 161, 208, 347, 367, 372, 375, 388, 415, 462, 469, 487]",SFSZ.tsv
try to,2,79,"[22, 79]",SFSZ.tsv
book,1,293,"[82, 109, 192, 293]",SFSZ.tsv
okay,1,84,"[27, 65, 76, 84, 113, 114, 279, 336, 359, 363, 381, 387, 421, 498, 503, 504]",SFSZ.tsv
i see,2,459,"[84, 459]",SFSZ.tsv
shit,1,53,"[48, 50, 52, 53, 54, 93, 95, 219]",SFSZ.tsv
go to,2,98,"[1, 29, 98, 101, 109, 204, 248, 328, 339, 420, 423, 425, 482, 483]",SFSZ.tsv
back,1,98,"[29, 98]",SFSZ.tsv
go,1,75,"[1, 29, 75, 98, 101, 109, 117, 119, 172, 174, 183, 196, 204, 248, 328, 330, 339, 420, 421, 423, 425, 442, 446, 482, 483, 501, 502, 503]",SFSZ.tsv
get some,2,259,"[98, 259]",SFSZ.tsv
three,1,321,"[98, 321]",SFSZ.tsv
cos,1,99,"[48, 49, 99, 117, 183, 211, 265, 277, 461, 493]",SFSZ.tsv
oh yeah,2,103,"[49, 103, 342]",SFSZ.tsv
offer,1,103,"[102, 103]",SFSZ.tsv
