Expression,Expression_length,Expression_established_position,Expression_uttered_position_speaker,file
meals,1,69,"[0, 69, 71, 84]",SWFJ.tsv
cook,1,83,"[0, 71, 74, 81, 83, 84, 101, 108, 117, 196, 293, 416]",SWFJ.tsv
lovely,1,17,"[0, 17, 36, 67, 129, 131, 186, 291, 304, 310, 318, 319, 324, 515, 533, 576, 669, 672, 674, 681, 696, 699, 727, 806, 1096]",SWFJ.tsv
get,1,4,"[2, 4, 5, 12, 18, 19, 30, 127, 134, 150, 152, 161, 166, 168, 173, 194, 246, 305, 315, 320, 331, 389, 395, 445, 455, 468, 483, 503, 517, 519, 524, 528, 557, 560, 565, 576, 583, 584, 600, 606, 611, 628, 629, 643, 651, 654, 656, 658, 669, 672, 703, 729, 774, 795, 798, 805, 809, 823, 875, 922, 923, 968, 1007, 1049, 1055, 1056, 1072, 1076, 1103, 1104, 1105]",SWFJ.tsv
your drink,2,6,"[2, 6]",SWFJ.tsv
have you,2,69,"[2, 69, 858]",SWFJ.tsv
drink,1,150,"[2, 6, 150, 295, 298, 333, 357, 364, 367, 441, 560, 717, 725, 1074, 1087, 1097, 1119, 1138]",SWFJ.tsv
you get,2,565,"[2, 565, 729, 795, 798, 968, 1055]",SWFJ.tsv
have you get,3,1055,"[2, 1055]",SWFJ.tsv
what's,1,32,"[10, 32, 250, 437, 488, 689, 724, 761, 812, 1009, 1010]",SWFJ.tsv
one,1,37,"[10, 37, 41, 88, 142, 149, 181, 299, 314, 345, 346, 440, 484, 554, 619, 651, 703, 721, 746, 754, 795, 824, 830, 831, 851, 859, 862, 873, 875, 906, 908, 911, 935, 943, 979, 982, 985, 987, 1030, 1034, 1057, 1111]",SWFJ.tsv
what's that,2,488,"[10, 488, 761, 812]",SWFJ.tsv
that one,2,484,"[10, 181, 484, 703, 859, 906]",SWFJ.tsv
it's get,2,19,"[18, 19]",SWFJ.tsv
in it,2,19,"[18, 19, 293, 328, 351, 374, 391, 392, 393]",SWFJ.tsv
like,1,39,"[18, 39, 48, 51, 53, 55, 56, 77, 83, 86, 95, 121, 150, 152, 174, 185, 192, 223, 238, 248, 262, 271, 293, 303, 304, 312, 347, 354, 357, 364, 366, 367, 372, 384, 393, 395, 422, 440, 442, 471, 483, 508, 514, 516, 521, 535, 541, 557, 570, 571, 577, 580, 614, 616, 619, 637, 649, 651, 676, 684, 687, 690, 704, 722, 725, 727, 730, 731, 733, 738, 759, 761, 766, 769, 775, 776, 778, 790, 792, 798, 809, 814, 820, 823, 824, 831, 837, 838, 854, 862, 872, 875, 877, 885, 889, 892, 895, 897, 900, 901, 903, 906, 908, 910, 918, 919, 920, 921, 929, 938, 939, 940, 942, 948, 951, 954, 958, 967, 968, 972, 974, 979, 997, 1001, 1011, 1014, 1018, 1019, 1029, 1041, 1044, 1046, 1055, 1057, 1061, 1071, 1072, 1073, 1074, 1083, 1118, 1127, 1128, 1136]",SWFJ.tsv
wine,1,171,"[18, 171, 703, 705, 1136]",SWFJ.tsv
smell,1,319,"[18, 319, 323, 328, 722, 1120]",SWFJ.tsv
