Expression,Expression_length,Expression_established_position,Expression_uttered_position_speaker,file
know,1,41,"[0, 6, 41, 82, 84, 123, 166, 178, 189, 245, 322, 403, 415, 424, 442, 466, 520, 540, 594, 602, 660, 669, 676, 695, 715, 750, 759, 760, 786, 820, 821, 848, 850, 851, 852, 858, 959, 969, 980, 1006, 1068, 1075, 1077, 1079, 1081, 1126, 1132, 1150, 1203, 1206, 1248, 1252, 1254, 1268, 1269, 1307, 1328, 1349, 1410, 1411, 1412, 1474, 1500, 1529, 1534, 1539, 1555, 1569, 1591, 1600, 1640, 1748, 1764, 1795, 1796, 1871, 1891, 1892, 1908, 1910, 1914, 1928, 1932, 1941, 1946, 1948, 1954, 1977, 2004, 2013, 2016, 2024, 2066, 2107, 2117, 2171, 2174, 2177, 2187, 2226, 2234, 2235, 2241, 2251, 2268, 2282, 2297, 2301, 2310, 2359, 2367, 2409, 2424, 2445, 2462, 2608, 2651, 2655, 2666, 2668, 2670, 2684, 2703, 2718, 2730, 2745, 2752, 2792, 2807, 2817, 2865, 2875, 2881, 2939, 2941, 2970, 3020, 3025, 3052, 3080, 3082, 3090, 3120, 3122, 3164, 3173, 3191, 3230, 3257, 3289, 3309, 3349, 3363, 3367, 3368, 3454, 3456, 3465, 3479, 3488, 3499, 3520, 3534, 3624, 3637, 3645, 3674, 3710, 3712, 3767, 3809, 3864, 3912, 3953, 3993, 4002, 4006, 4008, 4020, 4035, 4056, 4072, 4076, 4150, 4152, 4154, 4160, 4165, 4182, 4184, 4185, 4207, 4270, 4274, 4278, 4285, 4291, 4305, 4308, 4311, 4388, 4413, 4463, 4464, 4465, 4487, 4493, 4517, 4542, 4543, 4554, 4555, 4564, 4586, 4658, 4672, 4709, 4729, 4737, 4754, 4772, 4777, 4782, 4813, 4815, 4827, 4855, 4865, 4933, 4941, 4949, 4992, 5043, 5045, 5048, 5102, 5130, 5151, 5185, 5188, 5218, 5220, 5236, 5267, 5302, 5303, 5331, 5334, 5335, 5342, 5384, 5425, 5468, 5501, 5503, 5505, 5534, 5538, 5555, 5570, 5611, 5657, 5682, 5781, 5803, 5830, 5832, 5835, 5875, 5883, 5887, 5904, 5929, 5961, 5998, 6000, 6008, 6081, 6091, 6097, 6098, 6104, 6139, 6221, 6229, 6233, 6235, 6237, 6252, 6260, 6291, 6316, 6318, 6324, 6332, 6358, 6467, 6509, 6511, 6514, 6520, 6524, 6551, 6574, 6586, 6596, 6598, 6622, 6626, 6660, 6661, 6694, 6731, 6737, 6740, 6762, 6763, 6774, 6780, 6788, 6810, 6838, 6847, 6860, 6867, 6868, 6872, 6874, 6879, 6891, 6900, 6904, 6906, 6907, 6938, 6992, 6995, 7020, 7057, 7073, 7075, 7078, 7083, 7144, 7146, 7220, 7258, 7285, 7315, 7352, 7369, 7385, 7404, 7440, 7441, 7476, 7482, 7549, 7555, 7556, 7559, 7561, 7563, 7625, 7698, 7709, 7713, 7723, 7734, 7744, 7755, 7763, 7800, 7801, 7841, 7849, 7861, 7871, 7886, 7912, 8023, 8031, 8032, 8033, 8110, 8129, 8137, 8196, 8223, 8227, 8242, 8251, 8283, 8308, 8330, 8339, 8396, 8417, 8431, 8477, 8499, 8504, 8514, 8555, 8568, 8572, 8595, 8596, 8614, 8648, 8695, 8711, 8725, 8759, 8761, 8763, 8779, 8787, 8824, 8825, 8869, 8960, 8969, 8992, 9040, 9103, 9121, 9173, 9268, 9282, 9297, 9317, 9338, 9420, 9429, 9449, 9453, 9486, 9501, 9527, 9530, 9532, 9543, 9568, 9584, 9586, 9616, 9625, 9627, 9631, 9642, 9643, 9645, 9646, 9647, 9655, 9661, 9679, 9683, 9697, 9704, 9712, 9753, 9790, 9884, 9912, 9928, 9963, 9992, 10000, 10002, 10016, 10022, 10026, 10118, 10239, 10260, 10323, 10333, 10392, 10476, 10545, 10616, 10657, 10665, 10695, 10703, 10710, 10724, 10762, 10774, 10776, 10786, 10787, 10791, 10795, 10801, 10807, 10814, 10815, 10825, 10846, 10870, 10917, 10925, 10934, 10944, 11007, 11024, 11105, 11127, 11140, 11152, 11170, 11178, 11222, 11269, 11281, 11283, 11284, 11289, 11331, 11334, 11336, 11359, 11410, 11415, 11459, 11475, 11487, 11524, 11553, 11577, 11579, 11612, 11687, 11704, 11785, 11799, 11804, 11808, 11821, 11830, 11835, 11839, 11959, 12042, 12058, 12065, 12084, 12125, 12130, 12163, 12165, 12230, 12237, 12267, 12299, 12301, 12348, 12350, 12353, 12363, 12387, 12435, 12439, 12457, 12508, 12515, 12518, 12577, 12603, 12633, 12647, 12649, 12694, 12769, 12776, 12777, 12790, 12807, 12836, 12859, 12916, 12950, 12960, 12963, 12981, 13014, 13046, 13049, 13099, 13158, 13181, 13200, 13210, 13215, 13235, 13276, 13287, 13306, 13343, 13419, 13424, 13478, 13479, 13523, 13555, 13660, 13730, 13737, 13749, 13753, 13814, 13834, 13840, 13846, 13854, 13860, 13880, 13885, 13916, 13941, 13977, 13980, 13990, 14004, 14049, 14088, 14097, 14139, 14151, 14190, 14218, 14257, 14284, 14285, 14312, 14366, 14389, 14466, 14508, 14509, 14510, 14513, 14521, 14522, 14555, 14561, 14589, 14600, 14601, 14605, 14623, 14626, 14652, 14673, 14712, 14763, 14781, 14823, 14825, 14827, 14829, 14832, 14860, 14906, 14925, 14948, 14950, 14953, 15005, 15008, 15053, 15106, 15114, 15115, 15131, 15216, 15227, 15240, 15244, 15249, 15250, 15261, 15273, 15303, 15346, 15354, 15382, 15401, 15420, 15426, 15458, 15459, 15469, 15473, 15499, 15500, 15544, 15583, 15591, 15593, 15611, 15639]",SUVQ.tsv
i don't,2,41,"[0, 41, 121, 174, 198, 245, 355, 395, 417, 424, 669, 695, 712, 750, 760, 820, 851, 887, 888, 959, 965, 967, 969, 1167, 1203, 1269, 1337, 1349, 1374, 1386, 1410, 1411, 1412, 1500, 1555, 1569, 1570, 1591, 1795, 1796, 1844, 1871, 1892, 1897, 1910, 1941, 2013, 2016, 2018, 2039, 2113, 2124, 2155, 2156, 2175, 2409, 2608, 2621, 2627, 2634, 2638, 2703, 2718, 2807, 2865, 2881, 2899, 2905, 2907, 2970, 3052, 3080, 3082, 3086, 3145, 3164, 3167, 3172, 3213, 3230, 3267, 3268, 3284, 3337, 3349, 3368, 3406, 3421, 3423, 3443, 3454, 3488, 3548, 3619, 3672, 3710, 3809, 3811, 3864, 3867, 3869, 3871, 3912, 3953, 3958, 3959, 3979, 4076, 4278, 4293, 4294, 4311, 4343, 4355, 4388, 4390, 4410, 4453, 4463, 4465, 4555, 4564, 4590, 4676, 4772, 4777, 4933, 5087, 5102, 5112, 5126, 5185, 5233, 5236, 5267, 5302, 5303, 5325, 5326, 5327, 5328, 5331, 5342, 5384, 5505, 5569, 5571, 5580, 5596, 5607, 5613, 5719, 5875, 5908, 5912, 5924, 6000, 6008, 6036, 6081, 6091, 6097, 6098, 6104, 6138, 6139, 6145, 6147, 6162, 6168, 6221, 6229, 6233, 6235, 6237, 6252, 6260, 6277, 6719, 6740, 6762, 6763, 6765, 6774, 6788, 6838, 6867, 6868, 6881, 6914, 6964, 7020, 7030, 7057, 7078, 7209, 7211, 7227, 7261, 7262, 7265, 7270, 7315, 7352, 7353, 7359, 7362, 7364, 7369, 7385, 7551, 7553, 7555, 7713, 7734, 7801, 7861, 7878, 7886, 7912, 7918, 8010, 8019, 8032, 8099, 8127, 8172, 8223, 8325, 8339, 8398, 8444, 8514, 8531, 8568, 8572, 8585, 8592, 8824, 9040, 9048, 9075, 9102, 9103, 9173, 9183, 9297, 9437, 9449, 9532, 9543, 9627, 9633, 9651, 9655, 9679, 9704, 9709, 9753, 9854, 9939, 9963, 10062, 10068, 10096, 10126, 10217, 10260, 10381, 10425, 10443, 10450, 10476, 10561, 10650, 10665, 10695, 10701, 10724, 10776, 10786, 10787, 10791, 10897, 10900, 10936, 11126, 11170, 11178, 11316, 11317, 11329, 11331, 11334, 11396, 11413, 11475, 11483, 11489, 11496, 11524, 11528, 11534, 11553, 11570, 11668, 11673, 11704, 11719, 11733, 11738, 11762, 11808, 11813, 11823, 12042, 12125, 12130, 12165, 12237, 12267, 12299, 12301, 12397, 12481, 12515, 12550, 12551, 12611, 12614, 12625, 12633, 12647, 12649, 12777, 12790, 12807, 12859, 12945, 12963, 13049, 13106, 13148, 13155, 13199, 13200, 13210, 13215, 13261, 13269, 13276, 13481, 13660, 13706, 13753, 13828, 13832, 13834, 14004, 14282, 14283, 14312, 14362, 14366, 14466, 14478, 14493, 14523, 14561, 14565, 14600, 14603, 14605, 14606, 14712, 14801, 14827, 14829, 14832, 14860, 14871, 14912, 14948, 14949, 14953, 15005, 15098, 15220, 15240, 15241, 15246, 15247, 15249, 15250, 15303, 15468, 15499, 15544, 15547, 15558, 15583, 15591, 15611]",SUVQ.tsv
actually,1,150,"[0, 150, 161, 178, 201, 238, 407, 416, 445, 478, 492, 582, 595, 604, 735, 781, 1047, 1112, 1131, 1234, 1252, 1397, 1398, 1493, 1671, 1821, 1860, 1978, 2070, 2239, 2394, 2417, 2718, 2795, 2828, 2982, 3001, 3008, 3011, 3110, 3140, 3252, 3257, 3285, 3324, 3477, 3672, 3681, 3802, 3865, 3886, 4039, 4076, 4185, 4227, 4372, 4501, 4527, 4647, 4676, 4890, 5211, 5325, 5624, 5669, 5684, 5690, 5732, 5980, 6154, 6262, 6293, 6335, 6339, 6433, 6467, 6596, 6609, 6763, 6775, 6796, 6902, 7024, 7187, 7390, 7445, 7696, 7753, 7758, 7782, 7806, 7857, 8035, 8088, 8113, 8188, 8308, 8388, 8390, 8391, 8981, 8984, 9039, 9040, 9384, 9451, 9627, 9631, 9661, 9864, 9908, 10002, 10068, 10142, 10239, 10355, 10437, 10501, 10639, 10779, 10848, 10865, 10923, 10964, 10983, 11104, 11116, 11172, 11200, 11243, 11292, 11432, 11553, 11657, 11745, 11761, 11902, 11943, 12045, 12069, 12252, 12458, 12487, 12621, 12742, 12767, 12860, 13085, 13102, 13173, 13209, 13464, 13662, 13727, 13782, 14017, 14025, 14145, 14254, 14292, 14430, 14529, 14665, 14977, 15384, 15450]",SUVQ.tsv
i don't actually,3,3672,"[0, 3672, 5325, 10068]",SUVQ.tsv
oh dear,2,1815,"[0, 1815, 1830, 9719]",SUVQ.tsv
hi,1,2,"[1, 2, 2299, 4055, 7568, 7572, 7573, 7574, 7606, 10883]",SUVQ.tsv
to see you,3,4,"[3, 4, 15630, 15631, 15632]",SUVQ.tsv
nice,1,38,"[4, 12, 17, 38, 75, 89, 172, 174, 526, 862, 881, 882, 884, 885, 1238, 1408, 1440, 2034, 2035, 2075, 2076, 2102, 2148, 2150, 2444, 2893, 3053, 3058, 3062, 3150, 3332, 3396, 3397, 3642, 3651, 3652, 3659, 3692, 3701, 3769, 3788, 3789, 3791, 3799, 3801, 3852, 4418, 4432, 4434, 4486, 4702, 5065, 5206, 5210, 5236, 5308, 5458, 5772, 6184, 6986, 6987, 7098, 7099, 7108, 7150, 7476, 7674, 7685, 7853, 7978, 8516, 9590, 9844, 10176, 10194, 10288, 10319, 10338, 10344, 10786, 10808, 10865, 10936, 11272, 11884, 12043, 12211, 12260, 12305, 12324, 12352, 12736, 12826, 12853, 12876, 13011, 13017, 13023, 13313, 13316, 13328, 13846, 13877, 13889, 14046, 14308, 14667, 14669, 14670, 15366, 15631]",SUVQ.tsv
i'm,1,141,"[4, 131, 141, 245, 247, 248, 249, 367, 412, 452, 489, 503, 508, 622, 663, 681, 686, 852, 1001, 1016, 1039, 1163, 1165, 1171, 1294, 1297, 1324, 1328, 1344, 1369, 1395, 1454, 1611, 1814, 1936, 1944, 1961, 1973, 1975, 1976, 1979, 2095, 2107, 2121, 2131, 2136, 2144, 2181, 2182, 2244, 2246, 2248, 2303, 2466, 2668, 2704, 2717, 2778, 2790, 2795, 2844, 2868, 2878, 2960, 2973, 2979, 3010, 3047, 3052, 3122, 3164, 3166, 3170, 3274, 3328, 3340, 3405, 3424, 3438, 3476, 3508, 3514, 3548, 3568, 3637, 3674, 3676, 3715, 3734, 3750, 3819, 3821, 3945, 3958, 3962, 3986, 3988, 3990, 3991, 4044, 4055, 4176, 4218, 4270, 4311, 4341, 4431, 4483, 4556, 4582, 4604, 4635, 4673, 4686, 4822, 4869, 4935, 5029, 5034, 5038, 5044, 5052, 5070, 5071, 5165, 5170, 5328, 5337, 5657, 5828, 5832, 5835, 5860, 5862, 5919, 5972, 6011, 6075, 6076, 6104, 6107, 6139, 6162, 6166, 6180, 6209, 6215, 6218, 6263, 6269, 6270, 6279, 6312, 6515, 6520, 6535, 6556, 6667, 6719, 6720, 6721, 6733, 6898, 6900, 6905, 6910, 7126, 7136, 7148, 7150, 7183, 7189, 7194, 7207, 7287, 7348, 7385, 7461, 7502, 7566, 7570, 7590, 7652, 7657, 7711, 7753, 7755, 7757, 7780, 7834, 7860, 7869, 7878, 7896, 7916, 7922, 7976, 8034, 8078, 8093, 8099, 8261, 8276, 8618, 8691, 8693, 8740, 8758, 8811, 8834, 8848, 8866, 9155, 9357, 9486, 9661, 9712, 9715, 9716, 9845, 9873, 9945, 9952, 9996, 9999, 10002, 10005, 10015, 10033, 10038, 10039, 10041, 10048, 10056, 10062, 10124, 10275, 10277, 10325, 10328, 10423, 10454, 10587, 10657, 10658, 10689, 10752, 10787, 10870, 10872, 10883, 10888, 10890, 11007, 11344, 11367, 11369, 11410, 11424, 11515, 11837, 11871, 11898, 11981, 11987, 12027, 12063, 12066, 12068, 12115, 12117, 12163, 12164, 12216, 12278, 12337, 12351, 12382, 12534, 12547, 12627, 12632, 12692, 12713, 12773, 12812, 12858, 12872, 13040, 13070, 13095, 13114, 13177, 13269, 13276, 13297, 13310, 13343, 13345, 13347, 13358, 13490, 13496, 13508, 13650, 13743, 13807, 13828, 13829, 13834, 13880, 13957, 14047, 14059, 14098, 14193, 14214, 14221, 14228, 14241, 14271, 14277, 14301, 14329, 14477, 14485, 14493, 14497, 14502, 14505, 14515, 14523, 14524, 14527, 14547, 14550, 14609, 14631, 14661, 14677, 14778, 14838, 14886, 14912, 14932, 15041, 15049, 15102, 15188, 15193, 15195, 15198, 15209, 15216, 15320, 15348, 15369, 15396, 15401, 15405, 15413, 15418, 15419, 15421, 15449, 15475, 15514, 15522, 15535, 15536, 15546, 15576, 15621]",SUVQ.tsv
see,1,64,"[3, 4, 64, 531, 540, 546, 548, 663, 685, 725, 726, 887, 1001, 1107, 1369, 1423, 1488, 1612, 1738, 1991, 2164, 2211, 2260, 2270, 2396, 3018, 3185, 3187, 3210, 3213, 3293, 3294, 3295, 3296, 3450, 3479, 3564, 3654, 3799, 3869, 3893, 3917, 3995, 4214, 4390, 4700, 4846, 4943, 4979, 5010, 5376, 5387, 5924, 6121, 6123, 6197, 6461, 6476, 6609, 6775, 6788, 6882, 6980, 6994, 7701, 7714, 7835, 7869, 7878, 7890, 7896, 7897, 7972, 8099, 8386, 8460, 8462, 8688, 8739, 8813, 8922, 8938, 8942, 8943, 8963, 8969, 8987, 9009, 9100, 9182, 9183, 9230, 9326, 9455, 9463, 9474, 9514, 9522, 9523, 9526, 9535, 9538, 9548, 9560, 9562, 9734, 9736, 9772, 9774, 9775, 9788, 9854, 9905, 10073, 10148, 10160, 10213, 10246, 10353, 10430, 10500, 10505, 10558, 10621, 10623, 10668, 10688, 10702, 10703, 10883, 10888, 10905, 10958, 11334, 11813, 11902, 12112, 12216, 12218, 12850, 12857, 13403, 13916, 14241, 14243, 14501, 14502, 14504, 14518, 14530, 14589, 14665, 14666, 14691, 15006, 15089, 15110, 15111, 15134, 15135, 15167, 15205, 15544, 15612, 15630, 15631, 15632, 15634, 15636]",SUVQ.tsv
