Expression,Expression_length,Expression_established_position,Expression_uttered_position_speaker,file
like,1,37,"[0, 4, 30, 37, 41, 70, 71, 72, 73, 83, 84, 86, 117, 119, 120, 125, 150, 151, 152, 154, 167, 185, 187, 203, 205, 213, 219, 223, 227, 229, 234, 240, 249, 253, 256, 277, 279, 283, 299, 302, 305, 317, 322, 323, 338, 340, 341, 342, 346, 348, 356, 358, 359, 361, 367, 374, 381, 390, 435, 450, 466, 478, 479, 502, 512, 516, 518, 528, 535, 538, 539, 562, 587, 602, 605, 615, 626, 630, 655, 661, 668, 690, 694, 698, 700, 701, 702, 710, 713, 718, 719, 724, 753, 755, 766, 774, 780, 783, 785, 789, 807, 860, 894, 899, 905, 915, 916, 925, 963, 972, 974]",SKL3.tsv
truffle,1,67,"[0, 67, 164, 165, 169, 182, 184]",SKL3.tsv
what do,2,80,"[0, 80, 93, 284, 285, 410, 635, 956]",SKL3.tsv
taste,1,113,"[0, 113, 158, 184, 310, 311, 314]",SKL3.tsv
do it,2,24,"[0, 24, 202, 218, 537, 541, 545, 570, 652, 819, 867, 868, 984]",SKL3.tsv
right,1,2,"[1, 2, 87, 101, 279, 313, 329, 333, 338, 342, 364, 378, 387, 397, 399, 477, 508, 540, 544, 574, 586, 602, 607, 621, 626, 628, 633, 683, 709, 713, 755, 800, 801, 803, 854, 888, 891, 920, 921, 922, 933, 988]",SKL3.tsv
and then,2,64,"[4, 64, 101, 143, 210, 251, 270, 279, 323, 338, 339, 427, 512, 589, 591, 626, 635, 702, 714, 785, 793]",SKL3.tsv
i didn't,2,47,"[4, 47, 49, 78, 125, 262, 279, 502, 621, 624, 626, 836]",SKL3.tsv
though,1,152,"[4, 147, 152, 166, 310, 344, 348, 353, 361, 593, 596, 703, 828]",SKL3.tsv
have to,2,102,"[4, 30, 102, 201, 415, 575, 577, 733, 755]",SKL3.tsv
it though,2,593,"[4, 593]",SKL3.tsv
not like,2,602,"[4, 342, 602]",SKL3.tsv
yeah,1,11,"[8, 11, 14, 16, 17, 23, 27, 32, 44, 47, 68, 90, 104, 112, 118, 120, 128, 131, 133, 137, 141, 143, 154, 157, 168, 174, 181, 183, 198, 199, 201, 202, 203, 205, 212, 255, 256, 260, 262, 269, 276, 278, 283, 308, 326, 327, 329, 335, 339, 350, 374, 376, 384, 395, 434, 438, 441, 459, 472, 476, 488, 497, 500, 503, 514, 515, 523, 537, 539, 543, 547, 551, 559, 562, 567, 573, 577, 595, 599, 603, 608, 610, 612, 614, 617, 621, 623, 626, 632, 638, 641, 645, 647, 649, 654, 660, 673, 683, 693, 698, 702, 706, 715, 717, 720, 721, 723, 738, 740, 742, 745, 746, 759, 762, 768, 785, 787, 803, 810, 811, 815, 824, 826, 831, 832, 838, 842, 858, 864, 867, 880, 890, 892, 901, 902, 905, 912, 956, 962, 970]",SKL3.tsv
truffles,1,133,"[13, 133, 154]",SKL3.tsv
thing,1,37,"[18, 37, 86, 126, 147, 223, 229, 351, 474, 501, 520, 545, 569, 648, 684, 758, 858, 918]",SKL3.tsv
be this,2,210,"[18, 210]",SKL3.tsv
i think,2,20,"[1, 20, 64, 67, 94, 98, 99, 101, 152, 160, 166, 184, 187, 211, 232, 234, 350, 368, 375, 385, 413, 419, 421, 429, 444, 483, 494, 500, 545, 558, 626, 671, 681, 683, 696, 702, 755, 769, 774, 802]",SKL3.tsv
think,1,20,"[1, 12, 20, 42, 64, 67, 94, 98, 99, 101, 125, 135, 152, 160, 166, 184, 187, 211, 232, 234, 240, 272, 350, 368, 375, 379, 385, 413, 414, 419, 421, 429, 444, 483, 486, 494, 495, 500, 545, 558, 593, 624, 626, 671, 681, 683, 684, 696, 702, 732, 755, 769, 770, 774, 802, 803, 813, 830, 847]",SKL3.tsv
when you be,3,41,"[20, 41]",SKL3.tsv
you be,2,42,"[20, 41, 42, 229, 243, 275, 388, 756, 784, 828, 833, 835]",SKL3.tsv
i be,2,51,"[20, 51, 85, 168, 274, 277, 562, 566, 587, 651, 732, 755, 757, 774, 845, 847, 984]",SKL3.tsv
when you,2,593,"[20, 136, 593]",SKL3.tsv
talk about,2,648,"[20, 648, 940, 956]",SKL3.tsv
cave,1,23,"[22, 23, 24, 25, 29, 30, 41]",SKL3.tsv
i'm,1,73,"[23, 73, 78, 147, 149, 209, 249, 357, 381, 615, 616, 622, 672, 683, 688, 693, 736, 757, 779, 815, 844, 879, 927, 931]",SKL3.tsv
say,1,86,"[23, 86, 99, 139, 142, 147, 168, 176, 180, 201, 203, 209, 218, 279, 307, 378, 504, 516, 535, 562, 566, 615, 616, 622, 644, 648, 651, 658, 671, 702, 703, 707, 708, 713, 719, 771, 772, 774, 776, 778, 806, 833, 835, 836, 856, 865, 881, 892, 907, 953, 955, 971, 979]",SKL3.tsv
must,1,279,"[23, 279, 507, 513, 514, 580, 813, 860, 905]",SKL3.tsv
