Expression,Expression_length,Expression_established_position,Expression_uttered_position_speaker,file
go to,2,1,"[0, 1, 152, 156, 166, 209, 231, 233, 235, 236, 237, 239, 302, 303, 523, 540, 587, 679, 770, 830, 894, 1030, 1057, 1072]",SZJ3.tsv
in the,2,10,"[0, 10, 106, 110, 114, 531, 648, 679, 717, 719, 797, 978, 1057, 1072]",SZJ3.tsv
really,1,2,"[0, 2, 15, 79, 192, 203, 218, 240, 306, 320, 415, 493, 496, 600, 630, 634, 715, 772, 781, 816, 849, 850, 892, 952, 1035, 1037]",SZJ3.tsv
go,1,50,"[0, 1, 50, 61, 98, 120, 145, 152, 156, 166, 173, 180, 181, 190, 209, 231, 233, 235, 236, 237, 239, 259, 266, 268, 275, 277, 284, 289, 302, 303, 317, 342, 513, 523, 540, 542, 569, 570, 586, 587, 597, 648, 659, 666, 679, 691, 735, 769, 770, 779, 830, 836, 894, 975, 1025, 1026, 1030, 1055, 1057, 1058, 1069, 1072, 1075]",SZJ3.tsv
and then,2,85,"[0, 85, 120, 544, 570, 675, 752, 838, 1038, 1069, 1072, 1075]",SZJ3.tsv
never,1,219,"[0, 186, 219, 223, 224, 241, 319, 731, 739, 941]",SZJ3.tsv
live,1,508,"[0, 508, 531, 544, 619, 620, 622, 812]",SZJ3.tsv
so she,2,628,"[0, 628]",SZJ3.tsv
meet,1,779,"[0, 224, 394, 779, 939]",SZJ3.tsv
from birmingham to the lake district,6,4,"[3, 4]",SZJ3.tsv
to the lake,3,28,"[4, 28]",SZJ3.tsv
to the,2,28,"[3, 4, 28, 40, 284, 468, 544, 987]",SZJ3.tsv
birmingham,1,883,"[4, 672, 883]",SZJ3.tsv
yeah but,2,6,"[5, 6, 166, 478, 537]",SZJ3.tsv
yeah,1,42,"[5, 6, 16, 42, 52, 53, 58, 65, 95, 105, 115, 121, 132, 136, 138, 144, 163, 166, 169, 184, 190, 193, 197, 214, 215, 229, 231, 247, 251, 256, 267, 272, 293, 303, 304, 309, 331, 350, 363, 402, 404, 407, 424, 426, 427, 428, 431, 434, 436, 438, 444, 461, 467, 469, 478, 491, 494, 495, 511, 518, 526, 537, 541, 549, 551, 553, 554, 568, 572, 574, 576, 584, 594, 596, 608, 633, 635, 637, 647, 662, 668, 676, 690, 692, 697, 698, 702, 705, 708, 729, 730, 743, 749, 755, 766, 767, 771, 776, 777, 778, 786, 793, 797, 813, 819, 833, 835, 843, 848, 858, 868, 880, 893, 894, 898, 903, 904, 905, 908, 910, 915, 916, 926, 932, 933, 936, 941, 943, 947, 948, 953, 959, 962, 979, 985, 999, 1004, 1006, 1010, 1012, 1024, 1046, 1052, 1057, 1066, 1067]",SZJ3.tsv
but i,2,74,"[6, 74, 224, 287, 300, 504, 546, 687, 830, 986, 1025]",SZJ3.tsv
couple,1,60,"[9, 60, 1066]",SZJ3.tsv
would,1,74,"[9, 74, 108, 110, 282, 328, 329, 339, 487, 490, 491, 659, 661, 663, 665, 675, 679, 711, 742, 857, 969, 1005, 1006, 1055]",SZJ3.tsv
think,1,74,"[9, 74, 184, 211, 277, 306, 340, 357, 372, 383, 386, 388, 412, 457, 470, 483, 490, 504, 521, 620, 621, 624, 711, 714, 750, 756, 775, 872, 969, 982]",SZJ3.tsv
a couple of,3,117,"[9, 117, 1066]",SZJ3.tsv
funny,1,194,"[12, 20, 194, 1049]",SZJ3.tsv
to in,2,14,"[1, 14]",SZJ3.tsv
parish,1,14,"[8, 10, 14, 18]",SZJ3.tsv
parish room,2,14,"[10, 14]",SZJ3.tsv
those be,2,76,"[14, 76]",SZJ3.tsv
get,1,27,"[14, 16, 27, 76, 85, 87, 102, 104, 106, 110, 117, 123, 127, 149, 219, 241, 244, 275, 277, 279, 282, 289, 290, 297, 308, 337, 342, 390, 403, 432, 440, 441, 442, 465, 538, 571, 573, 606, 628, 679, 719, 761, 773, 776, 798, 799, 804, 805, 817, 821, 822, 830, 861, 862, 863, 869, 879, 941, 942, 949, 955, 1001, 1018, 1055, 1057, 1058, 1061, 1072]",SZJ3.tsv
be the,2,111,"[14, 111, 598, 640, 650, 679, 1049, 1054, 1055, 1072]",SZJ3.tsv
get marry,2,442,"[14, 16, 442]",SZJ3.tsv
that i,2,686,"[14, 340, 686]",SZJ3.tsv
those be the,3,1054,"[14, 1054]",SZJ3.tsv
cos,1,40,"[16, 40, 56, 145, 198, 219, 241, 275, 410, 441, 460, 471, 492, 506, 577, 648, 654, 679, 696, 760, 774, 775, 794, 941, 1022, 1055]",SZJ3.tsv
we get,2,76,"[16, 76, 85, 244, 1058]",SZJ3.tsv
church,1,18,"[1, 13, 18, 402]",SZJ3.tsv
it be,2,22,"[13, 22, 25, 36, 62, 102, 122, 143, 158, 219, 248, 277, 301, 356, 357, 409, 502, 605, 607, 630, 640, 644, 646, 668, 676, 677, 727, 731, 752, 779, 806, 812, 830, 849, 904, 982, 1049]",SZJ3.tsv
be on,2,56,"[22, 56]",SZJ3.tsv
the first,2,56,"[22, 56, 540, 671, 1072]",SZJ3.tsv
on the,2,72,"[22, 72, 74, 84, 110, 399, 542, 544, 587, 593, 594, 595, 694, 741, 800, 817, 849, 901, 1076]",SZJ3.tsv
say,1,76,"[22, 76, 85, 217, 241, 268, 275, 277, 278, 279, 280, 282, 284, 286, 287, 289, 294, 297, 299, 302, 340, 390, 394, 444, 570, 719, 822, 830, 832, 836, 840, 869, 873, 889, 897, 952, 1057, 1058, 1059, 1069, 1070, 1075, 1076]",SZJ3.tsv
first,1,110,"[22, 110, 114, 540, 605, 671, 731, 733, 1072]",SZJ3.tsv
gonna,1,317,"[22, 275, 317, 342, 351, 357, 389, 412, 600, 709, 731, 733, 735, 886, 1022, 1024, 1026, 1047, 1066]",SZJ3.tsv
nineteen,1,24,"[21, 23, 24, 25, 27, 29]",SZJ3.tsv
