Expression,Expression_length,Expression_established_position,Expression_uttered_position_speaker,file
day,1,72,"[0, 72, 96, 125, 154, 225]",SFB9.tsv
be a,2,99,"[0, 51, 99, 100, 102, 181, 182, 445, 481, 508, 537, 632, 678, 687]",SFB9.tsv
look,1,264,"[0, 128, 184, 195, 211, 221, 225, 229, 264, 313, 348, 359, 361, 374, 428, 438, 439, 460, 474, 490, 503, 512, 517, 521, 547, 552, 566, 570, 589, 646, 664, 678, 697, 698, 699]",SFB9.tsv
be that,2,130,"[0, 49, 62, 83, 85, 128, 130, 164, 304, 331, 343, 349, 363, 364, 369, 427, 431, 470, 472, 474, 499, 509, 510, 534, 542, 567, 585, 587, 592, 605, 653, 662, 678, 680, 685, 687]",SFB9.tsv
fine,1,292,"[0, 292, 444, 647]",SFB9.tsv
a bite,2,378,"[0, 181, 378, 481]",SFB9.tsv
his fourth,2,2,"[1, 2]",SFB9.tsv
oh right,2,137,"[4, 58, 129, 137, 159, 186, 223, 510]",SFB9.tsv
right,1,161,"[4, 26, 33, 41, 58, 85, 128, 129, 159, 161, 186, 188, 209, 223, 236, 252, 288, 301, 321, 323, 392, 438, 470, 474, 482, 510, 554, 622, 647, 662, 674, 678, 689, 699]",SFB9.tsv
four,1,9,"[7, 9, 10, 37, 42, 73, 222, 474, 574, 679, 681, 683]",SFB9.tsv
i think,2,11,"[1, 6, 11, 17, 72, 83, 140, 154, 160, 222, 236, 269, 301, 362, 388, 432, 494, 500, 531, 532, 556, 570, 671]",SFB9.tsv
nursery,1,21,"[11, 21]",SFB9.tsv
think,1,85,"[6, 11, 17, 83, 85, 140, 160, 198, 222, 236, 269, 301, 362, 366, 388, 396, 432, 494, 500, 531, 532, 556, 570, 620, 671]",SFB9.tsv
yeah,1,13,"[6, 8, 12, 13, 22, 25, 36, 38, 40, 44, 48, 54, 60, 61, 63, 76, 88, 90, 94, 99, 100, 109, 112, 128, 131, 143, 147, 151, 155, 165, 174, 183, 185, 190, 192, 196, 197, 206, 210, 212, 215, 224, 232, 235, 240, 250, 256, 258, 265, 268, 270, 272, 278, 280, 281, 287, 294, 297, 312, 320, 336, 344, 350, 354, 356, 360, 369, 377, 388, 398, 411, 437, 452, 469, 473, 475, 485, 494, 511, 513, 514, 526, 541, 563, 573, 586, 590, 593, 594, 595, 601, 608, 611, 613, 623, 629, 645, 650, 656, 658, 673, 675, 678, 688, 694, 703]",SFB9.tsv
you be,2,21,"[18, 21, 22, 71, 83, 85, 91, 148, 154, 211, 222, 231, 323, 408, 474, 532, 550, 558, 571, 574, 594, 646, 674]",SFB9.tsv
to go,2,125,"[20, 43, 125, 134, 269, 271, 388, 460, 482, 608]",SFB9.tsv
go,1,57,"[15, 20, 25, 43, 57, 125, 134, 159, 184, 211, 251, 267, 269, 271, 349, 350, 356, 382, 383, 388, 400, 401, 402, 403, 408, 409, 410, 414, 416, 454, 456, 460, 474, 482, 524, 527, 529, 532, 533, 534, 537, 608, 635, 642, 662, 678, 699]",SFB9.tsv
go to,2,251,"[15, 20, 25, 211, 251, 267, 269, 271, 349, 382, 383, 388, 400, 401, 402, 403, 408, 409, 410, 416, 532, 534, 608, 699]",SFB9.tsv
you be keep,3,22,"[21, 22]",SFB9.tsv
yeah you,2,151,"[22, 151, 294, 297]",SFB9.tsv
in the nursery,3,24,"[21, 24]",SFB9.tsv
