Expression,Expression_length,Expression_established_position,Expression_uttered_position_speaker,file
that's,1,76,"[0, 25, 76, 243, 253, 317, 348, 369, 409, 426, 458, 491, 501, 583, 652, 731, 797, 826, 866, 889, 896, 971, 981, 1002, 1030, 1033, 1034, 1072, 1073, 1254, 1304, 1337, 1364, 1396, 1397, 1529, 1620, 1631, 1653, 1661, 1743, 1745, 1779, 1793, 1794, 1889, 1956, 1965, 1966, 2030, 2034, 2036, 2131, 2149, 2156, 2166, 2174, 2185, 2198, 2205, 2248, 2268, 2333, 2354, 2355, 2365, 2389, 2390, 2412, 2418, 2423, 2432, 2433, 2451, 2452, 2469, 2470, 2497, 2511, 2517, 2533, 2597, 2627, 2632, 2636, 2642, 2660, 2701, 2712, 2752, 2839, 2851, 2874, 2898, 2901, 2902, 2905, 2916, 2924, 2927, 2959, 3012, 3019, 3021, 3024, 3044, 3061, 3109, 3135, 3150, 3183, 3185, 3186, 3202, 3224, 3243, 3251, 3279, 3300, 3328, 3424, 3427, 3463, 3472, 3486, 3490, 3498, 3590, 3631, 3633, 3641, 3647, 3662, 3685, 3742, 3756, 3761]",S4TV.tsv
be you,2,6,"[0, 6, 45, 55, 64, 111, 113, 132, 169, 227, 229, 230, 241, 243, 263, 357, 433, 494, 522, 549, 801, 809, 870, 871, 911, 980, 1115, 1124, 1174, 1175, 1277, 1362, 1555, 1557, 1561, 1916, 2014, 2104, 2108, 2115, 2161, 2282, 2334, 2342, 2488, 2522, 2693, 2715, 2723, 2787, 2898, 3104, 3229, 3273, 3342, 3376, 3390, 3451, 3452, 3472, 3481, 3736, 3759]",S4TV.tsv
where be you,3,494,"[0, 494, 2104]",S4TV.tsv
picture,1,1221,"[0, 1221, 1296, 1345, 1347, 1885, 1888, 2168]",S4TV.tsv
a nice,2,1259,"[0, 1259, 1890, 2140, 2542, 2946, 3628]",S4TV.tsv
that's a,2,369,"[0, 369, 889, 896, 1034, 1889, 2198, 2248, 2390, 2632, 2752, 2901, 3044, 3061, 3185, 3186, 3486, 3590]",S4TV.tsv
where be,2,2881,"[0, 494, 982, 2881, 3385]",S4TV.tsv
morning,1,657,"[4, 642, 657]",S4TV.tsv
school,1,8,"[7, 8, 10, 130, 143, 284, 337, 339, 347, 368, 551, 552, 754, 2128, 3235, 3311, 3347, 3395]",S4TV.tsv
you be,2,31,"[9, 31, 92, 130, 169, 255, 263, 318, 332, 382, 389, 390, 393, 401, 406, 440, 451, 809, 817, 1077, 1099, 1277, 1340, 1358, 1366, 1367, 1620, 1697, 2114, 2388, 2488, 2558, 2642, 2647, 2718, 2745, 2759, 2760, 2808, 2895, 3074, 3150, 3687, 3688, 3689]",S4TV.tsv
