Expression,Expression_length,Expression_established_position,Expression_uttered_position_speaker,file
go,1,1,"[0, 1, 3, 16, 18, 19, 20, 21, 30, 32, 33, 34, 38, 40, 48, 59, 68, 91, 106, 116, 147, 150, 151, 160, 173, 174, 177, 188, 190, 218, 220, 229, 231, 235, 239, 245, 248, 252, 283, 298, 354, 371, 376, 379, 419, 459, 462, 471, 474, 482, 487, 550, 556]",SHL3.tsv
holiday,1,108,"[0, 108, 231, 248, 455]",SHL3.tsv
be you,2,196,"[2, 85, 196]",SHL3.tsv
at the,2,312,"[5, 30, 312, 532, 551]",SHL3.tsv
know,1,22,"[8, 22, 88, 118, 136, 146, 161, 170, 199, 226, 248, 350, 369, 379, 411, 419, 430, 493, 523]",SHL3.tsv
well,1,59,"[22, 48, 59, 150, 242, 303, 312, 331, 401, 432, 440, 482, 491, 554, 574]",SHL3.tsv
i don't know,3,118,"[22, 118, 146, 170, 199, 248, 350]",SHL3.tsv
cruise,1,24,"[23, 24, 25, 26, 28, 29, 30, 379, 402, 474]",SHL3.tsv
on a,2,40,"[25, 26, 28, 30, 40, 125, 313, 379, 521, 532, 539]",SHL3.tsv
i've,1,170,"[26, 170, 189, 191, 195, 198, 199, 214, 288, 290, 317, 338, 344, 345, 347, 445, 474, 476, 493, 521]",SHL3.tsv
one,1,106,"[26, 32, 106, 170, 258, 282, 283, 298, 301, 307, 312, 317, 323, 324, 338, 349, 352, 456, 457, 474, 482, 487, 515]",SHL3.tsv
be on,2,30,"[25, 26, 28, 30, 350, 401, 474, 476, 481, 521, 548]",SHL3.tsv
which one,2,352,"[26, 352]",SHL3.tsv
go to,2,21,"[1, 3, 16, 19, 20, 21, 30, 33, 68, 91, 116, 147, 150, 151, 190, 218, 229, 235, 239, 248, 298, 462, 474]",SHL3.tsv
um,1,30,"[4, 7, 30, 56, 74, 106, 116, 155, 205, 252, 256, 260, 282, 306, 312, 346, 353, 394, 413, 419, 438, 456, 534, 536]",SHL3.tsv
nile cruise,2,30,"[29, 30]",SHL3.tsv
nile,1,30,"[29, 30, 43]",SHL3.tsv
egypt,1,33,"[30, 33, 457, 466]",SHL3.tsv
of the,2,44,"[30, 32, 44, 68, 164, 482, 521]",SHL3.tsv
i didn't,2,136,"[30, 136]",SHL3.tsv
go on,2,30,"[19, 20, 30, 32, 160, 245, 354, 371, 376, 379, 482, 487]",SHL3.tsv
see,1,40,"[30, 40, 43, 68, 91, 164, 170, 182, 190, 222, 226, 249, 254, 283, 285, 288, 298, 338, 344, 345, 347, 419, 445, 462, 515, 530, 532, 535, 539, 568, 571]",SHL3.tsv
to see,2,68,"[30, 43, 68, 91, 190, 222, 226, 462, 571]",SHL3.tsv
on the,2,220,"[30, 220, 272, 350]",SHL3.tsv
be on the,3,350,"[30, 350]",SHL3.tsv
i go on,3,371,"[30, 371, 482]",SHL3.tsv
i go,2,30,"[21, 30, 48, 68, 91, 147, 174, 371, 462, 474, 482, 556]",SHL3.tsv
see the,2,298,"[30, 43, 68, 91, 298, 462, 530]",SHL3.tsv
day,1,106,"[32, 106, 410]",SHL3.tsv
nice,1,40,"[35, 40, 58, 92, 220, 274, 278, 370, 373, 426, 438]",SHL3.tsv
yeah,1,37,"[10, 12, 17, 21, 36, 37, 41, 46, 58, 76, 84, 93, 102, 105, 109, 110, 111, 112, 114, 128, 129, 138, 142, 147, 152, 156, 163, 167, 169, 176, 179, 214, 216, 218, 230, 242, 259, 262, 268, 271, 274, 276, 280, 283, 291, 299, 303, 309, 311, 317, 324, 325, 326, 328, 334, 336, 338, 343, 344, 359, 360, 361, 362, 363, 364, 366, 374, 385, 393, 399, 403, 405, 407, 412, 420, 426, 427, 431, 433, 434, 435, 440, 443, 446, 448, 458, 460, 468, 478, 480, 485, 489, 500, 504, 511, 513, 514, 517, 518, 519, 520, 521, 528, 531, 541, 544, 547, 551, 554, 557, 561, 563, 570, 572, 576]",SHL3.tsv
as well,2,59,"[48, 59, 150, 401, 432, 440, 574]",SHL3.tsv
