Expression,Expression_length,Expression_established_position,Expression_uttered_position_speaker,file
that's,1,26,"[15, 26, 94, 117, 210, 212, 312, 325, 345, 349, 352, 388, 398, 427, 438]",S7WW.tsv
yeah,1,31,"[25, 29, 31, 53, 66, 73, 91, 102, 111, 114, 117, 129, 131, 132, 136, 156, 160, 162, 171, 181, 198, 199, 203, 209, 222, 228, 250, 256, 257, 282, 290, 291, 293, 303, 306, 307, 315, 329, 335, 344, 353, 359, 361, 365, 367, 371, 392, 400, 403, 417, 429, 431, 441]",S7WW.tsv
oh yeah,2,117,"[31, 117, 156, 160, 228, 306, 403]",S7WW.tsv
get,1,37,"[36, 37, 47, 54, 115, 118, 125, 137, 149, 158, 187, 191, 219, 220, 230, 247, 257, 260, 264, 267, 271, 273, 284, 291, 318, 322, 345, 346, 351, 378, 407, 415, 424, 426, 435, 439, 440, 445, 457]",S7WW.tsv
they're,1,53,"[22, 53]",S7WW.tsv
yeah i,2,102,"[53, 102, 222, 400]",S7WW.tsv
think,1,222,"[53, 70, 107, 109, 124, 128, 168, 222, 228, 239, 247, 255, 291, 402, 417, 422, 463, 468]",S7WW.tsv
yes,1,72,"[2, 72, 100, 110, 177, 193, 195, 201, 226, 253, 268, 272, 291, 313, 341, 420, 422, 432, 456, 468]",S7WW.tsv
right,1,115,"[1, 3, 6, 9, 39, 102, 115, 195, 237, 255, 290, 291, 293, 330, 357, 416, 427, 428, 471]",S7WW.tsv
do you,2,119,"[54, 101, 119, 137, 228, 295, 435]",S7WW.tsv
of the,2,214,"[125, 163, 214, 272, 279, 440]",S7WW.tsv
somewhere but,2,193,"[102, 193]",S7WW.tsv
oh right,2,195,"[3, 195, 237, 255]",S7WW.tsv
well,1,279,"[27, 33, 69, 112, 175, 191, 219, 245, 248, 255, 257, 279, 290, 293, 302, 330, 343, 388, 408, 415, 435, 437, 439, 445, 455, 469]",S7WW.tsv
be in,2,302,"[181, 210, 302]",S7WW.tsv
i just,2,255,"[102, 255, 339]",S7WW.tsv
