Expression,Expression_length,Expression_established_position,Expression_uttered_position_speaker,file
scones,1,5,"[0, 5, 1331]",SWPV.tsv
make,1,297,"[0, 181, 282, 297, 356, 361, 537, 566, 750, 848, 958, 971, 1094, 1099, 1238, 1240, 1244, 1307, 1310, 1580, 1609, 1641, 1644, 1706, 1768]",SWPV.tsv
yeah,1,63,"[6, 42, 54, 56, 58, 63, 76, 78, 117, 119, 121, 125, 136, 142, 148, 149, 163, 169, 174, 181, 182, 186, 193, 195, 202, 203, 211, 233, 236, 237, 240, 246, 255, 256, 260, 277, 279, 288, 297, 298, 308, 311, 318, 326, 327, 334, 355, 362, 375, 385, 402, 406, 411, 412, 437, 439, 466, 470, 471, 477, 494, 496, 503, 506, 513, 520, 524, 541, 546, 559, 578, 583, 587, 592, 609, 613, 619, 623, 624, 626, 627, 632, 633, 636, 638, 641, 643, 647, 656, 659, 660, 685, 709, 711, 716, 717, 729, 735, 737, 746, 751, 754, 756, 759, 760, 767, 788, 798, 799, 802, 805, 813, 818, 822, 825, 835, 837, 842, 849, 852, 853, 858, 860, 865, 869, 881, 897, 904, 906, 932, 945, 965, 977, 981, 992, 1006, 1011, 1017, 1030, 1031, 1032, 1033, 1037, 1053, 1059, 1067, 1075, 1076, 1079, 1102, 1111, 1165, 1197, 1202, 1204, 1211, 1212, 1222, 1239, 1250, 1252, 1258, 1287, 1293, 1354, 1400, 1431, 1434, 1446, 1450, 1458, 1459, 1463, 1470, 1472, 1478, 1499, 1507, 1511, 1516, 1521, 1531, 1535, 1557, 1570, 1596, 1602, 1616, 1629, 1636, 1637, 1654, 1679, 1681, 1694, 1696, 1705, 1712, 1714, 1717, 1719, 1728, 1730, 1732, 1733, 1735, 1752, 1762, 1766, 1769, 1774, 1781, 1785, 1806, 1808, 1811, 1816, 1817, 1834, 1844, 1846, 1850, 1873, 1882, 1886, 1890, 1900, 1904, 1914, 1934]",SWPV.tsv
eat,1,8,"[1, 8, 778, 894, 1164, 1187, 1207, 1209, 1664, 1673, 1675, 1775]",SWPV.tsv
you have,2,410,"[8, 410, 838, 1264, 1328, 1648, 1899]",SWPV.tsv
have to,2,45,"[8, 45, 57, 85, 104, 326, 442, 512, 538, 564, 573, 718, 819, 824, 952, 975, 1052, 1310, 1515, 1522, 1625, 1648, 1899]",SWPV.tsv
eat them,2,778,"[8, 778, 1207, 1209]",SWPV.tsv
well,1,18,"[10, 18, 27, 55, 65, 67, 71, 87, 98, 105, 176, 191, 274, 301, 337, 356, 358, 386, 421, 442, 454, 464, 469, 505, 514, 518, 537, 538, 546, 550, 566, 622, 643, 648, 700, 720, 778, 816, 824, 838, 846, 848, 880, 890, 897, 929, 933, 953, 959, 966, 1002, 1005, 1022, 1035, 1037, 1078, 1144, 1149, 1158, 1187, 1193, 1203, 1256, 1258, 1272, 1285, 1286, 1295, 1301, 1325, 1344, 1379, 1380, 1383, 1405, 1426, 1489, 1493, 1517, 1523, 1540, 1597, 1613, 1617, 1620, 1630, 1640, 1720, 1750, 1764, 1769, 1778, 1796, 1822, 1825, 1849, 1864, 1881, 1885, 1929]",SWPV.tsv
mind,1,164,"[10, 164, 283, 556, 1164, 1198, 1244, 1335, 1395, 1753]",SWPV.tsv
never,1,572,"[10, 87, 572, 705, 927, 931, 1117, 1119, 1335, 1510, 1617, 1630, 1637, 1652, 1656, 1729]",SWPV.tsv
oh well,2,824,"[10, 824, 1002]",SWPV.tsv
surprise,1,185,"[13, 104, 185, 407, 409, 573, 902, 1173, 1607]",SWPV.tsv
one,1,15,"[1, 15, 71, 129, 197, 244, 305, 324, 338, 352, 484, 493, 497, 509, 516, 523, 546, 566, 567, 568, 577, 594, 664, 683, 732, 778, 936, 1041, 1043, 1074, 1120, 1232, 1329, 1370, 1415, 1438, 1478, 1491, 1492, 1601, 1604, 1620, 1625, 1662, 1688, 1741, 1841, 1878, 1913, 1917, 1920]",SWPV.tsv
cos,1,21,"[15, 21, 53, 83, 180, 235, 261, 330, 343, 362, 484, 507, 509, 527, 537, 705, 720, 832, 835, 977, 1074, 1085, 1412, 1538, 1590, 1613, 1625, 1648, 1777, 1797]",SWPV.tsv
i be,2,33,"[15, 33, 212, 495, 499, 505, 732, 876, 927, 999, 1032, 1041, 1050, 1196, 1274, 1577, 1617, 1622, 1623, 1784, 1909, 1917]",SWPV.tsv
one of,2,71,"[15, 71, 484, 509, 1074, 1120, 1329, 1370, 1415, 1601, 1620, 1688, 1878, 1913, 1917]",SWPV.tsv
say,1,55,"[15, 30, 55, 65, 67, 69, 77, 87, 100, 108, 112, 171, 191, 328, 358, 401, 447, 474, 478, 495, 509, 511, 514, 516, 518, 519, 520, 525, 527, 529, 531, 533, 535, 537, 538, 546, 550, 558, 564, 566, 660, 736, 749, 750, 804, 919, 921, 927, 929, 942, 1032, 1050, 1120, 1169, 1196, 1198, 1222, 1233, 1234, 1235, 1255, 1274, 1308, 1528, 1569, 1577, 1601, 1609, 1613, 1617, 1620, 1622, 1623, 1625, 1628, 1668, 1694, 1777, 1837]",SWPV.tsv
paper,1,509,"[12, 15, 509, 546]",SWPV.tsv
