Expression,Expression_length,Expression_established_position,Expression_uttered_position_speaker,file
okay,1,271,"[0, 55, 64, 203, 216, 256, 271, 323, 337, 373, 497, 541, 766, 768, 807, 1152]",ST25.tsv
's,1,683,"[0, 468, 662, 666, 683, 724, 733, 740, 767, 1170, 1175]",ST25.tsv
cos,1,39,"[2, 39, 68, 91, 92, 151, 181, 268, 404, 406, 409, 417, 443, 493, 600, 604, 752, 783, 837, 876, 969, 975, 977, 986, 1001, 1071, 1086, 1113, 1142, 1169, 1210, 1227]",ST25.tsv
venison,1,418,"[2, 6, 12, 418, 420]",ST25.tsv
sorry,1,95,"[4, 55, 95, 315, 465, 508, 570, 791, 952, 1055]",ST25.tsv
road kill,2,7,"[6, 7, 16, 51, 55, 127, 504, 615, 618]",ST25.tsv
better than,2,16,"[6, 12, 16]",ST25.tsv
think,1,16,"[6, 12, 16, 26, 31, 55, 61, 113, 147, 170, 177, 194, 224, 232, 337, 356, 409, 413, 460, 464, 466, 489, 497, 499, 637, 643, 702, 733, 795, 821, 825, 827, 866, 875, 899, 903, 911, 918, 921, 939, 989, 1043, 1121, 1123, 1143, 1203, 1218, 1228, 1231]",ST25.tsv
organic,1,16,"[6, 12, 16]",ST25.tsv
wild,1,32,"[6, 32, 46]",ST25.tsv
i don't,2,178,"[6, 71, 178, 416, 489, 666, 748, 749, 795, 819, 864, 921, 1041, 1126, 1162, 1186, 1199, 1200, 1228, 1231]",ST25.tsv
do you,2,7,"[6, 7, 18, 25, 55, 60, 62, 105, 177, 200, 208, 214, 270, 275, 311, 423, 435, 486, 499, 510, 567, 571, 588, 595, 686, 740, 932, 939, 951, 953, 959, 986, 1095, 1151, 1207, 1213]",ST25.tsv
that's,1,234,"[6, 138, 151, 153, 180, 234, 237, 272, 344, 377, 392, 400, 443, 474, 499, 605, 615, 616, 666, 695, 756, 783, 785, 814, 818, 849, 863, 880, 881, 887, 897, 902, 903, 972, 976, 988, 1053, 1079, 1141, 1169, 1177, 1225]",ST25.tsv
i know,2,45,"[6, 45, 151, 386, 515, 735, 817, 1201]",ST25.tsv
know,1,45,"[6, 14, 45, 71, 105, 151, 176, 211, 237, 329, 386, 388, 395, 402, 409, 456, 486, 515, 666, 680, 729, 735, 740, 748, 749, 795, 817, 835, 864, 879, 921, 982, 984, 986, 1040, 1042, 1095, 1119, 1167, 1199, 1200, 1201, 1207, 1213, 1218, 1224, 1225]",ST25.tsv
you know,2,211,"[6, 105, 211, 388, 395, 402, 456, 486, 680, 835, 879, 986, 1095, 1167, 1207, 1213, 1218, 1225]",ST25.tsv
kill,1,1088,"[6, 7, 51, 55, 127, 504, 615, 1088, 1099, 1100]",ST25.tsv
but you know i,4,1167,"[6, 1167]",ST25.tsv
i don't know,3,749,"[6, 71, 666, 748, 749, 795, 864, 921, 1199, 1200]",ST25.tsv
