Expression,Expression_length,Expression_established_position,Expression_uttered_position_speaker,file
already,1,1,"[0, 1]",S2DD.tsv
have you,2,181,"[0, 181, 350, 463, 751, 761, 776, 832, 1061, 1297, 1358]",S2DD.tsv
okay,1,32,"[6, 32, 87, 160, 185, 199, 297, 336, 422, 426, 465, 481, 673, 947, 1034, 1037, 1039, 1091, 1309, 1354]",S2DD.tsv
i'm,1,14,"[9, 12, 14, 38, 59, 60, 76, 155, 215, 297, 301, 340, 445, 462, 479, 493, 505, 521, 522, 556, 612, 646, 648, 668, 743, 761, 765, 820, 863, 864, 940, 947, 1015, 1036, 1103, 1105, 1145, 1195, 1202, 1211, 1246, 1388, 1427, 1435, 1438, 1440, 1452, 1459]",S2DD.tsv
come,1,81,"[14, 81, 97, 216, 333, 366, 526, 546, 560, 653, 747, 806, 871, 915, 933, 1015, 1098, 1130, 1150, 1244, 1277, 1347, 1391, 1399]",S2DD.tsv
i should,2,300,"[14, 300, 571, 580]",S2DD.tsv
it i,2,107,"[14, 107, 598, 845, 941, 1042, 1299, 1378]",S2DD.tsv
i'm sure,2,445,"[14, 445, 612, 743, 1015, 1103, 1105, 1211, 1438, 1440]",S2DD.tsv
what you,2,117,"[22, 117]",S2DD.tsv
really,1,22,"[9, 12, 22, 76, 77, 114, 177, 222, 233, 238, 264, 284, 318, 476, 514, 528, 532, 583, 705, 873, 911, 924, 927, 968, 1074, 1222, 1254, 1283, 1401, 1412, 1414, 1425, 1427, 1429, 1435]",S2DD.tsv
you do,2,23,"[22, 23, 414, 477, 478, 864, 1105, 1411, 1427]",S2DD.tsv
should do,2,22,"[3, 22, 813]",S2DD.tsv
record,1,1279,"[22, 1279]",S2DD.tsv
have a,2,56,"[24, 31, 33, 56, 61, 503, 514, 522, 525, 526, 596, 612, 620, 645, 668, 674, 726, 797, 883, 920, 990, 1179, 1245, 1254, 1259, 1383]",S2DD.tsv
cos,1,123,"[24, 123, 133, 175, 184, 216, 233, 333, 337, 438, 505, 554, 601, 641, 699, 707, 725, 767, 771, 775, 805, 853, 892, 914, 999, 1015, 1023, 1076, 1109, 1111, 1166, 1234, 1302, 1314, 1361, 1366, 1372, 1376, 1378, 1412, 1459]",S2DD.tsv
little,1,251,"[24, 31, 251, 808, 1080, 1167, 1191, 1193, 1313]",S2DD.tsv
remember,1,236,"[24, 236, 362, 364, 375, 509, 735, 804, 807, 809, 823, 845, 1057, 1095, 1105, 1109, 1116, 1158, 1297, 1399, 1416, 1418, 1434, 1435]",S2DD.tsv
make,1,252,"[24, 252, 352, 354, 364, 368, 373, 374, 380, 382, 391, 395, 396, 397, 406, 569, 641, 720, 780, 1156, 1302, 1404]",S2DD.tsv
thing,1,373,"[24, 373, 509, 549, 587, 604, 674, 747, 756, 819, 1048, 1136, 1399]",S2DD.tsv
to make a,3,397,"[24, 397]",S2DD.tsv
four,1,279,"[24, 279, 448, 840, 1361, 1452]",S2DD.tsv
will you,2,505,"[24, 505, 1031]",S2DD.tsv
have a little,3,668,"[24, 31, 668]",S2DD.tsv
you to,2,790,"[24, 790, 852]",S2DD.tsv
to the,2,700,"[24, 700, 820, 872, 1109, 1176]",S2DD.tsv
four days,2,1361,"[24, 1361]",S2DD.tsv
yeah,1,26,"[4, 18, 19, 21, 26, 29, 43, 44, 64, 67, 68, 71, 76, 79, 86, 114, 116, 127, 133, 136, 138, 140, 145, 149, 150, 152, 159, 164, 169, 172, 176, 181, 198, 201, 221, 223, 225, 258, 266, 267, 274, 278, 295, 299, 313, 315, 320, 322, 337, 338, 348, 351, 357, 366, 378, 385, 394, 408, 409, 410, 417, 426, 431, 437, 454, 464, 473, 483, 488, 490, 496, 504, 515, 521, 532, 533, 537, 539, 545, 547, 553, 555, 557, 581, 593, 602, 609, 612, 650, 656, 657, 661, 665, 674, 684, 688, 689, 691, 703, 706, 713, 723, 727, 739, 740, 742, 745, 751, 752, 763, 781, 783, 787, 789, 795, 806, 810, 812, 817, 822, 825, 831, 835, 839, 841, 843, 855, 856, 882, 885, 889, 891, 893, 896, 900, 907, 915, 922, 932, 964, 971, 978, 999, 1003, 1021, 1049, 1052, 1058, 1062, 1065, 1067, 1069, 1075, 1077, 1080, 1085, 1094, 1112, 1115, 1124, 1125, 1129, 1133, 1134, 1141, 1142, 1144, 1149, 1164, 1171, 1195, 1196, 1205, 1209, 1212, 1215, 1218, 1224, 1227, 1246, 1259, 1266, 1273, 1279, 1281, 1288, 1293, 1299, 1300, 1318, 1320, 1350, 1357, 1364, 1368, 1370, 1371, 1375, 1377, 1379, 1380, 1382, 1400, 1403, 1408, 1416, 1425, 1456]",S2DD.tsv
yeah but,2,43,"[26, 43, 267, 378, 408, 409, 410, 504, 533, 781, 789, 1080, 1124, 1141]",S2DD.tsv
be the,2,65,"[26, 58, 65, 409, 509, 728, 1014, 1073, 1181, 1264, 1319, 1407, 1410]",S2DD.tsv
need to,2,31,"[4, 31, 126, 848, 891]",S2DD.tsv
notepad,1,32,"[31, 32, 33]",S2DD.tsv
