S0519	you can just delete them and they come up in order with the time that you take it on and
S0520	yeah
S0519	and you can even name it and everything so
S0520	definitely
S0519	it's a very neat
S0520	i don't even know i don't even remember why i have a oh no because i i record the retreat on my phone as a backup cos we have like an official record that we you know that's really good quality
S0519	mm
S0520	of anadi when he give talk erm but sometimes it fail for whatever reason
S0519	you just have to
S0520	record it with my phone so so i i download this application voice recorder application on to my phone but i didn't you know consider the options at the time i just quickly do it
S0519	yeah
S0520	whatever come up first but maybe it's just not a good app
S0519	mm
S0520	i sellotape my tweezers together
S0519	i've get lot of pair of tweezers
S0520	i need to buy some
S0519	well no i've get lot quite a few good ones
S0520	oh there
S0519	so and i've get a little mini pair that you might like but er
S0520	i've get a big grey streak come through
S0519	woohoo
S0520	i'm not old yet so it feel that it's unfair
S0519	it be entirely unfair
S0520	i don't think i'm as bad a but she's have a few more years than me
S0519	have she er have she get quite a few
S0520	she dye it but you you when she doesn't dye it you see
S0519	i know she do the the you know
S0520	she's do highlight hasn't she
S0519	yes and a rinse dye
S0520	yeah
S0519	that's what i use to do for a long time
S0520	that'll do yeah but when she doesn't dye it she's get quite a few i've just get a few right at the front
S0519	i've be interest see as i've get my little blond lock
S0520	oh yeah
S0519	to actually see that i've get quite a little bite of dark still
S0520	oh yeah
S0519	very little but a little bite of dark and certainly at the back er so i will have some colour
S0520	yeah exactly
S0519	erm i wish you could have like a very thick tooth comb and just go like that and that and put a brown dye in that much you know
S0520	what like yeah
S0519	just like brown streak
S0520	as if it be brown
S0519	it's as if it be brown
S0520	yeah i think you just need to go to a really good hairdresser like once
S0519	i will i will
S0520	and get them their advice about it and maybe the trick seem to be to dye it grey
S0519	somebody be it you that say that
S0520	if you want it yeah
S0519	yeah die but i don't really want to do that the whole point be to get rid of the thing but
S0520	no no no as a as a step through as a step stone through
S0519	yes
S0520	and then you know it doesn't matter if you have to go to the hairdresser a couple of time a year
S0519	yeah i think once this have be cut now there'll be a lot less of the yellow might go a tiny bite shorter
S0520	yeah
S0519	and just get rid of quite a bite of yellow
S0520	get the yellow out
S0519	erm but no i know what you mean if i if i twice a year have some kind of nice highlight
S0520	that's what i mean
S0519	that would be a nice thing
S0520	like yeah you don't want to be again have to go every three weeks
S0519	three weeks dye my hair dye it grey
S0519	i can provide that on my own
S0520	i know it's a bite silly so what's the er choir today recap from the weekend
S0519	it'll be recap the weekend
S0520	yeah
S0519	so i i'm i be we've get four songs three big up tune for this slot while everybody's not bother wait for their result
S0519	erm three the three big number be erm let's get the party start which be just a fun upbeat it have move erm that man which be a six part huge and church so those three and then a beautiful beautiful beautifully sad choral piece
S0520	mm
S0519	erm call it be well with my soul and erm a man so it's a complete contrast so none of those barbershop songs which be quite nice
S0520	oh that's cool yeah
S0519	they're they're just great songs
S0520	so you're not do barbara or that's your that's your competition piece
S0519	oh so that's our competition piece with a another now we don't know which
S0520	babs
S0519	erm presumably it'll be what we do last year
S0520	yeah
S0519	and we do those first thing in the morning on the saturday we're call the mic warmers
S0520	yeah
S0519	and they get judge so we we're take six songs erm to the contest so that's quite a lot to get good
S0520	that be a lot to get good
S0519	so it's good
S0520	so you've get four weeks and a bite then
S0519	so five yeah yeah four weeks and we've get another full day the eighteenth of october haven't mention that to dad yet he might faint
S0520	have you not poor dad
S0519	it's a sunday erm so we've get another full day in four weeks i think we'll be that man tonight cos we didn't do much of that as well as recap what we learn from the weekend
S0520	yeah
S0519	erm 's already send us a big email say thank you everything that do be support what the music team's belief be about how to go forward and how over the next two years to become the choir that we want to be
S0520	it's cool that she's so ambitious isn't it
S0519	yes
S0520	so you feel like not just that you're have a nice time but that there's a kind of goal and
S0519	yeah the just a couple of weeks ago the music team have a whole day erm session call basically the way forward
S0520	mm wow
S0519	so they have a whole day plan how they can raise the standards of the chorus erm sound pretty good doesn't it
S0520	yeah
S0519	i think it's go to involve us erm record ourselves
S0520	oh yeah how do that go have you listen to it
S0519	which
S0520	cos you go last time i be here it be
S0519	the cd
S0520	yeah
S0519	we do you know we're really quite shock
S0520	where be it
S0519	cos the guy his job be get the erm the the the sort of proof through to us if we're go to be sell it at conventions supposedly
S0520	i know
S0519	erm and he suppose to have get the proof through and they go back and forward and back and forward and he's still finish off some other chorus's cd
S0520	no ways
S0519	and we've not even hear the proof yet so and he keep say no it'll be fine don't worry well they're they're really worry
S0520	don't worry
S0519	the music team want to you know really have time to do some edit
S0520	that's annoy
