Expression,Expression_length,Expression_established_position,Expression_uttered_position_speaker1,Expression_uttered_position_speaker2,file,speaker1,speaker2
physics,1,3,"[0, 4, 27, 94]",[3],STUM.tsv,S0325,S0324
yeah,1,9,"[0, 4, 8, 21, 25, 27, 29, 33, 44, 45, 47, 52, 60, 68, 73, 78, 88, 111, 127, 133, 147, 151, 161, 163, 167, 171, 175, 179, 181, 185, 193, 195, 198, 200, 208, 228, 235, 245, 247, 260, 262, 264, 269, 273, 281, 293, 295, 305, 311, 313, 323, 335, 337, 339, 341, 345, 347, 349, 355, 364, 372, 374, 380, 381, 386, 388, 392, 396, 425, 433, 436, 453, 459, 461, 476, 487, 490, 492, 497, 520, 533, 566, 586, 593, 600, 602, 614, 616, 624, 628, 632, 638, 640, 654, 655, 661, 663, 665, 667, 673, 698]","[9, 15, 17, 20, 22, 24, 48, 80, 99, 103, 108, 110, 112, 122, 124, 126, 128, 132, 148, 156, 168, 174, 178, 190, 203, 205, 225, 238, 240, 253, 255, 270, 274, 286, 288, 290, 292, 298, 302, 310, 316, 318, 324, 334, 377, 379, 384, 385, 389, 400, 405, 409, 426, 432, 444, 450, 454, 465, 469, 473, 483, 498, 500, 547, 553, 569, 579, 583, 589, 620, 633, 637, 641, 643, 647, 658, 675, 677, 467, 477, 561, 567, 594, 604]",STUM.tsv,S0325,S0324
's,1,9,"[0, 2, 189, 406, 438, 544, 602]",[9],STUM.tsv,S0325,S0324
like,1,13,"[0, 2, 8, 14, 16, 21, 23, 27, 29, 35, 38, 39, 41, 42, 44, 45, 47, 52, 55, 56, 58, 60, 61, 75, 76, 78, 86, 88, 90, 92, 94, 98, 102, 111, 119, 121, 123, 125, 127, 129, 131, 147, 153, 155, 159, 161, 167, 179, 185, 189, 191, 202, 210, 212, 216, 235, 239, 241, 250, 256, 258, 262, 269, 276, 277, 279, 283, 285, 289, 291, 297, 301, 303, 366, 374, 378, 381, 390, 399, 404, 408, 410, 412, 414, 416, 420, 422, 427, 428, 433, 438, 441, 443, 449, 451, 453, 455, 468, 474, 476, 478, 482, 494, 497, 501, 502, 508, 510, 511, 512, 515, 521, 528, 533, 543, 544, 582, 586, 587, 588, 602, 603, 605, 607, 619, 624, 632, 640, 645, 646, 648, 654, 655, 657, 669, 674, 676, 678, 685, 686, 687, 688, 690, 694, 696, 703]","[13, 24, 50, 72, 77, 89, 116, 126, 134, 142, 168, 170, 174, 180, 182, 192, 207, 232, 242, 248, 249, 263, 265, 278, 280, 284, 294, 320, 324, 330, 336, 338, 340, 344, 346, 348, 356, 371, 373, 377, 379, 384, 385, 391, 400, 423, 450, 465, 471, 483, 489, 503, 504, 529, 534, 538, 540, 554, 555, 556, 557, 558, 559, 561, 565, 567, 569, 570, 573, 585, 589, 590, 592, 594, 613, 615, 620, 621, 627, 629, 631, 635, 637, 651, 653, 660, 662, 664, 666, 670, 689, 699]",STUM.tsv,S0325,S0324
really,1,13,"[0, 6, 8, 14, 21, 23, 27, 41, 55, 86, 90, 125, 127, 131, 159, 191, 202, 206, 212, 235, 237, 372, 422, 431, 445, 449, 455, 459, 531, 578, 584, 587, 588, 646, 652, 655, 685]","[13, 83, 85, 110, 170, 180, 182, 196, 211, 280, 423, 472, 668]",STUM.tsv,S0325,S0324
like oh,2,24,"[0, 2, 56, 61, 92, 185, 216, 235, 276, 277, 291, 297, 478, 497, 533, 602, 676, 686]","[24, 340, 344, 346, 356, 384, 621, 561, 594, 232, 471, 567]",STUM.tsv,S0325,S0324
get,1,24,"[0, 2, 57, 58, 60, 105, 127, 129, 130, 212, 357, 364, 424, 425, 478, 484, 512, 515, 572, 607, 685]","[24, 77, 104, 358, 430, 432, 446, 485, 681]",STUM.tsv,S0325,S0324
people,1,46,"[0, 607, 646]","[46, 160]",STUM.tsv,S0325,S0324
be like,2,50,"[0, 2, 27, 44, 47, 52, 56, 58, 60, 86, 88, 90, 92, 94, 102, 129, 179, 185, 189, 191, 216, 235, 250, 256, 276, 277, 285, 289, 291, 297, 301, 366, 374, 378, 390, 410, 416, 428, 468, 474, 476, 478, 508, 510, 521, 528, 533, 543, 586, 587, 588, 602, 640, 654]","[50, 192, 232, 242, 265, 340, 391, 423, 465, 529, 556, 557, 558, 559, 567, 570, 589, 590, 620, 627, 629, 631, 653, 471]",STUM.tsv,S0325,S0324
teachers be,2,97,"[0, 94]",[97],STUM.tsv,S0325,S0324
i've,1,104,"[0, 105]","[104, 132, 681]",STUM.tsv,S0325,S0324
be the,2,137,"[0, 78, 86]","[137, 346, 542]",STUM.tsv,S0325,S0324
like a,2,142,"[0, 29, 427, 501, 502, 511]","[142, 294, 336, 503]",STUM.tsv,S0325,S0324
be like oh,3,232,"[0, 2, 56, 92, 185, 216, 235, 276, 277, 291, 297, 478, 533, 602]","[232, 340, 471, 567]",STUM.tsv,S0325,S0324
do the,2,246,"[0, 86]",[246],STUM.tsv,S0325,S0324
thing,1,246,"[0, 216, 410, 416, 428, 640]","[246, 280, 292, 324, 356, 627, 630, 631]",STUM.tsv,S0325,S0324
it and,2,248,"[0, 212, 476, 507]","[248, 599]",STUM.tsv,S0325,S0324
like i,2,278,"[0, 78, 189, 476, 512, 587, 588, 607]","[278, 554, 555, 569, 570]",STUM.tsv,S0325,S0324
it be,2,310,"[0, 27, 78, 228, 237, 239, 254, 289, 372, 390, 410, 416, 468, 470, 474, 476, 507, 640]","[310, 318, 385, 471, 472, 590, 653]",STUM.tsv,S0325,S0324
maths,1,322,"[0, 2, 429, 433, 453, 455]","[322, 452]",STUM.tsv,S0325,S0324
she be,2,324,"[0, 2, 27, 33, 35, 43, 44, 60, 235, 291, 317, 319, 323, 333, 374, 410, 468, 474, 478, 480, 533, 586, 624, 654]","[324, 469, 689, 471, 556, 558]",STUM.tsv,S0325,S0324
and the,2,356,"[0, 212, 366, 386, 607, 687]",[356],STUM.tsv,S0325,S0324
and she,2,400,"[0, 2, 27, 41, 44, 291, 468, 478, 586, 654, 657, 692, 694]","[400, 485, 471]",STUM.tsv,S0325,S0324
get a,2,446,"[0, 2, 57, 58, 60, 105, 424, 425]",[446],STUM.tsv,S0325,S0324
oh yeah,2,467,"[0, 185, 313]","[467, 477, 604, 561, 567, 594]",STUM.tsv,S0325,S0324
and she be like,4,471,"[0, 2, 27, 44, 291, 478, 586, 654]",[471],STUM.tsv,S0325,S0324
side,1,495,[0],[495],STUM.tsv,S0325,S0324
class,1,523,"[0, 597, 685]",[523],STUM.tsv,S0325,S0324
she be like,3,556,"[0, 2, 27, 44, 60, 235, 291, 374, 410, 468, 474, 478, 533, 586, 654]","[556, 558]",STUM.tsv,S0325,S0324
of it,2,558,[0],[558],STUM.tsv,S0325,S0324
like oh yeah,3,561,"[0, 185]","[561, 594]",STUM.tsv,S0325,S0324
be like oh yeah,4,567,"[0, 185]",[567],STUM.tsv,S0325,S0324
be like i,3,570,"[0, 189, 476, 587, 588]",[570],STUM.tsv,S0325,S0324
i do,2,639,"[0, 78, 189, 327, 674]",[639],STUM.tsv,S0325,S0324
i'm,1,51,"[2, 14, 44, 52, 55, 60, 61, 129, 130, 131, 155, 189, 235, 239, 256, 402, 422, 433, 438, 494, 520, 521, 543, 552, 602, 605, 607, 640, 654, 669, 676, 685, 687, 703]","[51, 248, 346, 356, 549, 554, 575, 540, 558, 559]",STUM.tsv,S0325,S0324
year,1,72,"[2, 4, 86, 90, 404, 502]","[72, 77]",STUM.tsv,S0325,S0324
like the,2,207,"[2, 212, 262, 291, 366]","[207, 324, 373]",STUM.tsv,S0325,S0324
like i'm,2,248,"[2, 44, 52, 55, 60, 129, 155, 239, 422, 438, 607, 654]","[248, 540, 558, 559]",STUM.tsv,S0325,S0324
i be,2,280,"[2, 56, 58, 60, 86, 88, 90, 189, 191, 216, 250, 276, 277, 279, 297, 301, 374, 378, 439, 459, 468, 474, 476, 478, 510, 525, 528, 533, 543, 586, 587, 588, 602]","[280, 379, 395, 400, 423, 542, 554, 555, 697, 465, 567, 590, 471, 529, 557, 559, 620]",STUM.tsv,S0325,S0324
in her,2,395,"[2, 44, 499]","[395, 400, 702]",STUM.tsv,S0325,S0324
god,1,415,"[2, 497]","[415, 517]",STUM.tsv,S0325,S0324
i be like,3,465,"[2, 56, 58, 60, 86, 88, 90, 189, 191, 216, 250, 276, 277, 297, 301, 378, 468, 474, 476, 478, 510, 528, 533, 543, 586, 587, 588, 602]","[465, 529, 557, 559, 590, 620, 471, 567]",STUM.tsv,S0325,S0324
i be like oh,4,471,"[2, 56, 216, 276, 277, 297, 602]","[471, 567]",STUM.tsv,S0325,S0324
she get,2,485,"[2, 484]",[485],STUM.tsv,S0325,S0324
she be like i'm so,5,558,[2],[558],STUM.tsv,S0325,S0324
be like i'm so,4,559,[2],[559],STUM.tsv,S0325,S0324
yeah the,2,316,[4],[316],STUM.tsv,S0325,S0324
be really,2,83,"[6, 27, 90, 159, 206, 237, 372, 422, 459, 584]","[83, 85, 280, 423]",STUM.tsv,S0325,S0324
they be,2,162,"[6, 147, 256, 327, 506]","[162, 385]",STUM.tsv,S0325,S0324
mr,1,9,"[8, 38, 94, 98, 121, 123, 212, 402, 422, 427, 507, 603]","[9, 17, 199, 608]",STUM.tsv,S0325,S0324
like yeah,2,24,"[8, 44, 45]","[24, 168]",STUM.tsv,S0325,S0324
actually,1,32,"[8, 98, 478, 520, 552, 674]","[32, 36, 87, 194, 209, 223, 229, 530, 581]",STUM.tsv,S0325,S0324
it's like,2,168,"[8, 23, 45, 94, 210, 241, 262, 399, 482]","[168, 207, 263, 280, 284, 324, 336, 371, 538, 561, 621, 635, 637, 670]",STUM.tsv,S0325,S0324
a weirdo,2,17,[10],[17],STUM.tsv,S0325,S0324
cos he's,2,24,[10],[24],STUM.tsv,S0325,S0324
he's,1,46,"[10, 14, 38, 44, 45, 55, 92, 98, 123, 125, 127, 159, 189, 202, 212, 235, 269, 607]","[46, 160, 180, 184, 248, 249, 261, 278, 280, 304, 338, 340, 344, 346, 348, 356, 377, 384]",STUM.tsv,S0325,S0324
cos,1,83,"[10, 42, 43, 56, 58, 100, 212, 269, 381, 422, 425, 441, 449, 476, 528, 546, 578, 602, 655, 674]","[83, 84, 148, 150, 196, 207, 248, 263, 324, 330, 367, 371, 373, 503, 554, 561, 637]",STUM.tsv,S0325,S0324
do he,2,87,"[10, 60]","[87, 158]",STUM.tsv,S0325,S0324
why do he,3,158,[10],[158],STUM.tsv,S0325,S0324
in a,2,261,"[10, 533]",[261],STUM.tsv,S0325,S0324
well,1,14,"[14, 60, 189, 228, 269, 420, 422, 424, 438, 476, 478, 506, 609, 657]","[9, 26, 99, 158, 344, 437, 630, 631, 633, 643, 50, 423]",STUM.tsv,S0325,S0324
like well,2,50,"[14, 189, 269, 438, 478]","[50, 423]",STUM.tsv,S0325,S0324
and then,2,85,"[14, 21, 35, 38, 44, 57, 58, 86, 94, 189, 239, 285, 291, 378, 386, 414, 474, 478, 499, 543, 603]","[85, 178, 244, 278, 280, 312, 340, 344, 350, 356, 385, 491, 681]",STUM.tsv,S0325,S0324
teachers,1,97,"[14, 111]",[97],STUM.tsv,S0325,S0324
he just,2,126,"[14, 189, 269]","[126, 278]",STUM.tsv,S0325,S0324
you do,2,138,"[14, 60]","[138, 421, 589]",STUM.tsv,S0325,S0324
he's like,2,180,"[14, 38, 44, 45, 55, 98, 127, 159, 189, 269, 607]","[180, 248, 249, 280, 338, 340, 344, 346, 348, 356, 377, 384]",STUM.tsv,S0325,S0324
always,1,196,"[14, 21, 123, 685]","[196, 358]",STUM.tsv,S0325,S0324
like he,2,263,"[14, 55, 123]","[263, 265, 280]",STUM.tsv,S0325,S0324
do that,2,356,"[14, 147, 189, 427, 518, 520, 587, 674]","[356, 421]",STUM.tsv,S0325,S0324
he didn't,2,362,[14],[362],STUM.tsv,S0325,S0324
can you,2,421,"[14, 147, 235, 605, 669, 674, 703]","[421, 617]",STUM.tsv,S0325,S0324
to do,2,458,[14],[458],STUM.tsv,S0325,S0324
leave,1,534,"[14, 79]",[534],STUM.tsv,S0325,S0324
and then i,3,681,"[14, 57, 58, 86, 474, 499, 543]",[681],STUM.tsv,S0325,S0324
realise,1,681,"[14, 90]",[681],STUM.tsv,S0325,S0324
annoy me,2,691,[14],"[691, 695]",STUM.tsv,S0325,S0324
so annoy,2,691,"[14, 402]","[691, 695]",STUM.tsv,S0325,S0324
have like,2,294,[16],"[294, 379]",STUM.tsv,S0325,S0324
and he,2,19,"[19, 27, 38, 44, 68, 78, 86, 92, 125, 277, 327]","[17, 184, 238, 242, 312, 385]",STUM.tsv,S0325,S0324
feel,1,132,"[21, 147, 655]","[132, 196]",STUM.tsv,S0325,S0324
yeah and,2,168,"[21, 68, 386, 586, 602, 654]","[168, 238, 483, 620, 178]",STUM.tsv,S0325,S0324
yeah and then,3,178,"[21, 386]",[178],STUM.tsv,S0325,S0324
feel really,2,196,[21],[196],STUM.tsv,S0325,S0324
and then she,3,350,"[21, 44]",[350],STUM.tsv,S0325,S0324
bad,1,419,"[21, 86, 90, 109, 222, 416, 427, 652]","[419, 627, 630, 631]",STUM.tsv,S0325,S0324
like really,2,170,"[23, 90, 127]","[170, 180]",STUM.tsv,S0325,S0324
awkward,1,581,[23],[581],STUM.tsv,S0325,S0324
mm yeah,2,274,[25],"[274, 377, 547]",STUM.tsv,S0325,S0324
on the,2,32,"[27, 33, 35, 43, 60, 86, 235, 271, 276, 366, 603]","[32, 387, 72, 77]",STUM.tsv,S0325,S0324
lie,1,32,"[27, 35]","[32, 36]",STUM.tsv,S0325,S0324
the table,2,37,"[27, 35, 43]",[37],STUM.tsv,S0325,S0324
lie on the table,4,72,"[27, 35]","[72, 77]",STUM.tsv,S0325,S0324
go,1,74,"[27, 38, 41, 42, 44, 56, 57, 58, 78, 86, 189, 237, 269, 271, 279, 291, 361, 383, 507, 515, 578, 584, 618, 674, 683]","[74, 118, 134, 259, 261, 278, 280, 294, 312, 346, 350, 356, 358, 469, 682, 352, 594]",STUM.tsv,S0325,S0324
be just,2,81,"[27, 33, 35, 43, 55, 147, 189, 239, 329, 381, 453, 476, 602, 632]","[81, 310, 382, 385, 697]",STUM.tsv,S0325,S0324
yeah so,2,126,[27],"[126, 334]",STUM.tsv,S0325,S0324
