Expression,Expression_length,Expression_established_position,Expression_uttered_position_speaker1,Expression_uttered_position_speaker2,file,speaker1,speaker2
dishwasher,1,22,[0],"[22, 26, 28, 30]",S43S.tsv,S0589,S0588
look,1,34,"[0, 230]","[34, 63, 209]",S43S.tsv,S0589,S0588
that's,1,36,"[0, 29, 31, 41, 87, 242, 244]","[36, 59, 98, 110, 173, 231, 233, 235, 296]",S43S.tsv,S0589,S0588
i mean,2,9,"[4, 152, 236]","[9, 61, 108, 147, 280]",S43S.tsv,S0589,S0588
mean,1,175,"[4, 109, 152, 236]","[175, 235, 280]",S43S.tsv,S0589,S0588
have come,2,267,[4],[267],S43S.tsv,S0589,S0588
out of the,3,181,[6],[181],S43S.tsv,S0589,S0588
of the,2,189,"[6, 101]",[189],S43S.tsv,S0589,S0588
good,1,63,"[8, 144, 154, 160, 162, 164, 188, 204, 266]","[63, 116, 155, 157, 165, 195, 203]",S43S.tsv,S0589,S0588
cup be,2,14,[13],[14],S43S.tsv,S0589,S0588
i think,2,26,"[13, 67, 69, 109, 154, 186, 220, 263]","[26, 30, 38, 59, 213]",S43S.tsv,S0589,S0588
cup,1,63,[13],[63],S43S.tsv,S0589,S0588
funny,1,116,"[13, 274]",[116],S43S.tsv,S0589,S0588
think,1,138,"[13, 19, 64, 67, 69, 95, 109, 154, 164, 186, 220, 263, 266, 270]","[138, 145, 165, 213]",S43S.tsv,S0589,S0588
i don't,2,19,"[19, 27, 95, 125, 164, 170, 186, 206]","[5, 7, 22, 221, 223, 138, 165]",S43S.tsv,S0589,S0588
i don't think,3,138,"[19, 95, 164]","[138, 165]",S43S.tsv,S0589,S0588
use,1,26,"[21, 176, 178]","[26, 177]",S43S.tsv,S0589,S0588
cos,1,197,"[21, 150, 266, 268]",[197],S43S.tsv,S0589,S0588
even,1,23,"[23, 79, 87, 121, 272, 274]","[22, 80, 116, 221]",S43S.tsv,S0589,S0588
make,1,63,[23],"[63, 122]",S43S.tsv,S0589,S0588
put them in the dishwasher,5,27,[27],[22],S43S.tsv,S0589,S0588
well,1,27,"[27, 89, 95, 119, 133, 146, 162, 180, 182, 210, 222, 228, 253, 281, 287]","[24, 59, 106, 122, 132, 136, 229, 260, 61]",S43S.tsv,S0589,S0588
in the dishwasher,3,27,[27],"[26, 28, 30]",S43S.tsv,S0589,S0588
like the,2,27,[27],[26],S43S.tsv,S0589,S0588
put,1,27,"[27, 64, 67, 133, 186]","[26, 134, 183]",S43S.tsv,S0589,S0588
like,1,47,"[27, 95, 152]","[47, 63, 66, 75, 118, 149, 185, 203, 277]",S43S.tsv,S0589,S0588
well i,2,61,[27],[61],S43S.tsv,S0589,S0588
to the,2,80,"[27, 85, 127, 261]",[80],S43S.tsv,S0589,S0588
in the,2,195,"[27, 97, 121, 176, 240]","[195, 247]",S43S.tsv,S0589,S0588
get,1,29,"[29, 119, 135, 137, 139, 259, 268]","[7, 9, 28, 108, 140, 173, 175, 179, 189, 198, 271, 203, 209]",S43S.tsv,S0589,S0588
oh that's,2,110,"[29, 41]","[110, 173, 233, 296]",S43S.tsv,S0589,S0588
get a,2,203,[29],"[203, 209]",S43S.tsv,S0589,S0588
yeah,1,38,"[31, 54, 58, 71, 109, 129, 214, 230, 242, 253, 278]","[38, 42, 44, 46, 78, 86, 130, 140, 153, 197, 241, 245, 260, 262, 265, 269, 273, 288, 298]",S43S.tsv,S0589,S0588
that's why,2,59,[31],[59],S43S.tsv,S0589,S0588
what be,2,61,"[35, 180]","[61, 63, 165]",S43S.tsv,S0589,S0588
have you,2,63,[35],[63],S43S.tsv,S0589,S0588
what have you,3,231,[35],[231],S43S.tsv,S0589,S0588
really,1,37,"[37, 45, 48, 58, 119, 196]","[22, 120, 252, 260]",S43S.tsv,S0589,S0588
recipe,1,61,[39],[61],S43S.tsv,S0589,S0588
cakey,1,42,"[41, 58]",[42],S43S.tsv,S0589,S0588
buckwheat,1,43,"[43, 150]","[36, 51, 145]",S43S.tsv,S0589,S0588
be it,2,59,"[43, 99, 164, 216]","[59, 122, 132, 116]",S43S.tsv,S0589,S0588
be it a,3,116,[43],[116],S43S.tsv,S0589,S0588
a hundred,2,282,[43],[282],S43S.tsv,S0589,S0588
go,1,63,"[50, 62, 119, 131, 180, 182, 184, 240, 251, 255, 258, 264, 295]","[63, 209, 213, 235, 256]",S43S.tsv,S0589,S0588
contain,1,53,[52],[53],S43S.tsv,S0589,S0588
nut,1,53,[52],[53],S43S.tsv,S0589,S0588
say,1,57,"[52, 54, 261]","[57, 197]",S43S.tsv,S0589,S0588
alright,1,209,"[52, 117]",[209],S43S.tsv,S0589,S0588
yeah but,2,58,"[58, 71, 109]",[38],S43S.tsv,S0589,S0588
from the,2,114,[58],"[114, 128]",S43S.tsv,S0589,S0588
shop,1,126,[58],[126],S43S.tsv,S0589,S0588
anything,1,183,[58],"[183, 284]",S43S.tsv,S0589,S0588
buy,1,284,"[58, 166]","[284, 290]",S43S.tsv,S0589,S0588
annoy,1,296,[58],[296],S43S.tsv,S0589,S0588
want,1,62,"[62, 206]","[22, 63, 159, 163]",S43S.tsv,S0589,S0588
erm no,2,64,[64],[51],S43S.tsv,S0589,S0588
do you,2,64,"[64, 119, 214]","[63, 145]",S43S.tsv,S0589,S0588
he's,1,64,"[64, 105]",[63],S43S.tsv,S0589,S0588
think i,2,138,[69],[138],S43S.tsv,S0589,S0588
oh i,2,202,"[69, 109, 206]",[202],S43S.tsv,S0589,S0588
it's a bite,3,73,[73],[61],S43S.tsv,S0589,S0588
isn't it,2,94,[73],[94],S43S.tsv,S0589,S0588
it's a,2,155,[73],"[155, 195]",S43S.tsv,S0589,S0588
a bite,2,163,[73],"[163, 280]",S43S.tsv,S0589,S0588
bite,1,205,"[73, 89, 119]","[205, 280]",S43S.tsv,S0589,S0588
turn,1,198,"[79, 87, 111, 113]",[198],S43S.tsv,S0589,S0588
the leave do,3,85,[85],[74],S43S.tsv,S0589,S0588
leave,1,104,"[85, 101, 261, 285]",[104],S43S.tsv,S0589,S0588
scandalous,1,88,[87],[88],S43S.tsv,S0589,S0588
bite of,2,89,[89],"[61, 280]",S43S.tsv,S0589,S0588
cos you,2,197,[89],[197],S43S.tsv,S0589,S0588
and then,2,95,"[95, 101, 107, 152, 248, 257, 261, 263, 266, 270]","[14, 110, 179, 198, 256, 277]",S43S.tsv,S0589,S0588
arrive,1,110,"[95, 107, 248]","[110, 250]",S43S.tsv,S0589,S0588
there be two,3,97,[97],[14],S43S.tsv,S0589,S0588
be the,2,97,"[97, 228]","[51, 74]",S43S.tsv,S0589,S0588
two people,2,98,"[97, 111]",[98],S43S.tsv,S0589,S0588
there so,2,173,[97],[173],S43S.tsv,S0589,S0588
two,1,173,"[97, 103, 105, 111, 115, 255, 258]",[173],S43S.tsv,S0589,S0588
there be,2,221,[97],[221],S43S.tsv,S0589,S0588
that we,2,235,[97],[235],S43S.tsv,S0589,S0588
and that,2,175,"[99, 111, 274]",[175],S43S.tsv,S0589,S0588
the other,2,101,"[101, 283]","[26, 193]",S43S.tsv,S0589,S0588
one of,2,102,[101],"[102, 209]",S43S.tsv,S0589,S0588
one,1,110,"[101, 127, 230, 238, 240]","[110, 126, 195, 215, 235, 237, 239, 241, 209]",S43S.tsv,S0589,S0588
so it,2,105,[105],[16],S43S.tsv,S0589,S0588
it be,2,105,"[105, 117, 285]","[42, 203, 280]",S43S.tsv,S0589,S0588
sweet,1,173,[105],[173],S43S.tsv,S0589,S0588
and then arrive,3,110,[107],[110],S43S.tsv,S0589,S0588
you mean the,3,235,[109],[235],S43S.tsv,S0589,S0588
of them,2,111,[111],"[9, 102]",S43S.tsv,S0589,S0588
be two,2,111,[111],[14],S43S.tsv,S0589,S0588
department,1,114,[111],[114],S43S.tsv,S0589,S0588
people,1,115,[115],[98],S43S.tsv,S0589,S0588
for me,2,119,"[119, 160, 162]",[112],S43S.tsv,S0589,S0588
clean,1,124,[119],[124],S43S.tsv,S0589,S0588
you get,2,198,[119],[198],S43S.tsv,S0589,S0588
mother in law's pride,4,123,[123],[122],S43S.tsv,S0589,S0588
know,1,125,"[125, 148, 180, 182, 184]","[1, 221, 223, 225]",S43S.tsv,S0589,S0588
corner shop,2,126,"[125, 133]",[126],S43S.tsv,S0589,S0588
and i,2,213,"[125, 258]",[213],S43S.tsv,S0589,S0588
i don't know,3,221,[125],"[221, 223]",S43S.tsv,S0589,S0588
don't know,2,225,"[125, 148]",[225],S43S.tsv,S0589,S0588
corner,1,237,"[125, 133]",[237],S43S.tsv,S0589,S0588
the one,2,127,"[127, 230, 238, 240]","[126, 215, 237]",S43S.tsv,S0589,S0588
have to,2,131,"[131, 258, 259]",[47],S43S.tsv,S0589,S0588
so i,2,173,[131],[173],S43S.tsv,S0589,S0588
go to,2,213,"[131, 240, 251]","[213, 256]",S43S.tsv,S0589,S0588
the quinoa,2,133,[133],[63],S43S.tsv,S0589,S0588
quorn,1,133,[133],[66],S43S.tsv,S0589,S0588
quinoa,1,138,[133],[138],S43S.tsv,S0589,S0588
put on the,3,183,[133],[183],S43S.tsv,S0589,S0588
we're,1,213,"[133, 246]",[213],S43S.tsv,S0589,S0588
on the,2,237,[133],[237],S43S.tsv,S0589,S0588
maybe,1,135,"[135, 137, 139, 272]",[26],S43S.tsv,S0589,S0588
okay,1,135,"[135, 287]","[134, 145]",S43S.tsv,S0589,S0588
get change,2,140,"[137, 139]",[140],S43S.tsv,S0589,S0588
we've,1,150,[150],[7],S43S.tsv,S0589,S0588
take,1,152,[152],"[11, 16, 181]",S43S.tsv,S0589,S0588
it'll be,2,152,[152],[40],S43S.tsv,S0589,S0588
it'll,1,152,[152],[40],S43S.tsv,S0589,S0588
toast,1,152,[152],"[40, 59, 145]",S43S.tsv,S0589,S0588
i mean i,3,152,[152],[61],S43S.tsv,S0589,S0588
be like,2,277,[152],[277],S43S.tsv,S0589,S0588
but i,2,154,"[154, 276, 279]","[22, 173, 26, 38]",S43S.tsv,S0589,S0588
but i think,3,154,[154],[26],S43S.tsv,S0589,S0588
but i think it,4,154,[154],[38],S43S.tsv,S0589,S0588
yes,1,158,"[158, 172]","[63, 173, 275, 292, 169]",S43S.tsv,S0589,S0588
oh yes,2,169,[158],[169],S43S.tsv,S0589,S0588
wheat,1,164,[164],"[147, 161, 163]",S43S.tsv,S0589,S0588
be good,2,165,[164],[165],S43S.tsv,S0589,S0588
everything,1,173,[166],[173],S43S.tsv,S0589,S0588
spill kidney,2,171,[170],[171],S43S.tsv,S0589,S0588
the whole,2,174,"[174, 240]","[14, 175]",S43S.tsv,S0589,S0588
the whole weekend,3,175,[174],[175],S43S.tsv,S0589,S0588
we have,2,203,[174],[203],S43S.tsv,S0589,S0588
use to,2,177,"[176, 178]",[177],S43S.tsv,S0589,S0588
to be,2,178,[178],"[40, 163, 181]",S43S.tsv,S0589,S0588
be my,2,178,[178],[173],S43S.tsv,S0589,S0588
well you,2,180,"[180, 182]",[136],S43S.tsv,S0589,S0588
you didn't,2,211,"[180, 182, 184]",[211],S43S.tsv,S0589,S0588
didn't know,2,221,"[180, 182, 184]",[221],S43S.tsv,S0589,S0588
if you,2,184,[184],"[34, 163, 267]",S43S.tsv,S0589,S0588
part of,2,185,[184],[185],S43S.tsv,S0589,S0588
responsibilities,1,185,[184],[185],S43S.tsv,S0589,S0588
you be,2,197,[184],[197],S43S.tsv,S0589,S0588
of your,2,209,[184],[209],S43S.tsv,S0589,S0588
come,1,267,[184],[267],S43S.tsv,S0589,S0588
if you be,3,286,[184],[286],S43S.tsv,S0589,S0588
need,1,186,[186],"[38, 138, 173, 181, 217, 219]",S43S.tsv,S0589,S0588
be you,2,190,[190],"[61, 63]",S43S.tsv,S0589,S0588
record,1,190,[190],"[106, 193]",S43S.tsv,S0589,S0588
i'm,1,190,[190],[112],S43S.tsv,S0589,S0588
try to,2,191,[191],[9],S43S.tsv,S0589,S0588
it as,2,191,[191],[185],S43S.tsv,S0589,S0588
it's not,2,192,[192],"[47, 147, 165]",S43S.tsv,S0589,S0588
no it's not,3,192,[192],[165],S43S.tsv,S0589,S0588
probably,1,199,"[199, 201, 220]",[132],S43S.tsv,S0589,S0588
don't want,2,206,[206],[159],S43S.tsv,S0589,S0588
in general,2,211,[210],[211],S43S.tsv,S0589,S0588
church,1,221,"[216, 218, 220, 222, 228, 234, 238, 242, 244, 248]","[221, 229, 250]",S43S.tsv,S0589,S0588
the church,2,250,"[216, 238, 248]",[250],S43S.tsv,S0589,S0588
parish church,2,229,"[218, 220, 222, 228, 242, 244]",[229],S43S.tsv,S0589,S0588
