Expression,Expression_length,Expression_established_position,Expression_uttered_position_speaker1,Expression_uttered_position_speaker2,file,speaker1,speaker2
so far,2,7,[4],[7],SUU4.tsv,S0463,S0456
but it's,2,57,"[4, 60]",[57],SUU4.tsv,S0463,S0456
go,1,21,"[6, 126]","[21, 23, 39, 70, 79, 87, 107, 237]",SUU4.tsv,S0463,S0456
be the,2,27,"[6, 167]","[27, 29, 47, 79, 83, 85, 95, 101, 133, 168, 184, 188]",SUU4.tsv,S0463,S0456
move,1,65,"[6, 138]",[65],SUU4.tsv,S0463,S0456
everything,1,70,"[6, 108, 124]","[70, 97, 148]",SUU4.tsv,S0463,S0456
yeah,1,8,"[8, 30, 42, 56, 75, 110, 136, 140, 151, 187, 197, 205, 220, 222, 232, 238]","[1, 7, 9, 13, 15, 23, 29, 35, 41, 49, 53, 55, 61, 63, 65, 69, 83, 85, 87, 93, 99, 103, 109, 111, 113, 115, 117, 119, 131, 135, 137, 139, 150, 154, 164, 166, 168, 172, 174, 176, 182, 184, 186, 202, 204, 219, 221, 225, 233, 235, 241]",SUU4.tsv,S0463,S0456
what be,2,91,[10],"[91, 139, 162]",SUU4.tsv,S0463,S0456
ask me,2,12,[12],[11],SUU4.tsv,S0463,S0456
see,1,15,"[12, 14, 64, 222, 224]","[15, 19, 117, 123, 190, 204, 229]",SUU4.tsv,S0463,S0456
ask,1,95,[12],[95],SUU4.tsv,S0463,S0456
might,1,14,"[14, 124, 236]","[3, 57]",SUU4.tsv,S0463,S0456
i be,2,14,"[14, 26]",[11],SUU4.tsv,S0463,S0456
see him,2,19,[14],[19],SUU4.tsv,S0463,S0456
know,1,16,"[16, 28, 62, 71, 76, 84, 94, 102, 112, 124, 125, 126, 132, 143, 163, 177, 203, 209, 213, 218, 220, 222, 234, 242, 244]","[3, 65, 70, 119, 141, 144, 148, 190, 229, 11, 27, 53, 59, 79, 83, 87, 101, 107, 123, 135, 176]",SUU4.tsv,S0463,S0456
you know,2,16,"[16, 62, 124, 125, 126, 132, 163, 209, 218, 220, 222, 234, 242, 244]","[11, 27, 53, 59, 70, 79, 83, 87, 101, 107, 119, 123, 135, 176, 190]",SUU4.tsv,S0463,S0456
today,1,19,"[16, 18]",[19],SUU4.tsv,S0463,S0456
be he,2,141,"[16, 18]","[141, 148]",SUU4.tsv,S0463,S0456
do you,2,170,"[16, 24, 76]",[170],SUU4.tsv,S0463,S0456
i'm,1,20,"[20, 32, 112, 124, 125, 153]","[11, 21, 85, 133]",SUU4.tsv,S0463,S0456
the course,2,21,[20],[21],SUU4.tsv,S0463,S0456
week,1,21,"[20, 22]",[21],SUU4.tsv,S0463,S0456
do the,2,95,[20],[95],SUU4.tsv,S0463,S0456
course,1,99,[20],"[99, 101, 135, 170, 192, 198, 235]",SUU4.tsv,S0463,S0456
well,1,22,"[22, 40, 68, 71, 92, 98, 153, 171, 181, 199, 232]","[1, 27, 29, 47, 49, 53, 59, 63, 79, 91, 99, 123, 133, 160, 204, 219, 227, 235]",SUU4.tsv,S0463,S0456
have to,2,22,[22],"[21, 51, 190, 204]",SUU4.tsv,S0463,S0456
the footy,2,23,[22],[23],SUU4.tsv,S0463,S0456
be there,2,26,"[26, 175]","[1, 117, 206]",SUU4.tsv,S0463,S0456
i've,1,26,"[26, 32, 34, 38, 177]","[19, 74]",SUU4.tsv,S0463,S0456
