Expression,Expression_length,Expression_established_position,Expression_uttered_position_speaker1,Expression_uttered_position_speaker2,file,speaker1,speaker2
a bite,2,15,"[0, 181, 271, 313, 327, 333]","[15, 132, 180, 316, 336, 388, 182]",S9HC.tsv,S0268,S0269
a bite of,3,182,"[0, 333]",[182],S9HC.tsv,S0268,S0269
of a,2,412,"[0, 333, 409]",[412],S9HC.tsv,S0268,S0269
lot,1,72,"[2, 341, 345]","[72, 176, 186, 198]",S9HC.tsv,S0268,S0269
and that,2,144,[2],[144],S9HC.tsv,S0268,S0269
yeah,1,24,"[10, 14, 16, 25, 33, 41, 55, 59, 71, 73, 81, 85, 89, 103, 105, 107, 109, 111, 117, 133, 135, 139, 152, 154, 165, 185, 189, 199, 201, 224, 226, 230, 232, 234, 236, 241, 255, 307, 321, 337, 339, 371, 373, 377, 379]","[24, 32, 44, 54, 78, 80, 88, 94, 98, 146, 148, 151, 158, 168, 170, 176, 182, 204, 208, 211, 233, 244, 256, 262, 266, 278, 280, 286, 288, 298, 306, 308, 310, 328, 330, 334, 336, 344, 352, 360, 362, 364, 374, 378, 386, 396]",S9HC.tsv,S0268,S0269
get,1,16,"[16, 18, 20, 61, 63, 69, 71, 147, 305, 323, 341, 365, 367, 411]","[15, 56, 62, 68, 76, 80, 110, 138, 153, 238, 242, 246, 256, 258, 308, 412, 418]",S9HC.tsv,S0268,S0269
old,1,16,[16],"[15, 242, 246]",S9HC.tsv,S0268,S0269
get very,2,242,[16],[242],S9HC.tsv,S0268,S0269
i get,2,110,[18],"[110, 138]",S9HC.tsv,S0268,S0269
like,1,213,"[18, 209, 210, 261, 327]","[213, 248]",S9HC.tsv,S0268,S0269
have i,2,238,[18],[238],S9HC.tsv,S0268,S0269
to do,2,402,"[18, 373]",[402],S9HC.tsv,S0268,S0269
it's not,2,22,"[22, 333, 365, 415]","[3, 219, 294]",S9HC.tsv,S0268,S0269
really,1,58,"[22, 239, 277, 341]","[58, 76]",S9HC.tsv,S0268,S0269
right,1,70,"[22, 35, 67, 75, 101, 141, 157, 161, 163, 167, 187, 224, 281, 293, 311, 413]","[70, 88, 170, 252, 256, 262, 264, 290, 292, 322, 324, 350, 358, 364, 404]",S9HC.tsv,S0268,S0269
be the,2,31,"[31, 79]","[9, 94, 256, 28]",S9HC.tsv,S0268,S0269
many,1,31,[31],"[9, 11]",S9HC.tsv,S0268,S0269
would be the,3,31,[31],[28],S9HC.tsv,S0268,S0269
would,1,31,"[31, 51, 331, 399]","[28, 38, 346]",S9HC.tsv,S0268,S0269
thing,1,48,"[31, 117]","[48, 270, 292, 298, 402]",S9HC.tsv,S0268,S0269
case,1,94,"[31, 232]",[94],S9HC.tsv,S0268,S0269
time,1,162,[31],[162],S9HC.tsv,S0268,S0269
and it,2,302,[31],[302],S9HC.tsv,S0268,S0269
so yeah,2,168,[33],[168],S9HC.tsv,S0268,S0269
we be,2,37,[37],[24],S9HC.tsv,S0268,S0269
go,1,50,"[37, 125, 131, 145, 155, 157, 205, 237, 285, 305, 345, 349, 359, 365, 379, 385]","[50, 112, 172, 270, 284, 346, 370, 382]",S9HC.tsv,S0268,S0269
three,1,56,"[37, 61, 327, 365, 369]","[56, 62, 68, 174, 280, 412, 74]",S9HC.tsv,S0268,S0269
the three,2,74,"[37, 365]",[74],S9HC.tsv,S0268,S0269
us,1,242,"[37, 365]",[242],S9HC.tsv,S0268,S0269
think,1,41,"[41, 43, 77, 79, 117, 137, 195, 205, 209, 210, 232, 327, 333, 345, 347, 355, 361, 365, 391, 407]","[9, 11, 28, 38, 402, 50, 182, 221, 238, 244, 382]",S9HC.tsv,S0268,S0269
half past six,3,41,[41],[40],S9HC.tsv,S0268,S0269
i think,2,50,"[41, 43, 77, 79, 137, 205, 209, 232, 327, 333, 345, 347, 355, 361, 365, 391, 407]","[50, 182, 238, 244, 382, 402, 221]",S9HC.tsv,S0268,S0269
yeah i,2,158,"[41, 226]",[158],S9HC.tsv,S0268,S0269
i think it,3,221,"[41, 137]",[221],S9HC.tsv,S0268,S0269
sure,1,235,"[41, 137]","[235, 376]",S9HC.tsv,S0268,S0269
er you,2,242,[41],"[242, 382]",S9HC.tsv,S0268,S0269
half,1,248,[41],[248],S9HC.tsv,S0268,S0269
it be,2,250,"[41, 139, 255, 285, 297, 355, 379, 389]","[250, 254, 280]",S9HC.tsv,S0268,S0269
six,1,274,"[41, 43, 45, 47, 137, 139, 145, 275, 331]","[274, 332]",S9HC.tsv,S0268,S0269
there's a,2,72,[43],[72],S9HC.tsv,S0268,S0269
there's,1,94,"[43, 331, 345, 369]","[94, 217, 402]",S9HC.tsv,S0268,S0269
but i,2,45,[45],"[28, 34, 118]",S9HC.tsv,S0268,S0269
seem to,2,48,[45],"[48, 184]",S9HC.tsv,S0268,S0269
i i,2,118,"[45, 327, 409]","[118, 238]",S9HC.tsv,S0268,S0269
stick,1,84,[47],[84],S9HC.tsv,S0268,S0269
in my,2,90,[47],[90],S9HC.tsv,S0268,S0269
they're,1,51,"[51, 139, 305, 327, 333]","[9, 284]",S9HC.tsv,S0268,S0269
much,1,51,"[51, 191, 249, 291]","[28, 82, 418]",S9HC.tsv,S0268,S0269
if they,2,51,[51],"[34, 84, 132]",S9HC.tsv,S0268,S0269
we don't,2,56,[51],[56],S9HC.tsv,S0268,S0269
know,1,56,"[51, 129, 191, 207, 228, 237, 319, 343, 367]","[56, 118, 128, 176, 186, 188, 229, 242, 282, 284]",S9HC.tsv,S0268,S0269
to i,2,118,[51],[118],S9HC.tsv,S0268,S0269
notice,1,217,[51],[217],S9HC.tsv,S0268,S0269
even,1,386,[51],[386],S9HC.tsv,S0268,S0269
how much,2,418,"[51, 249, 291]",[418],S9HC.tsv,S0268,S0269
get three minutes,3,61,[61],[56],S9HC.tsv,S0268,S0269
get three,2,62,[61],"[62, 412]",S9HC.tsv,S0268,S0269
have get three minutes,4,68,[61],[68],S9HC.tsv,S0268,S0269
three minutes,2,74,[61],[74],S9HC.tsv,S0268,S0269
come,1,242,"[61, 121, 169, 261]",[242],S9HC.tsv,S0268,S0269
so they,2,63,"[63, 243, 355]","[36, 151]",S9HC.tsv,S0268,S0269
anybody,1,63,[63],[56],S9HC.tsv,S0268,S0269
haven't get,2,63,[63],[62],S9HC.tsv,S0268,S0269
they they,2,151,[65],[151],S9HC.tsv,S0268,S0269
they might,2,372,[65],[372],S9HC.tsv,S0268,S0269
might,1,406,"[65, 139]",[406],S9HC.tsv,S0268,S0269
oh right,2,322,"[67, 101, 141, 163, 167, 224, 293, 311, 413]","[322, 404]",S9HC.tsv,S0268,S0269
well,1,77,"[77, 81, 131, 191, 218, 279, 327, 349, 359, 385, 393, 407, 421]","[3, 5, 19, 24, 28, 126, 130, 172, 176, 229, 254, 296, 380, 388, 412, 21, 118, 284, 280]",S9HC.tsv,S0268,S0269
want,1,77,"[77, 355]","[5, 242, 256]",S9HC.tsv,S0268,S0269
well i,2,77,"[77, 407]","[21, 118, 280, 284]",S9HC.tsv,S0268,S0269
one,1,77,"[77, 329, 351, 391, 415]","[76, 217, 242]",S9HC.tsv,S0268,S0269
gonna,1,79,"[79, 327, 333, 345, 369, 403]","[56, 336, 132]",S9HC.tsv,S0268,S0269
gonna be,2,132,"[79, 369]",[132],S9HC.tsv,S0268,S0269
he's,1,166,"[79, 191, 195, 237, 271, 305, 319, 327, 333, 335, 341, 349, 407]","[166, 182, 200, 211, 238, 272, 308, 326, 418]",S9HC.tsv,S0268,S0269
that's,1,81,"[81, 117, 279, 327, 341, 403, 407]","[9, 13, 48, 58, 88, 153, 170, 225, 252, 256, 262, 264, 266, 290, 292, 294, 364, 402]",S9HC.tsv,S0268,S0269
what you,2,81,[81],[17],S9HC.tsv,S0268,S0269
yeah well,2,81,[81],"[24, 176, 280]",S9HC.tsv,S0268,S0269
that's what,2,88,[81],[88],S9HC.tsv,S0268,S0269
kick the can down the road,6,87,[87],"[9, 24]",S9HC.tsv,S0268,S0269
down the road,3,87,[87],"[28, 90]",S9HC.tsv,S0268,S0269
kick,1,87,[87],"[28, 90, 248]",S9HC.tsv,S0268,S0269
it and,2,87,[87],[86],S9HC.tsv,S0268,S0269
and er,2,298,"[87, 325]",[298],S9HC.tsv,S0268,S0269
be there,2,392,"[91, 285]",[392],S9HC.tsv,S0268,S0269
yes,1,109,"[109, 355]",[92],S9HC.tsv,S0268,S0269
at the town hall,4,132,[117],[132],S9HC.tsv,S0268,S0269
they all,2,132,[117],[132],S9HC.tsv,S0268,S0269
at the,2,151,"[117, 205, 327]",[151],S9HC.tsv,S0268,S0269
still,1,268,[117],"[268, 270, 284]",S9HC.tsv,S0268,S0269
thing i,2,402,[117],[402],S9HC.tsv,S0268,S0269
but he,2,184,[121],[184],S9HC.tsv,S0268,S0269
to the,2,125,"[125, 127, 131, 285]","[50, 412]",S9HC.tsv,S0268,S0269
the town hall,3,132,"[127, 131]",[132],S9HC.tsv,S0268,S0269
we don't know,3,129,[129],[56],S9HC.tsv,S0268,S0269
don't know,2,129,[129],"[118, 128, 284]",S9HC.tsv,S0268,S0269
not go,2,172,"[131, 305]",[172],S9HC.tsv,S0268,S0269
i'm,1,137,[137],"[15, 235]",S9HC.tsv,S0268,S0269
but er,2,144,[137],"[144, 312]",S9HC.tsv,S0268,S0269
i'm not,2,390,[137],[390],S9HC.tsv,S0268,S0269
might be,2,406,[137],[406],S9HC.tsv,S0268,S0269
for a,2,139,[139],[28],S9HC.tsv,S0268,S0269
meet,1,142,"[139, 145]","[142, 151]",S9HC.tsv,S0268,S0269
though,1,219,"[139, 389]",[219],S9HC.tsv,S0268,S0269
could,1,145,[145],[26],S9HC.tsv,S0268,S0269
i dunno,2,145,"[145, 237, 265, 389, 407, 409]","[136, 418]",S9HC.tsv,S0268,S0269
we'll,1,280,"[145, 365]",[280],S9HC.tsv,S0268,S0269
so it's,2,294,"[145, 303, 327, 415]",[294],S9HC.tsv,S0268,S0269
five,1,332,[145],[332],S9HC.tsv,S0268,S0269
dunno,1,408,"[145, 237, 265, 389, 407, 409]",[408],S9HC.tsv,S0268,S0269
and then,2,147,"[147, 345, 357, 359, 361, 365]","[28, 166, 174, 242, 244]",S9HC.tsv,S0268,S0269
out the,2,276,[147],"[276, 284]",S9HC.tsv,S0268,S0269
day,1,150,"[150, 155]",[110],S9HC.tsv,S0268,S0269
number,1,150,[150],"[140, 144, 151]",S9HC.tsv,S0268,S0269
to have,2,184,[155],[184],S9HC.tsv,S0268,S0269
be it,2,223,"[155, 249, 333, 387]",[223],S9HC.tsv,S0268,S0269
back,1,412,"[155, 237, 345, 355, 365]",[412],S9HC.tsv,S0268,S0269
it's on saturday,3,157,[157],[156],S9HC.tsv,S0268,S0269
cos,1,169,"[169, 207, 237, 273, 351, 355, 409]","[50, 58, 162, 172, 229, 242, 354, 82]",S9HC.tsv,S0268,S0269
cos i,2,169,"[169, 273]",[82],S9HC.tsv,S0268,S0269
saturday,1,169,[169],[156],S9HC.tsv,S0268,S0269
you be,2,282,[169],[282],S9HC.tsv,S0268,S0269
see,1,177,"[177, 226]","[21, 34, 160, 166]",S9HC.tsv,S0268,S0269
last,1,177,"[177, 365]",[162],S9HC.tsv,S0268,S0269
look,1,179,"[179, 203, 205, 209, 367, 421]","[120, 213]",S9HC.tsv,S0268,S0269
a bite pale,3,181,[181],[180],S9HC.tsv,S0268,S0269
i don't,2,191,"[191, 195, 237]","[15, 82, 217, 227, 402, 118, 128, 284]",S9HC.tsv,S0268,S0269
much weight,2,191,[191],[82],S9HC.tsv,S0268,S0269
i don't know,3,191,"[191, 237]","[118, 128, 284]",S9HC.tsv,S0268,S0269
weight,1,191,[191],[182],S9HC.tsv,S0268,S0269
ways,1,195,[195],[9],S9HC.tsv,S0268,S0269
