Expression,Expression_length,Expression_established_position,Expression_uttered_position_speaker1,Expression_uttered_position_speaker2,file,speaker1,speaker2
excite,1,13,"[0, 54]","[13, 61, 89, 161, 172, 212, 368, 406]",SN7D.tsv,S0010,S0076
know,1,21,"[0, 10, 16, 62, 82, 118, 136, 219, 414, 434, 436]","[21, 194, 409]",SN7D.tsv,S0010,S0076
yes,1,67,"[0, 28, 64, 234, 422]","[67, 190]",SN7D.tsv,S0010,S0076
house,1,69,"[0, 6, 26, 64, 90, 134, 136, 207, 211, 221, 265, 357, 361, 363, 375]","[69, 165, 280, 73]",SN7D.tsv,S0010,S0076
a house,2,73,"[0, 6, 26, 64, 265, 357]",[73],SN7D.tsv,S0010,S0076
buy,1,73,"[0, 197, 203, 211, 215, 265, 267, 361, 363]","[73, 278]",SN7D.tsv,S0010,S0076
okay,1,119,"[0, 92]","[119, 224, 233, 429, 443]",SN7D.tsv,S0010,S0076
em,1,174,"[0, 6, 10, 12, 18, 22, 24, 26, 34, 36, 38, 40, 52, 68, 92, 98, 100, 102, 110, 120, 122, 124, 136, 138, 140, 142, 146, 150, 156, 181, 183, 197, 199, 207, 217, 219, 223, 249, 263, 265, 271, 273, 275, 283, 304, 306, 314, 316, 330, 332, 334, 343, 345, 349, 351, 363, 369, 373, 379, 381, 383, 387, 397, 412, 424, 434, 451, 453, 459]","[174, 228, 238, 244]",SN7D.tsv,S0010,S0076
i have,2,176,"[0, 281]",[176],SN7D.tsv,S0010,S0076
we're,1,176,"[0, 6, 114, 203, 373]","[176, 407]",SN7D.tsv,S0010,S0076
in an,2,69,"[2, 12]","[69, 81]",SN7D.tsv,S0010,S0076
well,1,69,"[2, 10, 12, 30, 38, 84, 106, 150, 197, 227, 269, 281, 297, 324, 343, 353, 361, 363, 395, 412]","[69, 75, 352, 407]",SN7D.tsv,S0010,S0076
it be,2,73,"[2, 4, 6, 14, 38, 92, 96, 108, 112, 142, 150, 181, 215, 291, 293, 312, 383, 430, 438, 446, 465]","[73, 163, 172, 176, 180, 185, 187, 254, 294, 404, 407, 452, 174]",SN7D.tsv,S0010,S0076
and it be,3,174,"[2, 6, 96, 112]",[174],SN7D.tsv,S0010,S0076
last,1,402,"[2, 92, 383]",[402],SN7D.tsv,S0010,S0076
kind of,2,165,"[4, 40, 136, 205, 217, 281, 373, 430]",[165],SN7D.tsv,S0010,S0076
we be,2,174,"[4, 96, 102, 152, 181, 453, 457]",[174],SN7D.tsv,S0010,S0076
really good,2,55,[6],[55],SN7D.tsv,S0010,S0076
good,1,69,"[6, 52, 104, 181, 304, 401, 426, 438, 446]","[69, 75, 87, 130, 180, 194, 214, 233, 236, 311, 352, 354, 394]",SN7D.tsv,S0010,S0076
and it's,2,71,"[6, 38, 136, 267]",[71],SN7D.tsv,S0010,S0076
really,1,73,"[6, 50, 52, 56, 136, 148, 183, 191, 361, 375, 430]","[73, 89, 258, 278, 419]",SN7D.tsv,S0010,S0076
be all,2,165,[6],[165],SN7D.tsv,S0010,S0076
be a,2,258,"[6, 10, 38, 134, 140, 144, 181, 377, 397, 399]",[258],SN7D.tsv,S0010,S0076
that it,2,407,[6],[407],SN7D.tsv,S0010,S0076
a really,2,419,[6],[419],SN7D.tsv,S0010,S0076
and we,2,174,"[8, 10, 136, 459]",[174],SN7D.tsv,S0010,S0076
morning,1,174,[8],[174],SN7D.tsv,S0010,S0076
come,1,73,"[10, 12, 304, 306, 324, 357, 379]","[73, 352, 368]",SN7D.tsv,S0010,S0076
think,1,73,"[10, 38, 58, 124, 324, 334, 363, 379, 414, 469]","[73, 165, 194, 231]",SN7D.tsv,S0010,S0076
that be,2,130,"[10, 84, 426, 430, 467]","[130, 172, 231, 236]",SN7D.tsv,S0010,S0076
eight,1,174,"[10, 349, 448]",[174],SN7D.tsv,S0010,S0076
and they,2,176,[10],"[176, 260]",SN7D.tsv,S0010,S0076
say,1,176,"[10, 12, 22, 80, 148, 273, 287]","[176, 256, 278]",SN7D.tsv,S0010,S0076
