Expression,Expression_length,Expression_established_position,Expression_uttered_position_speaker1,Expression_uttered_position_speaker2,file,speaker1,speaker2
not fuss,2,1,[0],[1],SZXQ.tsv,S0120,S0058
like,1,1,"[0, 30, 206, 381, 396, 413, 426, 464, 473, 509, 513, 582, 626, 650]","[1, 6, 13, 17, 23, 25, 29, 37, 43, 55, 57, 59, 64, 139, 141, 183, 223, 239, 260, 269, 271, 273, 336, 338, 380, 386, 388, 401, 403, 405, 423, 429, 431, 465, 469, 477, 479, 481, 491, 495, 538, 602, 604, 629, 633, 706, 723, 185]",SZXQ.tsv,S0120,S0058
you like,2,23,[0],"[23, 185]",SZXQ.tsv,S0120,S0058
if you,2,92,"[0, 130]",[92],SZXQ.tsv,S0120,S0058
um,1,13,"[3, 54, 142, 144, 157, 159, 172, 206, 226, 228, 238, 329, 343, 371, 379, 409, 463, 486, 503, 517, 529, 533, 537, 547, 551, 562, 586, 594, 617, 642, 648, 752]","[13, 17, 18, 23, 37, 66, 68, 90, 92, 96, 100, 122, 139, 169, 223, 271, 288, 363, 370, 382, 384, 386, 388, 391, 395, 397, 399, 401, 405, 444, 477, 479, 602, 629, 655, 661, 675, 677, 698, 710, 721, 725, 751, 769, 70, 598, 673]",SZXQ.tsv,S0120,S0058
be um,2,70,[3],"[70, 673, 751]",SZXQ.tsv,S0120,S0058
would,1,273,"[3, 486, 523, 525, 611]","[273, 614]",SZXQ.tsv,S0120,S0058
would be,2,357,"[3, 486, 523, 525, 611]","[357, 598]",SZXQ.tsv,S0120,S0058
would be um,3,598,[3],[598],SZXQ.tsv,S0120,S0058
hm,1,17,"[5, 30, 81, 204, 290, 302, 339, 348, 503, 605]","[17, 227, 318, 446, 472, 606]",SZXQ.tsv,S0120,S0058
yeah,1,7,"[7, 34, 40, 44, 54, 56, 58, 65, 99, 121, 134, 163, 184, 186, 190, 226, 232, 250, 265, 272, 298, 300, 302, 325, 339, 358, 409, 416, 426, 437, 455, 470, 482, 503, 517, 531, 559, 574, 586, 603, 605, 613, 615, 617, 622, 630, 632, 638, 640, 672, 674, 695, 707, 726, 729, 748, 752, 754, 764, 768, 780]","[4, 13, 15, 20, 22, 25, 29, 35, 45, 47, 59, 64, 75, 90, 96, 108, 112, 119, 131, 137, 145, 147, 149, 156, 162, 195, 196, 219, 221, 237, 239, 247, 255, 281, 293, 311, 342, 349, 355, 370, 380, 388, 405, 442, 448, 450, 465, 469, 471, 475, 487, 491, 506, 518, 520, 522, 524, 532, 534, 544, 546, 569, 581, 583, 589, 591, 596, 598, 608, 610, 612, 619, 621, 625, 627, 629, 635, 639, 649, 652, 654, 655, 659, 673, 677, 679, 688, 696, 708, 710, 725, 730, 732, 736, 751, 753, 760, 765, 773, 775, 777, 781]",SZXQ.tsv,S0120,S0058
much,1,9,"[9, 226, 258, 379, 617]","[6, 495, 655, 727]",SZXQ.tsv,S0120,S0058
that's,1,66,"[9, 46, 93, 313, 333, 369, 463, 480, 774]","[66, 84, 160, 162, 181, 189, 249, 311, 328, 349, 368, 386, 462, 465, 474, 579, 606]",SZXQ.tsv,S0120,S0058
probably,1,120,"[9, 198, 252, 339, 428, 457, 503, 582, 607]","[120, 264, 563, 621, 431]",SZXQ.tsv,S0120,S0058
probably not,2,431,"[9, 252]",[431],SZXQ.tsv,S0120,S0058
yes,1,68,"[11, 296, 300, 733]","[68, 120, 281, 285, 399, 500, 542, 544, 657, 682]",SZXQ.tsv,S0120,S0058
of course,2,14,"[14, 16, 722]","[13, 15, 612]",SZXQ.tsv,S0120,S0058
twin,1,19,[19],"[18, 23]",SZXQ.tsv,S0120,S0058
identical twin,2,20,[19],[20],SZXQ.tsv,S0120,S0058
be they,2,225,"[19, 256, 744]","[225, 538]",SZXQ.tsv,S0120,S0058
dear,1,275,[21],[275],SZXQ.tsv,S0120,S0058
oh dear,2,706,[21],[706],SZXQ.tsv,S0120,S0058
wow,1,25,[24],"[25, 243, 259]",SZXQ.tsv,S0120,S0058
normally it's,2,26,[26],[10],SZXQ.tsv,S0120,S0058
normally,1,26,[26],"[10, 25]",SZXQ.tsv,S0120,S0058
in a,2,26,"[26, 759]","[23, 120]",SZXQ.tsv,S0120,S0058
it's just,2,386,[26],[386],SZXQ.tsv,S0120,S0058
around,1,388,"[26, 576]",[388],SZXQ.tsv,S0120,S0058
joke about,2,721,[28],[721],SZXQ.tsv,S0120,S0058
bite like,2,30,[30],[6],SZXQ.tsv,S0120,S0058
watch,1,30,"[30, 73, 127]","[6, 23, 29, 31, 96, 98, 120, 702]",SZXQ.tsv,S0120,S0058
bite,1,30,"[30, 150]","[10, 271, 336, 355, 432, 438, 661, 725, 727]",SZXQ.tsv,S0120,S0058
kill,1,30,[30],"[13, 18, 23]",SZXQ.tsv,S0120,S0058
watch the,2,30,[30],[29],SZXQ.tsv,S0120,S0058
i'm,1,34,"[34, 78, 463, 473, 484, 559, 564, 586, 717]","[6, 13, 199, 201, 275, 277, 355, 388, 401, 434, 450, 479, 481, 495, 496, 673, 558, 565]",SZXQ.tsv,S0120,S0058
it be,2,34,"[34, 54, 214, 300, 354, 366, 413, 418, 422, 426, 428, 670]","[13, 23, 25, 29, 66, 465, 469, 565, 673, 684, 700, 727, 732, 758, 763]",SZXQ.tsv,S0120,S0058
god,1,34,"[34, 435, 689, 719, 726]","[23, 29, 55]",SZXQ.tsv,S0120,S0058
good,1,34,"[34, 93, 333, 739, 740, 757]","[29, 37, 57, 64, 205, 213, 281, 328, 359, 438, 465, 493, 593, 716, 723, 440, 718, 773, 777]",SZXQ.tsv,S0120,S0058
it's so,2,66,[34],"[66, 444, 641]",SZXQ.tsv,S0120,S0058
