Expression,Expression_length,Expression_established_position,Expression_uttered_position_speaker1,Expression_uttered_position_speaker2,file,speaker1,speaker2
echo,1,2,[1],[2],S94U.tsv,S0618,S0619
coffee,1,8,"[1, 103, 230]","[8, 225, 227]",S94U.tsv,S0618,S0619
get,1,10,"[1, 3, 31, 33, 47, 49, 71, 75, 79, 83, 99, 103, 113, 230, 238, 244, 246, 266, 278, 348, 479, 511, 513, 622, 644]","[10, 52, 62, 128, 247, 265, 273, 336, 373, 438, 472, 492, 527, 555, 625, 34, 229]",S94U.tsv,S0618,S0619
know,1,12,"[1, 9, 19, 31, 35, 49, 61, 71, 87, 125, 135, 139, 169, 236, 251, 266, 280, 315, 350, 366, 389, 391, 411, 415, 445, 469, 479, 481, 483, 485, 507, 509, 540, 546, 564, 586, 590, 592, 595, 597, 614, 622, 640]","[12, 30, 118, 160, 183, 217, 227, 334, 353, 373, 382, 404, 494, 496, 520, 531, 539, 561, 589, 651, 653, 124, 126, 128, 130, 134, 154, 171, 193, 197, 247, 261, 263, 289, 298, 359, 375, 379, 384, 400, 402, 424, 426, 440, 442, 448, 474, 490, 535, 551, 553, 555, 625, 64]",S94U.tsv,S0618,S0619
to get,2,34,[1],[34],S94U.tsv,S0618,S0619
thing,1,54,"[1, 83, 391, 411, 487, 511, 654]","[54, 128, 294, 428, 452]",S94U.tsv,S0618,S0619
know how,2,64,[1],[64],S94U.tsv,S0618,S0619
you know,2,118,"[1, 35, 87, 135, 139, 169, 236, 251, 266, 280, 350, 366, 389, 411, 415, 445, 469, 479, 481, 483, 485, 509, 546, 590, 592, 595, 614, 622]","[118, 124, 126, 128, 130, 134, 154, 160, 171, 193, 197, 247, 261, 263, 289, 298, 359, 375, 379, 384, 400, 402, 424, 426, 440, 442, 448, 474, 490, 535, 551, 553, 555, 625, 334]",S94U.tsv,S0618,S0619
okay,1,177,"[1, 176, 588, 620, 648]","[177, 217, 557, 559, 655]",S94U.tsv,S0618,S0619
get the,2,229,[1],[229],S94U.tsv,S0618,S0619
you know how,3,334,[1],[334],S94U.tsv,S0618,S0619
and you,2,551,"[1, 445, 656]","[551, 553]",S94U.tsv,S0618,S0619
when you're,2,625,[1],[625],S94U.tsv,S0618,S0619
if we,2,154,[3],[154],S94U.tsv,S0618,S0619
and i,2,160,"[3, 17, 19, 33, 59, 85, 119, 366, 370, 372, 461, 479, 487, 491, 501, 503, 507, 544, 564]","[160, 193, 201, 213, 332, 334, 349, 382, 426, 439, 516, 551, 576, 600]",S94U.tsv,S0618,S0619
would,1,167,"[3, 266, 366, 389, 548, 618]","[167, 175, 373, 375, 377, 379, 400]",S94U.tsv,S0618,S0619
put,1,189,"[3, 61, 564, 567]","[189, 195, 334, 635, 580]",S94U.tsv,S0618,S0619
get a better,3,273,[3],[273],S94U.tsv,S0618,S0619
we get,2,336,"[3, 75]",[336],S94U.tsv,S0618,S0619
get a,2,373,"[3, 47, 113, 230, 479]","[373, 472]",S94U.tsv,S0618,S0619
put it,2,580,"[3, 61]",[580],S94U.tsv,S0618,S0619
not chance it,3,6,[5],[6],S94U.tsv,S0618,S0619
either,1,434,[5],"[434, 516]",S94U.tsv,S0618,S0619
right,1,555,"[5, 461]",[555],S94U.tsv,S0618,S0619
let's,1,649,[5],[649],S94U.tsv,S0618,S0619
i know,2,12,"[9, 31, 125, 266, 507, 564]","[12, 30, 160, 227, 334, 353, 373]",S94U.tsv,S0618,S0619
and it's,2,12,"[11, 220, 242]","[12, 322, 494, 551, 553]",S94U.tsv,S0618,S0619
nice,1,24,"[11, 256, 364]","[24, 46, 72, 74, 78, 80, 88, 90, 92, 249, 551, 167]",S94U.tsv,S0618,S0619
really,1,64,"[11, 19, 71, 75, 81, 85, 97, 99, 169, 226, 242, 346, 366]","[64, 148, 193, 294, 322, 326, 384, 392, 456, 553, 598, 607, 627, 637, 167, 432]",S94U.tsv,S0618,S0619
really nice,2,167,[11],[167],S94U.tsv,S0618,S0619
it's really,2,432,"[11, 242, 346]",[432],S94U.tsv,S0618,S0619
no i,2,605,"[11, 65]","[605, 651]",S94U.tsv,S0618,S0619
i think,2,20,"[17, 33, 67, 315, 354, 362, 372, 431, 459, 461, 463, 487, 491, 499, 501, 507, 618, 630, 654]","[20, 163, 167, 183, 233, 235, 318, 322, 326, 330, 351, 357, 396, 412, 414, 416, 422, 440, 450, 651, 201, 382, 426, 516, 392, 438]",S94U.tsv,S0618,S0619
probably,1,52,"[17, 33, 53, 61, 71, 113, 218, 293, 487, 564, 604]","[52, 62, 273, 332, 627]",S94U.tsv,S0618,S0619
so it's,2,146,"[17, 107]","[146, 355]",S94U.tsv,S0618,S0619
come,1,150,"[17, 71, 159, 230, 276, 278]","[150, 396, 438]",S94U.tsv,S0618,S0619
and i think,3,201,"[17, 372, 491, 501]","[201, 382, 426, 516]",S94U.tsv,S0618,S0619
think,1,249,"[17, 33, 41, 59, 67, 166, 315, 354, 362, 366, 372, 431, 459, 461, 463, 487, 491, 499, 501, 507, 614, 618, 630, 648, 654]","[249, 294, 298, 416, 576, 318, 322, 326, 330, 357, 382, 392, 396, 412, 414, 422, 426, 438, 440, 450, 516, 651, 351]",S94U.tsv,S0618,S0619
i think the,3,392,"[17, 33]","[392, 438]",S94U.tsv,S0618,S0619
price,1,635,[17],[635],S94U.tsv,S0618,S0619
we're,1,19,"[19, 59]","[6, 400]",S94U.tsv,S0618,S0619
of the,2,19,"[19, 57, 83, 222, 295, 459, 511, 586, 646]","[8, 12, 54, 128, 249, 287, 373]",S94U.tsv,S0618,S0619
in the,2,19,"[19, 49, 59, 71, 75, 83, 111, 169, 188, 202, 220, 251, 276, 350, 511, 566, 569, 595, 597, 640]","[12, 175, 287, 351, 402, 426, 551, 576, 578]",S94U.tsv,S0618,S0619
place,1,28,"[19, 33, 230, 319, 469, 632]","[28, 191, 195, 396, 406]",S94U.tsv,S0618,S0619
need to,2,34,"[19, 248, 415, 465, 586, 592, 646, 654]","[34, 227, 273, 500]",S94U.tsv,S0618,S0619
stick,1,52,[19],[52],S94U.tsv,S0618,S0619
and the,2,377,"[19, 238, 251, 274, 507, 509]","[377, 400, 404]",S94U.tsv,S0618,S0619
bite,1,518,"[19, 481]",[518],S94U.tsv,S0618,S0619
