Expression,Expression_length,Expression_established_position,Expression_uttered_position_speaker1,Expression_uttered_position_speaker2,file,speaker1,speaker2
okay,1,11,"[0, 129, 198, 441, 670, 690, 821, 952, 1077, 1106, 1108, 1133, 1135]","[11, 21, 98, 100, 142, 183, 228, 523, 834, 840, 866, 872, 922, 944, 1013, 1190, 1193, 1224]",S9ER.tsv,S0518,S0517
yes,1,69,"[4, 93, 139, 174, 182, 240, 290, 366, 601, 602, 839, 941, 949, 972, 986, 1010, 1080, 1147, 1261]","[69, 140, 162, 175, 187, 239, 249, 275, 317, 327, 331, 363, 367, 371, 373, 377, 381, 387, 427, 478, 486, 492, 529, 545, 547, 591, 603, 628, 663, 689, 702, 728, 756, 771, 849, 881, 883, 902, 932, 934, 983, 1154, 1162, 1292, 1294, 1304, 1322, 1326]",S9ER.tsv,S0518,S0517
thank you,2,460,"[6, 921, 1028, 1038, 1080, 1082, 1274]",[460],S9ER.tsv,S0518,S0517
it be,2,8,"[8, 60, 93, 99, 125, 127, 198, 199, 213, 223, 236, 248, 324, 409, 514, 516, 564, 568, 707, 725, 787, 929, 954, 1111, 1126, 1147, 1280, 1288]","[5, 9, 11, 19, 28, 59, 110, 158, 165, 200, 226, 243, 247, 287, 359, 414, 446, 468, 521, 541, 569, 597, 695, 740, 742, 744, 788, 851, 853, 877, 881, 897, 938, 1089, 1146, 1241, 1248]",S9ER.tsv,S0518,S0517
friend,1,9,"[8, 79, 133, 192, 260, 931, 1273, 1274]","[9, 280, 287, 295, 535, 598]",S9ER.tsv,S0518,S0517
i be,2,13,"[8, 423, 555, 780, 793, 920, 949, 950, 956, 972, 982, 993, 1010, 1062, 1080, 1111, 1126, 1142, 1161, 1244, 1269, 1274, 1291, 1323]","[13, 21, 230, 284, 359, 484, 547, 549, 620, 716, 730, 897, 928, 999]",S9ER.tsv,S0518,S0517
be about,2,535,"[8, 555]",[535],S9ER.tsv,S0518,S0517
your friend,2,598,[8],[598],S9ER.tsv,S0518,S0517
about your,2,864,[8],"[864, 913, 1191]",S9ER.tsv,S0518,S0517
right,1,620,"[12, 281, 288, 302, 328, 467, 469, 471, 473, 684, 686, 690, 696, 715, 717, 745, 747, 764, 781, 850, 859, 927, 935, 1026, 1077, 1079, 1108, 1131, 1132, 1206, 1228, 1246, 1321]","[620, 734, 736, 840, 948, 951, 967, 987, 1035, 1091, 1289]",S9ER.tsv,S0518,S0517
oh no,2,17,"[14, 391, 408, 411, 1212, 1226]","[17, 94, 549, 645, 915, 1213]",S9ER.tsv,S0518,S0517
be she,2,466,[22],"[466, 936, 1243]",S9ER.tsv,S0518,S0517
extend,1,31,[31],[26],S9ER.tsv,S0518,S0517
could,1,282,"[31, 384, 590, 659, 925, 1060, 1167, 1202, 1204, 1317]","[282, 335, 349, 468, 750, 788, 908, 1203, 1310, 1318]",S9ER.tsv,S0518,S0517
go,1,34,"[34, 74, 81, 97, 101, 113, 133, 141, 161, 174, 192, 194, 208, 272, 276, 296, 352, 368, 372, 417, 421, 432, 436, 439, 449, 516, 551, 555, 563, 566, 568, 582, 590, 602, 606, 623, 668, 688, 696, 705, 727, 793, 841, 972, 984, 988, 1006, 1012, 1015, 1056, 1077, 1139, 1167, 1200, 1206, 1207, 1274, 1280, 1288, 1290, 1293, 1321, 1323, 1327]","[1, 26, 63, 65, 69, 71, 77, 146, 152, 169, 239, 241, 247, 257, 265, 273, 280, 282, 285, 295, 297, 318, 329, 331, 349, 357, 359, 361, 365, 431, 442, 452, 464, 511, 535, 537, 539, 541, 545, 547, 549, 571, 577, 593, 595, 597, 598, 609, 620, 630, 641, 642, 646, 671, 691, 697, 722, 750, 814, 818, 856, 897, 902, 924, 1001, 1007, 1037, 1158, 1191, 1218, 1223, 1224, 1300, 1310, 1328]",S9ER.tsv,S0518,S0517
two,1,34,"[34, 254, 441, 491, 956, 964, 970, 972, 980, 1251]","[19, 120, 253, 255, 327, 431, 440, 460, 468, 759, 851, 967, 1218, 30, 33, 597]",S9ER.tsv,S0518,S0517
chemotherapy,1,34,[34],[26],S9ER.tsv,S0518,S0517
want to,2,34,"[34, 83, 188, 192, 194, 352, 384, 430, 463, 566, 703, 725, 929, 1094, 1171, 1269, 1274, 1291]","[28, 30, 75, 165, 295, 365, 545, 593, 597, 720, 722, 736, 816, 995, 1022, 1027, 1053, 1057]",S9ER.tsv,S0518,S0517
two years,2,34,[34],"[30, 33, 597]",S9ER.tsv,S0518,S0517
those two years,3,34,[34],[33],S9ER.tsv,S0518,S0517
years,1,39,"[34, 79, 85, 99, 566, 1244]","[39, 51, 86, 116, 575, 597, 630]",S9ER.tsv,S0518,S0517
want,1,69,"[34, 83, 188, 192, 194, 352, 384, 430, 463, 566, 629, 703, 725, 929, 1012, 1094, 1111, 1171, 1200, 1269, 1274, 1282, 1291, 1293]","[69, 285, 545, 989, 1035, 1078, 1144, 1281, 1296, 75, 165, 295, 365, 593, 597, 736, 816, 995, 1022, 1027, 1053, 1057, 720, 722]",S9ER.tsv,S0518,S0517
spend,1,361,"[34, 929]",[361],S9ER.tsv,S0518,S0517
years go,2,630,[34],[630],S9ER.tsv,S0518,S0517
radiotherapy,1,868,[34],[868],S9ER.tsv,S0518,S0517
do she,2,919,"[34, 485]","[919, 1205]",S9ER.tsv,S0518,S0517
like,1,247,"[36, 81, 155, 159, 161, 208, 209, 211, 235, 236, 238, 380, 384, 404, 406, 408, 415, 423, 477, 512, 555, 564, 568, 582, 590, 621, 625, 644, 725, 727, 733, 739, 753, 783, 811, 841, 914, 916, 929, 945, 949, 950, 972, 1012, 1036, 1044, 1066, 1110, 1120, 1159, 1161, 1246, 1269, 1273, 1276, 1286, 1303, 1327]","[247, 257, 318, 335, 359, 535, 539, 543, 550, 552, 554, 620, 632, 730, 736, 875, 887, 889, 900, 1055, 1109, 1283, 1294, 1308, 1310, 1318, 877, 1178, 1258]",S9ER.tsv,S0518,S0517
feel,1,259,"[36, 215, 621, 707, 918, 956, 960, 972, 978, 1161, 1206, 1269, 1280]","[259, 341, 466, 468, 545, 1300, 877, 1178]",S9ER.tsv,S0518,S0517
feel like,2,877,[36],"[877, 1178]",S9ER.tsv,S0518,S0517
like that,2,1258,"[36, 81, 159, 211, 235, 238, 555, 625, 783, 1012, 1159]","[1258, 1308]",S9ER.tsv,S0518,S0517
