Expression,Expression_length,Expression_established_position,Expression_uttered_position_speaker1,Expression_uttered_position_speaker2,file,speaker1,speaker2
like,1,1,"[0, 20, 22, 26, 30, 42, 54, 60, 70, 72, 76, 78, 96, 98, 100, 101, 105, 113, 117, 121, 125, 129, 133, 135, 137, 139, 141, 143, 145, 153, 155, 158, 160, 161, 163, 167, 169, 171, 179, 181, 197, 199, 201, 205, 207, 209, 217, 219, 241, 251, 259, 261, 275, 277, 301, 303, 317, 319, 321, 323, 325, 327, 329, 335, 337, 345, 351, 353, 357, 359, 363, 381, 387, 389, 391]","[1, 15, 17, 31, 33, 35, 37, 39, 45, 51, 53, 59, 73, 97, 102, 114, 132, 150, 152, 157, 172, 198, 214, 226, 230, 238, 242, 244, 252, 256, 258, 262, 280, 286, 292, 308, 310, 314, 328, 332, 334, 336, 344, 346, 350, 358, 362, 366, 368, 370, 376, 382, 394, 396, 402, 404, 410, 416, 166, 174, 398]",SFM7.tsv,S0037,S0115
it like,2,152,"[0, 179, 199, 207, 219, 277, 351, 389]","[152, 166, 174, 398]",SFM7.tsv,S0037,S0115
what's,1,278,"[0, 8, 10, 12, 113, 187]",[278],SFM7.tsv,S0037,S0115
pretty,1,120,[2],[120],SFM7.tsv,S0037,S0115
though,1,398,"[2, 133, 183, 259]",[398],SFM7.tsv,S0037,S0115
malty,1,4,[4],"[3, 5]",SFM7.tsv,S0037,S0115
russian,1,11,"[10, 86, 313, 317, 319]","[11, 23, 89, 314]",SFM7.tsv,S0037,S0115
one,1,37,"[10, 42, 121, 251, 287, 317, 319, 329, 341, 361, 365, 421]","[37, 57, 122, 264, 288, 290, 314, 364, 366, 402, 422]",SFM7.tsv,S0037,S0115
i say,2,49,[10],[49],SFM7.tsv,S0037,S0115
no i,2,73,"[10, 74, 207]","[73, 95, 120, 218]",SFM7.tsv,S0037,S0115
it's a,2,132,"[10, 133, 381]","[132, 154, 200, 350, 382]",SFM7.tsv,S0037,S0115
say,1,208,"[10, 48, 101, 153, 165, 185, 197, 219, 277, 287, 345, 363, 387, 389]","[208, 256, 272, 276, 314, 336, 420]",SFM7.tsv,S0037,S0115
russian one,2,314,[10],[314],SFM7.tsv,S0037,S0115
letter,1,29,[12],"[29, 51, 53, 67, 69]",SFM7.tsv,S0037,S0115
j,1,15,[14],[15],SFM7.tsv,S0037,S0115
attach to,2,45,[14],[45],SFM7.tsv,S0037,S0115
be it,2,152,"[14, 32, 42, 44, 101, 255]","[152, 318, 402, 404, 406]",SFM7.tsv,S0037,S0115
right,1,19,"[16, 28, 36, 46, 68, 123, 189, 225, 271, 407]","[19, 302, 390, 418]",SFM7.tsv,S0037,S0115
and then,2,41,"[18, 133, 181, 345, 361, 363]","[41, 150, 182, 296, 314]",SFM7.tsv,S0037,S0115
be an,2,392,"[18, 197]",[392],SFM7.tsv,S0037,S0115
that's,1,20,"[20, 60, 151, 153, 158, 169, 181, 189, 197, 205, 207, 231, 289, 337, 355, 357, 387, 407]","[13, 19, 81, 120, 122, 222, 246, 264, 304, 330]",SFM7.tsv,S0037,S0115
confuse,1,23,[20],"[23, 29]",SFM7.tsv,S0037,S0115
that's really,2,81,"[20, 158]",[81],SFM7.tsv,S0037,S0115
really,1,126,"[20, 54, 70, 98, 103, 111, 117, 133, 139, 145, 158, 197, 201, 205, 319, 335, 341, 381, 391, 413, 417]","[126, 220, 244, 314, 350, 354, 410]",SFM7.tsv,S0037,S0115
like a,2,22,"[22, 26, 54, 60, 117, 141, 145, 158, 160, 207, 217, 321, 359]","[1, 15, 17, 33, 152, 157, 308, 37, 39]",SFM7.tsv,S0037,S0115
look,1,22,"[22, 42, 70, 72, 319]","[11, 17, 25, 45, 47, 214, 308, 37, 39, 15]",SFM7.tsv,S0037,S0115
b,1,22,"[22, 26]","[11, 21, 23, 25]",SFM7.tsv,S0037,S0115
look like,2,22,[22],"[15, 45]",SFM7.tsv,S0037,S0115
that look like a,4,37,[22],[37],SFM7.tsv,S0037,S0115
look like a,3,39,[22],[39],SFM7.tsv,S0037,S0115
a capital,2,26,[26],[19],SFM7.tsv,S0037,S0115
there's,1,30,"[30, 335, 339]","[23, 41, 51, 138, 202, 206, 242, 362, 400, 420]",SFM7.tsv,S0037,S0115
i know,2,126,"[30, 98, 207, 217, 219, 241, 275, 277, 287, 411]","[126, 128]",SFM7.tsv,S0037,S0115
the like,2,150,[30],"[150, 244, 382]",SFM7.tsv,S0037,S0115
know,1,210,"[30, 54, 84, 98, 141, 145, 147, 199, 207, 217, 219, 241, 247, 275, 277, 287, 301, 315, 317, 319, 335, 347, 363, 367, 371, 387, 411]","[210, 228, 234, 238, 252, 268, 276, 278, 298, 314, 382, 392, 418, 242]",SFM7.tsv,S0037,S0115
know there's,2,242,[30],[242],SFM7.tsv,S0037,S0115
like the,2,244,"[30, 70, 72, 133, 205, 275]","[244, 314, 382, 410]",SFM7.tsv,S0037,S0115
don't they,2,258,"[30, 205]",[258],SFM7.tsv,S0037,S0115
backwards,1,414,[30],[414],SFM7.tsv,S0037,S0115
mean,1,126,"[36, 60, 66, 141, 145, 147, 155, 199, 211, 279, 285, 317, 321, 335, 337, 347, 391]","[126, 130, 132, 152, 180, 202, 206, 210, 212, 220, 238, 268, 346, 392, 412, 414]",SFM7.tsv,S0037,S0115
yeah,1,38,"[38, 40, 50, 52, 58, 60, 62, 64, 80, 96, 103, 107, 109, 113, 119, 127, 151, 175, 189, 193, 197, 203, 205, 213, 215, 223, 225, 227, 233, 235, 237, 239, 245, 249, 255, 257, 265, 267, 295, 309, 317, 335, 349, 359, 375, 383, 389, 393, 399, 401, 403, 407, 415]","[1, 5, 11, 15, 19, 25, 27, 31, 33, 37, 51, 55, 77, 99, 102, 108, 112, 120, 128, 130, 132, 134, 136, 172, 174, 180, 202, 204, 206, 220, 222, 264, 314, 326, 340, 342, 360, 362, 388, 392, 414, 420]",SFM7.tsv,S0037,S0115
sort of,2,42,"[42, 98, 129, 199, 315, 345]","[1, 7, 41, 45, 97, 102, 114, 132, 138, 142, 178, 278, 314, 332, 334, 336, 350, 414, 402]",SFM7.tsv,S0037,S0115
um,1,42,"[42, 76, 84, 161, 197, 317, 319, 321, 329, 333, 335, 343, 351, 353, 361, 389]","[1, 29, 41, 43, 49, 51, 63, 71, 83, 85, 97, 120, 136, 148, 159, 164, 166, 174, 186, 190, 204, 206, 208, 220, 222, 236, 244, 246, 264, 266, 274, 304, 306, 314, 346, 350, 366, 404, 412, 416, 418, 420, 73, 102, 286]",SFM7.tsv,S0037,S0115
good,1,42,"[42, 277, 319, 409, 419]","[9, 81, 120, 354, 410, 422]",SFM7.tsv,S0037,S0115
it look,2,42,"[42, 70]","[15, 47]",SFM7.tsv,S0037,S0115
i think,2,42,"[42, 48, 54, 70, 78, 100, 177, 179, 197, 201, 205, 315, 319, 321, 335, 351, 365]","[33, 53, 120, 122, 182, 192, 206, 212, 216, 218, 244, 252, 270, 280, 288, 308, 330, 358, 398, 400]",SFM7.tsv,S0037,S0115
