Expression,Expression_length,Expression_established_position,Expression_uttered_position_speaker1,Expression_uttered_position_speaker2,file,speaker1,speaker2
as well,2,32,[0],[32],SNDW.tsv,S0644,S0607
well,1,108,"[0, 17, 39, 159, 171, 182, 190, 192, 212, 222, 302, 314, 322, 346, 348, 354, 390, 432, 434, 439, 445, 450, 505]","[108, 371, 399, 403, 423, 482, 494, 552]",SNDW.tsv,S0644,S0607
look,1,142,"[0, 145, 222, 238, 268, 272, 279, 327, 439, 441, 474, 477, 483, 547, 561]","[142, 471, 480, 482, 574]",SNDW.tsv,S0644,S0607
oh there's,2,416,[0],[416],SNDW.tsv,S0644,S0607
there's,1,467,"[0, 6, 151, 198, 214, 230, 439, 466, 472, 517, 547, 557]","[467, 471, 544, 556, 577, 497]",SNDW.tsv,S0644,S0607
there's a,2,471,"[0, 214, 230, 439, 472, 547]","[471, 497]",SNDW.tsv,S0644,S0607
little,1,482,"[0, 4, 35, 468, 470, 472, 474, 477]",[482],SNDW.tsv,S0644,S0607
yeah,1,3,"[2, 10, 12, 13, 15, 20, 22, 26, 31, 43, 50, 52, 54, 59, 61, 90, 92, 94, 100, 103, 105, 109, 111, 115, 124, 137, 151, 165, 196, 202, 216, 238, 244, 258, 262, 264, 268, 281, 291, 320, 325, 346, 352, 368, 372, 376, 411, 413, 415, 424, 426, 428, 434, 463, 466, 470, 477, 485, 519, 521, 525, 559, 578, 584]","[3, 7, 36, 44, 49, 83, 118, 132, 135, 138, 162, 166, 170, 172, 174, 177, 187, 213, 215, 221, 235, 237, 239, 241, 245, 247, 249, 251, 253, 257, 265, 269, 282, 288, 290, 292, 295, 297, 299, 301, 303, 305, 307, 309, 311, 319, 326, 328, 330, 332, 335, 337, 339, 341, 343, 347, 355, 363, 384, 397, 399, 435, 440, 442, 480, 486, 508, 522, 544, 564, 150, 271, 576]",SNDW.tsv,S0644,S0607
would,1,53,"[2, 48, 131, 190, 216, 220, 244, 465, 481]","[53, 55, 62, 72, 74, 89, 97, 118, 120, 140, 284, 286, 499, 181]",SNDW.tsv,S0644,S0607
see,1,56,"[2, 208, 214, 218, 220, 304, 464, 479]","[56, 144, 189, 245, 556, 471]",SNDW.tsv,S0644,S0607
nice,1,78,"[2, 293, 346, 488]",[78],SNDW.tsv,S0644,S0607
quite,1,87,"[2, 13]",[87],SNDW.tsv,S0644,S0607
have be,2,110,"[2, 190, 196, 354]","[110, 397, 471]",SNDW.tsv,S0644,S0607
also,1,114,"[2, 178, 224]","[114, 199, 263, 357, 380, 423, 568]",SNDW.tsv,S0644,S0607
yeah i,2,150,"[2, 281, 578]","[150, 271, 576]",SNDW.tsv,S0644,S0607
it would,2,181,"[2, 190]",[181],SNDW.tsv,S0644,S0607
i do,2,255,"[2, 126, 289, 291, 293, 294, 348, 452]","[255, 487]",SNDW.tsv,S0644,S0607
it have be,3,397,[2],[397],SNDW.tsv,S0644,S0607
see if,2,471,"[2, 220]",[471],SNDW.tsv,S0644,S0607
like,1,4,"[4, 12, 13, 15, 26, 35, 39, 41, 43, 128, 131, 133, 151, 161, 167, 171, 178, 192, 198, 210, 212, 214, 216, 220, 230, 232, 234, 240, 250, 260, 266, 268, 281, 289, 293, 298, 302, 327, 342, 348, 432, 434, 452, 474, 517, 575]","[1, 5, 7, 9, 28, 32, 51, 67, 83, 85, 89, 93, 95, 99, 102, 120, 140, 150, 154, 156, 158, 170, 261, 263, 345, 391, 397, 399, 403, 407, 420, 423, 433, 471, 486, 492, 499, 508, 526, 534, 546, 552, 554, 556, 568, 570, 577]",SNDW.tsv,S0644,S0607
it be,2,7,"[4, 10, 15, 18, 24, 31, 35, 37, 41, 43, 79, 124, 126, 128, 167, 176, 180, 188, 190, 212, 216, 218, 240, 291, 334, 344, 432, 439, 527, 571]","[7, 9, 19, 21, 25, 32, 51, 53, 85, 91, 102, 112, 345, 405, 407, 494, 502, 568]",SNDW.tsv,S0644,S0607
fact,1,72,[4],"[72, 75, 101]",SNDW.tsv,S0644,S0607
i wouldn't,2,77,[4],[77],SNDW.tsv,S0644,S0607
the fact that,3,321,[4],"[321, 357]",SNDW.tsv,S0644,S0607
but the,2,387,"[4, 39, 220]",[387],SNDW.tsv,S0644,S0607
i be,2,6,"[6, 270, 272, 281, 289, 302]","[5, 51, 77, 83, 85, 87, 108, 114, 116, 170, 203, 399, 403, 420, 476]",SNDW.tsv,S0644,S0607
say,1,6,"[6, 131, 133, 136, 137, 175, 212, 234, 238, 289, 291, 302, 306, 312, 320, 323, 346, 348, 422, 432, 439, 441, 445]","[5, 53, 62, 74, 77, 353, 371, 373, 377, 382, 386, 393, 395, 397, 399, 412, 423, 458, 506, 552]",SNDW.tsv,S0644,S0607
probably be,2,7,[6],[7],SNDW.tsv,S0644,S0607
fun,1,7,"[6, 10, 153, 171]",[7],SNDW.tsv,S0644,S0607
be it,2,16,"[6, 31, 43, 190, 322, 354, 388]","[16, 34, 78, 80, 168, 261, 263, 351, 363, 393, 410, 416, 484, 583, 74]",SNDW.tsv,S0644,S0607
that's,1,23,"[6, 176, 184, 206, 216, 224, 246, 248, 250, 256, 289, 291, 296, 302, 338, 439, 446]","[23, 27, 30, 47, 148, 257, 275]",SNDW.tsv,S0644,S0607
think,1,25,"[6, 12, 37, 43, 48, 137, 139, 178, 190, 192, 218, 222, 224, 250, 302, 314, 346, 348, 356, 434, 443, 448, 539, 541, 545, 578, 580, 582]","[25, 154, 203, 217, 321, 353, 399, 471, 492, 513, 56, 82, 148, 150, 286, 458, 496, 577, 409, 410, 497]",SNDW.tsv,S0644,S0607
probably,1,32,"[6, 22, 26, 29]","[32, 97, 108, 114, 116]",SNDW.tsv,S0644,S0607
er cos,2,53,[6],[53],SNDW.tsv,S0644,S0607
cos,1,53,"[6, 39, 171, 178, 214, 220, 248, 268, 291, 293, 298, 325, 327, 334, 348, 383, 396, 439, 445, 452, 541, 563]","[53, 74, 85, 102, 108, 181, 189, 349, 377, 382, 399, 403, 409, 496, 538, 554, 556, 577]",SNDW.tsv,S0644,S0607
i think,2,56,"[6, 12, 37, 43, 48, 178, 190, 192, 222, 224, 250, 302, 346, 434, 443, 448, 539, 541, 545, 578, 580, 582]","[56, 82, 148, 150, 286, 409, 410, 458, 496, 497, 577]",SNDW.tsv,S0644,S0607
and that,2,56,"[6, 12, 39]","[56, 101]",SNDW.tsv,S0644,S0607
say be it,3,74,[6],[74],SNDW.tsv,S0644,S0607
come,1,77,"[6, 128, 131, 133, 134, 161, 171, 176, 226, 228, 244, 248, 289, 300, 320, 445, 505, 507, 512, 516]","[77, 89, 97, 467, 524, 530, 556]",SNDW.tsv,S0644,S0607
on too,2,78,[6],[78],SNDW.tsv,S0644,S0607
but i,2,158,"[6, 250, 289, 348, 434]","[158, 203, 284, 379, 386, 497]",SNDW.tsv,S0644,S0607
it's all,2,164,"[6, 222, 340, 445]",[164],SNDW.tsv,S0644,S0607
this i,2,284,"[6, 320]",[284],SNDW.tsv,S0644,S0607
okay,1,363,[6],"[363, 410, 416, 494, 502, 524, 550, 552, 564]",SNDW.tsv,S0644,S0607
much,1,403,"[6, 124, 163, 289, 298, 302]","[403, 405, 418, 423, 577]",SNDW.tsv,S0644,S0607
there's no,2,416,"[6, 466]","[416, 467, 544, 556]",SNDW.tsv,S0644,S0607
but i think,3,497,"[6, 250, 434]",[497],SNDW.tsv,S0644,S0607
better,1,556,"[6, 26, 541]",[556],SNDW.tsv,S0644,S0607
i think it's,3,577,"[6, 190, 578, 580, 582]",[577],SNDW.tsv,S0644,S0607
cos there's,2,577,[6],[577],SNDW.tsv,S0644,S0607
too much,2,577,[6],[577],SNDW.tsv,S0644,S0607
be just,2,10,"[10, 12, 15, 18, 35, 37, 41, 46, 117, 129, 133, 216, 228, 314]","[5, 101, 201, 9]",SNDW.tsv,S0644,S0607
it be just,3,10,"[10, 15, 18, 35, 37, 41]",[9],SNDW.tsv,S0644,S0607
yeah it,2,397,"[10, 31, 477]",[397],SNDW.tsv,S0644,S0607
really,1,12,"[12, 15, 18, 31, 37, 46, 48, 69, 126, 133, 171, 180, 212, 216, 218, 238, 268, 278, 293, 300, 348, 354, 452, 567]","[7, 14, 42, 55, 56, 68, 102, 114, 122, 158, 189, 379, 403, 449, 492, 502, 526]",SNDW.tsv,S0644,S0607
party,1,12,"[12, 13, 124, 153]","[11, 53, 55, 56, 58, 70, 85]",SNDW.tsv,S0644,S0607
always,1,25,[12],"[25, 120, 377]",SNDW.tsv,S0644,S0607
have a,2,55,"[12, 35, 124, 190, 268, 445, 539]","[55, 70, 263, 429, 471, 538]",SNDW.tsv,S0644,S0607
somewhere,1,55,"[12, 131]","[55, 425]",SNDW.tsv,S0644,S0607
they be,2,72,"[12, 13, 15, 26, 41, 46, 124, 216, 266, 582]","[72, 158, 491]",SNDW.tsv,S0644,S0607
it i,2,83,"[12, 268, 296]","[83, 403]",SNDW.tsv,S0644,S0607
like there,2,120,"[12, 289]",[120],SNDW.tsv,S0644,S0607
sit,1,120,"[12, 133, 196]","[120, 419]",SNDW.tsv,S0644,S0607
now i think,3,286,[12],[286],SNDW.tsv,S0644,S0607
now i,2,420,"[12, 291]",[420],SNDW.tsv,S0644,S0607
drink,1,437,"[12, 41]",[437],SNDW.tsv,S0644,S0607
suppose,1,508,"[12, 18, 571]",[508],SNDW.tsv,S0644,S0607
around,1,508,[12],[508],SNDW.tsv,S0644,S0607
do you,2,13,"[13, 272, 304, 348, 350, 446, 452]","[1, 11, 28, 34, 47, 243, 357, 433, 513, 560, 583, 102, 123, 207, 263, 408, 487]",SNDW.tsv,S0644,S0607
be like,2,13,"[13, 26, 517]","[5, 7, 51, 83, 93, 102, 170, 345, 399, 403, 407, 420]",SNDW.tsv,S0644,S0607
you know,2,13,"[13, 35, 137, 182, 198, 230, 238, 260, 268, 325, 346, 348, 439, 441, 446, 452]","[7, 68, 282, 321, 508, 102, 123, 207, 263, 408, 487]",SNDW.tsv,S0644,S0607
use to go,3,13,"[13, 15]",[11],SNDW.tsv,S0644,S0607
good,1,23,"[13, 15, 26, 31, 37, 39, 46, 128, 176, 178, 190, 192, 194, 196, 198, 212, 216, 218, 252, 314, 320, 344, 346, 348, 350, 452]","[23, 379, 431, 449]",SNDW.tsv,S0644,S0607
use to,2,25,"[13, 15, 33, 48, 302]","[25, 58, 70, 377, 409]",SNDW.tsv,S0644,S0607
