Expression,Expression_length,Expression_established_position,Expression_uttered_position_speaker1,Expression_uttered_position_speaker2,file,speaker1,speaker2
which be,2,247,"[0, 35, 38, 129, 220, 252, 269, 275, 294, 396, 398, 465, 510, 566, 569]",[247],SE58.tsv,S0327,S0326
together,1,257,"[0, 298, 437, 498, 510, 619, 620]","[257, 618]",SE58.tsv,S0327,S0326
be very,2,301,"[0, 575]","[301, 349]",SE58.tsv,S0327,S0326
yes,1,184,"[2, 97, 115, 157, 201, 271, 273, 278, 284, 358, 388, 392, 394, 404, 406, 443, 449, 459, 463, 472, 504, 549, 586, 599, 617, 622, 633, 652, 654, 689]","[184, 270, 496]",SE58.tsv,S0327,S0326
okay,1,102,"[4, 30, 38, 59, 68, 94, 118, 137, 157, 167, 384, 557, 578, 586, 615, 617, 619, 620, 627, 631, 635, 646, 652, 663, 669, 683, 695, 708]","[102, 295, 468, 660, 690]",SE58.tsv,S0327,S0326
what be,2,22,"[6, 147, 221, 298, 306, 330, 364]","[22, 236, 301, 351]",SE58.tsv,S0327,S0326
and what,2,272,"[6, 35]","[272, 481]",SE58.tsv,S0327,S0326
be the,2,339,"[6, 286, 292, 294, 463, 464, 465, 559, 575]","[339, 574, 585, 658]",SE58.tsv,S0327,S0326
art history,2,8,[8],"[7, 272]",SE58.tsv,S0327,S0326
so it's,2,9,"[8, 17, 113, 535, 609]","[9, 130, 458]",SE58.tsv,S0327,S0326
art,1,11,"[8, 246, 248, 269, 288, 304, 308, 447, 564]","[11, 240, 247, 253, 272, 274, 291]",SE58.tsv,S0327,S0326
it's gonna be,3,15,[8],[15],SE58.tsv,S0327,S0326
quite,1,22,"[8, 32, 89, 99, 126, 233, 262, 308, 316, 426, 447, 461, 510]","[22, 442, 454, 519, 645, 27, 349]",SE58.tsv,S0327,S0326
be quite,2,27,[8],"[27, 349]",SE58.tsv,S0327,S0326
gonna,1,125,"[8, 94, 126, 491, 624]","[125, 333, 385, 684, 247, 335]",SE58.tsv,S0327,S0326
gonna be,2,247,"[8, 491]","[247, 335]",SE58.tsv,S0327,S0326
bite,1,15,"[10, 220, 241, 248, 304, 350]","[15, 123, 136, 371, 373, 387]",SE58.tsv,S0327,S0326
little,1,61,"[10, 111, 241, 248, 350, 559]",[61],SE58.tsv,S0327,S0326
with a,2,174,"[10, 239]",[174],SE58.tsv,S0327,S0326
point,1,247,"[10, 185, 286, 659]",[247],SE58.tsv,S0327,S0326
so er,2,670,"[10, 300]",[670],SE58.tsv,S0327,S0326
essay,1,12,[12],"[1, 138, 291]",SE58.tsv,S0327,S0326
she's do,2,15,[12],[15],SE58.tsv,S0327,S0326
i mean,2,18,"[12, 14, 17, 72, 101, 199, 229, 231, 239, 248, 256, 260, 262, 269, 282, 286, 292, 344, 374, 396, 404, 410, 480, 486, 493, 497, 498, 504, 512, 566, 575, 646, 663, 671, 691]","[18, 47, 63, 69, 100, 247, 270, 276, 321, 361, 383, 405]",SE58.tsv,S0327,S0326
read,1,18,"[12, 220, 248, 258, 262, 269, 275, 376, 461]","[18, 450, 454, 458]",SE58.tsv,S0327,S0326
i do,2,58,"[12, 14, 35, 275, 628]","[58, 144, 291, 662]",SE58.tsv,S0327,S0326
i mean i,3,63,"[12, 14, 72, 199, 231, 269]","[63, 69]",SE58.tsv,S0327,S0326
know,1,100,"[12, 19, 68, 165, 199, 220, 227, 231, 235, 239, 241, 248, 250, 256, 260, 262, 269, 273, 286, 292, 300, 304, 306, 308, 332, 358, 364, 366, 374, 378, 380, 384, 396, 435, 445, 461, 477, 480, 491, 497, 500, 502, 504, 564, 567, 569, 571, 573, 577, 578, 657, 695, 697]","[100, 144, 148, 204, 212, 272, 345, 403, 417, 428, 434, 450, 244, 270, 337, 349, 371, 383, 413, 509]",SE58.tsv,S0327,S0326
send,1,117,"[12, 113]","[117, 138, 688]",SE58.tsv,S0327,S0326
and i,2,130,"[12, 19, 95, 220, 262, 298, 445, 463, 489, 493, 495, 502, 512, 566, 569, 575, 578, 601, 671]","[130, 291, 317, 351]",SE58.tsv,S0327,S0326
you know,2,244,"[12, 19, 68, 165, 220, 231, 235, 239, 241, 250, 269, 286, 292, 300, 304, 306, 308, 332, 358, 364, 366, 374, 378, 380, 384, 396, 445, 461, 477, 480, 497, 500, 502, 504, 564, 567, 571, 573, 577, 578, 657]","[244, 270, 272, 337, 345, 349, 371, 383, 413, 428, 509]",SE58.tsv,S0327,S0326
and so,2,255,"[12, 186, 298, 300, 308, 362, 571]","[255, 267, 272]",SE58.tsv,S0327,S0326
on and,2,277,[12],[277],SE58.tsv,S0327,S0326
i mean it's,3,361,"[12, 566]",[361],SE58.tsv,S0327,S0326
to read,2,458,"[12, 461]",[458],SE58.tsv,S0327,S0326
really,1,14,"[14, 44, 70, 78, 113, 127, 248, 260, 266, 286, 304, 306, 326, 384, 390, 404, 414, 453, 504, 535, 564, 566, 569, 575, 665]","[1, 41, 54, 58, 61, 144, 212, 247, 272, 301, 349, 434, 454, 544, 554]",SE58.tsv,S0327,S0326
way,1,51,"[14, 25, 222, 266, 292, 304, 354, 414, 416, 498, 695]","[51, 247, 649, 160]",SE58.tsv,S0327,S0326
think,1,63,"[14, 19, 38, 95, 99, 105, 129, 163, 165, 224, 225, 258, 266, 298, 306, 308, 310, 346, 350, 358, 380, 404, 408, 453, 487, 502, 562, 566, 575, 578, 607, 619, 620, 656, 685, 697, 714]","[63, 65, 100, 144, 160, 247, 253, 263, 272, 335, 349, 373, 377, 403, 419, 478, 614, 658]",SE58.tsv,S0327,S0326
in a,2,85,"[14, 74, 179, 294, 350, 358]","[85, 125, 162, 160]",SE58.tsv,S0327,S0326
in a way,3,160,[14],[160],SE58.tsv,S0327,S0326
more interest,2,160,[14],[160],SE58.tsv,S0327,S0326
be more,2,247,"[14, 250]",[247],SE58.tsv,S0327,S0326
interest,1,253,"[14, 19, 239, 248, 269, 302, 306, 350, 465, 477]","[253, 283, 357, 532]",SE58.tsv,S0327,S0326
actually,1,291,"[14, 26, 68, 163, 220, 239, 248, 269, 280, 294, 304, 314, 445, 459, 487, 491, 493, 559]","[291, 311, 534, 702]",SE58.tsv,S0327,S0326
interest in,2,532,"[14, 350, 477]",[532],SE58.tsv,S0327,S0326
a bite,2,16,"[16, 53, 57, 59, 113, 239, 308, 350, 356, 484, 626]","[15, 123, 136, 371, 373, 387]",SE58.tsv,S0327,S0326
seem to,2,41,"[16, 292, 294, 298]","[41, 212, 255]",SE58.tsv,S0327,S0326
