Expression,Expression_length,Expression_established_position,Expression_uttered_position_speaker1,Expression_uttered_position_speaker2,file,speaker1,speaker2
a rainy day for,4,1,[0],[1],SVDV.tsv,S0392,S0480
yeah,1,5,"[0, 2, 4, 10, 14, 16, 18, 20, 23, 26, 35, 37, 41, 43, 45, 47, 55, 59, 61, 63, 65, 70, 76, 80, 82, 86, 88, 90, 92, 94, 96, 98, 100, 106, 128, 130, 132, 134, 136, 140, 142, 144, 146, 148, 150, 152, 154, 156, 158, 160, 163, 165, 167, 169, 174, 176, 188, 194, 196, 200, 202, 204, 206, 208, 210, 212, 214, 216, 218, 229, 233, 235, 243, 245, 253, 255, 257, 259, 261, 265, 267, 271, 275, 283, 285, 287, 291, 293, 295, 303, 305, 311, 313, 315, 317, 319, 321, 328, 330, 332, 334, 336, 338, 346, 350, 352, 354, 356, 358, 360, 362, 364, 366, 368, 370, 372, 374, 384, 388, 391, 394, 400, 407, 410, 412, 422, 424, 426, 437, 441, 447, 449, 455, 465, 467, 471, 473, 475, 477, 481, 483, 485, 487, 495, 499, 505, 507, 509, 511, 513, 515, 521, 527, 529, 535, 539, 541, 543, 545, 547, 559, 561, 563, 565, 569, 579, 585, 589, 593, 595, 599, 600, 603, 611, 619, 632, 636, 647, 651, 653, 655, 663, 676, 678, 680, 682, 690, 702, 704, 706, 721, 723, 725, 727, 731, 743, 749, 752, 758, 766, 768, 771, 775, 777, 779, 781, 783, 785, 787, 789, 791, 795, 797, 801, 803, 805, 807, 809, 813, 815, 817, 828, 830, 836, 838, 840, 842, 853, 857, 863, 871, 878, 880, 884, 886, 890, 892, 900, 902, 904, 913, 925, 929]","[5, 11, 15, 17, 27, 29, 31, 36, 40, 42, 48, 50, 64, 85, 93, 103, 111, 113, 119, 121, 123, 125, 129, 147, 155, 173, 175, 179, 185, 187, 199, 203, 209, 217, 221, 226, 228, 238, 248, 250, 258, 266, 270, 272, 274, 280, 282, 296, 300, 302, 322, 326, 345, 347, 349, 377, 381, 383, 395, 397, 399, 401, 403, 411, 419, 429, 434, 444, 448, 452, 462, 472, 474, 504, 506, 516, 526, 530, 532, 542, 544, 552, 554, 556, 558, 560, 566, 568, 572, 574, 584, 610, 616, 622, 628, 631, 633, 646, 667, 671, 673, 677, 683, 685, 687, 703, 707, 709, 711, 726, 730, 736, 742, 748, 755, 761, 788, 790, 798, 816, 822, 825, 831, 833, 849, 852, 856, 858, 860, 862, 864, 870, 872, 879, 881, 883, 885, 887, 891, 895, 897, 907, 908, 910, 918, 920, 718, 837, 905]",SVDV.tsv,S0392,S0480
isn't it,2,58,"[0, 92, 106, 165, 214, 216, 289, 686, 848, 871, 878]","[58, 66, 131, 230, 250, 254, 345, 411, 506, 542, 883]",SVDV.tsv,S0392,S0480
for them,2,87,"[0, 237, 609]","[87, 425]",SVDV.tsv,S0392,S0480
it's a,2,179,"[0, 269, 291, 299, 535, 597, 666, 725, 846, 919]","[179, 221, 230, 232, 492, 578, 646, 711, 782, 800, 254]",SVDV.tsv,S0392,S0480
day,1,217,"[0, 128, 275, 279]",[217],SVDV.tsv,S0392,S0480
so it's a,3,254,[0],[254],SVDV.tsv,S0392,S0480
yeah so,2,718,"[0, 35, 94, 352, 690]","[718, 837, 905]",SVDV.tsv,S0392,S0480
so it's,2,907,"[0, 865]",[907],SVDV.tsv,S0392,S0480
horse,1,2,[2],[1],SVDV.tsv,S0392,S0480
well,1,3,"[2, 6, 26, 51, 78, 102, 124, 158, 165, 227, 275, 289, 380, 420, 461, 557, 670, 694, 723, 823, 906, 913]","[3, 50, 79, 93, 209, 282, 312, 385, 393, 444, 462, 480, 496, 510, 512, 516, 560, 568, 618, 631, 675, 774, 780, 812, 835, 839, 46, 371, 620]",SVDV.tsv,S0392,S0480
