Expression,Expression_length,Expression_established_position,Expression_uttered_position_speaker1,Expression_uttered_position_speaker2,file,speaker1,speaker2
two thousand,2,3,[0],"[3, 372, 488, 490]",ST62.tsv,S0181,S0182
five,1,3,"[0, 14, 129]","[3, 110, 130]",ST62.tsv,S0181,S0182
two,1,5,"[0, 14, 308]","[5, 346, 509, 372, 488, 490]",ST62.tsv,S0181,S0182
like,1,27,"[0, 2, 14, 16, 36, 53, 55, 59, 63, 67, 77, 87, 99, 113, 129, 151, 165, 167, 173, 193, 209, 221, 225, 232, 240, 268, 274, 278, 284, 294, 304, 310, 316, 347, 363, 371, 387, 419, 427, 431, 437, 449, 457, 467, 477, 514]","[27, 41, 43, 46, 66, 78, 116, 122, 226, 228, 251, 267, 325, 332, 342, 356, 384, 388, 394, 400, 412, 422, 436]",ST62.tsv,S0181,S0182
of the,2,76,"[0, 63, 71, 85, 101, 103, 191, 209, 213, 264, 274, 393, 403, 425, 512]","[76, 442]",ST62.tsv,S0181,S0182
things,1,136,"[0, 63, 87, 282, 314, 401, 459]",[136],ST62.tsv,S0181,S0182
you have,2,202,"[0, 377, 437, 477]","[202, 422]",ST62.tsv,S0181,S0182
all years,2,2,[2],[1],ST62.tsv,S0181,S0182
years,1,110,[2],"[110, 470]",ST62.tsv,S0181,S0182
right,1,4,"[4, 51, 69, 129, 191, 201, 221, 262, 268, 320, 326, 401, 421, 512]","[3, 249, 275, 279, 281, 305, 362, 525]",ST62.tsv,S0181,S0182
l j,2,6,[6],[5],ST62.tsv,S0181,S0182
stand,1,88,[6],[88],ST62.tsv,S0181,S0182
would,1,212,"[6, 61, 91, 209, 343, 413, 415, 437, 447, 520, 522]","[212, 273, 342, 344]",ST62.tsv,S0181,S0182
run,1,8,"[8, 10]","[5, 7]",ST62.tsv,S0181,S0182
something,1,41,"[8, 71, 73, 145, 193, 223, 234, 395]","[41, 66, 154, 330]",ST62.tsv,S0181,S0182
to the,2,45,"[8, 63, 101, 314, 516]","[45, 46, 358]",ST62.tsv,S0181,S0182
want to,2,116,"[8, 129, 248, 304]",[116],ST62.tsv,S0181,S0182
they be,2,150,"[8, 97, 225, 431]","[150, 226, 434]",ST62.tsv,S0181,S0182
to do,2,214,[8],[214],ST62.tsv,S0181,S0182
you want,2,243,[8],[243],ST62.tsv,S0181,S0182
something to do with,4,330,[8],[330],ST62.tsv,S0181,S0182
random,1,10,"[10, 371, 373, 389, 391]",[9],ST62.tsv,S0181,S0182
