Expression,Expression_length,Expression_established_position,Expression_uttered_position_speaker1,Expression_uttered_position_speaker2,file,speaker1,speaker2
yeah,1,5,"[2, 4, 6, 59, 79, 81, 83, 85, 129, 133, 151, 161, 163, 167, 173, 183, 199, 213, 235, 247, 255, 259, 265, 271, 275, 289, 291, 303, 333, 339, 363, 371, 381, 383, 387, 389, 395, 407, 418, 420, 432, 438, 440, 450, 454, 492, 504, 510, 512, 518, 524, 540, 560, 606, 608, 610, 614, 626, 638, 684, 710, 712, 716, 728, 734, 736, 773, 789, 791, 793, 795, 797, 799, 801, 829, 831, 845, 851, 865, 891, 927, 961, 967, 969, 1005, 1007, 1009, 1015, 1021, 1035, 1047, 1053, 1055, 1057, 1063, 1065, 1105, 1109, 1113, 1138, 1154, 1172, 1176, 1181, 1187, 1191, 1261, 1273, 1293, 1295, 1323, 1363, 1365, 1375, 1377, 1385, 1433, 1439, 1443, 1463, 1473, 1475, 1493, 1499, 1512, 1524, 1540, 1552, 1555, 1557, 1571, 1577, 1585, 1593]","[5, 11, 24, 60, 66, 74, 82, 92, 98, 106, 108, 114, 116, 124, 130, 132, 134, 136, 156, 168, 170, 184, 193, 204, 206, 212, 214, 226, 236, 238, 248, 256, 260, 264, 278, 284, 286, 314, 324, 326, 332, 336, 366, 378, 384, 386, 402, 445, 447, 461, 483, 493, 497, 519, 531, 541, 543, 549, 557, 587, 589, 603, 615, 623, 633, 639, 675, 687, 701, 703, 707, 715, 717, 719, 723, 725, 727, 735, 739, 741, 747, 751, 760, 766, 770, 774, 784, 792, 802, 804, 806, 808, 810, 812, 818, 828, 830, 832, 840, 844, 854, 860, 872, 880, 900, 906, 908, 920, 930, 940, 956, 966, 980, 988, 1002, 1004, 1048, 1050, 1058, 1062, 1066, 1076, 1078, 1080, 1082, 1088, 1114, 1119, 1129, 1131, 1149, 1151, 1169, 1173, 1178, 1182, 1184, 1186, 1188, 1196, 1208, 1216, 1240, 1246, 1252, 1254, 1256, 1262, 1266, 1268, 1270, 1272, 1294, 1308, 1318, 1328, 1330, 1348, 1350, 1352, 1354, 1380, 1382, 1392, 1394, 1398, 1400, 1404, 1406, 1408, 1424, 1428, 1430, 1434, 1452, 1454, 1456, 1458, 1460, 1476, 1478, 1480, 1482, 1496, 1498, 1506, 1509, 1517, 1519, 1560, 1572, 1576, 1578, 1580, 1586, 1592, 1602, 1604]",SEGU.tsv,S0084,S0041
christmas,1,376,[2],[376],SEGU.tsv,S0084,S0041
party,1,497,"[2, 542, 550, 556, 1512]","[497, 517, 523, 527, 535, 539]",SEGU.tsv,S0084,S0041
after the,2,1600,[2],[1600],SEGU.tsv,S0084,S0041
that's,1,4,"[4, 53, 69, 107, 137, 194, 207, 237, 299, 303, 320, 349, 383, 424, 468, 482, 560, 602, 622, 706, 718, 732, 765, 805, 821, 841, 871, 877, 893, 917, 955, 979, 1053, 1059, 1061, 1073, 1077, 1101, 1105, 1132, 1168, 1172, 1187, 1189, 1191, 1193, 1231, 1241, 1305, 1307, 1327, 1355, 1385, 1423, 1425, 1429, 1435, 1445, 1449, 1459, 1512, 1561, 1581]","[1, 30, 52, 94, 102, 132, 152, 184, 200, 210, 310, 312, 350, 364, 368, 374, 386, 479, 481, 555, 559, 593, 631, 667, 679, 709, 731, 786, 878, 916, 1024, 1042, 1190, 1192, 1208, 1216, 1258, 1314, 1316, 1328, 1338, 1406, 1416, 1513, 1519, 1572, 1574, 376, 812, 814]",SEGU.tsv,S0084,S0041
well,1,11,"[4, 133, 153, 159, 161, 194, 213, 237, 255, 283, 299, 319, 323, 329, 331, 365, 383, 401, 409, 415, 524, 548, 560, 614, 710, 720, 728, 732, 734, 738, 801, 879, 955, 959, 1039, 1047, 1059, 1075, 1107, 1172, 1177, 1185, 1187, 1197, 1305, 1327, 1347, 1355, 1379, 1389, 1417, 1435, 1449, 1475, 1489, 1493, 1544, 1583, 1605]","[11, 48, 66, 110, 112, 116, 145, 152, 191, 300, 314, 334, 366, 390, 404, 673, 675, 693, 751, 832, 858, 862, 902, 926, 1070, 1214, 1268, 1302, 1308, 1322, 1414, 1462, 1464, 1484, 1513, 1566]",SEGU.tsv,S0084,S0041
feel,1,11,"[4, 235, 738, 740, 925, 1107, 1144, 1571]","[11, 649, 709, 725, 932, 1068, 1106, 260, 376, 609, 643, 924, 926, 1340]",SEGU.tsv,S0084,S0041
like,1,11,"[4, 27, 51, 101, 107, 109, 159, 167, 175, 194, 255, 283, 287, 289, 291, 299, 331, 377, 385, 391, 432, 468, 488, 524, 528, 532, 542, 544, 608, 702, 714, 716, 718, 738, 740, 742, 791, 793, 801, 819, 829, 843, 845, 847, 859, 893, 933, 955, 993, 997, 1001, 1009, 1011, 1013, 1017, 1049, 1059, 1073, 1075, 1077, 1087, 1089, 1091, 1105, 1126, 1132, 1150, 1152, 1154, 1156, 1160, 1168, 1172, 1177, 1179, 1181, 1187, 1191, 1193, 1195, 1249, 1269, 1321, 1349, 1355, 1379, 1383, 1397, 1411, 1423, 1433, 1449, 1479, 1508, 1512, 1518, 1526, 1544, 1569, 1577, 1579, 1583, 1585, 1587, 1589, 1591, 1597]","[11, 13, 30, 60, 82, 86, 102, 104, 112, 116, 120, 132, 150, 162, 184, 188, 196, 208, 250, 252, 304, 338, 364, 366, 380, 386, 439, 441, 443, 491, 493, 499, 509, 511, 531, 565, 573, 575, 579, 581, 583, 595, 599, 661, 673, 679, 689, 693, 707, 709, 774, 800, 812, 814, 816, 834, 856, 866, 942, 946, 970, 978, 980, 982, 1012, 1014, 1068, 1074, 1084, 1118, 1119, 1129, 1137, 1161, 1186, 1208, 1210, 1214, 1222, 1224, 1242, 1284, 1294, 1302, 1314, 1320, 1322, 1332, 1334, 1346, 1356, 1358, 1362, 1376, 1416, 1420, 1452, 1462, 1464, 1511, 1566, 1596, 260, 376, 926, 1340]",SEGU.tsv,S0084,S0041
i'm,1,11,"[4, 133, 167, 194, 197, 203, 289, 299, 377, 454, 474, 614, 624, 720, 801, 891, 917, 997, 1023, 1073, 1093, 1172, 1187, 1449, 1453, 1528, 1542, 1605]","[11, 15, 84, 112, 114, 116, 132, 172, 189, 210, 212, 260, 268, 272, 274, 304, 314, 324, 392, 455, 505, 507, 511, 611, 645, 649, 669, 760, 764, 766, 774, 800, 946, 968, 978, 1036, 1216, 1438, 1464, 1466, 1521, 1596]",SEGU.tsv,S0084,S0041
conversations,1,11,[4],[11],SEGU.tsv,S0084,S0041
i think,2,13,"[4, 17, 51, 133, 181, 194, 281, 319, 448, 450, 532, 556, 558, 560, 710, 801, 845, 889, 937, 957, 997, 1001, 1003, 1009, 1011, 1021, 1027, 1039, 1053, 1077, 1085, 1091, 1101, 1172, 1193, 1425, 1435, 1449, 1508, 1536, 1581, 1585, 1599]","[13, 26, 34, 60, 66, 112, 122, 130, 132, 162, 172, 174, 216, 222, 232, 242, 308, 314, 511, 523, 591, 631, 693, 695, 701, 709, 770, 786, 862, 882, 916, 944, 968, 984, 990, 992, 1004, 1032, 1034, 1038, 1050, 1052, 1104, 1106, 1214, 1266, 1296, 1320, 1334, 1440, 1484, 1586, 1316]",SEGU.tsv,S0084,S0041
work,1,13,"[4, 51, 179, 352, 542, 618, 793, 1571, 1577]","[13, 50, 60, 764, 814, 944, 1030, 1042, 1116, 1119, 1198]",SEGU.tsv,S0084,S0041
sorry,1,15,"[4, 289, 1172, 1605]","[15, 1118]",SEGU.tsv,S0084,S0041
right,1,18,"[4, 17, 185, 194, 299, 309, 542, 572, 660, 694, 696, 742, 769, 943, 945, 951, 1113, 1142, 1168, 1172, 1217, 1303, 1341, 1357, 1409, 1548]","[18, 44, 58, 64, 116, 132, 314, 421, 623, 691, 920, 998, 1294, 1370, 1416, 1525, 1543]",SEGU.tsv,S0084,S0041
anyway,1,24,"[4, 1177]","[24, 32, 66, 707, 876, 1143, 1294, 1362, 1374]",SEGU.tsv,S0084,S0041
so i,2,30,"[4, 194, 281, 289, 299, 917, 1011, 1017, 1095, 1126, 1536]","[30, 56, 64, 298, 382, 473, 525, 856, 942, 984, 1038, 1050, 1070, 1131, 1470, 1484]",SEGU.tsv,S0084,S0041
