Expression,Expression_length,Expression_established_position,Expression_uttered_position,file
a,1,5,"[0, 5, 17, 22, 30, 33, 35, 48, 58, 67, 79, 86, 90, 119, 126, 133, 139, 146, 152, 174, 176, 181, 189, 191, 198, 208, 211, 212, 215, 219, 221, 223, 225, 226, 229, 231, 234, 235, 241, 245, 248, 261, 263, 276, 291, 293, 294, 295, 299, 303, 307, 318, 327, 329, 338, 346, 348, 350, 357, 365, 387, 389, 391, 398, 423, 424, 432, 445, 447, 460, 477, 479, 481, 482, 483, 486, 489, 490, 493, 497, 498, 502, 504, 516, 520, 524, 530, 540, 542, 555, 569, 583, 593, 614, 624, 625, 627, 633, 636, 663, 667, 677, 679, 699, 702, 705, 709, 734]",SUNR.tsv
oh,1,17,"[0, 17, 42, 57, 68, 86, 89, 127, 131, 141, 166, 182, 183, 186, 191, 202, 205, 207, 211, 213, 221, 223, 265, 271, 274, 289, 328, 335, 351, 352, 358, 418, 593, 597, 611, 615, 650, 662, 670, 671, 682, 689, 694]",SUNR.tsv
she's,1,19,"[0, 19, 183, 191, 219, 221, 223, 253, 391, 417, 418, 419, 431, 432, 441, 468, 471, 472, 476, 485, 489, 490, 494, 498, 502, 506, 507, 508, 509, 512, 516, 518, 520, 524, 526, 530, 561, 569, 570, 571, 576, 578, 593, 663]",SUNR.tsv
maybe,1,288,"[0, 72, 74, 288, 304, 381, 447, 712]",SUNR.tsv
ah,1,63,"[2, 46, 63, 91, 95, 99, 141, 144, 192, 194, 200, 332, 335, 339, 341, 345, 362, 608, 643, 656, 658, 664, 733]",SUNR.tsv
get to,2,4,"[3, 4, 223, 229]",SUNR.tsv
get,1,4,"[3, 4, 5, 7, 15, 25, 33, 51, 64, 65, 66, 71, 78, 79, 81, 92, 123, 130, 133, 136, 176, 179, 183, 193, 198, 202, 204, 211, 212, 219, 221, 223, 225, 229, 265, 295, 326, 359, 367, 391, 393, 401, 476, 493, 507, 530, 559, 569, 607, 612, 614, 644, 653, 663, 667, 700, 707, 714, 728, 729, 740]",SUNR.tsv
to get,2,5,"[4, 5, 78, 193, 204, 223, 714]",SUNR.tsv
that's,1,7,"[4, 7, 17, 21, 48, 50, 79, 86, 114, 124, 127, 133, 139, 146, 150, 166, 173, 209, 238, 240, 262, 280, 283, 287, 288, 291, 293, 294, 303, 324, 326, 327, 328, 330, 337, 347, 352, 363, 385, 430, 460, 466, 468, 472, 485, 495, 502, 506, 527, 529, 536, 540, 565, 569, 571, 573, 584, 603, 610, 621, 627, 633, 642, 648, 654, 655, 691, 693, 695, 696, 697, 732, 739, 742]",SUNR.tsv
for,1,7,"[4, 7, 17, 64, 67, 81, 83, 84, 85, 107, 112, 114, 122, 139, 146, 147, 189, 206, 212, 219, 223, 226, 235, 237, 244, 278, 316, 334, 338, 345, 389, 391, 432, 480, 486, 491, 497, 524, 529, 542, 548, 564, 571, 586, 589, 593, 596, 607, 649, 654, 655, 686, 711, 715, 730, 736]",SUNR.tsv
