Expression,Expression_length,Expression_established_position,Expression_uttered_position,file
yeah,1,5,"[0, 5, 8, 10, 20, 28, 31, 57, 59, 64, 80, 83, 84, 104, 105, 107, 114, 116, 118, 122, 123, 124, 132, 142, 143, 144, 152, 167, 168, 173, 194, 195, 207, 212, 215, 219, 220, 230, 235, 271, 274, 277, 310, 313, 315, 317, 319, 323, 342, 345, 354, 366, 368, 372, 385, 387, 394, 408, 419, 425, 431, 442, 453, 495, 497, 506, 508, 528, 534, 537, 547, 562, 564, 566, 568, 587, 613, 615, 616, 630, 638, 656, 658, 679, 683, 690, 692, 697, 703, 716, 718, 723, 745, 753, 757, 764, 767, 774, 795, 798, 802, 803, 821, 822, 832, 836, 859, 875, 881, 882, 925, 942, 955, 962, 970, 973, 981, 990, 997, 1006, 1010, 1012, 1019, 1022, 1025, 1030, 1034, 1038, 1042, 1044, 1046, 1053, 1057, 1064, 1068, 1075, 1078, 1083, 1087, 1091, 1100, 1117, 1118, 1127, 1129, 1131, 1138, 1141, 1154, 1156, 1160, 1165, 1168, 1182, 1201, 1224, 1225, 1238, 1250, 1252, 1253, 1255, 1265, 1274, 1279, 1293, 1298, 1300, 1305, 1326, 1328, 1330, 1332, 1333, 1334, 1339, 1342, 1349, 1351, 1360, 1361, 1371, 1373, 1375, 1383, 1385, 1386, 1387, 1391, 1396, 1400, 1407, 1416, 1417, 1422, 1423, 1439, 1440, 1444, 1447, 1449, 1452, 1454, 1456, 1465, 1472, 1473, 1486, 1490, 1493, 1494, 1496, 1503, 1511, 1514, 1516, 1520, 1524, 1536, 1538, 1541, 1543, 1555, 1556, 1559, 1563, 1564, 1566, 1572, 1573, 1576, 1577, 1581, 1584, 1586, 1593, 1595, 1606, 1612, 1615, 1618, 1620, 1622, 1625, 1629, 1642]",SKRC.tsv
in,1,5,"[0, 4, 5, 6, 31, 42, 45, 46, 48, 66, 112, 120, 126, 130, 166, 169, 172, 176, 182, 206, 216, 234, 240, 283, 298, 299, 300, 315, 332, 374, 375, 376, 397, 427, 434, 451, 455, 462, 470, 472, 474, 479, 481, 488, 490, 491, 494, 509, 512, 521, 544, 556, 560, 563, 628, 636, 653, 664, 674, 676, 684, 739, 747, 752, 753, 773, 775, 793, 806, 813, 833, 836, 844, 846, 879, 883, 940, 958, 969, 975, 982, 983, 986, 1004, 1028, 1029, 1030, 1043, 1048, 1057, 1062, 1065, 1069, 1076, 1081, 1083, 1129, 1153, 1220, 1224, 1230, 1243, 1249, 1259, 1268, 1280, 1282, 1284, 1286, 1290, 1299, 1337, 1373, 1386, 1406, 1419, 1420, 1425, 1472, 1491, 1528, 1535, 1543, 1548, 1562, 1567, 1591, 1599, 1603, 1612, 1621]",SKRC.tsv
a,1,15,"[0, 15, 21, 41, 43, 44, 45, 50, 52, 60, 61, 81, 94, 98, 102, 106, 126, 130, 133, 153, 155, 156, 157, 176, 177, 179, 185, 193, 200, 202, 205, 216, 218, 229, 230, 231, 265, 281, 295, 305, 311, 317, 321, 347, 355, 364, 375, 408, 418, 419, 434, 455, 456, 459, 462, 470, 474, 478, 479, 488, 491, 496, 498, 512, 514, 516, 518, 519, 521, 527, 528, 530, 531, 533, 538, 547, 565, 582, 583, 586, 591, 597, 601, 607, 608, 609, 612, 617, 621, 622, 625, 635, 682, 683, 686, 689, 695, 711, 719, 722, 724, 733, 735, 739, 747, 753, 754, 759, 781, 782, 785, 788, 789, 804, 808, 812, 813, 816, 820, 834, 854, 858, 859, 861, 865, 868, 883, 885, 891, 892, 893, 894, 897, 904, 937, 945, 966, 967, 975, 983, 988, 991, 996, 1020, 1022, 1028, 1030, 1039, 1055, 1057, 1083, 1086, 1092, 1094, 1111, 1125, 1134, 1137, 1139, 1141, 1149, 1150, 1199, 1203, 1204, 1231, 1232, 1246, 1252, 1254, 1256, 1268, 1270, 1277, 1280, 1282, 1286, 1295, 1297, 1304, 1317, 1320, 1325, 1331, 1338, 1363, 1365, 1367, 1371, 1373, 1379, 1384, 1386, 1390, 1404, 1411, 1412, 1413, 1423, 1439, 1441, 1464, 1485, 1487, 1489, 1513, 1515, 1517, 1529, 1533, 1537, 1540, 1543, 1548, 1569, 1583, 1584, 1587, 1591, 1593, 1595, 1605, 1632, 1639, 1641]",SKRC.tsv
so,1,45,"[0, 12, 35, 39, 41, 45, 61, 62, 63, 64, 96, 112, 121, 124, 126, 127, 137, 179, 212, 218, 250, 259, 335, 368, 371, 376, 420, 434, 451, 470, 477, 479, 481, 487, 490, 494, 511, 515, 610, 617, 622, 648, 653, 654, 693, 694, 695, 708, 735, 737, 745, 747, 755, 783, 804, 806, 815, 822, 837, 862, 943, 945, 947, 949, 950, 978, 1003, 1037, 1063, 1064, 1065, 1067, 1078, 1079, 1104, 1139, 1144, 1170, 1178, 1221, 1242, 1249, 1250, 1252, 1256, 1261, 1262, 1267, 1289, 1290, 1299, 1304, 1325, 1417, 1448, 1453, 1510, 1531, 1548, 1554, 1609, 1620, 1640]",SKRC.tsv
get,1,23,"[0, 23, 45, 81, 98, 126, 148, 158, 160, 166, 171, 172, 190, 230, 240, 242, 301, 305, 332, 343, 344, 347, 371, 376, 378, 380, 396, 397, 408, 427, 432, 436, 476, 484, 488, 490, 512, 537, 538, 546, 548, 567, 569, 586, 592, 594, 604, 619, 689, 693, 725, 739, 741, 745, 749, 776, 788, 804, 812, 816, 854, 856, 859, 871, 897, 939, 988, 1024, 1026, 1028, 1039, 1048, 1050, 1065, 1068, 1069, 1084, 1086, 1092, 1111, 1133, 1137, 1139, 1144, 1152, 1198, 1241, 1246, 1252, 1256, 1259, 1261, 1262, 1265, 1266, 1271, 1311, 1313, 1315, 1323, 1331, 1379, 1409, 1423, 1425, 1478, 1485, 1500, 1515, 1529, 1537, 1543, 1546, 1554, 1557, 1569, 1571, 1583, 1584, 1605, 1641]",SKRC.tsv
i've,1,104,"[0, 104, 108, 172, 201, 205, 222, 224, 332, 400, 472, 484, 487, 488, 496, 594, 625, 646, 655, 743, 783, 797, 802, 1344, 1618, 1620]",SKRC.tsv
yeah so,2,64,"[0, 64, 124, 1064, 1078, 1250, 1417]",SKRC.tsv
get a,2,126,"[0, 126, 347, 512, 538, 586, 689, 804, 816, 897, 1028, 1039, 1111, 1379, 1423, 1485, 1529, 1537, 1543, 1583, 1584, 1605]",SKRC.tsv
i've get,2,172,"[0, 172, 332, 484, 488, 594]",SKRC.tsv
and,1,15,"[2, 15, 16, 19, 24, 35, 39, 40, 41, 45, 50, 52, 62, 66, 87, 94, 96, 98, 100, 106, 134, 137, 156, 160, 166, 176, 177, 190, 193, 194, 208, 210, 212, 216, 232, 237, 240, 241, 242, 253, 270, 273, 274, 285, 297, 298, 299, 303, 315, 317, 321, 337, 343, 347, 364, 366, 367, 379, 380, 397, 434, 437, 439, 451, 453, 456, 466, 470, 481, 484, 487, 488, 490, 494, 496, 498, 509, 510, 514, 530, 538, 539, 540, 548, 556, 558, 559, 565, 572, 575, 578, 585, 599, 608, 612, 617, 625, 653, 658, 662, 668, 672, 675, 677, 685, 691, 695, 702, 711, 712, 719, 725, 727, 728, 735, 739, 741, 743, 745, 747, 749, 750, 754, 759, 773, 780, 781, 782, 783, 785, 791, 794, 804, 810, 812, 833, 844, 846, 855, 857, 909, 940, 943, 945, 955, 971, 973, 978, 991, 1009, 1018, 1024, 1030, 1041, 1049, 1054, 1057, 1063, 1067, 1068, 1069, 1074, 1076, 1083, 1086, 1088, 1090, 1092, 1094, 1102, 1110, 1128, 1129, 1133, 1144, 1149, 1150, 1152, 1159, 1161, 1162, 1163, 1167, 1168, 1198, 1205, 1224, 1230, 1233, 1240, 1241, 1246, 1261, 1269, 1271, 1280, 1282, 1288, 1289, 1292, 1295, 1304, 1313, 1316, 1323, 1324, 1327, 1333, 1337, 1372, 1373, 1378, 1379, 1382, 1386, 1388, 1395, 1399, 1403, 1415, 1417, 1420, 1422, 1423, 1425, 1435, 1439, 1441, 1445, 1448, 1459, 1464, 1472, 1479, 1487, 1492, 1497, 1500, 1508, 1515, 1521, 1529, 1537, 1542, 1552, 1565, 1567, 1569, 1571, 1573, 1583, 1585, 1587, 1593, 1620, 1621, 1625, 1632, 1634, 1636, 1638, 1640, 1641]",SKRC.tsv
