Expression,Expression_length,Expression_established_position,Expression_uttered_position,file
to do business with,4,4,"[0, 4]",SWLS.tsv
don't want,2,4,"[0, 4]",SWLS.tsv
the,1,3,"[0, 3, 4, 6, 14, 16, 18, 20, 22, 26, 28, 32, 35, 37, 38, 40, 44, 46, 48, 50, 52, 54, 55, 56, 61, 66, 68, 69, 70, 72, 77, 78, 85, 96, 100, 110, 112, 117, 121, 136, 139, 142, 155, 157, 160, 177, 181, 183, 184, 185, 189, 190, 191, 192, 193, 194, 197, 204, 205, 206, 208, 211, 212, 214, 215, 220, 232, 233, 238]",SWLS.tsv
don't,1,4,"[0, 4, 46, 48, 57, 58, 63, 70, 72, 78, 130, 214]",SWLS.tsv
cos,1,6,"[0, 6, 30, 32, 38, 48, 77, 92, 211]",SWLS.tsv
to do,2,8,"[0, 4, 8, 28, 46, 81, 189]",SWLS.tsv
they,1,8,"[0, 2, 8, 14, 70, 72, 73, 74, 97, 98, 112, 114, 130, 138, 174, 190, 226, 239]",SWLS.tsv
want,1,8,"[0, 8, 28, 72, 73, 74, 136, 194]",SWLS.tsv
do,1,16,"[0, 4, 8, 16, 18, 20, 28, 29, 30, 32, 35, 38, 46, 48, 67, 69, 70, 76, 81, 82, 88, 98, 130, 138, 171, 189]",SWLS.tsv
to,1,9,"[0, 4, 8, 9, 16, 18, 20, 22, 26, 28, 32, 35, 40, 44, 46, 56, 59, 60, 61, 63, 70, 72, 73, 74, 77, 81, 85, 95, 100, 110, 121, 136, 140, 141, 152, 157, 159, 167, 169, 173, 189, 191, 194, 195, 197, 201, 203, 205, 206, 214, 219, 226, 228, 233]",SWLS.tsv
with the,2,40,"[0, 40, 68, 206, 238]",SWLS.tsv
they don't,2,70,"[0, 70]",SWLS.tsv
they don't want,3,72,"[0, 72]",SWLS.tsv
from the,2,96,"[0, 96]",SWLS.tsv
directly,1,2,"[1, 2]",SWLS.tsv
and,1,6,"[2, 6, 8, 14, 16, 18, 20, 22, 26, 28, 29, 32, 34, 38, 40, 46, 48, 50, 54, 55, 61, 63, 66, 67, 68, 70, 78, 81, 83, 84, 100, 118, 121, 123, 132, 136, 155, 157, 166, 167, 174, 178, 185, 189, 191, 194, 197, 206, 217, 228, 230, 233]",SWLS.tsv
so,1,16,"[2, 16, 18, 20, 22, 26, 30, 40, 42, 44, 48, 50, 52, 54, 65, 66, 84, 85, 100, 134, 138, 142, 152, 159, 164, 167, 189, 206, 207, 208, 213, 219]",SWLS.tsv
cut,1,226,"[2, 226]",SWLS.tsv
no,1,7,"[5, 7, 8, 12, 59, 60, 62, 66, 79, 89, 119, 131, 140, 162, 184, 199, 200, 202, 205, 207]",SWLS.tsv
not,1,11,"[5, 11, 18, 20, 28, 59, 60, 61, 65, 66, 89, 90, 115, 157, 175, 177, 178, 201, 228, 229, 233]",SWLS.tsv
of,1,14,"[5, 14, 16, 18, 20, 26, 28, 30, 36, 40, 44, 48, 50, 52, 53, 70, 104, 105, 123, 128, 132, 153, 177, 183, 189, 197, 199, 232]",SWLS.tsv
yes,1,78,"[10, 78, 82, 106, 182]",SWLS.tsv
mm,1,16,"[12, 16, 17, 19, 20, 21, 25, 27, 29, 31, 39, 41, 43, 45, 47, 49, 54, 63, 85, 86, 91, 99, 115, 121, 129, 133, 135, 150, 165, 170, 175, 179, 183, 186]",SWLS.tsv
probably,1,207,"[87, 207]",SWLS.tsv
not quite,2,90,"[28, 89, 90]",SWLS.tsv
yeah,1,101,"[3, 16, 18, 30, 33, 50, 52, 58, 61, 62, 64, 67, 72, 93, 101, 116, 120, 122, 124, 128, 145, 158, 162, 168, 169, 181, 188]",SWLS.tsv
i,1,102,"[4, 16, 20, 38, 44, 46, 48, 57, 58, 59, 72, 78, 100, 102, 108, 111, 119, 120, 130, 134, 151, 171, 184, 185, 195, 197, 201, 207, 214, 216, 222, 223, 226, 228, 230, 233]",SWLS.tsv
be,1,102,"[4, 6, 8, 9, 13, 14, 16, 18, 20, 22, 26, 28, 32, 38, 40, 42, 46, 50, 52, 54, 55, 56, 61, 63, 70, 85, 92, 100, 102, 103, 105, 109, 114, 119, 121, 123, 126, 151, 152, 153, 157, 171, 173, 181, 183, 185, 188, 189, 191, 192, 194, 199, 201, 205, 206, 213, 220, 226, 228, 238]",SWLS.tsv
say,1,102,"[6, 20, 48, 95, 100, 102, 103, 108, 114, 115, 119, 121, 132]",SWLS.tsv
tell,1,102,"[8, 102]",SWLS.tsv
it,1,102,"[8, 16, 18, 20, 22, 26, 28, 32, 40, 42, 44, 46, 50, 54, 72, 77, 88, 102, 109, 111, 113, 118, 119, 123, 126, 132, 136, 140, 141, 160, 164, 166, 171, 184, 187, 188, 189, 190, 191, 197, 198, 206, 207, 217, 221, 225, 226, 228, 230]",SWLS.tsv
that's,1,102,"[8, 20, 32, 36, 40, 66, 68, 76, 78, 83, 102, 107, 108, 119, 125, 149, 194, 198, 206, 218]",SWLS.tsv
be a,2,102,"[16, 20, 55, 63, 102]",SWLS.tsv
a,1,102,"[14, 16, 18, 20, 26, 32, 38, 40, 46, 48, 55, 56, 57, 58, 61, 63, 70, 84, 97, 100, 102, 104, 105, 116, 117, 121, 126, 128, 132, 140, 152, 153, 195, 198, 199, 207, 215, 217, 219, 230, 233]",SWLS.tsv
oh,1,102,"[3, 7, 57, 67, 78, 79, 102, 105, 108, 116, 139, 143, 144, 148, 185, 209, 227, 231, 240]",SWLS.tsv
our,1,102,"[36, 42, 70, 78, 92, 94, 102, 153]",SWLS.tsv
isn't,1,176,"[77, 88, 102, 119, 176, 189, 225]",SWLS.tsv
know,1,106,"[4, 6, 16, 18, 20, 22, 28, 32, 38, 48, 57, 58, 74, 78, 94, 100, 105, 106, 112, 210, 214, 216, 219, 222]",SWLS.tsv
right,1,110,"[108, 110, 117, 125, 143, 196, 208, 239]",SWLS.tsv
that's right,2,125,"[108, 125]",SWLS.tsv
that,1,120,"[16, 18, 20, 22, 24, 29, 30, 35, 40, 44, 52, 56, 81, 85, 98, 103, 120, 121, 123, 175, 176, 195, 197, 207, 218, 219, 228]",SWLS.tsv
yeah i,2,120,"[58, 72, 120]",SWLS.tsv
on,1,132,"[6, 18, 20, 37, 38, 40, 48, 50, 52, 78, 100, 132, 134, 153, 177, 189, 212, 217, 230, 231, 233]",SWLS.tsv
you,1,132,"[6, 9, 16, 18, 20, 22, 24, 26, 28, 32, 35, 38, 48, 63, 78, 81, 85, 88, 94, 100, 110, 127, 132, 140, 146, 147, 152, 160, 172, 183, 185, 187, 201, 209, 210, 217, 219, 234]",SWLS.tsv
have,1,132,"[6, 16, 18, 20, 22, 38, 46, 48, 61, 63, 78, 95, 96, 116, 121, 130, 132, 140, 169, 183, 184, 195, 197, 206, 209, 210, 211, 221, 228, 230, 234]",SWLS.tsv
or,1,132,"[6, 16, 20, 26, 56, 100, 130, 132, 189, 207]",SWLS.tsv
can,1,132,"[20, 24, 29, 30, 48, 132, 172, 239]",SWLS.tsv
really,1,132,"[14, 16, 18, 20, 35, 42, 46, 48, 52, 70, 107, 115, 132, 188]",SWLS.tsv
one,1,132,"[20, 44, 56, 57, 61, 127, 130, 132, 134, 181]",SWLS.tsv
sort of,2,132,"[16, 20, 26, 50, 70, 132]",SWLS.tsv
er,1,132,"[16, 20, 48, 84, 132, 177, 232]",SWLS.tsv
thing,1,132,"[18, 28, 32, 98, 132, 232]",SWLS.tsv
now,1,132,"[18, 20, 38, 44, 85, 110, 132, 224]",SWLS.tsv
you can,2,132,"[24, 132, 172]",SWLS.tsv
normal,1,218,"[132, 218]",SWLS.tsv
then,1,18,"[6, 13, 18, 20, 22, 29, 68, 70, 78, 85, 136, 167, 189, 206, 228]",SWLS.tsv
