S0654	okay so
S0655	yes
S0654	what kind of stories do you like
S0655	that's actually a really good question
S0654	thank
S0655	mm i like funny stories
S0653	you do like funny stories don't you
S0654	i like adventure stories funny stories and dramatic stories and really happy stories cos my favourite stories so far be goth girl
S0653	mm mm
S0654	and the rest and the secret kingdom and also there's another book
S0653	yeah
S0654	which i think be quite nice
S0653	what's that one
S0654	erm it's where erm some girls they're call lily and jessica lily and jessica
S0653	mm mm
S0654	erm i don't know if the other girl's call lily cos i've forget but i know the other girl's call jessica and they go into this magical land where the where animals be big nearly big as them
S0653	mm
S0654	and kitten and they can talk
S0655	be you make this up
S0654	no
S0653	can i just hold on this isn't the piece be it that we're look for
S0655	no
S0653	carry on
S0654	and it's and there's this horrible lady who want to banish every single body from it and she want to be ruler
S0654	and she want to be the ruler
S0653	okay this sound like a very good story
S0655	yes it be
S0653	stop the press a minute finally we've find the black piece
S0653	no no no i'm just stop the press be a phrase just say hold the front paper hold the front page
S0655	hold the front door
S0653	break news be we've finally find the piece that we be look for
S0653	carry on
S0654	and i find aragog
S0655	really
S0654	yeah
S0653	oh yeah the lego
S0655	oh
S0653	carry on tell us about the
S0655	not lego he's not lego he's a toy
S0653	oh
S0655	he's a good as well
S0654	mm
S0653	carry on tell us about the story
S0654	so erm i don't know it off by heart
S0653	okay hang on be this lego technic
S0654	i've forget it
S0655	yep
S0653	oh but it's get a character call in it
S0654	yeah
S0653	fantastic well it must be good then
S0654	yeah it be so good and the thing when only thing with jessica the name jessica i also like the
S0653	and
S0654	rescue princesses animals in danger the one i'm read now be the one where clarabelle she's my favourite
S0653	mm mm
S0654	she go out in a storm she go into the sea in a storm
S0653	that's a bite brave
S0654	just to save a baby dolphin
S0653	ah
S0655	i'd do that definitely
S0654	i would do that
S0655	that's me
S0654	i love animals
S0653	i wouldn't if it be a bird
S0654	mum
S0653	what i hate bird
S0654	what about dodos be you happy they're dead
S0653	er i don't think i would mind dodos to be honest
S0655	and you don't even know what dodos be like
S0654	they do do bird poo
S0655	so she won't know
S0653	where be we
S0654	i make that
S0653	you make this thing okay
S0654	yep
S0653	we'll keep it there be a dodo in
S0655	dodos
S0653	pirate an adventure with scientists isn't there
S0654	yeah
S0655	yeah
S0653	and that's
S0655	and dodo's delight
S0653	and dodo's delight
S0654	yeah it's a book that dad read when he be a little kid
S0655	it's a very old book
S0653	oh do granny still have it
S0654	she have load of book can't get now
S0655	yeah
S0653	yeah it's funny how many book that be out of print
S0654	but i love read them
