Expression,Expression_length,Expression_established_position,Expression_uttered_position_speaker,file
pass,1,47,"[0, 47, 56, 59, 61, 1216, 1228, 1229, 1232, 1245, 1253, 1265]",S457.tsv
can you,2,769,"[0, 163, 570, 619, 769]",S457.tsv
mm hm,2,618,"[2, 33, 50, 72, 89, 618, 657, 671, 1152, 1252]",S457.tsv
you do,2,117,"[4, 117, 546, 591, 686, 816, 1127, 1137, 1211, 1246, 1250]",S457.tsv
have you,2,199,"[4, 35, 42, 70, 199, 230, 232, 254, 523, 676, 822, 880, 883, 1123, 1131, 1216, 1248]",S457.tsv
today,1,110,"[4, 101, 110, 441, 686, 687]",S457.tsv
all day,2,6,"[5, 6]",S457.tsv
till,1,9,"[6, 9, 985, 987, 1225]",S457.tsv
well,1,49,"[6, 49, 56, 76, 83, 139, 150, 159, 167, 169, 173, 178, 181, 183, 192, 206, 209, 232, 244, 246, 247, 264, 277, 286, 288, 289, 295, 296, 308, 315, 324, 328, 337, 366, 372, 381, 383, 402, 406, 407, 417, 437, 438, 472, 485, 486, 488, 489, 504, 522, 529, 542, 548, 549, 552, 553, 562, 563, 564, 580, 583, 584, 589, 592, 599, 617, 619, 622, 627, 629, 635, 639, 646, 649, 655, 681, 684, 685, 709, 736, 748, 749, 750, 773, 784, 792, 808, 823, 857, 861, 868, 872, 874, 885, 888, 890, 892, 904, 906, 907, 919, 923, 929, 949, 954, 959, 1007, 1009, 1039, 1133, 1135, 1137, 1143, 1145, 1149, 1153, 1155, 1159, 1174, 1182, 1184, 1187, 1196, 1201, 1220, 1224, 1226, 1250, 1268]",S457.tsv
go,1,92,"[6, 74, 82, 91, 92, 100, 121, 150, 152, 161, 227, 230, 232, 234, 240, 246, 250, 253, 254, 267, 271, 274, 284, 287, 291, 298, 324, 327, 328, 329, 332, 335, 337, 341, 358, 378, 389, 390, 395, 399, 401, 427, 433, 441, 464, 468, 469, 482, 526, 539, 574, 577, 579, 606, 608, 609, 617, 625, 633, 645, 649, 653, 692, 693, 705, 707, 717, 733, 748, 764, 769, 779, 796, 802, 806, 843, 863, 864, 866, 872, 878, 881, 883, 885, 886, 919, 1004, 1030, 1091, 1092, 1099, 1108, 1110, 1117, 1119, 1120, 1124, 1158, 1181, 1200, 1223, 1228, 1245, 1253]",S457.tsv
day,1,442,"[5, 6, 216, 219, 226, 230, 264, 442, 533, 541, 542, 549, 614, 615, 617, 773, 818, 820, 992, 1009, 1101, 1105, 1146, 1168, 1213, 1224, 1230, 1231, 1232, 1233, 1234, 1237, 1243]",S457.tsv
afternoon,1,1158,"[6, 1158]",S457.tsv
sandwich,1,30,"[10, 30, 668]",S457.tsv
like,1,57,"[10, 57, 59, 61, 79, 204, 234, 370, 383, 384, 421, 424, 469, 482, 486, 489, 505, 526, 528, 606, 608, 619, 631, 633, 639, 647, 653, 708, 712, 736, 739, 748, 808, 830, 831, 835, 856, 872, 875, 917, 971, 986, 996, 1046, 1048, 1093, 1116, 1126, 1148, 1181, 1229, 1259]",S457.tsv
do like,2,1126,"[10, 1048, 1126]",S457.tsv
could,1,49,"[12, 49, 180, 188, 212, 215, 291, 358, 438, 643, 677, 826, 881, 912, 942, 949, 952, 1226, 1228]",S457.tsv
have make,2,64,"[12, 64]",S457.tsv
make,1,64,"[12, 64, 95, 402, 497, 504, 576, 647, 705, 885, 932, 1151, 1196, 1265]",S457.tsv
have he,2,28,"[14, 27, 28, 39, 240]",S457.tsv
for tea tonight,3,17,"[16, 17]",S457.tsv
tonight,1,673,"[16, 673, 695, 728, 753, 1178]",S457.tsv
good,1,426,"[18, 103, 169, 426, 442, 479, 566, 631, 674, 907, 1096, 1098, 1125, 1128, 1192, 1240]",S457.tsv
cook,1,23,"[13, 17, 23, 668]",S457.tsv
know,1,23,"[13, 23, 51, 59, 63, 64, 68, 74, 78, 82, 85, 86, 88, 90, 96, 122, 126, 128, 150, 196, 202, 207, 219, 223, 230, 241, 254, 257, 288, 291, 294, 295, 296, 297, 308, 317, 319, 324, 326, 327, 329, 342, 378, 389, 392, 403, 410, 439, 464, 469, 471, 472, 473, 486, 493, 499, 506, 542, 547, 570, 606, 610, 619, 622, 627, 631, 636, 639, 643, 645, 649, 659, 674, 681, 701, 705, 709, 714, 716, 727, 736, 809, 849, 855, 856, 878, 916, 920, 933, 1008, 1009, 1012, 1051, 1080, 1083, 1122, 1134, 1139, 1159, 1160, 1165, 1178, 1180, 1183, 1196, 1219, 1261, 1262, 1263, 1266]",S457.tsv
eat it,2,28,"[23, 28]",S457.tsv
gonna,1,30,"[23, 30, 138, 143, 146, 150, 152, 167, 315, 366, 389, 430, 438, 471, 504, 570, 577, 579, 609, 617, 668, 699, 758, 761, 764, 766, 770, 867, 879, 885, 905, 965, 1085, 1155, 1159, 1168, 1218, 1220, 1222, 1223, 1228]",S457.tsv
eat,1,30,"[23, 30, 225]",S457.tsv
meal,1,32,"[23, 25, 32, 385]",S457.tsv
two,1,85,"[23, 85, 88, 102, 143, 157, 243, 244, 258, 278, 617, 619, 635, 643, 645, 680, 849, 1151, 1175, 1243]",S457.tsv
four,1,90,"[23, 90, 219, 442, 617, 619, 621, 633, 641, 680, 820, 1202]",S457.tsv
he's,1,123,"[23, 123, 124, 131, 148, 159, 160, 161, 163, 171, 207, 286, 287, 315, 324, 328, 329, 332, 438, 581, 583, 612, 616, 932]",S457.tsv
so he's,2,287,"[23, 287]",S457.tsv
six,1,818,"[25, 617, 645, 818, 1148, 1225]",S457.tsv
ginger beef,2,27,"[13, 27]",S457.tsv
yet,1,534,"[27, 68, 392, 534, 547, 676, 1077, 1216]",S457.tsv
he have,2,572,"[27, 115, 181, 572]",S457.tsv
