Expression,Expression_length,Expression_established_position,Expression_uttered_position_speaker,file
a bite,2,16,"[0, 16, 316, 361, 368, 468, 487, 506, 633, 648, 773, 800, 802, 867, 978, 1219, 1225, 1241, 1268, 1286, 1351, 1375, 1390, 1417, 1467, 1469, 1683]",SXNE.tsv
things,1,70,"[0, 70, 92, 94, 213, 239, 435, 468, 722, 773, 938, 1034, 1045, 1133, 1665]",SXNE.tsv
i've,1,5,"[0, 5, 8, 92, 106, 116, 146, 209, 277, 330, 342, 394, 459, 475, 503, 538, 541, 548, 693, 769, 792, 818, 837, 914, 1031, 1033, 1039, 1081, 1105, 1293, 1303, 1317, 1319, 1351, 1363, 1368, 1385, 1388, 1395, 1417, 1473, 1498, 1692]",SXNE.tsv
see,1,32,"[0, 4, 8, 32, 54, 106, 163, 202, 209, 213, 227, 229, 230, 231, 238, 254, 341, 415, 553, 581, 584, 592, 639, 641, 662, 666, 669, 695, 707, 727, 729, 731, 739, 800, 804, 893, 895, 911, 987, 1033, 1055, 1066, 1099, 1115, 1125, 1135, 1147, 1315, 1380, 1399, 1402, 1403, 1408, 1411, 1412, 1428, 1461, 1635, 1637]",SXNE.tsv
i'm,1,152,"[0, 146, 152, 163, 226, 238, 239, 254, 258, 276, 293, 295, 359, 456, 458, 468, 471, 480, 506, 541, 604, 670, 707, 729, 753, 773, 905, 907, 909, 911, 998, 1002, 1035, 1037, 1045, 1135, 1143, 1293, 1297, 1303, 1305, 1309, 1325, 1355, 1370, 1379, 1383, 1390, 1467, 1469, 1511, 1704]",SXNE.tsv
what i,2,213,"[0, 54, 213, 278, 288, 348, 859, 937, 1064, 1153, 1569, 1571]",SXNE.tsv
some of,2,213,"[0, 4, 213, 229, 238, 399, 769, 1543]",SXNE.tsv
i'm a bite,3,468,"[0, 468]",SXNE.tsv
see and,2,581,"[0, 581, 729, 731, 1135]",SXNE.tsv
and what,2,631,"[0, 136, 448, 631, 729, 1147]",SXNE.tsv
i haven't,2,722,"[0, 4, 722]",SXNE.tsv
bite,1,1105,"[0, 16, 274, 361, 368, 468, 633, 648, 856, 899, 920, 933, 937, 1105, 1160, 1219, 1225, 1241, 1247, 1268, 1286, 1351, 1375, 1390, 1407, 1417, 1467, 1469, 1683]",SXNE.tsv
be that,2,145,"[2, 10, 142, 145, 186, 238, 270, 396, 411, 416, 487, 571, 631, 748, 971, 983, 1018, 1627]",SXNE.tsv
record,1,42,"[2, 42, 266, 278, 280, 286, 288]",SXNE.tsv
record now,2,288,"[2, 288]",SXNE.tsv
actually,1,5,"[2, 5, 116, 126, 134, 196, 239, 291, 321, 329, 343, 399, 407, 415, 423, 559, 560, 642, 643, 854, 909, 1000, 1017, 1286, 1363, 1425, 1627]",SXNE.tsv
it be,2,5,"[4, 5, 16, 58, 59, 63, 92, 94, 108, 133, 134, 163, 177, 179, 184, 188, 201, 262, 291, 309, 313, 350, 368, 370, 377, 388, 390, 415, 416, 518, 524, 584, 604, 606, 611, 612, 618, 629, 631, 646, 657, 660, 662, 664, 672, 674, 675, 689, 690, 718, 722, 756, 798, 800, 807, 811, 815, 847, 907, 920, 933, 935, 950, 969, 978, 1068, 1116, 1249, 1254, 1271, 1279, 1325, 1329, 1370, 1376, 1390, 1407, 1428, 1432, 1443, 1446, 1458, 1486, 1489, 1494, 1548, 1590, 1659, 1683, 1685, 1718]",SXNE.tsv
of the,2,70,"[4, 70, 202, 213, 217, 399, 607, 722, 769, 827, 831, 927, 987, 991, 1099, 1147, 1198, 1307, 1388, 1417, 1442, 1539, 1604]",SXNE.tsv
well,1,30,"[4, 10, 23, 30, 35, 46, 52, 55, 58, 61, 70, 94, 116, 120, 129, 136, 139, 162, 164, 183, 204, 213, 214, 216, 220, 223, 224, 226, 230, 235, 239, 243, 245, 265, 271, 274, 284, 289, 291, 296, 306, 315, 319, 330, 336, 348, 402, 415, 417, 420, 450, 454, 464, 475, 480, 501, 519, 522, 528, 535, 554, 558, 567, 569, 573, 585, 591, 594, 601, 602, 608, 613, 617, 631, 646, 722, 731, 735, 755, 766, 796, 810, 815, 840, 859, 861, 869, 870, 883, 886, 887, 889, 905, 907, 908, 909, 918, 920, 922, 929, 933, 935, 939, 963, 965, 979, 980, 981, 992, 998, 1001, 1009, 1013, 1031, 1052, 1080, 1083, 1099, 1120, 1126, 1135, 1136, 1147, 1188, 1193, 1202, 1205, 1209, 1212, 1226, 1233, 1239, 1249, 1264, 1269, 1278, 1284, 1310, 1313, 1368, 1370, 1371, 1381, 1390, 1393, 1395, 1406, 1407, 1408, 1425, 1429, 1438, 1446, 1451, 1466, 1489, 1519, 1539, 1558, 1568, 1574, 1597, 1613, 1627, 1638, 1660, 1672, 1673, 1674, 1675, 1678, 1680, 1685, 1688, 1692, 1714]",SXNE.tsv
use to,2,5,"[4, 5, 49, 74, 80, 157, 159, 163, 165, 166, 186, 213, 265, 270, 295, 347, 438, 439, 448, 465, 769, 841, 845, 1297, 1325, 1434, 1438]",SXNE.tsv
film,1,5,"[4, 5, 9, 38, 40, 42, 47, 55, 58, 62, 68, 74, 1539, 1544]",SXNE.tsv
