Expression,Expression_length,Expression_established_position,Expression_uttered_position_speaker,file
that's,1,1,"[0, 1, 9, 15, 16, 19, 26, 47, 51]",S69G.tsv
like,1,3,"[0, 3, 5, 24, 31, 33, 46, 48, 51, 53, 57, 63, 65, 67, 81, 86, 88, 102, 104, 106, 119, 123, 126, 129, 139, 142, 147, 157, 161, 166, 167, 170, 171]",S69G.tsv
house,1,3,"[0, 3, 76, 90]",S69G.tsv
smell,1,3,"[0, 3, 12, 18, 20, 24, 27, 29, 31]",S69G.tsv
yeah,1,9,"[0, 2, 8, 9, 14, 18, 23, 24, 27, 30, 39, 40, 43, 44, 46, 50, 54, 56, 58, 59, 60, 61, 63, 65, 68, 73, 74, 82, 87, 89, 91, 92, 95, 98, 101, 112, 120, 124, 128, 132, 133, 135, 146, 149, 151, 154, 155, 156, 163, 176, 177, 179, 181]",S69G.tsv
can smell it,3,27,"[0, 12, 18, 27]",S69G.tsv
it like,2,147,"[0, 147]",S69G.tsv
hi,1,4,"[3, 4, 5]",S69G.tsv
i'm,1,36,"[8, 31, 36, 40, 46, 48, 63, 67, 131, 132, 157, 168]",S69G.tsv
go,1,129,"[8, 129, 134, 157, 165, 171]",S69G.tsv
yeah i'm,2,132,"[8, 40, 132]",S69G.tsv
you know,2,24,"[7, 10, 24, 31, 38, 67, 155]",S69G.tsv
know,1,17,"[10, 17, 24, 31, 38, 41, 67, 70, 116, 117, 148, 155, 159, 164, 166, 170]",S69G.tsv
do you,2,111,"[7, 10, 67, 73, 111, 121, 127, 147, 169]",S69G.tsv
in there,2,14,"[3, 14, 22, 146]",S69G.tsv
can smell,2,27,"[18, 27]",S69G.tsv
can't,1,18,"[5, 18, 29, 69, 144]",S69G.tsv
really,1,19,"[18, 19, 46, 51, 60, 67, 81, 100, 130, 137, 151, 171, 181]",S69G.tsv
it's really,2,67,"[18, 67, 130, 151, 181]",S69G.tsv
bedroom,1,20,"[1, 20]",S69G.tsv
smell it,2,27,"[20, 27]",S69G.tsv
i can't smell,3,29,"[20, 29]",S69G.tsv
in the,2,22,"[3, 22, 76, 104]",S69G.tsv
stash,1,23,"[22, 23]",S69G.tsv
i be,2,31,"[1, 5, 31, 33, 41, 46, 48, 58, 110, 114, 166, 167, 170, 171]",S69G.tsv
and like it,3,31,"[3, 31]",S69G.tsv
of the,2,31,"[3, 31, 36]",S69G.tsv
room,1,21,"[5, 21, 31, 151]",S69G.tsv
and then i,3,46,"[31, 46, 167, 170]",S69G.tsv
and then,2,46,"[31, 46, 93, 107, 118, 129, 167, 170]",S69G.tsv
and like,2,57,"[3, 31, 57, 67, 129, 166]",S69G.tsv
wash my,2,180,"[31, 180]",S69G.tsv
wash,1,180,"[31, 180]",S69G.tsv
day,1,104,"[37, 104]",S69G.tsv
party,1,40,"[38, 40, 53]",S69G.tsv
cancel,1,42,"[40, 42, 46]",S69G.tsv
i can't,2,20,"[5, 20, 29, 44, 144, 167]",S69G.tsv
come,1,53,"[3, 46, 53, 57, 178]",S69G.tsv
so i,2,53,"[48, 53]",S69G.tsv
one,1,53,"[48, 53, 58, 81, 82, 84, 89, 96, 104, 137, 155, 162]",S69G.tsv
not have,2,94,"[53, 94]",S69G.tsv
think,1,102,"[17, 33, 53, 89, 102, 147, 160]",S69G.tsv
we could,2,56,"[38, 56]",S69G.tsv
get,1,56,"[38, 55, 56, 60, 67, 81, 82, 85, 86, 89, 90, 96, 97, 99, 132, 137, 160, 163, 166, 170, 171]",S69G.tsv
we've,1,56,"[46, 55, 56, 67, 131]",S69G.tsv
