Expression,Expression_length,Expression_established_position,Expression_uttered_position,file
you,1,9,"[0, 8, 9, 12, 13, 17, 25, 28, 36, 39, 41, 53, 57, 58, 62, 85, 87, 89, 92, 93, 96, 100, 103, 110, 116, 127, 130, 132, 135, 139, 140, 143, 144, 148, 150, 151, 158, 163, 167, 168, 173, 175, 177, 183, 195]",S5P8.tsv
that,1,9,"[0, 9, 13, 22, 28, 35, 36, 37, 39, 50, 66, 67, 72, 79, 85, 91, 92, 93, 106, 114, 118, 130, 140, 163, 166, 183, 194]",S5P8.tsv
i,1,3,"[0, 3, 8, 11, 14, 19, 21, 22, 23, 24, 25, 28, 31, 33, 38, 54, 56, 65, 66, 82, 85, 87, 91, 93, 100, 112, 114, 115, 123, 130, 131, 133, 141, 145, 150, 163, 164, 166, 169, 173, 177, 180, 186, 191]",S5P8.tsv
thing,1,9,"[0, 9, 22, 42]",S5P8.tsv
and,1,3,"[0, 3, 8, 9, 22, 25, 33, 41, 74, 85, 93, 114, 118, 130, 150, 157, 163, 166]",S5P8.tsv
it,1,11,"[0, 8, 11, 19, 21, 22, 25, 31, 41, 45, 51, 56, 69, 73, 75, 78, 81, 82, 85, 86, 87, 100, 102, 138, 140, 149, 156, 166, 188, 193, 195]",S5P8.tsv
it's,1,9,"[0, 8, 9, 25, 28, 33, 34, 42, 53, 55, 72, 73, 74, 85, 135, 136, 137, 183]",S5P8.tsv
a,1,34,"[0, 8, 9, 23, 25, 28, 34, 38, 41, 42, 50, 58, 79, 81, 82, 85, 87, 100, 126, 141, 142, 143, 150, 156, 164, 166, 183, 191, 194, 195]",S5P8.tsv
up,1,34,"[0, 9, 34, 85, 93, 120, 153, 157, 159]",S5P8.tsv
yeah,1,35,"[0, 2, 28, 35, 37, 62, 63, 76, 85, 86, 87, 101, 133, 136, 138, 141, 142, 143, 147, 169, 194]",S5P8.tsv
this,1,49,"[0, 8, 49, 72, 73, 85, 87, 107, 154, 155, 164, 175]",S5P8.tsv
like,1,9,"[0, 8, 9, 19, 21, 25, 28, 56, 59, 67, 85, 161, 163, 175, 180, 183]",S5P8.tsv
in,1,9,"[0, 9, 40, 41, 46, 56, 58, 59, 72, 73, 79, 114, 128, 129, 140, 157, 161, 173, 182, 183]",S5P8.tsv
stuff,1,61,"[0, 21, 28, 61, 62, 96, 140]",S5P8.tsv
what,1,78,"[0, 28, 78, 119, 140, 145, 163, 187, 195]",S5P8.tsv
look,1,82,"[0, 57, 81, 82, 85, 103, 132, 137]",S5P8.tsv
um,1,9,"[0, 8, 9, 15, 21, 23, 25, 28, 73, 80, 85, 93, 103, 118, 123, 148, 152, 163, 164, 173, 189, 193]",S5P8.tsv
do,1,93,"[0, 12, 54, 79, 87, 93, 103, 118, 127, 133, 144, 158, 162, 163, 164, 166, 194]",S5P8.tsv
some,1,14,"[0, 12, 14, 28, 107, 125]",S5P8.tsv
cool,1,182,"[0, 4, 58, 110, 114, 182]",S5P8.tsv
i'm,1,63,"[4, 63, 81, 85, 128]",S5P8.tsv
your,1,93,"[4, 43, 93, 140, 151]",S5P8.tsv
uh,1,6,"[5, 6, 22, 36, 44, 128, 148, 150, 154, 191]",S5P8.tsv
the,1,9,"[6, 8, 9, 11, 17, 22, 23, 28, 34, 35, 36, 39, 40, 41, 46, 56, 59, 73, 79, 80, 85, 87, 103, 110, 111, 113, 114, 115, 121, 126, 132, 137, 145, 150, 151, 157, 159, 161, 163, 164, 165, 166, 170, 173, 175, 189, 191, 193, 194]",S5P8.tsv
get,1,6,"[3, 6, 8, 9, 28, 35, 48, 53, 54, 59, 73, 85, 96, 100, 110, 111, 144, 145, 163, 165, 166, 195]",S5P8.tsv
get the,2,111,"[6, 85, 110, 111, 163]",S5P8.tsv
it be,2,22,"[8, 19, 22, 69, 81, 149, 156]",S5P8.tsv
