S0619	oh hello
S0618	so right so yes anyway talk about erm yeah coffee
S0619	but i think place like this in this part of poland i just get the impression they spend a lot of their money on the design and all this that and the other but no one come either because they don't know it's here mm and i just think eat out in general be not a thing do by people unless they have load and load of money and if you have load and load of money you wouldn't come here and i don't think it's very close to school either so i i imagine it would attract lot of teenagers but i don't know where the nearest school be
S0618	mm mm yeah yeah it be next door to lidl's car park so they might get
S0619	yeah with park facilities definitely
S0618	yeah they might get the
S0619	people wander in
S0618	yeah i mean i would pop in for a coffee when i'm lidling and actually i would be really happy to meet you here if you fancy a coffee i just hope the next one be not in a paper cup that's a little bite disappoint when everything else be so nice and nice fit out nice design nice coffee
S0619	yeah isn't it really nice we could have our own cup
S0618	yeah yeah we could do you could just buy one in lidl
S0619	yeah well i be go to say keep them behind the bar
S0618	a pound's worth of mug just pop it in there it would good
S0619	we could write our name on them
S0618	yeah my friend he live near brisbane in australia he's erm his local coffee shop have his cup there and when he he sit there and pass the time of day with them the morning drink his morning coffee and when he's finish he go round the back and wash it up ready for tomorrow
S0619	that's nice that's nice and put it yeah when i work in we always have cup and we have get to write our name on them because otherwise people you know will start use each other's cup so we start do it with pen permanent pen and it would just wash off you know you just er rub it off with your finger and use the cup so then we do it with nail varnish and that be slightly more effective
S0618	that doesn't last though do it yeah yeah okay oh that's a good hint
S0619	yeah write your name on it in nail varnish
S0618	so nail varnish survive the wash up
S0619	but i would still just use someone else's cup anyway
S0618	yeah
S0619	i don't think it matter yes so confession time a strange confession
S0618	mm yeah
S0619	i think i need to tell somebody
S0618	okay that's your catholic upbringing
S0619	but for the last or two or so years i've have this weird addiction to this medication and i've decide to stop take this medication it's not a physical addiction in that there's nothing chemically inside this medication that make you need to take it it's like a psychological addiction to it where if you it's basically to do with like decongestion and nose and it's one of these things where the more you take it when you stop use it the more the symptoms the original symptoms be worse so it get worse and worse and it's be like two years and i imagine it's what it's like if you start take load and load of drug like the inside of your nose be sore it's bleed to the point where it scratch
S0618	mm mm uhu right okay cold relief okay yeah okay yeah you've get that now
S0619	yeah
S0618	oh okay
S0619	and i'm start to think eventually my nose be just go to like fall off
S0618	fall off so you might think okay yeah so you're go to look like you're a a coke head
S0619	yeah a coke addict yeah
S0618	like a big hole in it or something yeah okay
S0619	so you know which be why me and go to buy that sort of nose inside nose washer
S0618	oh you didn't go and get it
S0619	no we do we do
S0618	oh you do okay
S0619	and i'm hop that with a mixture of that and sort of willpower i will be able to break this habit but i be google it i've google it in the past i google it again today and it's like load of people be say i've be addict to this for ten years
S0618	mm yeah oh wow well if people have be addict for ten years presumably their nose haven't fall off
S0619	they be still attach to their face
S0618	yeah
