S0084	do you sleep alright
S0083	it be chilly isn't it
S0084	mm
S0083	well i wake up early and i i do drop off again so
S0084	mm
S0083	but it be annoy to do that and i and i often do anyway anyway well there's nothing else to do
S0084	no the nice weather might come back next week
S0083	well hopefully basically you never tell can you with these with the english weather
S0084	no
S0083	anyway
S0084	well it do say it be go to rain on tuesday
S0083	yeah
S0084	so erm be any of the group you're in organise protest around the jubilee or the olympics or anything cos the unions have threaten to disrupt the olympics haven't they no or be it the guy who run the tube or something well they're they're threaten to have a tube
S0083	not that i'm aware of
S0084	i can't i think it be someone from who be a a union member but anyway he erm he be speak and i think it be when the tube drivers be threaten to strike and he be say he probably be just misquote or they'd use his quote to erm make him sound worse than he actually be
S0083	mm
S0084	but he be say you know the the way to get people's attention would be to strike or to protest during the olympics and everyone be up in arm oh my god can't allow this but since then i be read on the guardian i think the other day that erm other protest group be say that they would use the olympics as like a focal point
S0083	well clearly the authorities be really worry about a terrorist attack
S0084	yeah oh do i tell you have get a job in counterterrorism
S0083	oh my god
S0084	well i haven't get the full full er full description but she's move so it's all in the foreign office
S0083	mhm
S0084	work in the counterterrorism department erm mainly cover the olympics so it would be really interest to find out how that's go to work cattle prod
S0083	oh dear anyway as know there's a very simply solution
S0084	mhm
S0084	i'm so bore with the olympics
S0083	well there there be that but we just need to get out of the middle east
S0084	oh i see what you mean yeah well that's not go to happen once they invade iran
S0083	oh dear
S0084	must have get the bus
S0083	yeah she often do
S0084	do she
S0083	mm
S0083	i think she's so tire by the end of the day
S0084	mm
S0083	cycle home be a real strain
S0084	mm
S0083	and obviously you know she's she's not really a morning person erm
S0084	no
S0083	but she's she come home absolutely exhaust
S0084	mm
S0083	cos she's just she's just stand all day you know
S0084	mm
S0083	run up and down stairs all day well you remember what it be like
S0084	i've do it
S0083	yeah
S0084	and it be exhaust
S0083	it be very very tire yeah
S0084	well i be think about this yesterday i can't remember whether i be i would come home and pass out for the entire even i don't think i do i be tire i don't think i be as bad as her and i wonder if that's an iron deficiency you know it's natural that you're go to be physically tire but
S0083	to be as tire as she get yeah
S0084	at her age
S0083	mm yeah mm mm
