Expression,Expression_length,Expression_established_position,Expression_uttered_position_speaker,file
chicken,1,4,"[0, 4, 131]",SVZE.tsv
could,1,12,"[0, 12, 14, 100, 217, 219, 221, 261, 273, 279, 281, 282, 301]",SVZE.tsv
be you,2,16,"[0, 16, 42, 99, 101, 215, 216]",SVZE.tsv
you do,2,226,"[0, 226, 249]",SVZE.tsv
go to,2,74,"[0, 74, 152, 252, 337]",SVZE.tsv
actually,1,319,"[0, 319]",SVZE.tsv
cut,1,300,"[0, 2, 300, 338, 339, 340, 343, 345]",SVZE.tsv
time,1,8,"[2, 8, 87, 262]",SVZE.tsv
cos,1,10,"[2, 10, 90, 91, 92, 111, 116, 137, 138, 225, 325]",SVZE.tsv
school,1,16,"[2, 16, 42, 47, 78, 125, 127, 274]",SVZE.tsv
really,1,239,"[2, 5, 239, 271, 300, 315, 356]",SVZE.tsv
bone,1,4,"[3, 4, 9, 10, 14, 33, 300]",SVZE.tsv
on the,2,32,"[3, 32, 141, 143, 144]",SVZE.tsv
all the time,3,8,"[7, 8]",SVZE.tsv
off the,2,28,"[9, 28, 30]",SVZE.tsv
well,1,11,"[8, 11, 13, 14, 40, 101, 125, 217, 221, 232, 270, 277, 285]",SVZE.tsv
swallow,1,13,"[12, 13]",SVZE.tsv
easily,1,13,"[12, 13]",SVZE.tsv
they're,1,68,"[13, 68, 91, 92, 238]",SVZE.tsv
gonna,1,256,"[13, 238, 253, 256, 257, 258, 259]",SVZE.tsv
yeah,1,15,"[6, 10, 15, 17, 20, 25, 53, 57, 69, 80, 88, 90, 98, 104, 106, 108, 116, 120, 137, 155, 159, 171, 177, 197, 199, 202, 204, 220, 222, 240, 241, 242, 265, 284, 291, 292, 295, 306, 326, 338, 340, 341, 355]",SVZE.tsv
get,1,23,"[14, 22, 23, 109, 113, 123, 131, 146, 163, 175, 192, 226, 231, 240, 252, 255, 257, 258, 259, 285, 295, 324, 335]",SVZE.tsv
get drummies,2,23,"[22, 23]",SVZE.tsv
you get,2,163,"[23, 146, 163, 226, 231, 285]",SVZE.tsv
that doesn't,2,27,"[4, 27, 103]",SVZE.tsv
like,1,26,"[4, 24, 26, 27, 68, 69, 87, 100, 113, 136, 146, 183, 194, 204, 217, 225, 238, 242, 244, 273, 282, 298, 301, 329, 331, 333]",SVZE.tsv
no you know,3,27,"[24, 27]",SVZE.tsv
know,1,64,"[24, 27, 64, 146, 149, 153, 158, 164, 167, 210, 235, 237, 271, 272, 274, 337, 352]",SVZE.tsv
like that,2,183,"[27, 183, 273, 282, 301]",SVZE.tsv
mean,1,175,"[26, 27, 164, 175, 184, 221, 234, 236, 240, 262, 263, 268, 317]",SVZE.tsv
of the,2,31,"[10, 31, 69, 97, 161, 213, 243]",SVZE.tsv
can eat the rest,4,31,"[28, 30, 31]",SVZE.tsv
the stick,2,31,"[28, 30, 31, 32]",SVZE.tsv
think,1,31,"[28, 30, 31, 43, 62, 127, 128, 139, 163, 192, 261, 273, 274, 305, 325]",SVZE.tsv
okay,1,122,"[52, 65, 110, 112, 121, 122, 128, 148, 218, 316]",SVZE.tsv
you be,2,213,"[54, 138, 213, 214, 215, 216, 255, 276, 337]",SVZE.tsv
money,1,57,"[56, 57, 105]",SVZE.tsv
which be,2,97,"[63, 97, 107, 168, 337]",SVZE.tsv
what be,2,354,"[67, 178, 227, 354]",SVZE.tsv
one,1,95,"[87, 95, 97, 107, 109, 159, 195, 196, 213, 338, 340, 343, 345]",SVZE.tsv
how much,2,92,"[59, 92]",SVZE.tsv
need,1,92,"[59, 92, 117, 325]",SVZE.tsv
cos they're do it,4,92,"[91, 92]",SVZE.tsv
much,1,314,"[92, 105, 238, 314]",SVZE.tsv
stuff,1,103,"[8, 68, 103]",SVZE.tsv
to bring,2,121,"[59, 62, 121]",SVZE.tsv
i'll,1,220,"[121, 220, 317]",SVZE.tsv
after school,2,127,"[125, 127]",SVZE.tsv
i think i,3,128,"[28, 30, 128, 305]",SVZE.tsv
i think,2,43,"[28, 30, 43, 62, 127, 128, 139, 163, 192, 305]",SVZE.tsv
something,1,167,"[130, 164, 167, 183, 226, 273]",SVZE.tsv
but i,2,338,"[130, 271, 273, 338]",SVZE.tsv
