Expression,Expression_length,Expression_established_position,Expression_uttered_position_speaker,file
stamp duty,2,1,"[0, 1]",S7JS.tsv
yeah,1,1,"[0, 1, 30, 36, 42, 48, 59, 60, 64, 74, 89, 95, 98, 115, 118, 122, 126, 131, 133, 135, 149, 151, 158, 159, 161, 173, 184, 188, 190, 194, 203, 205, 210, 219, 221, 223, 227, 229, 233, 235, 237, 242, 247, 248, 253, 261, 265, 275, 280, 297, 305, 326, 334, 340, 346, 347, 348, 352, 358, 359, 363, 368, 379, 380, 383, 387, 390, 392, 393, 396, 401, 406, 408, 414, 415, 427, 428, 432, 433, 438, 449, 451, 452, 458, 460, 462, 463, 467, 473, 474, 476, 481, 483, 494, 496, 497, 506, 525, 543, 551, 564, 570, 580, 581, 582, 583, 594, 595, 604, 606, 608, 609, 614, 615, 616, 617, 622, 629, 631, 637, 643, 652, 656, 664, 665, 666, 667, 680, 683, 694, 709, 710, 716, 718, 728, 740, 741, 748, 752, 760, 763, 789, 818, 819]",S7JS.tsv
like,1,10,"[0, 10, 14, 22, 29, 49, 60, 77, 88, 118, 134, 136, 139, 147, 157, 171, 174, 175, 186, 188, 204, 206, 209, 215, 223, 229, 231, 236, 238, 256, 269, 277, 293, 304, 310, 317, 325, 330, 337, 342, 355, 360, 414, 437, 438, 454, 458, 461, 462, 463, 469, 472, 479, 488, 490, 492, 493, 496, 503, 504, 523, 528, 535, 536, 549, 556, 566, 568, 573, 578, 581, 585, 587, 591, 592, 600, 609, 618, 622, 625, 627, 639, 644, 645, 651, 661, 664, 666, 670, 671, 673, 687, 723, 727, 729, 731, 747, 749, 750, 752, 760, 778, 791, 792, 814, 819]",S7JS.tsv
that's,1,2,"[0, 2, 9, 33, 53, 70, 71, 79, 110, 119, 125, 127, 132, 188, 208, 241, 246, 265, 287, 289, 293, 297, 322, 330, 333, 370, 393, 399, 434, 453, 462, 468, 479, 501, 515, 536, 537, 585, 599, 623, 625, 632, 639, 641, 656, 666, 723, 739, 745, 755, 775, 790, 812]",S7JS.tsv
say,1,40,"[0, 40, 88, 117, 125, 138, 146, 188, 234, 245, 278, 310, 318, 321, 330, 332, 369, 388, 402, 405, 409, 496, 517, 523, 566, 568, 618, 650, 659, 674, 686, 738, 760, 773, 804]",S7JS.tsv
there's,1,29,"[0, 17, 29, 49, 108, 112, 168, 172, 303, 344, 362, 588, 686, 703, 749, 754, 777, 810]",S7JS.tsv
you say,2,125,"[0, 125, 234, 523]",S7JS.tsv
have you,2,26,"[0, 26, 197, 649]",S7JS.tsv
bits,1,712,"[0, 712]",S7JS.tsv
manage to convince,3,3,"[1, 3]",S7JS.tsv
do you,2,117,"[3, 117, 201, 269, 496, 546, 635, 669, 794]",S7JS.tsv
you just,2,491,"[3, 314, 401, 462, 491, 570, 623, 776]",S7JS.tsv
tell him how much,4,5,"[4, 5]",S7JS.tsv
how much,2,44,"[5, 44, 517]",S7JS.tsv
much,1,125,"[4, 5, 44, 125, 172, 207, 246, 307, 355, 438, 500, 517, 554, 581, 605, 609, 628, 659, 729, 765, 784, 819]",S7JS.tsv
nice,1,207,"[2, 9, 23, 132, 157, 207, 213, 221, 225, 226, 232, 291, 385, 410, 453, 463, 466, 557, 561, 562, 568, 592, 602, 604, 617, 631, 658, 787, 793]",S7JS.tsv
that's nice,2,9,"[2, 9, 132, 453]",S7JS.tsv
studio,1,14,"[13, 14, 15, 33]",S7JS.tsv
the studio,2,33,"[15, 33]",S7JS.tsv
live,1,49,"[15, 49, 51, 119, 501]",S7JS.tsv
i want to,3,54,"[15, 54, 366, 399, 463]",S7JS.tsv
