Expression,Expression_length,Expression_established_position,Expression_uttered_position_speaker,file
sautéed potatoes,2,1,"[0, 1]",SG78.tsv
a long,2,75,"[0, 75, 103, 716, 967, 1320]",SG78.tsv
do this,2,155,"[0, 155, 156, 311]",SG78.tsv
be kind of,3,191,"[0, 191, 235]",SG78.tsv
at the,2,195,"[0, 90, 195, 309, 339, 420, 434, 461, 533, 590, 603, 612, 687, 905, 908, 934, 936, 946, 1015, 1057, 1147, 1261, 1282]",SG78.tsv
time,1,92,"[0, 92, 109, 204, 221, 427, 495, 600, 634, 716, 860, 921, 936, 937, 946, 955, 961, 965, 989, 999, 1001, 1027, 1142, 1149, 1193, 1230, 1251, 1261, 1294, 1302, 1306, 1320, 1330, 1334]",SG78.tsv
long,1,51,"[0, 51, 75, 103, 109, 151, 263, 330, 345, 501, 670, 673, 716, 967, 1160, 1181, 1294, 1320]",SG78.tsv
in a,2,448,"[0, 448, 1196]",SG78.tsv
kind of,2,79,"[0, 79, 81, 109, 120, 147, 191, 235, 239, 335, 497, 603, 670, 787, 789, 856, 900, 936, 941, 953, 967, 975, 1043, 1107, 1232, 1347]",SG78.tsv
of a,2,29,"[0, 29, 639, 967, 1027, 1041, 1220]",SG78.tsv
a long time,3,716,"[0, 716, 1320]",SG78.tsv
alright,1,26,"[3, 26, 384, 389, 751, 1069]",SG78.tsv
yeah,1,6,"[5, 6, 7, 9, 28, 39, 45, 46, 57, 62, 65, 66, 70, 74, 79, 83, 108, 114, 115, 118, 123, 132, 143, 146, 150, 154, 155, 156, 158, 164, 170, 179, 190, 192, 197, 200, 205, 207, 210, 211, 212, 215, 218, 221, 222, 233, 237, 239, 243, 248, 252, 256, 260, 262, 266, 268, 269, 272, 277, 280, 282, 285, 288, 291, 295, 305, 306, 307, 309, 319, 321, 325, 329, 330, 333, 342, 351, 357, 361, 372, 398, 400, 403, 406, 417, 422, 423, 424, 428, 442, 447, 448, 452, 454, 456, 472, 475, 482, 488, 493, 498, 503, 509, 520, 531, 535, 549, 554, 559, 570, 574, 577, 579, 589, 594, 601, 609, 614, 617, 619, 626, 627, 628, 630, 635, 640, 645, 650, 660, 662, 668, 669, 674, 683, 686, 698, 700, 702, 704, 706, 707, 709, 710, 712, 722, 724, 728, 734, 739, 740, 748, 752, 756, 764, 765, 769, 774, 776, 778, 782, 784, 785, 786, 788, 790, 794, 799, 801, 804, 815, 816, 824, 841, 862, 863, 878, 879, 884, 885, 890, 891, 892, 895, 897, 901, 906, 920, 928, 932, 941, 942, 945, 951, 964, 975, 978, 996, 1008, 1012, 1014, 1016, 1018, 1020, 1021, 1024, 1034, 1046, 1051, 1055, 1058, 1064, 1081, 1085, 1086, 1093, 1098, 1101, 1103, 1105, 1106, 1111, 1114, 1120, 1123, 1124, 1130, 1132, 1133, 1146, 1151, 1158, 1167, 1168, 1178, 1187, 1188, 1191, 1194, 1197, 1198, 1200, 1206, 1215, 1221, 1226, 1231, 1238, 1239, 1243, 1247, 1252, 1256, 1258, 1265, 1268, 1273, 1280, 1285, 1307, 1311, 1315, 1321, 1339, 1344, 1357, 1360, 1361]",SG78.tsv
one,1,104,"[11, 104, 117, 155, 160, 167, 168, 221, 267, 309, 332, 342, 345, 377, 382, 436, 462, 484, 493, 495, 525, 533, 567, 574, 585, 620, 670, 672, 682, 703, 705, 750, 811, 819, 869, 871, 877, 889, 907, 908, 931, 979, 983, 987, 989, 997, 999, 1005, 1015, 1025, 1053, 1084, 1098, 1142, 1201, 1209, 1308]",SG78.tsv
one of,2,168,"[11, 168, 332, 342, 345, 382, 436, 533, 620, 819, 979, 1015, 1053, 1084, 1098, 1209]",SG78.tsv
one of those,3,267,"[11, 267, 382, 1015, 1209]",SG78.tsv
ones,1,481,"[11, 481, 582, 730, 811]",SG78.tsv
mix herb,2,14,"[13, 14]",SG78.tsv
i think,2,24,"[13, 24, 30, 40, 45, 55, 96, 99, 101, 113, 120, 126, 133, 135, 140, 149, 151, 162, 198, 223, 247, 285, 297, 298, 300, 325, 335, 345, 361, 373, 403, 407, 408, 426, 434, 479, 490, 524, 582, 657, 676, 681, 728, 745, 755, 796, 798, 802, 832, 843, 850, 855, 856, 861, 909, 936, 944, 953, 967, 975, 1001, 1005, 1015, 1047, 1065, 1093, 1142, 1181, 1205, 1242, 1244, 1308, 1324]",SG78.tsv
think,1,24,"[13, 24, 27, 30, 40, 45, 55, 96, 98, 99, 101, 112, 113, 120, 126, 133, 135, 140, 145, 149, 151, 152, 162, 184, 198, 223, 247, 248, 251, 285, 297, 298, 300, 303, 325, 327, 335, 345, 361, 373, 403, 407, 408, 414, 426, 434, 445, 479, 490, 524, 582, 657, 676, 681, 715, 718, 728, 745, 746, 755, 760, 775, 796, 797, 798, 802, 814, 832, 843, 850, 855, 856, 861, 903, 909, 936, 944, 953, 967, 975, 1001, 1005, 1015, 1041, 1047, 1065, 1084, 1093, 1142, 1181, 1192, 1205, 1218, 1224, 1242, 1244, 1308, 1324, 1338, 1339]",SG78.tsv
do you,2,36,"[1, 12, 36, 98, 339, 362, 372, 377, 643, 903, 912, 923, 975, 995, 1071, 1287]",SG78.tsv
do you know,3,36,"[12, 36, 923]",SG78.tsv
a lot,2,36,"[16, 36, 77, 198, 241, 242, 263, 401, 499, 605, 653, 654, 655, 657, 661, 728, 745, 931, 948, 1007, 1027, 1029, 1047, 1324]",SG78.tsv
use by date,3,37,"[36, 37]",SG78.tsv
date as,2,37,"[36, 37]",SG78.tsv
use,1,37,"[36, 37, 42, 45, 239, 289, 293, 309, 355, 363, 364, 367, 368, 436, 450, 582, 612, 820, 1145, 1255, 1324, 1328, 1336]",SG78.tsv
