Expression,Expression_length,Expression_established_position,Expression_uttered_position_speaker,file
on the,2,24,"[0, 24, 66, 78, 117, 133, 141, 145, 153, 156, 182, 256, 406, 421, 439, 440, 486, 565, 574, 623, 627, 656, 661, 665, 695, 825, 895, 937]",SV97.tsv
leave,1,656,"[0, 656]",SV97.tsv
we'll,1,195,"[0, 168, 195, 364, 657, 750, 802]",SV97.tsv
half a,2,4,"[3, 4, 5, 43]",SV97.tsv
half,1,4,"[3, 4, 5, 7, 43, 117]",SV97.tsv
erm er,2,8,"[3, 8, 72, 78, 125, 442, 895, 931]",SV97.tsv
something,1,169,"[3, 136, 169, 210, 330, 427, 439, 460, 731, 830, 865, 924]",SV97.tsv
want,1,286,"[3, 17, 43, 46, 212, 285, 286, 412, 443, 447, 452, 460, 605, 611, 620, 658, 702, 770, 841, 863, 922, 936]",SV97.tsv
half a lager,3,7,"[4, 5, 7]",SV97.tsv
a lager,2,7,"[4, 5, 7]",SV97.tsv
recommend,1,450,"[7, 450, 893]",SV97.tsv
okay,1,11,"[1, 11, 52, 229, 230, 234, 387, 675, 776, 868, 876]",SV97.tsv
really,1,29,"[11, 29, 57, 115, 133, 166, 175, 197, 203, 208, 212, 224, 324, 363, 385, 431, 486, 487, 490, 513, 517, 591, 661, 666, 671, 683, 685, 686, 690, 710, 722, 735, 810, 834, 841, 857, 903, 909, 915, 942]",SV97.tsv
there be,2,153,"[11, 153, 175, 188, 336, 440, 571, 583, 695, 696, 720, 848, 851, 867, 914, 935, 937]",SV97.tsv
sit,1,171,"[11, 160, 171, 174, 185, 334, 338, 600, 895]",SV97.tsv
yeah,1,15,"[5, 6, 9, 10, 14, 15, 18, 33, 37, 54, 55, 56, 58, 61, 65, 68, 70, 71, 72, 73, 74, 79, 83, 86, 96, 98, 102, 104, 106, 114, 118, 120, 123, 134, 136, 137, 138, 140, 142, 144, 152, 154, 157, 158, 164, 169, 172, 173, 175, 177, 180, 183, 184, 188, 191, 193, 197, 198, 202, 204, 211, 213, 215, 219, 228, 233, 247, 250, 251, 263, 265, 269, 271, 276, 278, 280, 282, 288, 290, 292, 296, 300, 305, 308, 309, 315, 316, 317, 321, 325, 327, 341, 355, 358, 359, 368, 372, 379, 381, 389, 391, 393, 395, 397, 399, 405, 407, 409, 411, 426, 428, 430, 432, 434, 436, 438, 441, 444, 446, 449, 456, 467, 469, 472, 474, 483, 485, 486, 489, 490, 491, 493, 496, 500, 524, 543, 544, 545, 547, 549, 551, 554, 561, 562, 565, 569, 572, 574, 575, 581, 582, 585, 590, 598, 599, 601, 604, 608, 610, 614, 615, 617, 619, 621, 622, 624, 626, 628, 632, 634, 635, 636, 638, 652, 658, 670, 671, 672, 676, 680, 684, 686, 687, 689, 691, 694, 698, 700, 702, 703, 708, 711, 716, 717, 719, 721, 725, 727, 736, 738, 739, 746, 750, 751, 757, 775, 778, 781, 784, 785, 788, 792, 794, 796, 804, 805, 811, 814, 819, 836, 844, 845, 849, 851, 852, 860, 863, 866, 870, 871, 873, 878, 879, 883, 887, 897, 898, 899, 901, 904, 906, 911, 915, 921, 925, 927, 934, 936, 941, 945, 948]",SV97.tsv
nice,1,77,"[15, 57, 77, 115, 252, 256, 266, 382, 414, 577, 623, 625, 731, 777, 785, 888, 909, 948, 949]",SV97.tsv
good,1,67,"[15, 67, 97, 105, 115, 122, 174, 188, 197, 264, 322, 393, 470, 486, 559, 597, 629, 676, 678, 686, 690, 712, 800, 806, 808, 893, 912, 931, 938, 942, 945]",SV97.tsv
erm and,2,72,"[15, 72, 101, 119, 123, 151, 222, 400, 568]",SV97.tsv
