Expression,Expression_length,Expression_established_position,Expression_uttered_position_speaker,file
australia,1,175,"[15, 20, 50, 141, 175, 222, 227]",SBBP.tsv
what do,2,166,"[15, 117, 141, 166, 303, 309]",SBBP.tsv
yeah,1,83,"[5, 8, 10, 19, 21, 26, 29, 30, 45, 57, 66, 79, 83, 88, 90, 94, 104, 108, 110, 114, 120, 152, 153, 154, 155, 161, 166, 167, 178, 184, 188, 192, 198, 200, 202, 204, 208, 211, 218, 232, 237, 242, 244, 260, 264, 266, 271, 273, 274, 278, 281, 293, 296, 299, 300, 312, 313, 316, 321, 326, 334, 336, 338, 345, 346, 352, 354, 358, 359, 368, 371, 372]",SBBP.tsv
oh right,2,119,"[33, 41, 119, 158, 208, 221, 298]",SBBP.tsv
right,1,119,"[33, 41, 43, 59, 64, 71, 90, 94, 96, 98, 100, 104, 108, 112, 119, 135, 158, 180, 181, 208, 221, 232, 242, 248, 262, 280, 290, 298, 328, 332, 334, 343, 345, 354, 358, 360]",SBBP.tsv
be it,2,121,"[55, 121, 122, 159, 217, 313, 355]",SBBP.tsv
have to,2,205,"[141, 205, 229, 231, 273, 289, 301, 337]",SBBP.tsv
year,1,149,"[46, 126, 149, 150, 153, 164]",SBBP.tsv
talk,1,205,"[149, 205, 251, 268, 269, 282, 314, 315, 325]",SBBP.tsv
talk about,2,251,"[149, 251, 314, 315, 325]",SBBP.tsv
but when,2,227,"[151, 227]",SBBP.tsv
well,1,165,"[23, 56, 65, 75, 142, 157, 165, 205, 226, 230, 236, 273, 289, 294, 313, 319, 347, 349, 360, 361, 366, 367, 370]",SBBP.tsv
think,1,20,"[7, 20, 46, 54, 101, 122, 148, 152, 157, 168, 216, 229, 233, 234, 312, 325, 333]",SBBP.tsv
really,1,233,"[11, 67, 111, 126, 145, 159, 160, 168, 183, 233, 353]",SBBP.tsv
come,1,233,"[36, 109, 122, 145, 157, 175, 227, 233, 247, 317, 322, 325, 369]",SBBP.tsv
sheffield,1,268,"[233, 268, 284, 301, 302]",SBBP.tsv
but i,2,269,"[233, 269, 301, 311, 333, 337]",SBBP.tsv
of the,2,318,"[25, 32, 54, 87, 128, 171, 312, 318, 335]",SBBP.tsv
cos,1,318,"[89, 145, 146, 162, 168, 175, 181, 183, 185, 219, 221, 225, 227, 229, 268, 273, 318, 320, 322]",SBBP.tsv
like,1,339,"[36, 40, 42, 80, 87, 107, 109, 122, 166, 172, 197, 201, 205, 206, 212, 216, 253, 305, 339, 355]",SBBP.tsv
i'll,1,366,"[227, 366]",SBBP.tsv
thank,1,369,"[145, 367, 369]",SBBP.tsv
okay,1,372,"[360, 372]",SBBP.tsv
record,1,236,"[0, 236]",SBBP.tsv
in australia,2,20,"[15, 20, 36, 50, 141, 222]",SBBP.tsv
be that,2,171,"[34, 171, 207]",SBBP.tsv
that you,2,201,"[34, 201, 233]",SBBP.tsv
teach at,2,115,"[16, 115]",SBBP.tsv
teach,1,115,"[16, 115, 117, 142, 165, 166, 187, 205]",SBBP.tsv
school,1,115,"[20, 32, 46, 115, 134, 297, 322, 349]",SBBP.tsv
be you,2,134,"[115, 134, 149, 151, 156, 163, 222, 310]",SBBP.tsv
at the,2,189,"[115, 189, 322, 325]",SBBP.tsv
different,1,168,"[121, 168]",SBBP.tsv
to do,2,141,"[132, 141, 231, 236, 251, 265]",SBBP.tsv
when you,2,149,"[134, 149]",SBBP.tsv
