Expression,Expression_length,Expression_established_position,Expression_uttered_position_speaker,file
right,1,39,"[0, 8, 39, 73, 83, 118, 136, 142, 152, 169, 191, 235, 251, 281, 285, 290, 291, 352, 354, 399, 403, 405, 431, 435, 448, 453, 479, 481, 511, 519]",SP9Z.tsv
think,1,131,"[2, 6, 8, 18, 20, 36, 52, 61, 66, 68, 96, 98, 118, 131, 132, 134, 138, 140, 165, 175, 179, 181, 186, 193, 206, 211, 222, 276, 299, 305, 307, 308, 309, 312, 314, 331, 339, 364, 366, 416, 423, 436, 441, 443, 453, 454, 456, 458, 465, 473, 474, 480, 502, 513, 516, 519]",SP9Z.tsv
that's,1,172,"[2, 66, 110, 172, 181, 182, 192, 196, 206, 208, 322, 334, 355, 384, 388, 400, 438, 453, 465, 470, 472, 477, 519]",SP9Z.tsv
comprehensive,1,6,"[1, 6, 10, 11, 31, 40]",SP9Z.tsv
standard of,2,6,"[3, 6]",SP9Z.tsv
of education,2,6,"[3, 6]",SP9Z.tsv
but i,2,314,"[6, 98, 175, 314, 331, 335, 355, 446, 484, 513]",SP9Z.tsv
they be,2,8,"[5, 8, 22, 131, 143, 246, 250, 252, 312, 384, 414, 478, 480, 488, 520]",SP9Z.tsv
learn,1,19,"[8, 19, 26]",SP9Z.tsv
look,1,76,"[8, 76, 125, 480]",SP9Z.tsv
i think,2,131,"[8, 18, 20, 36, 52, 61, 66, 68, 96, 98, 131, 138, 140, 175, 179, 181, 211, 222, 305, 307, 309, 312, 314, 331, 339, 443, 453, 454, 456, 458, 465, 480, 502, 516, 519]",SP9Z.tsv
i think you,3,314,"[8, 314]",SP9Z.tsv
probably,1,53,"[8, 53, 58, 68, 179, 288, 328, 372, 458]",SP9Z.tsv
a comprehensive,2,11,"[10, 11]",SP9Z.tsv
in a,2,19,"[10, 19, 161, 189, 210, 213, 215, 286, 294, 394]",SP9Z.tsv
mix,1,12,"[1, 12, 16, 23, 222]",SP9Z.tsv
yeah,1,17,"[12, 17, 18, 20, 21, 23, 24, 25, 26, 27, 30, 37, 47, 50, 57, 61, 68, 71, 74, 76, 86, 88, 92, 101, 104, 116, 124, 125, 127, 141, 147, 156, 157, 160, 162, 164, 166, 167, 173, 179, 200, 206, 207, 209, 212, 221, 226, 245, 247, 249, 253, 260, 262, 263, 269, 277, 279, 300, 302, 305, 306, 312, 319, 321, 325, 327, 332, 336, 339, 346, 350, 356, 359, 362, 385, 393, 401, 417, 424, 426, 445, 450, 457, 464, 474, 475, 484, 487, 489, 502, 504, 517, 519, 521]",SP9Z.tsv
class,1,19,"[12, 18, 19, 20, 24, 26, 36]",SP9Z.tsv
mix ability,2,23,"[12, 16, 23]",SP9Z.tsv
of the,2,23,"[12, 14, 18, 23, 90, 91, 103, 115, 117, 132, 134, 140, 174, 187, 210, 244, 250, 355, 360, 376, 384, 390, 414, 434, 486, 511]",SP9Z.tsv
end of the,3,103,"[12, 18, 103]",SP9Z.tsv
at the,2,20,"[1, 20, 98, 103, 143, 244, 414, 474, 477, 480, 483]",SP9Z.tsv
you know,2,20,"[1, 20, 24, 26, 36, 77, 153, 158, 160, 166, 172, 174, 179, 181, 192, 196, 197, 202, 205, 206, 213, 228, 244, 246, 252, 262, 264, 278, 280, 290, 296, 299, 301, 303, 305, 314, 315, 318, 331, 334, 336, 347, 353, 372, 386, 388, 392, 400, 402, 414, 418, 425, 453, 454, 455, 462, 465, 467, 469, 473, 476, 477, 482, 490, 503, 510, 518]",SP9Z.tsv
people,1,20,"[1, 20, 24, 26, 52, 80, 161, 164, 165, 175, 176, 177, 180, 223, 244, 250, 318, 321, 327, 372, 376, 410, 414, 432, 436, 440, 462, 477, 478, 508, 511, 520]",SP9Z.tsv
but you,2,20,"[9, 20, 48, 172, 174, 202, 203, 455, 485]",SP9Z.tsv
find,1,20,"[15, 20, 24, 77, 128, 211, 292, 294, 326, 388]",SP9Z.tsv
a class where,3,20,"[19, 20]",SP9Z.tsv
didn't find,2,77,"[20, 77]",SP9Z.tsv
of a,2,79,"[20, 79, 131, 140, 163, 174, 234, 244, 334, 460, 465]",SP9Z.tsv
be at the,3,103,"[20, 103, 414]",SP9Z.tsv
well,1,125,"[20, 36, 67, 68, 75, 86, 88, 110, 125, 135, 141, 154, 178, 181, 186, 191, 192, 193, 198, 201, 205, 250, 288, 294, 301, 303, 313, 323, 335, 372, 388, 395, 416, 423, 438, 455, 456, 463, 465, 473, 477, 483, 484, 490, 492, 494, 510, 511, 523]",SP9Z.tsv
a lot,2,149,"[20, 140, 149, 164, 170, 180, 204, 246, 331, 376, 444, 460]",SP9Z.tsv
there be,2,137,"[20, 36, 137, 161, 179, 262, 270, 292, 314, 315, 330, 335, 353, 382, 392, 406, 410, 434, 436, 446, 462, 483, 506, 519]",SP9Z.tsv
there be some,3,462,"[20, 315, 462, 483]",SP9Z.tsv
that they,2,22,"[1, 22, 66, 143, 288, 331, 511]",SP9Z.tsv
like,1,22,"[1, 22, 26, 34, 81, 111, 132, 164, 172, 175, 179, 204, 208, 213, 215, 219, 270, 290, 299, 325, 331, 334, 364, 394, 419, 462, 511, 513]",SP9Z.tsv
i'm,1,35,"[22, 24, 35, 217, 415, 444]",SP9Z.tsv
cos,1,158,"[22, 158, 334, 345, 423, 453, 455]",SP9Z.tsv
i'm sure,2,444,"[22, 24, 444]",SP9Z.tsv
sure,1,474,"[22, 24, 474]",SP9Z.tsv
in the,2,24,"[23, 24, 65, 159, 266, 270, 280, 292, 301, 370, 379, 382, 386, 400, 426, 458, 480, 520, 523]",SP9Z.tsv
yeah and,2,71,"[24, 71, 76, 141, 262]",SP9Z.tsv
be you,2,307,"[24, 246, 290, 307, 337, 453]",SP9Z.tsv
and you,2,26,"[1, 26, 36, 90, 244, 296, 331, 400, 462, 465, 516]",SP9Z.tsv
from that,2,26,"[1, 26]",SP9Z.tsv
be very,2,26,"[5, 26, 246, 315, 490]",SP9Z.tsv
too difficult,2,26,"[25, 26]",SP9Z.tsv
stream,1,31,"[26, 31, 34, 35, 36]",SP9Z.tsv
and then,2,76,"[26, 34, 66, 67, 76, 189, 404, 414, 434]",SP9Z.tsv
should have,2,78,"[26, 78]",SP9Z.tsv
lot of people,3,164,"[26, 164, 180]",SP9Z.tsv
lot of,2,149,"[26, 140, 149, 170, 180, 204, 246, 270, 376, 404, 410, 460, 462, 508]",SP9Z.tsv
erm and,2,143,"[26, 143, 250, 264, 266, 292, 296, 321, 339, 353, 357, 378, 394, 462, 510]",SP9Z.tsv
lot,1,270,"[20, 26, 270, 331, 404, 410, 444, 462, 508]",SP9Z.tsv
ability,1,28,"[23, 28]",SP9Z.tsv
you do,2,54,"[32, 34, 48, 54, 63, 69]",SP9Z.tsv
science,1,63,"[34, 61, 63, 65, 125, 131, 132, 134, 137, 215, 217, 455, 460, 490]",SP9Z.tsv
so you,2,89,"[34, 89, 93, 174, 192, 290]",SP9Z.tsv
things,1,172,"[34, 161, 172, 176, 177, 182, 215, 219, 246, 270, 299, 305, 330, 331, 334, 376, 384, 447, 462, 463, 477, 486, 511]",SP9Z.tsv
like that,2,164,"[34, 164, 172, 204, 219, 334, 394, 511, 513]",SP9Z.tsv
things like that,3,219,"[34, 172, 219, 334]",SP9Z.tsv
things like,2,172,"[34, 172, 219, 270, 299, 334]",SP9Z.tsv
would,1,36,"[1, 36, 78, 80, 89, 91, 105, 135, 197, 206, 210, 215, 246, 250, 270, 274, 280, 305, 314, 327, 328, 376, 400, 402, 404, 414, 416, 446, 480, 482, 488, 520, 523]",SP9Z.tsv
to move,2,41,"[36, 41]",SP9Z.tsv
it would,2,80,"[36, 80, 206, 402, 404, 446]",SP9Z.tsv
always,1,89,"[36, 89, 174, 187, 343, 384, 469, 471]",SP9Z.tsv
be always,2,343,"[36, 343, 471]",SP9Z.tsv
to have,2,351,"[36, 351, 455, 490]",SP9Z.tsv
on the,2,38,"[1, 38, 90, 230, 311, 384, 434, 444]",SP9Z.tsv
result,1,99,"[38, 99, 203, 213]",SP9Z.tsv
be the,2,117,"[42, 82, 117, 135, 174, 276, 347, 384, 460, 511]",SP9Z.tsv
what be,2,81,"[42, 81, 121, 150, 274, 339, 366, 376, 411, 423, 469, 478, 480]",SP9Z.tsv
be that,2,123,"[44, 123, 206, 288, 323, 330, 438, 446, 478, 522]",SP9Z.tsv
people do,2,176,"[52, 175, 176, 180]",SP9Z.tsv
fourteen,1,57,"[56, 57]",SP9Z.tsv
end,1,103,"[12, 18, 60, 103, 290]",SP9Z.tsv
do that,2,180,"[60, 180, 215, 458]",SP9Z.tsv
offer,1,61,"[3, 61]",SP9Z.tsv
do triple science,3,63,"[61, 63, 65]",SP9Z.tsv
i didn't,2,133,"[61, 64, 133]",SP9Z.tsv
i think they,3,131,"[61, 131, 312]",SP9Z.tsv
that be,2,270,"[61, 270, 274, 288, 294, 314, 339, 347, 355, 372, 378, 392, 436, 440, 522]",SP9Z.tsv
be an,2,141,"[61, 141, 330]",SP9Z.tsv
and that,2,353,"[61, 339, 353, 378, 404, 465]",SP9Z.tsv
do it,2,180,"[64, 66, 180, 193, 327, 384, 394, 511, 516]",SP9Z.tsv
time,1,237,"[65, 98, 140, 203, 237, 407, 426, 474, 477, 483]",SP9Z.tsv
way,1,66,"[45, 66, 215, 217, 465, 473]",SP9Z.tsv
they use,2,107,"[66, 107]",SP9Z.tsv
to do,2,66,"[43, 66, 250, 343, 378, 384, 394, 443]",SP9Z.tsv
use to,2,246,"[66, 246, 351]",SP9Z.tsv
it and,2,351,"[66, 90, 280, 351, 490]",SP9Z.tsv
do music,2,69,"[68, 69]",SP9Z.tsv
whether,1,87,"[70, 87]",SP9Z.tsv
can't,1,107,"[70, 90, 107, 202, 203, 299, 511, 516, 518]",SP9Z.tsv
it be,2,70,"[43, 70, 125, 187, 190, 217, 246, 248, 256, 258, 278, 280, 307, 314, 327, 330, 339, 364, 367, 368, 370, 376, 386, 387, 434, 447, 451, 456, 476, 477, 497, 509, 510, 523]",SP9Z.tsv
remember,1,458,"[70, 458, 463, 465, 472, 473]",SP9Z.tsv
didn't get,2,75,"[1, 75]",SP9Z.tsv
know,1,75,"[1, 20, 24, 26, 36, 75, 77, 110, 153, 179, 186, 196, 205, 213, 222, 228, 242, 244, 246, 248, 252, 262, 264, 278, 280, 290, 296, 299, 301, 303, 305, 309, 314, 315, 318, 331, 334, 336, 347, 353, 372, 386, 388, 392, 400, 402, 414, 418, 420, 423, 425, 442, 449, 453, 454, 455, 462, 465, 467, 469, 473, 476, 477, 482, 490, 503, 510, 518]",SP9Z.tsv
didn't get an a star,5,75,"[71, 75]",SP9Z.tsv
get,1,77,"[1, 71, 75, 77, 78, 88, 90, 93, 100, 133, 140, 155, 186, 203, 206, 240, 250, 254, 266, 278, 288, 292, 372, 458, 462, 510]",SP9Z.tsv
i didn't get,3,133,"[75, 133]",SP9Z.tsv
for a,2,82,"[78, 82, 100, 154, 301, 501]",SP9Z.tsv
a viva,2,85,"[82, 85]",SP9Z.tsv
sixty eight,2,95,"[82, 95]",SP9Z.tsv
see,1,86,"[1, 72, 74, 86, 87, 88, 115, 176, 182, 186, 270, 334, 345, 360, 372, 397, 453, 465, 477, 512]",SP9Z.tsv
to see,2,88,"[74, 87, 88, 360]",SP9Z.tsv
into a first,3,88,"[87, 88]",SP9Z.tsv
for an interview,3,89,"[88, 89]",SP9Z.tsv
interview,1,91,"[88, 90, 91, 102]",SP9Z.tsv
if you,2,103,"[88, 90, 103, 182, 206, 208, 213, 244, 280, 360, 416, 473, 480]",SP9Z.tsv
first,1,133,"[87, 88, 133, 400]",SP9Z.tsv
you get,2,155,"[88, 140, 155, 462]",SP9Z.tsv
they have,2,262,"[88, 262, 278, 281, 303, 305, 376, 419, 426, 432, 434, 488, 508]",SP9Z.tsv
get the,2,90,"[1, 90, 203]",SP9Z.tsv
but they,2,90,"[3, 5, 90, 402]",SP9Z.tsv
tell,1,90,"[41, 90, 246, 292, 294, 491, 516, 522, 523]",SP9Z.tsv
go to,2,90,"[74, 90, 312]",SP9Z.tsv
even or,2,90,"[74, 90]",SP9Z.tsv
go,1,90,"[74, 76, 87, 89, 90, 217, 250, 255, 256, 298, 311, 312, 314, 321, 337, 423, 426, 454, 458, 460]",SP9Z.tsv
third,1,90,"[79, 90, 259, 301]",SP9Z.tsv
an interview,2,90,"[89, 90]",SP9Z.tsv
