Expression,Expression_length,Expression_established_position,Expression_uttered_position_speaker,file
remember,1,1,"[0, 1, 6, 123]",S3CP.tsv
i'll,1,69,"[0, 69, 85, 124, 158, 163, 169, 170, 204]",S3CP.tsv
joke,1,4,"[1, 4]",S3CP.tsv
simple,1,7,"[4, 7]",S3CP.tsv
can't,1,61,"[6, 61, 89, 99, 118]",S3CP.tsv
i can't,2,118,"[6, 99, 118]",S3CP.tsv
the simple ones be,4,8,"[7, 8]",S3CP.tsv
best,1,8,"[7, 8, 21]",S3CP.tsv
get,1,15,"[10, 15, 21, 26, 30, 38, 45, 46, 47, 49, 61, 65, 70, 75, 77, 80, 84, 90, 91, 93, 98, 99, 106, 128, 129, 132, 138, 139, 150, 160, 174, 179, 196, 199, 204, 210, 214, 220]",S3CP.tsv
do you,2,17,"[10, 17, 20, 21, 25, 36, 45, 120, 122, 141]",S3CP.tsv
get your,2,75,"[10, 75, 77]",S3CP.tsv
internet,1,98,"[10, 98, 99, 129, 140, 179, 185, 186]",S3CP.tsv
how do you,3,141,"[10, 45, 141]",S3CP.tsv
when you,2,145,"[10, 145]",S3CP.tsv
yes,1,15,"[12, 15, 32, 62, 102, 121, 222]",S3CP.tsv
do that,2,57,"[14, 18, 57, 74]",S3CP.tsv
be the,2,18,"[7, 18, 77]",S3CP.tsv
well,1,18,"[11, 18, 19, 22, 26, 36, 57, 65, 68, 73, 74, 79, 84, 85, 106, 133, 142, 144, 146, 158, 180, 181, 187, 198, 204]",S3CP.tsv
go,1,18,"[11, 18, 65, 68, 69, 93, 94, 152, 154, 174, 179, 196, 197]",S3CP.tsv
know what,2,21,"[18, 20, 21, 25, 61, 62, 104, 219]",S3CP.tsv
know,1,33,"[18, 20, 22, 33, 34, 61, 62, 65, 103, 104, 138, 139, 158, 162, 183, 194, 206, 207, 219]",S3CP.tsv
i don't,2,49,"[18, 20, 22, 26, 34, 49, 65, 67, 123, 194]",S3CP.tsv
that be,2,54,"[18, 54]",S3CP.tsv
problem,1,59,"[18, 59]",S3CP.tsv
see,1,61,"[18, 61, 84, 158]",S3CP.tsv
they do,2,139,"[18, 139, 221]",S3CP.tsv
do you wanna,3,20,"[17, 20]",S3CP.tsv
you wanna do,3,20,"[17, 20]",S3CP.tsv
wanna,1,25,"[20, 25, 55, 129, 131]",S3CP.tsv
i think,2,46,"[20, 46, 66, 73, 91, 107, 145, 201]",S3CP.tsv
think,1,49,"[20, 49, 66, 67, 73, 84, 85, 91, 98, 107, 126, 145, 158, 201, 204, 210]",S3CP.tsv
lot,1,79,"[20, 79, 196, 221]",S3CP.tsv
what do you,3,120,"[20, 36, 120, 122]",S3CP.tsv
say,1,51,"[20, 51, 56, 83, 139, 145, 212, 214]",S3CP.tsv
what do,2,147,"[20, 36, 147]",S3CP.tsv
be able to,3,22,"[17, 22, 87, 98, 103, 105, 106]",S3CP.tsv
what i,2,25,"[22, 25, 61, 66, 138]",S3CP.tsv
want to,2,35,"[22, 35, 73, 80, 87, 103, 138, 152]",S3CP.tsv
want,1,91,"[22, 26, 34, 35, 73, 78, 80, 87, 91, 92, 103, 138, 152, 160, 169, 181]",S3CP.tsv
to be able to,4,106,"[22, 87, 103, 106]",S3CP.tsv
email,1,106,"[22, 106, 112, 129, 148, 150, 156, 186]",S3CP.tsv
to be,2,157,"[22, 87, 103, 157]",S3CP.tsv
get one,2,26,"[15, 21, 26, 91, 106, 196]",S3CP.tsv
smartphone,1,26,"[25, 26]",S3CP.tsv
sorry,1,39,"[26, 39, 42, 209]",S3CP.tsv
as well,2,57,"[26, 57, 65, 79, 84, 144, 187]",S3CP.tsv
no i,2,67,"[26, 67]",S3CP.tsv
want a,2,91,"[26, 78, 91, 92]",S3CP.tsv
one,1,92,"[15, 21, 26, 73, 91, 92, 106, 152, 179, 196, 197, 199]",S3CP.tsv
good,1,30,"[1, 30, 67, 126, 140, 165, 221]",S3CP.tsv
i'm get,2,30,"[21, 30]",S3CP.tsv
i'm,1,30,"[21, 30, 65, 111, 117, 135, 138, 146, 148, 180, 209, 212, 214]",S3CP.tsv
my life,2,49,"[30, 49]",S3CP.tsv
time,1,49,"[30, 49, 97, 111, 164, 180]",S3CP.tsv
gonna,1,51,"[30, 51, 65, 91, 139, 196]",S3CP.tsv
yeah,1,34,"[1, 3, 5, 11, 15, 34, 42, 52, 56, 57, 91, 102, 104, 106, 110, 116, 119, 125, 130, 149, 151, 153, 155, 159, 161, 164, 173, 181, 182, 184, 198, 200, 203, 208, 212, 215, 216, 219]",S3CP.tsv
yeah i,2,91,"[34, 91]",S3CP.tsv
i know,2,104,"[34, 104, 138, 219]",S3CP.tsv
yeah i know,3,219,"[34, 219]",S3CP.tsv
use,1,36,"[35, 36]",S3CP.tsv
apps,1,41,"[39, 41, 47, 77]",S3CP.tsv
make,1,49,"[43, 49]",S3CP.tsv
