Expression,Expression_length,Expression_established_position,Expression_uttered_position_speaker,file
i don't,2,3,"[0, 3, 18, 126, 164, 239, 302, 307, 329, 336, 338, 344, 345, 359, 372]",SGMQ.tsv
don't want,2,3,"[0, 3]",SGMQ.tsv
want to,2,41,"[0, 2, 41, 42, 172, 239, 328]",SGMQ.tsv
want,1,4,"[0, 2, 3, 4, 41, 42, 43, 82, 129, 131, 157, 158, 172, 199, 239, 280, 284, 286, 287, 328, 376, 394]",SGMQ.tsv
if you,2,349,"[0, 181, 260, 287, 295, 349, 353, 357, 368]",SGMQ.tsv
give,1,2,"[1, 2]",SGMQ.tsv
rice,1,2,"[1, 2, 3, 4, 295, 299, 302, 303, 305, 307, 308, 309, 313, 316, 318]",SGMQ.tsv
you want to,3,41,"[2, 41, 172]",SGMQ.tsv
you want,2,43,"[2, 41, 43, 82, 129, 131, 157, 158, 172, 239, 280, 284, 286, 287, 376, 394]",SGMQ.tsv
paella,1,14,"[6, 13, 14, 20, 22, 27, 29]",SGMQ.tsv
yeah,1,8,"[3, 8, 34, 35, 46, 58, 61, 72, 81, 100, 104, 106, 127, 130, 143, 150, 152, 155, 163, 182, 193, 195, 198, 209, 211, 224, 225, 234, 254, 258, 264, 266, 267, 297, 301, 306, 311, 329, 335, 337, 353, 355, 360, 365, 367, 371, 373, 374, 381, 385, 400]",SGMQ.tsv
tesco's,1,19,"[8, 19, 142]",SGMQ.tsv
yeah you're,2,155,"[8, 155]",SGMQ.tsv
well,1,25,"[11, 25, 136, 154, 191, 233, 329, 390]",SGMQ.tsv
good,1,66,"[11, 66, 67, 80, 126, 193, 391, 393]",SGMQ.tsv
i think,2,135,"[20, 22, 32, 85, 95, 100, 104, 124, 130, 135, 213, 302, 328, 348, 359, 379]",SGMQ.tsv
think,1,20,"[9, 20, 22, 32, 85, 95, 100, 104, 124, 126, 130, 135, 142, 187, 213, 221, 246, 302, 328, 329, 330, 337, 345, 348, 359, 379]",SGMQ.tsv
better,1,232,"[20, 22, 48, 232, 348, 354]",SGMQ.tsv
i make a,3,239,"[20, 22, 239]",SGMQ.tsv
make,1,23,"[20, 22, 23, 26, 105, 163, 239, 320, 370]",SGMQ.tsv
get it,2,28,"[19, 28, 142]",SGMQ.tsv
