Expression,Expression_length,Expression_established_position,Expression_uttered_position_speaker,file
get,1,6,"[0, 6, 8, 34, 39, 45, 48, 50, 65, 85, 86, 89, 90, 92, 99, 101, 115, 116, 119, 128, 131, 134, 147, 149, 150, 164, 166, 170, 172, 174, 176, 181, 182, 217, 224, 226, 251, 254, 256, 265, 267, 272, 299, 302, 305, 309, 330, 331, 338, 340, 348, 350, 358, 386, 388, 398, 446, 452, 460, 462, 464, 477, 485, 496, 524, 525, 526, 530, 557, 600, 623, 641, 642, 643, 658, 668, 669, 689, 706, 718, 742, 746, 756, 806, 829, 838, 845, 850, 871, 911, 938, 974, 981, 985, 992, 1015, 1024, 1027, 1029, 1070, 1073, 1079, 1087, 1102, 1106, 1108, 1115, 1123, 1135, 1139, 1144, 1147, 1154, 1155, 1156, 1157, 1158]",SZ95.tsv
right,1,16,"[0, 16, 20, 22, 23, 34, 71, 91, 197, 202, 300, 338, 365, 467, 470, 530, 738, 764, 772, 820, 830, 1030, 1049, 1055, 1118, 1153]",SZ95.tsv
cos,1,19,"[0, 2, 19, 23, 29, 30, 37, 45, 47, 62, 76, 93, 99, 123, 128, 145, 148, 154, 178, 184, 224, 265, 272, 287, 290, 294, 299, 302, 348, 350, 379, 380, 422, 424, 426, 440, 442, 446, 448, 462, 464, 468, 477, 483, 539, 549, 557, 567, 572, 576, 577, 596, 602, 613, 648, 661, 668, 696, 703, 718, 737, 756, 766, 783, 785, 829, 840, 853, 860, 904, 938, 956, 976, 985, 989, 1010, 1027, 1033, 1042, 1079, 1084, 1102, 1144, 1155, 1158]",SZ95.tsv
i'm,1,23,"[0, 2, 23, 34, 51, 54, 72, 83, 128, 170, 178, 181, 184, 186, 192, 196, 241, 294, 380, 398, 412, 416, 428, 436, 462, 466, 468, 470, 477, 483, 541, 598, 604, 696, 699, 754, 756, 787, 790, 829, 865, 985, 989, 1023, 1104, 1105, 1107, 1110, 1139, 1153, 1154]",SZ95.tsv
go,1,70,"[0, 29, 39, 70, 72, 77, 128, 136, 162, 184, 188, 208, 253, 265, 272, 274, 276, 287, 290, 292, 338, 342, 348, 350, 386, 390, 401, 408, 424, 430, 437, 439, 440, 451, 455, 466, 498, 528, 541, 559, 571, 580, 587, 598, 602, 604, 644, 695, 714, 780, 785, 826, 829, 835, 836, 840, 843, 845, 900, 938, 962, 974, 975, 981, 985, 989, 1010, 1021, 1027, 1031, 1033, 1037, 1066, 1070, 1071, 1090, 1093, 1107, 1123, 1127, 1142, 1153]",SZ95.tsv
go and get,3,350,"[0, 350, 974]",SZ95.tsv
cos i'm,2,380,"[0, 2, 128, 178, 380, 483, 985]",SZ95.tsv
gonna have,2,448,"[0, 253, 294, 448]",SZ95.tsv
gonna,1,23,"[0, 23, 142, 156, 170, 186, 253, 257, 287, 294, 428, 448, 462, 466, 489, 491, 492, 493, 513, 514, 695, 744, 756, 829, 908, 911, 985, 1023, 1104, 1105, 1153, 1154]",SZ95.tsv
right i'm,2,470,"[0, 470, 1153]",SZ95.tsv
i'm just,2,483,"[0, 462, 483, 829]",SZ95.tsv
just gonna,2,492,"[0, 462, 492, 829]",SZ95.tsv
go and,2,559,"[0, 39, 559, 604, 974, 985, 1031, 1153]",SZ95.tsv
i'm gonna have,3,294,"[0, 294, 756]",SZ95.tsv
cos i'm gonna,3,985,"[0, 985]",SZ95.tsv
i'm just gonna,3,462,"[0, 462, 829, 1105]",SZ95.tsv
freeze,1,22,"[2, 22, 753]",SZ95.tsv
ring,1,24,"[17, 23, 24, 25, 27, 28, 29, 37, 79, 83, 84, 257, 295, 333, 334, 348, 496, 598, 782, 824, 828]",SZ95.tsv
sick,1,28,"[24, 25, 27, 28, 29, 34, 37, 79, 83, 84, 276, 290, 376, 384]",SZ95.tsv
in sick,2,34,"[24, 25, 27, 29, 34, 37, 79, 83, 84]",SZ95.tsv
d'you,1,243,"[24, 89, 243, 257, 261, 263, 265, 267, 288, 295, 348, 404, 437, 457, 790, 824, 868, 1022, 1053, 1122, 1133, 1161]",SZ95.tsv
like,1,29,"[4, 5, 6, 10, 15, 19, 25, 29, 30, 32, 34, 35, 37, 39, 45, 48, 51, 57, 60, 62, 64, 67, 68, 72, 75, 85, 86, 90, 92, 95, 99, 103, 106, 109, 123, 125, 128, 131, 139, 145, 147, 164, 169, 171, 173, 184, 188, 192, 201, 203, 204, 210, 211, 212, 217, 220, 224, 226, 228, 230, 242, 256, 273, 288, 290, 295, 299, 301, 306, 307, 311, 320, 325, 328, 338, 346, 348, 355, 369, 371, 373, 374, 376, 379, 380, 398, 404, 410, 414, 416, 419, 422, 424, 426, 430, 432, 439, 440, 442, 446, 448, 450, 457, 464, 466, 468, 470, 472, 476, 477, 479, 485, 487, 496, 498, 501, 510, 517, 522, 526, 528, 530, 536, 537, 539, 541, 543, 551, 556, 557, 559, 561, 563, 567, 572, 576, 583, 585, 586, 590, 591, 593, 598, 600, 602, 604, 605, 608, 611, 615, 621, 631, 636, 641, 644, 648, 653, 656, 661, 676, 678, 679, 695, 696, 701, 704, 717, 718, 719, 721, 726, 728, 730, 747, 748, 750, 755, 756, 759, 777, 779, 781, 785, 787, 823, 838, 839, 840, 843, 853, 854, 856, 871, 884, 887, 888, 897, 900, 904, 910, 913, 916, 918, 926, 937, 938, 951, 953, 956, 962, 974, 975, 977, 979, 1000, 1010, 1013, 1027, 1033, 1036, 1053, 1056, 1058, 1061, 1063, 1073, 1079, 1081, 1084, 1092, 1097, 1101, 1104, 1119, 1123, 1126, 1138, 1141, 1146, 1147, 1157]",SZ95.tsv
yeah,1,29,"[8, 23, 29, 30, 31, 33, 34, 36, 37, 40, 44, 46, 48, 61, 63, 66, 71, 72, 78, 82, 85, 87, 90, 92, 94, 96, 98, 100, 102, 105, 107, 110, 112, 117, 126, 130, 133, 137, 138, 140, 143, 146, 148, 149, 151, 153, 155, 157, 159, 161, 163, 175, 177, 179, 182, 185, 189, 192, 198, 202, 203, 204, 207, 209, 218, 222, 223, 227, 246, 260, 262, 269, 272, 273, 274, 283, 290, 291, 303, 304, 312, 313, 320, 324, 326, 329, 333, 337, 338, 339, 343, 344, 345, 346, 347, 357, 359, 363, 368, 370, 372, 376, 378, 383, 387, 391, 400, 405, 409, 411, 413, 416, 417, 423, 425, 426, 428, 429, 435, 437, 438, 441, 444, 447, 449, 451, 452, 454, 456, 458, 462, 463, 465, 467, 468, 469, 472, 473, 475, 477, 478, 481, 483, 486, 488, 490, 494, 497, 502, 503, 507, 509, 511, 515, 518, 529, 536, 537, 547, 552, 556, 566, 577, 579, 581, 583, 586, 599, 602, 603, 616, 617, 624, 627, 632, 638, 639, 644, 645, 649, 650, 652, 657, 664, 681, 683, 688, 690, 702, 730, 735, 739, 747, 752, 758, 767, 781, 784, 786, 791, 804, 809, 811, 812, 825, 830, 833, 836, 838, 845, 846, 847, 848, 849, 852, 854, 858, 878, 880, 886, 889, 890, 893, 899, 902, 905, 910, 919, 924, 930, 938, 941, 947, 950, 954, 955, 963, 965, 967, 969, 978, 990, 998, 1001, 1005, 1007, 1008, 1014, 1016, 1018, 1022, 1025, 1037, 1040, 1045, 1048, 1049, 1050, 1052, 1060, 1062, 1068, 1075, 1077, 1082, 1093, 1103, 1109, 1114, 1119, 1125, 1129, 1130, 1135, 1136, 1138, 1140, 1143, 1145, 1148, 1151, 1152, 1154, 1157, 1159, 1164]",SZ95.tsv
you be,2,29,"[10, 12, 29, 109, 226, 268, 317, 321, 607, 701, 741, 801]",SZ95.tsv
stay,1,29,"[10, 29, 30, 37, 371, 414, 740, 1066]",SZ95.tsv
if you,2,29,"[12, 29, 57, 109, 200, 251, 302, 305, 325, 334, 338, 384, 641, 686, 772, 803, 840, 981, 1027]",SZ95.tsv
home,1,29,"[12, 29, 77, 145, 148, 557, 604, 1070, 1071, 1126, 1155]",SZ95.tsv
like i,2,29,"[15, 25, 29, 37, 62, 68, 72, 85, 86, 242, 325, 348, 379, 398, 404, 414, 419, 426, 430, 439, 464, 466, 477, 496, 498, 551, 557, 563, 583, 598, 661, 756, 843, 916, 962, 974, 975, 1010, 1058, 1104, 1123]",SZ95.tsv
ring sick,2,29,"[28, 29]",SZ95.tsv
they have to stay,4,30,"[29, 30]",SZ95.tsv
like if,2,30,"[29, 30, 57, 109, 348, 355]",SZ95.tsv
if you're,2,30,"[29, 30, 57, 217, 928, 1032]",SZ95.tsv
then they,2,30,"[29, 30]",SZ95.tsv
