Expression,Expression_length,Expression_established_position,Expression_uttered_position,file
i,1,12,"[0, 12, 13, 15, 25, 27, 29, 30, 38, 40, 45, 50, 55, 56, 58, 62, 63, 65, 70, 75, 79, 81, 82, 83, 88, 95, 97, 99, 106, 107, 109, 112, 114, 115, 116, 121, 130, 136, 138, 142, 143, 151, 152, 154, 209, 231, 244, 246, 248, 249, 250, 252, 253, 255, 256, 260, 261, 264, 265, 273, 274, 278, 280, 281, 285, 288, 291, 292, 295, 299, 300, 301, 305, 313, 317, 319, 323, 325, 326, 332, 334, 343, 344, 350, 351, 365, 367, 370, 372, 373, 401, 403, 416, 422, 429, 443, 447, 464]",SZ94.tsv
you,1,23,"[0, 15, 17, 23, 24, 26, 28, 29, 34, 36, 40, 46, 63, 65, 70, 78, 82, 86, 92, 94, 98, 114, 116, 123, 125, 132, 138, 140, 141, 142, 148, 151, 156, 158, 160, 162, 166, 181, 183, 186, 187, 216, 219, 248, 249, 251, 253, 255, 256, 261, 262, 271, 275, 280, 282, 289, 297, 299, 300, 305, 307, 313, 319, 326, 329, 330, 344, 352, 357, 360, 363, 365, 368, 371, 372, 376, 381, 383, 396, 434, 440, 441, 450, 452, 455, 457, 458, 462, 464, 472, 477]",SZ94.tsv
i want,2,27,"[0, 27, 443]",SZ94.tsv
want to,2,27,"[0, 15, 27, 75, 79, 81, 148, 197, 285, 302, 304, 334, 373, 443, 464]",SZ94.tsv
okay,1,43,"[0, 43, 149, 202, 218, 226, 240, 378, 379, 384, 464]",SZ94.tsv
to,1,19,"[0, 15, 19, 27, 34, 40, 46, 50, 63, 65, 70, 75, 79, 81, 87, 88, 92, 96, 98, 102, 103, 111, 116, 132, 138, 148, 156, 160, 162, 169, 171, 173, 181, 187, 193, 197, 208, 219, 248, 254, 255, 256, 275, 280, 285, 287, 299, 300, 301, 302, 304, 305, 310, 313, 315, 319, 322, 325, 326, 332, 334, 343, 346, 351, 357, 373, 376, 404, 415, 417, 427, 440, 443, 445, 452, 457, 464, 472, 477]",SZ94.tsv
so,1,8,"[0, 8, 11, 15, 38, 60, 63, 70, 82, 88, 91, 92, 96, 98, 103, 114, 116, 126, 138, 140, 158, 160, 169, 177, 181, 183, 187, 195, 197, 221, 236, 249, 251, 255, 256, 265, 279, 280, 297, 300, 305, 311, 313, 315, 317, 326, 332, 334, 336, 344, 347, 350, 357, 368, 369, 395, 407, 409, 429, 434, 437, 464, 472, 479]",SZ94.tsv
because,1,79,"[0, 26, 38, 79, 82, 83, 96, 114, 156, 197, 204, 250, 256, 319, 326]",SZ94.tsv
so i,2,350,"[0, 15, 38, 70, 88, 114, 116, 138, 334, 350]",SZ94.tsv
tell,1,350,"[0, 26, 350, 352]",SZ94.tsv
