Expression,Expression_length,Expression_established_position,Expression_uttered_position,file
okay,1,1,"[0, 1, 4, 49, 121, 122, 204, 213, 215, 244, 266, 305, 311, 435]",SHX2.tsv
so,1,23,"[0, 23, 31, 42, 45, 53, 57, 59, 61, 95, 169, 187, 209, 212, 247, 262, 274, 285, 290, 308, 310, 320, 345, 347, 350, 358, 396, 400, 402, 405, 436]",SHX2.tsv
the chicken,2,25,"[0, 25, 26, 118]",SHX2.tsv
the,1,25,"[0, 4, 5, 22, 25, 26, 39, 49, 53, 54, 57, 59, 61, 62, 68, 69, 72, 73, 75, 82, 86, 88, 103, 104, 106, 111, 112, 118, 133, 139, 146, 160, 161, 181, 183, 184, 197, 223, 233, 235, 266, 274, 278, 290, 295, 306, 310, 317, 321, 326, 342, 343, 345, 347, 358, 398, 404, 405, 406, 412, 414, 416, 418, 443, 452, 455, 464, 465, 466, 467, 485, 489]",SHX2.tsv
i,1,32,"[0, 2, 4, 5, 8, 10, 15, 28, 32, 34, 36, 37, 39, 40, 42, 44, 48, 50, 57, 59, 61, 75, 78, 81, 86, 88, 92, 96, 98, 99, 103, 104, 106, 111, 113, 117, 133, 143, 150, 152, 153, 155, 160, 169, 197, 207, 209, 221, 222, 225, 229, 234, 253, 256, 257, 258, 261, 268, 271, 272, 273, 274, 276, 282, 283, 285, 287, 288, 290, 295, 297, 300, 311, 312, 315, 317, 321, 323, 324, 327, 328, 332, 335, 337, 348, 349, 357, 359, 363, 365, 367, 373, 375, 378, 382, 384, 386, 398, 400, 402, 406, 410, 413, 423, 424, 432, 438, 439, 455, 457, 459, 463, 465, 475, 477, 484, 488]",SHX2.tsv
it's,1,32,"[0, 2, 4, 32, 39, 56, 65, 68, 73, 74, 75, 92, 104, 150, 160, 183, 184, 187, 195, 197, 200, 202, 214, 225, 229, 237, 263, 276, 277, 279, 290, 300, 306, 308, 310, 311, 312, 318, 320, 324, 347, 348, 349, 359, 378, 396, 399, 400, 403, 430, 446, 452, 456, 464, 474, 475]",SHX2.tsv
a,1,48,"[0, 2, 4, 14, 48, 50, 53, 54, 57, 59, 61, 65, 72, 75, 84, 90, 92, 98, 99, 101, 104, 106, 108, 133, 135, 146, 148, 155, 160, 161, 168, 171, 177, 184, 186, 187, 197, 199, 202, 229, 235, 245, 247, 249, 255, 264, 265, 268, 277, 278, 283, 285, 301, 306, 308, 310, 311, 312, 313, 314, 315, 317, 320, 321, 327, 330, 331, 332, 344, 345, 347, 349, 363, 365, 367, 396, 398, 399, 429, 430, 433, 438, 439, 459, 471, 473, 475, 482, 487]",SHX2.tsv
in,1,50,"[0, 4, 8, 10, 43, 47, 50, 57, 59, 61, 69, 72, 78, 79, 88, 92, 98, 133, 146, 207, 260, 266, 290, 301, 306, 310, 321, 343, 344, 347, 349, 363, 378, 379, 390, 392, 393, 398, 405, 407, 408, 410, 412, 414, 427, 455, 467, 485]",SHX2.tsv
he,1,54,"[0, 54, 56, 57, 59, 93, 95, 99, 101, 102, 106, 111, 112, 114, 117, 135, 160, 165, 168, 169, 177, 201, 245, 247, 250, 253, 254, 260, 261, 265, 299, 306, 308, 310, 342, 345, 347, 373, 383, 390, 391, 394, 401, 402, 403, 420, 431, 432, 443, 445, 446, 452, 455, 465, 467, 468]",SHX2.tsv
want,1,56,"[0, 4, 14, 56, 317, 362, 475]",SHX2.tsv
do,1,56,"[0, 5, 14, 17, 31, 45, 49, 56, 76, 78, 89, 102, 147, 161, 163, 165, 166, 217, 221, 229, 254, 256, 260, 268, 272, 273, 274, 275, 276, 281, 285, 317, 321, 324, 326, 332, 342, 347, 348, 350, 353, 357, 359, 360, 364, 366, 379, 381, 382, 383, 387, 391, 398, 403, 405, 425, 429, 434, 451, 460, 462, 471, 477, 479, 481, 485, 488]",SHX2.tsv
if,1,56,"[0, 4, 31, 56, 203, 227, 229, 258, 264, 266, 274, 276, 278, 283, 285, 301, 310, 311, 348, 359, 360, 362, 414, 455, 467, 468, 471]",SHX2.tsv
you,1,67,"[0, 4, 5, 14, 15, 17, 18, 24, 31, 37, 43, 45, 49, 53, 57, 67, 69, 89, 126, 127, 133, 147, 150, 155, 160, 183, 184, 190, 195, 197, 203, 204, 205, 207, 210, 215, 216, 217, 221, 230, 256, 258, 264, 266, 268, 273, 277, 283, 285, 289, 293, 301, 302, 303, 310, 312, 313, 317, 318, 320, 322, 324, 326, 328, 330, 331, 332, 342, 347, 349, 350, 352, 356, 359, 360, 362, 364, 379, 381, 383, 385, 387, 396, 398, 407, 411, 414, 417, 424, 425, 437, 440, 451, 460, 462, 471, 476, 484, 485, 487]",SHX2.tsv
i think it's,3,92,"[0, 4, 92, 225]",SHX2.tsv
think,1,99,"[0, 2, 4, 15, 61, 75, 98, 99, 106, 111, 117, 143, 147, 160, 225, 229, 234, 271, 272, 273, 285, 310, 312, 320, 323, 324, 326, 327, 328, 332, 349, 373, 378, 411, 414, 443, 451, 465]",SHX2.tsv
a little,2,106,"[0, 106]",SHX2.tsv
i think,2,117,"[0, 4, 15, 61, 75, 98, 117, 143, 160, 225, 229, 234, 272, 285, 312, 323, 324, 328, 332, 373, 378, 465]",SHX2.tsv
little,1,142,"[0, 142, 143, 347]",SHX2.tsv
bite,1,146,"[0, 2, 14, 68, 75, 98, 146, 148, 199, 245, 306, 308, 317, 473]",SHX2.tsv
see,1,150,"[0, 4, 17, 129, 150, 160, 183, 184, 293, 295, 396]",SHX2.tsv
your,1,158,"[0, 15, 31, 43, 49, 100, 155, 158, 203, 204, 283, 311, 312, 319, 332, 347, 366, 409, 412, 418, 427, 434]",SHX2.tsv
i do,2,348,"[0, 268, 274, 348, 357, 382, 477, 488]",SHX2.tsv
if he,2,455,"[0, 455, 467]",SHX2.tsv
it,1,2,"[1, 2, 22, 42, 44, 49, 53, 56, 57, 59, 61, 65, 67, 73, 90, 95, 96, 99, 108, 112, 113, 114, 127, 146, 163, 165, 181, 184, 186, 190, 203, 205, 207, 209, 212, 214, 262, 271, 272, 273, 274, 279, 281, 288, 292, 311, 313, 317, 319, 324, 347, 349, 367, 376, 379, 398, 400, 402, 423, 424, 430, 437, 457, 460, 464, 468, 471, 474, 490]",SHX2.tsv
be,1,2,"[1, 2, 8, 32, 34, 36, 39, 42, 44, 45, 48, 49, 50, 53, 57, 59, 61, 72, 75, 84, 86, 90, 92, 93, 95, 96, 99, 101, 103, 104, 106, 108, 112, 113, 114, 133, 139, 142, 147, 154, 158, 160, 168, 169, 171, 183, 186, 195, 205, 207, 209, 215, 216, 222, 231, 243, 245, 250, 253, 258, 262, 265, 266, 278, 283, 285, 292, 293, 297, 306, 310, 311, 312, 315, 317, 318, 321, 336, 338, 340, 342, 344, 345, 347, 348, 352, 356, 359, 362, 366, 367, 382, 396, 398, 402, 403, 404, 410, 414, 416, 420, 427, 442, 443, 445, 448, 455, 456, 459, 466, 467, 468, 471, 474, 475, 486, 487]",SHX2.tsv
cos,1,40,"[2, 4, 5, 40, 44, 49, 59, 86, 90, 95, 104, 203, 229, 278, 282, 292, 299, 308, 317, 345, 359, 398, 410, 446, 452, 489]",SHX2.tsv
off,1,84,"[2, 31, 75, 84, 187, 302]",SHX2.tsv
funny,1,103,"[2, 103]",SHX2.tsv
a bite,2,146,"[2, 14, 75, 98, 146, 199, 245, 306, 308, 317, 473]",SHX2.tsv
it's a,2,202,"[2, 202, 229, 399]",SHX2.tsv
something,1,204,"[2, 28, 204, 207, 210, 216, 285, 304, 403]",SHX2.tsv
cos it's,2,308,"[2, 308, 359]",SHX2.tsv
might be,2,321,"[2, 321]",SHX2.tsv
i still,2,424,"[2, 424]",SHX2.tsv
still,1,448,"[2, 254, 374, 448]",SHX2.tsv
on my,2,25,"[4, 25]",SHX2.tsv
just,1,25,"[4, 22, 25, 28, 53, 56, 59, 75, 81, 112, 113, 137, 146, 150, 154, 158, 160, 183, 187, 199, 200, 205, 210, 262, 283, 285, 293, 300, 311, 312, 326, 336, 347, 348, 378, 392, 400, 401, 403, 414, 425, 446, 455, 467, 473]",SHX2.tsv
on,1,25,"[4, 24, 25, 26, 75, 86, 90, 92, 106, 160, 203, 204, 273, 300, 301, 302, 303, 312, 396, 398, 466, 486]",SHX2.tsv
gonna,1,32,"[4, 32, 44, 48, 125, 126, 215, 216, 283, 292, 321, 359, 360, 402]",SHX2.tsv
my,1,32,"[4, 32, 34, 48, 88, 92, 125, 201, 252, 262, 326, 332, 334, 337, 347, 395, 396, 406, 408, 413]",SHX2.tsv
to,1,32,"[4, 5, 8, 15, 17, 22, 31, 32, 34, 37, 39, 40, 43, 44, 53, 56, 59, 61, 75, 78, 113, 129, 133, 150, 165, 169, 174, 181, 190, 195, 197, 199, 209, 223, 229, 239, 245, 247, 264, 266, 283, 285, 310, 317, 318, 319, 327, 328, 330, 331, 332, 345, 347, 353, 359, 360, 362, 375, 390, 398, 402, 403, 404, 418, 427, 429, 440, 452, 475, 488, 491]",SHX2.tsv
for,1,34,"[4, 12, 22, 34, 50, 54, 56, 59, 61, 69, 75, 199, 231, 234, 248, 260, 264, 278, 283, 308, 310, 311, 347, 411, 429, 430, 437, 438, 439, 454, 475, 476]",SHX2.tsv
er i,2,44,"[4, 44, 160, 378, 406]",SHX2.tsv
want to,2,56,"[4, 56, 199, 488]",SHX2.tsv
er,1,78,"[4, 43, 61, 78, 95, 160, 235, 240, 245, 264, 297, 311, 326, 345, 378, 381, 390, 394, 405, 406, 414, 472, 474]",SHX2.tsv
them,1,150,"[4, 5, 24, 124, 150, 285, 311, 347, 406, 407, 414]",SHX2.tsv
any,1,255,"[4, 12, 255, 276, 310]",SHX2.tsv
keep,1,275,"[4, 275, 311]",SHX2.tsv
i've,1,292,"[4, 292, 304, 311, 332, 410, 464]",SHX2.tsv
out,1,406,"[4, 22, 345, 347, 366, 406, 413, 424]",SHX2.tsv
for a,2,429,"[4, 75, 199, 264, 429, 430, 438, 439, 475]",SHX2.tsv
just in,2,455,"[4, 455]",SHX2.tsv
oh,1,5,"[3, 5, 20, 44, 51, 66, 68, 73, 75, 94, 100, 128, 129, 133, 135, 138, 145, 181, 189, 194, 195, 196, 198, 201, 208, 215, 217, 220, 226, 232, 244, 252, 268, 326, 347, 351, 368, 389, 395, 397, 398, 414, 418, 423, 424, 450, 473, 484, 490]",SHX2.tsv
like,1,34,"[5, 22, 34, 39, 40, 42, 54, 57, 59, 65, 75, 84, 86, 111, 112, 113, 146, 150, 160, 161, 164, 165, 166, 177, 183, 187, 197, 204, 205, 206, 207, 212, 229, 234, 241, 253, 263, 265, 274, 285, 290, 293, 300, 306, 310, 311, 312, 313, 318, 347, 349, 359, 362, 371, 373, 375, 378, 392, 396, 398, 400, 401, 402, 410, 414, 421, 423, 424, 433, 446, 454, 456, 466, 467]",SHX2.tsv
all,1,34,"[5, 34, 44, 59, 75, 86, 90, 109, 110, 137, 158, 181, 197, 250, 268, 274, 290, 292, 310, 317, 347, 406, 407, 408, 411, 414, 443]",SHX2.tsv
have,1,48,"[5, 12, 37, 48, 49, 50, 57, 59, 61, 101, 103, 104, 113, 125, 126, 133, 201, 203, 204, 222, 240, 245, 265, 271, 273, 274, 279, 285, 302, 306, 310, 312, 314, 326, 328, 331, 332, 347, 359, 360, 362, 398, 423, 440, 457]",SHX2.tsv
good,1,60,"[5, 28, 60, 61, 195, 275, 277, 310, 311, 327, 330, 332, 345, 347, 366, 371, 373, 374, 394, 404, 414, 419, 428, 430]",SHX2.tsv
you've,1,113,"[5, 43, 113, 137, 207, 210, 268, 311, 347, 349]",SHX2.tsv
young,1,169,"[5, 169, 434]",SHX2.tsv
have you,2,204,"[5, 133, 204]",SHX2.tsv
about,1,271,"[5, 268, 271, 285, 288, 292, 295, 300, 310, 311, 312, 320, 347, 399, 409, 460]",SHX2.tsv
man,1,321,"[5, 49, 268, 321, 345, 347, 434]",SHX2.tsv
do you,2,398,"[5, 14, 17, 31, 45, 49, 89, 147, 217, 324, 326, 332, 342, 347, 379, 381, 387, 398, 425, 451, 460, 471]",SHX2.tsv
