Expression,Expression_length,Expression_established_position,Expression_uttered_position,file
rafael,1,5,"[0, 5, 112]",S4T3.tsv
oh,1,25,"[0, 4, 9, 13, 25, 60, 86, 155, 186, 199, 202, 203, 207, 210, 228, 280, 284, 292, 309, 317, 346, 362, 366, 412]",S4T3.tsv
er,1,74,"[2, 74, 112, 126, 301, 336, 369, 391]",S4T3.tsv
mate,1,17,"[4, 17, 46, 48, 71, 83, 105, 117, 153, 158, 160, 164, 172, 179, 191, 198, 202, 222, 229, 256, 287, 302, 307, 322, 331, 332, 333, 335, 359, 391, 392, 393, 398, 404, 418, 420]",S4T3.tsv
on,1,38,"[4, 9, 38, 54, 59, 67, 73, 76, 97, 98, 110, 153, 189, 205, 244, 267, 269, 322, 337, 339, 341, 369, 374, 394, 411, 419]",S4T3.tsv
come,1,23,"[4, 23, 54, 81, 89, 153, 191, 239, 355, 381, 396, 398]",S4T3.tsv
go on,2,67,"[9, 59, 67, 205, 322, 411]",S4T3.tsv
go,1,34,"[9, 34, 44, 56, 59, 67, 76, 79, 103, 121, 152, 205, 291, 295, 322, 330, 377, 391, 392, 404, 411, 415]",S4T3.tsv
it's,1,28,"[13, 28, 31, 43, 89, 147, 257, 284, 306, 308, 309, 322, 350, 359, 364, 369, 375, 388, 390, 404, 419]",S4T3.tsv
fuck,1,82,"[13, 50, 57, 59, 82, 95, 96, 97, 104, 111, 116, 134, 157, 159, 173, 191, 196, 202, 208, 225, 236, 245, 252, 274, 286, 292, 293, 309, 337, 339, 349, 378, 393, 403, 410, 413, 415]",S4T3.tsv
be,1,19,"[1, 10, 19, 20, 21, 22, 23, 28, 29, 31, 34, 35, 36, 39, 40, 50, 52, 59, 76, 78, 79, 81, 83, 89, 90, 94, 106, 107, 109, 118, 122, 133, 136, 138, 139, 140, 146, 151, 154, 155, 174, 176, 177, 180, 197, 202, 207, 211, 216, 217, 221, 222, 223, 224, 225, 233, 237, 241, 248, 249, 257, 258, 275, 284, 294, 300, 302, 315, 331, 332, 333, 335, 339, 340, 347, 362, 374, 376, 378, 383, 395, 396, 400, 401, 403, 404, 407, 413]",S4T3.tsv
yeah,1,19,"[6, 19, 24, 33, 35, 39, 41, 45, 52, 53, 62, 67, 68, 69, 70, 71, 72, 76, 86, 99, 100, 101, 119, 134, 138, 162, 185, 188, 201, 204, 245, 250, 252, 253, 262, 269, 311, 319, 321, 331, 334, 348, 366, 373, 381, 389, 391, 416, 418, 420]",S4T3.tsv
she be,2,22,"[19, 22]",S4T3.tsv
batshit,1,19,"[18, 19, 21, 22]",S4T3.tsv
she,1,20,"[19, 20, 21, 22, 23, 32, 34, 387, 391]",S4T3.tsv
that,1,21,"[1, 21, 22, 26, 28, 39, 104, 118, 133, 143, 149, 172, 189, 241, 268, 269, 279, 283, 285, 329, 330, 347, 355, 360, 362, 377, 382, 384, 391, 393, 396, 398, 403, 414]",S4T3.tsv
she be but she hasn't be that batshit,8,22,"[21, 22]",S4T3.tsv
but,1,48,"[21, 48, 67, 76, 177, 319, 381, 389, 391, 393]",S4T3.tsv
hasn't be,2,81,"[21, 81]",S4T3.tsv
well,1,81,"[21, 81, 84, 192, 204]",S4T3.tsv
be but,2,177,"[21, 177]",S4T3.tsv
be that,2,347,"[21, 347, 362, 396, 403]",S4T3.tsv
just,1,24,"[3, 12, 24, 28, 54, 55, 67, 74, 82, 93, 98, 105, 133, 134, 166, 175, 222, 255, 261, 262, 265, 267, 275, 305, 310, 322, 327, 350, 367, 368, 380, 387, 391, 410, 414]",S4T3.tsv
in,1,24,"[12, 24, 28, 87, 88, 126, 133, 173, 244, 258, 264, 284, 295, 324, 330, 339, 391, 393, 399, 404]",S4T3.tsv
she's,1,36,"[24, 35, 36, 43, 225, 396, 398]",S4T3.tsv
now,1,79,"[24, 79, 139, 196, 355, 400]",S4T3.tsv
